"scientific_name";"genus";"specific_epithet";"species_author";"collector_id";"recorded_by";"colnum_full";"prefix";"colnum";"sufix";"col_date";"col_day";"col_month";"col_year";"det_by";"det_date";"det_day";"det_month";"det_year";"country_id";"country";"continent";"locality";"coordinate_id";"ddlong";"ddlat";"institute";"herbarium_code";"barcode";"orig_bc";"coll_surname";"huh_name";"geo_col";"wiki_url";"region";"specificEpithet";"orig_recby";"orig_detby";"country_iso3";"sp_idx";"status";"accepted_name";"ipni_species_author";"ipni_no";"geo_issues"
0;"Melodorum";"polyanthum";0;0;"Jenkins";"";"<NA>";NA;"<NA>";"<NA>";NA;NA;NA;"Hou, XL";"30/03/2011 - 30/03/2011";30;3;2011;"not found";"Inde";0;"Assam";0;NA;NA;"0";"0";"P00750995";"P00750995";"Jenkins";"Jenkins";"<NA>";"<NA>";"Assam";0;"Jenkins";"Hou, X.L.";"not found";"Melodorum polyanthum";"SYNONYM";"Fissistigma polyanthum";"(Hook.f. & Thomson) Merr.";"https://ipni.org/n/73882-1";NA
0;"Miliusa";"balansae";0;0;"Esquirol, J";"2130";"";2130;"";"20/05/1910 - 20/05/1910";20;5;1910;"Chaowasku, T";"01/09/2006 - 30/09/2006";1;9;2006;"not found";"Chine";0;"Province du Kouy-Tchéou (Chine). Siang choui. Alt. 800 m";0;NA;NA;"0";"0";"P00160894";"P00160894";"Esquirol";"Esquirol, Joseph Henri";"China";"0";"Guizhou(贵州)";0;"Esquirol, J.";"Chaowasku, T.";"not found";"Miliusa balansae";"ACCEPTED";"Miliusa balansae";"Finet & Gagnep.";"https://ipni.org/n/73918-1";NA
0;"Miliusa";"balansae";0;0;"Hou, XL";"8102805";"";8102805;"";"28/10/2008 - 28/10/2008";28;10;2008;"nan";"<NA>";NA;NA;NA;"not found";"Chine";0;"[...], Yunnan";0;NA;NA;"0";"0";"P06901457";"P06901457";"Hou";"Hou, Xue-Liang";"China";"0";"Yunnan(云南)";0;"Hou, X.L.";"<NA>";"not found";"Miliusa balansae";"ACCEPTED";"Miliusa balansae";"Finet & Gagnep.";"https://ipni.org/n/73918-1";NA
0;"Miliusa";"cuneata";0;0;"Kerr, AFG";"5011";"";5011;"";"04/03/1921 - 04/03/1921";4;3;1921;"Chaowasku, T";"14/10/2005 - 14/10/2005";14;10;2005;"not found";"Thaïlande";0;"Siam";0;NA;NA;"0";"0";"P01983600";"P01983600";"Kerr";"Kerr, Arthur Francis George";"France, Laos, Malaysia, Myanmar, Thailand";"0";"";0;"Kerr, A.F.G.";"Chaowasku, T.";"not found";"Miliusa cuneata";"ACCEPTED";"Miliusa cuneata";"Craib";"https://ipni.org/n/73926-1";NA
0;"Miliusa";"indica";0;0;"Thwaites";"1036";"";1036;"";"01/01/1859 - 31/12/1859";1;1;1859;"nan";"<NA>";NA;NA;NA;"LK";"Sri Lanka";0;"Ceylan";0;NA;NA;"0";"0";"P01967136";"P01967136";"Thwaites";"Thwaites";"<NA>";"<NA>";"";0;"Thwaites";"<NA>";"LKA";"Miliusa indica";"ACCEPTED";"Miliusa indica";"Lesch. ex A.DC.";"https://ipni.org/n/73937-1";NA
0;"Miliusa";"indica";0;0;"Wight";"34";"";34;"";"<NA>";NA;NA;NA;"Kessler, P";"01/05/2004 - 31/05/2004";1;5;2004;"not found";"<NA>";0;"Peninsula Indiae Orientalis.";0;NA;NA;"0";"0";"P01967131";"P01967131";"Wight";"Wight";"<NA>";"<NA>";"";0;"Wight";"Kessler, P.";"not found";"Miliusa indica";"ACCEPTED";"Miliusa indica";"Lesch. ex A.DC.";"https://ipni.org/n/73937-1";NA
0;"Miliusa";"sinensis";0;0;"Cavalerie";"";"<NA>";NA;"<NA>";"<NA>";NA;NA;NA;"nan";"<NA>";NA;NA;NA;"not found";"Chine";0;"Chine : Kout-Tchéou";0;NA;NA;"0";"0";"P00160896";"P00160896";"Cavalerie";"Cavalerie";"<NA>";"<NA>";"Guizhou(贵州)";0;"Cavalerie";"<NA>";"not found";"Miliusa sinensis";"SYNONYM";"Miliusa balansae";"Finet & Gagnep.";"https://ipni.org/n/73953-1";NA
0;"Miliusa";"thorelii";0;0;"Kerr, AFG";"5448";"";5448;"";"13/05/1921 - 13/05/1921";13;5;1921;"Chaowasku, T";"14/10/2005 - 14/10/2005";14;10;2005;"not found";"Thaïlande";0;"Siam";0;NA;NA;"0";"0";"P01967675";"P01967675";"Kerr";"Kerr, Arthur Francis George";"France, Laos, Malaysia, Myanmar, Thailand";"0";"";0;"Kerr, A.F.G.";"Chaowasku, T.";"not found";"Miliusa thorelii";"ACCEPTED";"Miliusa thorelii";"Finet & Gagnep.";"https://ipni.org/n/73957-1";NA
0;"Miliusa";"tomentosa";0;0;"Stocks";"";"<NA>";NA;"<NA>";"<NA>";NA;NA;NA;"Kessler, P";"03/09/1985 - 03/09/1985";3;9;1985;"not found";"Inde";0;"Ind. Or. Malabar, Concan etc. Regio trop.";0;NA;NA;"0";"0";"P01967671";"P01967671";"Stocks";"Stocks";"<NA>";"<NA>";"";0;"Stocks";"Kessler, P.";"not found";"Miliusa tomentosa";"ACCEPTED";"Miliusa tomentosa";"(Roxb.) Finet & Gagnep.";"https://ipni.org/n/60459481-2";NA
0;"Miliusa";"velutina";0;0;"Griffith";"382";"";382;"";"<NA>";NA;NA;NA;"nan";"<NA>";NA;NA;NA;"not found";"<NA>";0;"Birma and Malay Penins.";0;NA;NA;"0";"0";"P01967642";"P01967642";"Griffith";"Griffith";"<NA>";"<NA>";"";0;"Griffith";"<NA>";"not found";"Miliusa velutina";"ACCEPTED";"Miliusa velutina";"(DC.) Hook.f. & Thomson";"https://ipni.org/n/73961-1";NA
0;"Miliusa";"velutina";0;0;"Kerr, AFG";"5237";"";5237;"";"06/10/1921 - 06/10/1921";6;10;1921;"nan";"<NA>";NA;NA;NA;"not found";"Thaïlande";0;"Siam";0;NA;NA;"0";"0";"P01967640";"P01967640";"Kerr";"Kerr, Arthur Francis George";"France, Laos, Malaysia, Myanmar, Thailand";"0";"";0;"Kerr, A.F.G.";"<NA>";"not found";"Miliusa velutina";"ACCEPTED";"Miliusa velutina";"(DC.) Hook.f. & Thomson";"https://ipni.org/n/73961-1";NA
0;"Miliusa";"zeylanica";0;0;"Thwaites";"1682";"";1682;"";"<NA>";NA;NA;NA;"nan";"<NA>";NA;NA;NA;"LK";"Sri Lanka";0;"Zeylania";0;NA;NA;"0";"0";"P01967626";"P01967626";"Thwaites";"Thwaites";"<NA>";"<NA>";"";0;"Thwaites";"<NA>";"LKA";"Miliusa zeylanica";"ACCEPTED";"Miliusa zeylanica";"Gardner ex Hook.f. & Thomson";"https://ipni.org/n/73965-1";NA
0;"Miliusa";"zeylanica";0;0;"Thwaites";"2678";"";2678;"";"01/01/1860 - 31/12/1860";1;1;1860;"nan";"<NA>";NA;NA;NA;"LK";"Sri Lanka";0;"Ceylan";0;NA;NA;"0";"0";"P02005335";"P02005335";"Thwaites";"Thwaites";"<NA>";"<NA>";"";0;"Thwaites";"<NA>";"LKA";"Miliusa zeylanica";"ACCEPTED";"Miliusa zeylanica";"Gardner ex Hook.f. & Thomson";"https://ipni.org/n/73965-1";NA
0;"Miliusa";"zeylanica";0;0;"Thwaites";"2678, 2678";"";2678;"";"01/01/1854 - 31/12/1854";1;1;1854;"nan, nan";"<NA>";NA;NA;NA;"LK";"Sri Lanka";0;"Ceylan";0;NA;NA;"0, 0";"0, 0";"P01967624, P01967625";"P01967624, P01967625";"Thwaites";"Thwaites";"<NA>";"<NA>";"";NA;"";"";"LKA";"Miliusa zeylanica";"ACCEPTED";"Miliusa zeylanica";"Gardner ex Hook.f. & Thomson";"https://ipni.org/n/73965-1";NA
