scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;specificEpithet;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;huh_name;geo_col;wiki_url
Mitrephora merrillii C.B.Rob.;Neo-Uvaria;acuminatissima;(Miq.) Airy Shaw;0;Agama, J;23163;;23163;;0;;;1914.0;;;;;;PH;Philippines;0;;0;125.1544;7.8181;NHMUK;BOT;BM000560223;BM000560223;;0.0;José Agama;;PHL;ACCEPTED;Neo-Uvaria acuminatissima;https://ipni.org/n/74172-1;Agama, José;Malaysia, Philippines;0
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;A.Gray;0;Ahern;3316;;3316;;0;;9.0;1905.0;;;;;;PH;Philippines;0;Rizal Province, Luzon;0;121.165227;14.592146;VT;;UVMVT102133;UVMVT102133;Ahern;0.0;Ahern;;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;Ahern, George Patrick;Philippines;0
Goniothalamus elmeri Merr.;Goniothalamus;elmeri;Merr.;0;Alcasid, GL;Alcasid, GL PNH 1631 ;Alcasid;1631;;0;21.0;5.0;1946.0;Merrill, ED;;;;;PH;Philippines;0;;0;121.1643;17.5189;;Botany;L3956554;L.3956554;Alcasid;0.0;Alcasid GL;Merrill ED;PHL;ACCEPTED;Goniothalamus elmeri;https://ipni.org/n/73186-1;Alcasid, Godefredo L.;Philippines;0
Mitrephora lanotan (Blanco) Merr.;Mitrephora;lanotan;(Blanco) Merr.;0;Alvarez, RJ;Alvarez, RJ FB 13545 ;Alvarez;13545;;0;1.0;8.0;1909.0;Weerasooriya, AD;2001-03-01T00:00:00;1.0;3.0;2001.0;PH;Philippines;0;Philippines. Luzon, Bataan Prov.;0;120.416667;14.666667;;Botany;L1757261;L.1757261;Alvarez;0.0;Alvarez RJ;Weerasooriya AD;PHL;ACCEPTED;Mitrephora lanotan;https://ipni.org/n/74010-1;Alvarez, Ramon J.;Philippines;0
Cyathocalyx sumatranus Scheff.;Cyathocalyx;sumatranus;Scheff.;0;Alvarez, RJ;Alvarez, RJ FB 13549 ;Alvarez;13549;;0;1.0;8.0;1909.0;Kessler, PJA;1990-11-01T00:00:00;1.0;11.0;1990.0;PH;Philippines;0;Bataan Prov., Luzon.;0;120.416667;14.666667;;Botany;L1755587;L.1755587;Alvarez;0.0;Alvarez RJ;Kessler PJA;PHL;ACCEPTED;Cyathocalyx sumatranus;https://ipni.org/n/72686-1;Alvarez, Ramon J.;Philippines;0
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;odorata;(Lam.) Hook.f. & Thomson;0;Alvarez, RJ;Alvarez, RJ FB 21441 ;Alvarez;21441;;0;1.0;5.0;1914.0;;;;;;PH;Philippines;0;Province of Camarines, Luzon.;0;123.333333;13.666667;;Botany;L1753699;L.1753699;Alvarez;0.0;Alvarez RJ;;PHL;ACCEPTED;Cananga odorata;https://ipni.org/n/72580-1;Alvarez, Ramon J.;Philippines;0
Orophea enterocarpa Maingay ex Hook.f. & Thomson;Orophea;enterocarpa;Maingay ex Hook.f.;0;Argent, GCG;"Argent, GCG; et al. PPI 25380 ";Argent;25380;;0;20.0;1.0;1998.0;;;;;;PH;Philippines;0;Philippines: Palawan: on path from camp two towards Cleopatra Needle.;0;118.966667;10.116667;;Botany;L1766751;L.1766751;Argent;0.0;"Argent GCG; et al.";;PHL;ACCEPTED;Orophea enterocarpa;https://ipni.org/n/74223-1;Argent, Graham Charles George;Indonesia;0
Desmos chinensis Lour.;Desmos;chinensis;Lour.;0;Argent, GCG;"Argent, GCG; et al. PPI 25407 ";Argent;25407;;0;21.0;1.0;1998.0;;;;;;PH;Philippines;0;Philippines: Palawan: On ridge above camp two towards Cleopatra Needle by rock overhang.;0;118.966667;10.116667;;Botany;L1760339;L.1760339;Argent;0.0;"Argent GCG; et al.";;PHL;ACCEPTED;Desmos chinensis;https://ipni.org/n/72771-1;Argent, Graham Charles George;Indonesia;0
Dasymaschalon oblongatum Merr.;Dasymaschalon;clusiflorum;(Merr.) Merr.;0;Argent, GCG;"Argent, GCG; Wilkie, P; Mendum, M; Fuentes, R 99/ 307 ";Argent;99;;0;17.0;11.0;1999.0;;;;;;PH;Philippines;0;Philippines. Bataan Province: Luzon Island: Barangay Banawang. Sitio Ulingan.;0;120.383333;14.616667;;Botany;L4266459;L.4266459;Argent;0.0;"Argent GCG; Wilkie P; Mendum M; Fuentes R";;PHL;ACCEPTED;Dasymaschalon clusiflorum;https://ipni.org/n/72729-1;Argent, Graham Charles George;Indonesia;0
Orophea enterocarpa Maingay ex Hook.f. & Thomson;Orophea;enterocarpa;Maingay ex Hook.f.;0;Argent, GCG;25380;;25380;;0;20.0;1.0;1998.0;;;;;;PH;Philippines;0;On path from camp two towards Cleopatra Needle.;0;118.966667;10.116667;E;E;E00210862;E00210862;;0.0;Argent, G.C.G., Cronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.;;PHL;ACCEPTED;Orophea enterocarpa;https://ipni.org/n/74223-1;Argent, Graham Charles George;Indonesia;0
Desmos chinensis Lour.;Desmos;chinensis;Lour.;0;Argent, GCG;25407;;25407;;0;21.0;1.0;1998.0;;;;;;PH;Philippines;0;On ridge above camp two towards Cleopatra Needle by rock overhang.;0;118.966667;10.116667;E;E;E00210855;E00210855;;0.0;Argent, G.C.G., Cronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.;;PHL;ACCEPTED;Desmos chinensis;https://ipni.org/n/72771-1;Argent, Graham Charles George;Indonesia;0
Polyalthia obliqua Hook.f. & Thomson;Polyalthia;obliqua;Hook.f. & Thomson;0;Añonuevo, P;Añonuevo, P PNH 13575 ;A;13575;;0;21.0;6.0;1950.0;;;;;;PH;Philippines;0;Aroman, Carmen, Cotabato Province, Mindanao;0;124.4709;7.1709;;Botany;L1767283;L.1767283;;0.0;Añonuevo P;Heusden ECH van;PHL;ACCEPTED;Polyalthia obliqua;https://ipni.org/n/74673-1;<NA>;<NA>;<NA>
Goniothalamus elmeri Merr.;Goniothalamus;elmeri;Merr.;0;Barbon, EB;"Barbon, EB; Alvarez, RJ; Garcia, HG PPI 12314 ";Barbon;12314;;0;19.0;9.0;1993.0;;;;;;PH;Philippines;0;Quezon, Quezon, Tagkawayan, Brgy. Bagong Silang II.;0;122.529444;13.968889;;Botany;L3966276;L.3966276;Barbon;0.0;"Barbon EB; Alvarez RJ; Garcia HG";;PHL;ACCEPTED;Goniothalamus elmeri;https://ipni.org/n/73186-1;Barbon, E. B.;Philippines;0
Polyalthia lanceolata S.Vidal;Haplostichanthus;lanceolata;S.Vidal;0;Barbon, EB;"Barbon, EB; Romero, EM; Fuentes, RE PPI 13103 ";Barbon;13103;;0;10.0;7.0;1994.0;Xue, B;2012-10-01T00:00:00;1.0;10.0;2012.0;PH;Philippines;0;So. Kapuntian, Brgy, San Jose, San Mariano.;0;122.05;16.983333;;Botany;L1762670;L.1762670;Barbon;0.0;"Barbon EB; Romero EM; Fuentes RE";Xue B;PHL;SYNONYM;Polyalthia lanceolata;https://ipni.org/n/979807-1;Barbon, E. B.;Philippines;0
Rollinia deliciosa Saff.;Annona;mucosa;Jacq.;0;Barbon, EB;"Barbon, EB; et al. PPI 1677 ";Barbon;1677;;0;9.0;5.0;1991.0;;;;;;PH;Philippines;0;Mindanao, Agusan Norte, Tungao, Nalco.;0;125.571944;8.777222;;Botany;L1764972;L.1764972;Barbon;0.0;"Barbon EB; et al.";;PHL;ACCEPTED;Annona mucosa;https://ipni.org/n/72259-1;Barbon, E. B.;Philippines;0
Annona muricata L.;Annona;muricata;L.;0;Barbon, EB;"Barbon, EB; et al. PPI 1728 ";Barbon;1728;;0;10.0;5.0;1991.0;;;;;;PH;Philippines;0;Mindanao, Agusan Norte, Tungao, NALCO;0;125.571944;8.777222;;Botany;L1755327;L.1755327;Barbon;0.0;"Barbon EB; et al.";;PHL;ACCEPTED;Annona muricata;https://ipni.org/n/14308-2;Barbon, E. B.;Philippines;0
Uvaria rufa (Dunal) Blume;Uvaria;rufa;(Hook.f. & Thomson) Merr.;0;Barbon, EB;"Barbon, EB; et al. PPI 18971 ";Barbon;18971;;0;18.0;12.0;1995.0;;;;;;PH;Philippines;0;Luzon, Cagayan, Brgy. San Vicente, Palaui Island, Sta.Ana.;0;122.133333;18.55;;Botany;L1768739;L.1768739;Barbon;0.0;"Barbon EB; et al.";;PHL;SYNONYM;Pyramidanthe prismatica;https://ipni.org/n/75912-1;Barbon, E. B.;Philippines;0
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;odorata;(Lam.) Hook.f. & Thomson;0;Barbon, EB;"Barbon, EB; et al. PPI 1909 ";Barbon;1909;;0;21.0;5.0;1991.0;;;;;;PH;Philippines;0;Mindanao, Agusan Norte, Tungao, NALCO;0;125.571944;8.777222;;Botany;L1753673;L.1753673;Barbon;0.0;"Barbon EB; et al.";;PHL;ACCEPTED;Cananga odorata;https://ipni.org/n/72580-1;Barbon, E. B.;Philippines;0
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;odorata;(Lam.) Hook.f. & Thomson;0;Barbon, EB;"Barbon, EB; et al. PPI 2013 ";Barbon;2013;;0;23.0;8.0;1991.0;;;;;;PH;Philippines;0;Luzon/Polillo, Quezon, Burdeos, Kinabuawan;0;121.466667;14.066667;;Botany;L1753679;L.1753679;Barbon;0.0;"Barbon EB; et al.";;PHL;ACCEPTED;Cananga odorata;https://ipni.org/n/72580-1;Barbon, E. B.;Philippines;0
Goniothalamus elmeri Merr.;Goniothalamus;elmeri;Merr.;0;Barbon, EB;"Barbon, EB; Alvarez, RJ; Garcia, HG PPI 2139 ";Barbon;2139;;0;30.0;8.0;1991.0;;;;;;PH;Philippines;0;Luzon/Polillo, Quezon, Sibulan, Sta. Maria.;0;121.947463;14.720753;;Botany;L3966277;L.3966277;Barbon;0.0;"Barbon EB; Alvarez RJ; Garcia HG";;PHL;ACCEPTED;Goniothalamus elmeri;https://ipni.org/n/73186-1;Barbon, E. B.;Philippines;0
Uvaria rufa (Dunal) Blume;Uvaria;rufa;(Hook.f. & Thomson) Merr.;0;Barbon, EB;"Barbon, EB; et al. PPI 22031 ";Barbon;22031;;0;20.0;12.0;1995.0;;;;;;PH;Philippines;0;Luzon, Cagayan, Brgy. San Vicente, Palaui Island, Sta.Ana.;0;122.133333;18.55;;Botany;L1768740;L.1768740;Barbon;0.0;"Barbon EB; et al.";;PHL;SYNONYM;Pyramidanthe prismatica;https://ipni.org/n/75912-1;Barbon, E. B.;Philippines;0
Uvaria sorzogonensis C.Presl;Uvaria;littoralis;(Blume) Blume;0;Barbon, EB;"Barbon, EB; Garcia, HG; Romero, EM PPI 22066 ";Barbon;22066;;0;20.0;12.0;1995.0;;;;;;PH;Philippines;0;Luzon, Cagayan, Brgy. San Vicente, Palaui Island, Sta.Ana.;0;122.133333;18.55;;Botany;L1768681;L.1768681;Barbon;0.0;"Barbon EB; Garcia HG; Romero EM";;PHL;ACCEPTED;Uvaria littoralis;https://ipni.org/n/75784-1;Barbon, E. B.;Philippines;0
Uvaria rufa (Dunal) Blume;Uvaria;rufa;(Hook.f. & Thomson) Merr.;0;Barbon, EB;"Barbon, EB; et al. PPI 22372 ";Barbon;22372;;0;11.0;3.0;1996.0;;2002-05-22T00:00:00;22.0;5.0;2002.0;PH;Philippines;0;Luzon, Bulacan, Angat Watershed Area, Norzagaray.;0;121.166667;14.85;;Botany;L1768738;L.1768738;Barbon;0.0;"Barbon EB; et al.";;PHL;SYNONYM;Pyramidanthe prismatica;https://ipni.org/n/75912-1;Barbon, E. B.;Philippines;0
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;A.Gray;0;Barbon, EB;"Barbon, EB; et al. PPI 22425 ";Barbon;22425;;0;17.0;5.0;1996.0;;;;;;PH;Philippines;0;Luzon, Bulacan, Angat Watershed Area, Norzagaray.;0;121.166667;14.85;;Botany;L1744581;L.1744581;Barbon;0.0;"Barbon EB; et al.";;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;Barbon, E. B.;Philippines;0
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;A.Gray;0;Barbon, EB;"Barbon, EB; et al. PPI 2341 ";Barbon;2341;;0;6.0;9.0;1991.0;;;;;;PH;Philippines;0;Luzon, Quezon, Rial, Lalawinan, Tipuan, NBG;0;121.6;14.666667;;Botany;L1744582;L.1744582;Barbon;0.0;"Barbon EB; et al.";;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;Barbon, E. B.;Philippines;0
Popowia pisocarpa (Blume) Endl.;Popowia;pisocarpa;(Blume) Endl. ex Walp.;0;Barbon, EB;"Barbon, EB; Garcia, HG; Sagcal, E PPI 5831 ";Barbon;5831;;0;2.0;2.0;1992.0;Kessler, PJA;2000-10-01T00:00:00;1.0;10.0;2000.0;PH;Philippines;0;Isl. SamarProv: SamarLoc: Mt. Sohoton Natural Bridge National Park, Basey;0;125.416667;11.616667;;Botany;L1759063;L.1759063;Barbon;0.0;"Barbon EB; Garcia HG; Sagcal E";Kessler PJA;PHL;ACCEPTED;Popowia pisocarpa;https://ipni.org/n/74881-1;Barbon, E. B.;Philippines;0
Neo-uvaria merrillii (C.B.Rob.) Chaowasku;Neo-Uvaria;acuminatissima;(Miq.) Airy Shaw;0;Barnes, PT;367;;367;;0;;3.0;1904.0;Chaowasku, T;;;;;PH;Philippines;0;Lamao;0;120.5942;14.5136;NHMUK;BOT;BM000560230;BM000560230;Barnes;0.0;Parker Thayer Barnes;Tanawat Chaowasku;PHL;ACCEPTED;Neo-Uvaria acuminatissima;https://ipni.org/n/74172-1;Barnes, Parker Thayer;Philippines, United States of America;0
Uvaria alba Merr.;Uvaria;alba;Merr.;0;Barnes, PT;50;;50;;0;;8.0;1903.0;Turner, IM;;;;;PH;Philippines;0;Lamao;0;120.5942;14.5136;NHMUK;BOT;BM001121308;BM001121308;Barnes;0.0;Parker Thayer Barnes;Ian Mark Turner;PHL;ACCEPTED;Uvaria alba;https://ipni.org/n/75556-1;Barnes, Parker Thayer;Philippines, United States of America;0
Neo-uvaria merrillii (C.B.Rob.) Chaowasku;Neo-Uvaria;acuminatissima;(Miq.) Airy Shaw;0;Barnes, PT;61;;61;;0;;10.0;1903.0;Chaowasku, T;;;;;PH;Philippines;0;Lamao;0;120.5942;14.5136;NHMUK;BOT;BM000560225;BM000560225;Barnes;0.0;Parker Thayer Barnes;Tanawat Chaowasku;PHL;ACCEPTED;Neo-Uvaria acuminatissima;https://ipni.org/n/74172-1;Barnes, Parker Thayer;Philippines, United States of America;0
Mitrephora lanotan (Blanco) Merr.;Mitrephora;lanotan;(Blanco) Merr.;0;Bawan, F;Bawan, F FB 24198 ;Bawan;24198;;0;1.0;5.0;1915.0;Weerasooriya, AD;2001-03-01T00:00:00;1.0;3.0;2001.0;PH;Philippines;0;Philippines. Luzon, Bataan Prov.;0;120.416667;14.666667;;Botany;L1757258;L.1757258;Bawan;0.0;Bawan F;Weerasooriya AD;PHL;ACCEPTED;Mitrephora lanotan;https://ipni.org/n/74010-1;Bawan, F.;Philippines;0
Goniothalamus dolichopetalus Merr.;Goniothalamus;dolichopetalus;Merr.;0;Britton, BB;Britton, BB  480 ;Britton;480;;0;28.0;10.0;1953.0;Tang, CC;2014-10-01T00:00:00;1.0;10.0;2014.0;PH;Philippines;0;Basilan, Isabela, Balactasan River.;0;122.0432;6.7241;;Botany;L2067223;L.2067223;Britton;0.0;Britton BB;Tang CC;PHL;ACCEPTED;Goniothalamus dolichopetalus;https://ipni.org/n/73183-1;<NA>;<NA>;<NA>
Meiogyne mindorensis (Merr.) Heusden;Meiogyne;mindorensis;(Merr.) Heusden;0;Burley, JS;Burley, JS  149 ;Burley;149;;0;25.0;4.0;1987.0;Kessler, PJA;1989-04-01T00:00:00;1.0;4.0;1989.0;PH;Philippines;0;E. MIndoro, N slope of Mt. Alinyaban, 5 km SW of Puerto Galera.;0;120.916667;13.466667;;Botany;L1757053;L.1757053;Burley;0.0;Burley JS;Kessler PJA;PHL;ACCEPTED;Meiogyne mindorensis;https://ipni.org/n/977588-1;Burley, John Stuart;Indonesia, United States of America;0
Drepananthus philippinensis Merr.;Drepananthus;acuminatus;(C.B.Rob.) Survesw. & R.M.K.Saunders;0;Burley, JS;Collector Number: 178;Collector;178;;0;28.0;4.0;1987.0;Burley, JS;;;;;PH;Philippines;0;"7 km southwest Puerto Galera; west of marble quarry; Mt. Talipanan";0;120.917;13.4667;BPBM;BISH;BISH620170;620170;Burley;0.0;Burley, J.S.;J.S.Burley;PHL;ACCEPTED;Drepananthus acuminatus;https://ipni.org/n/77109466-1;Burley, John Stuart;Indonesia, United States of America;0
Polyalthia mindorensis Merr.;Polyalthia;mindorensis;Merr.;0;Burley, JS;Burley, JS  179 ;Burley;179;;0;28.0;4.0;1987.0;;;;;;PH;Philippines;0;E Mindoro, W of marble Quarry, Mt. Talipanan, 7km SW of Puerto Galera;0;120.9548;13.5006;;Botany;L1767138;L.1767138;Burley;;;;PHL;ACCEPTED;Polyalthia mindorensis;https://ipni.org/n/77070439-1;Burley, John Stuart;Indonesia, United States of America;0
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;ophthalmicus;(Roxb. ex G.Don) J.Sinclair;0;Burley, JS;Burley, JS  181 ;Burley;181;;0;28.0;4.0;1987.0;Mols, JB;;;;;PH;Philippines;0;"Philippines, East Mindoro, near Marble Quarry on Mt. Talipanan, 7 km SW of Puerto Galera, c. 13.28 N; 120.55 E.";0;120.916667;13.466667;;Botany;L1758768;L.1758768;Burley;;;;PHL;ACCEPTED;Phaeanthus ophthalmicus;https://ipni.org/n/74450-1;Burley, John Stuart;Indonesia, United States of America;0
Goniothalamus elmeri Merr.;Goniothalamus;elmeri;Merr.;0;Burley, JS;Collector Number: 209, Burley, JS  209 ;Collector;209;;0;30.0;4.0;1987.0;Burley, JS, nan;1987-01-01T00:00:00;1.0;1.0;1987.0;PH;Philippines;0;"Mindoro: Summit ridge Mt Alinyaban; 6 km SW Puerto Galera";0;120.917;13.4667;BPBM, <NA>;BISH, Botany;BISH620749, WAG1567043;620749, WAG.1567043;Burley;;;;PHL;ACCEPTED;Goniothalamus elmeri;https://ipni.org/n/73186-1;Burley, John Stuart;Indonesia, United States of America;0
Mitrephora reflexa Merr.;Mitrephora;reflexa;Merr.;0;Burley, JS;Burley, JS  60 ;Burley;60;;0;3.0;4.0;1987.0;Weerasooriya, AD;2001-03-01T00:00:00;1.0;3.0;2001.0;PH;Philippines;0;Philippines. Luzon, Quezon National Park, between Pagbiloa and Atimonan.;0;121.833333;13.983333;;Botany;L1762152;L.1762152;Burley;0.0;Burley JS;Weerasooriya AD;PHL;ACCEPTED;Mitrephora reflexa;https://ipni.org/n/74037-1;Burley, John Stuart;Indonesia, United States of America;0
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;A.Gray;0;Castro, M;"Castro, M; Barbon, EB; Garcia, HG PPI 22074 ";Castro;22074;;0;6.0;3.0;1996.0;;;;;;PH;Philippines;0;Luzon, Batangas, Mt. Maculot, Cuenca.;0;121.05;13.916667;;Botany;L1744519;L.1744519;Castro;0.0;"Castro M; Barbon EB; Garcia HG";;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;<NA>;<NA>;<NA>
Goniothalamus philippinensis Merr.;Goniothalamus;philippinensis;Merr.;0;Celestinó, M;"Celestinó, M; Castro, A PNH 1940 ";Celestin;1940;;0;4.0;10.0;1947.0;;;;;;PH;Philippines;0;Badok, Naujan, Mindoro.;0;121.32;13.108;;Botany;L2067142;L.2067142;;0.0;"Celestinó, M; Castro A";Merrill ED;PHL;ACCEPTED;Goniothalamus philippinensis;https://ipni.org/n/73235-1;<NA>;<NA>;<NA>
Polyalthia obliqua Hook.f. & Thomson;Polyalthia;obliqua;Hook.f. & Thomson;0;Celestinó, M;"Celestinó, M; Ramos, J PNH 23037 ";Celestin;23037;;0;12.0;5.0;1955.0;;2000-09-01T00:00:00;1.0;9.0;2000.0;PH;Philippines;0;Sagpangan, Aborlan, Palawan;0;118.566667;9.533333;;Botany;L1767284;L.1767284;;0.0;"Celestinó, M; Ramos J";Kessler PJA;PHL;ACCEPTED;Polyalthia obliqua;https://ipni.org/n/74673-1;<NA>;<NA>;<NA>
Orophea creaghii (Ridl.) Leonardía & Kessler;Orophea;creaghii;(Ridl.) Leonardía & Kessler;0;Celestinó, M;"Celestinó, M; Ramos, J PNH 23041 ";Celestin;23041;;0;13.0;5.0;1955.0;;1999-07-01T00:00:00;1.0;7.0;1999.0;PH;Philippines;0;Along creek.;0;118.55;9.433333;;Botany;L1766271;L.1766271;;0.0;"Celestinó, M; Ramos J";Leonardía, AAP;PHL;ACCEPTED;Orophea creaghii;https://ipni.org/n/1020126-1;<NA>;<NA>;<NA>
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;ophthalmicus;(Roxb. ex G.Don) J.Sinclair;0;Celestinó, M;"Celestinó, M; Ramos, J PNH 23054 ";Celestin;23054;;0;17.0;5.0;1955.0;;;;;;PH;Philippines;0;"Philippines, Palawan, Province Aborlan, Sagpañgan, c. 9.32 N; 118.34 E.";0;118.566667;9.533333;;Botany;L1758778;L.1758778;;0.0;"Celestinó, M; Ramos J";Mols JB;PHL;ACCEPTED;Phaeanthus ophthalmicus;https://ipni.org/n/74450-1;<NA>;<NA>;<NA>
Dasymaschalon clusiflorum (Merr.) Merr.;Dasymaschalon;clusiflorum;(Merr.) Merr.;0;Cenabre, AL;"Cenabre, AL; et al. FB 28558 ";Cenabre;28558;;0;1.0;6.0;1921.0;;;;;;PH;Philippines;0;Nueva Vizcaya, Province Luzon.;0;121.124245;16.324685;;Botany;L1756249;L.1756249;Cenabre;0.0;"Cenabre AL; et al.";;PHL;ACCEPTED;Dasymaschalon clusiflorum;https://ipni.org/n/72729-1;Cenabre, A. L.;Philippines;0
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;ophthalmicus;(Roxb. ex G.Don) J.Sinclair;0;Cenabre, AL;Cenabre, AL FB 29982 ;Cenabre;29982;;0;1.0;7.0;1925.0;Mols, JB;;;;;PH;Philippines;0;"Philippines, Palawan, Province Palawan, Palawan, c. 10.00 N; 118.45 E.";0;118.75;10.0;;Botany;L1758781;L.1758781;Cenabre;0.0;Cenabre AL;Mols JB;PHL;ACCEPTED;Phaeanthus ophthalmicus;https://ipni.org/n/74450-1;Cenabre, A. L.;Philippines;0
Annona squamosa L.;Annona;squamosa;Jacq.;0;Christenhusz, MJM;Christenhusz, MJM  38 ;Christenhusz;38;;0;26.0;9.0;1998.0;Christenhusz, MJM;;;;;PH;Philippines;0;4th street, New Manila, Quezon City, Luzon;0;121.050278;14.6425;;Botany;U1071394;U.1071394;Christenhusz;0.0;Christenhusz MJM;Christenhusz MJM;PHL;SYNONYM;Annona mucosa;https://ipni.org/n/72320-1;Christenhusz, Maarten Joost Maria;Belgium, Cambodia, Dominica, Finland, France, French Guiana, Germany, Jamaica, Luxembourg, Martinique, Mexico, Netherlands, Norway, Peru, Philippines, Saint Lucia, Suriname, Sweden, Thailand, Tunisia, Turkey;0
Popowia pisocarpa (Blume) Endl.;Popowia;pisocarpa;(Blume) Endl. ex Walp.;0;Clemens, MS;Clemens, MS  1007 ;Clemens;1007;;0;1.0;4.0;1907.0;;;;;;PH;Philippines;0;Cam. Keithley, Lake Lanao, Mindanao;0;124.25;7.883333;;Botany;L1759062;L.1759062;Clemens;0.0;Clemens MS;;PHL;ACCEPTED;Popowia pisocarpa;https://ipni.org/n/74881-1;Clemens, Mary Strong;Australia (Country), China, Malaysia, Papua New Guinea, Philippines, United States of America, Vietnam;0
Friesodielsia longiflora (Merr.) Steenis;Friesodielsia;longiflora;(Merr.) Steenis;0;Clemens, MS;Clemens, MS  s.n. ;Clemens;;;0;1.0;6.0;1907.0;;;;;;PH;Philippines;0;Camp Keithley, Lake Lanao, Mindnao;0;124.25;7.883333;;Botany;L1765210;L.1765210;Clemens;0.0;Clemens MS;;PHL;ACCEPTED;Friesodielsia longiflora;https://ipni.org/n/73123-1;Clemens, Mary Strong;Australia (Country), China, Malaysia, Papua New Guinea, Philippines, United States of America, Vietnam;0
Artabotrys suaveolens (Blume) Blume;Artabotrys;suaveolens;(Blume) Blume;0;Co, L;Co, L  3320 , Collector Number: 3320;Co;3320;;0;24.0;2.0;1991.0;nan, nan;;;;;PH;Philippines;0;"Philippines, Luzon: Sierra Madre Mtn. Range, Isabela Prov., San Mariano Municipality, Barangay Disulap, along logging road above Sitio Nursery16.579N; 112.125E";0;122.2;16.95;<NA>, BPBM;Botany, BISH;L1749621, BISH627244;L.1749621, 627244;Co;;;;PHL;ACCEPTED;Artabotrys suaveolens;https://ipni.org/n/72472-1;Co, Leonardo Legaspi;Philippines;0
Polyalthia lanceolata S.Vidal;Haplostichanthus;lanceolata;S.Vidal;0;Co, L;Co, L  3430 , 3430;Co;3430;;0;9.0;5.0;1991.0;Xue, B, nan;2012-10-01T00:00:00;1.0;10.0;2012.0;PH;Philippines;0;"Philippines, Luzon, Sierra Madre Mtn. Range (E foothills), Isabela prov., Palanan municip., Barangay San Isidro, hills N of Sitio Diago17.07 N; 122.30 E; 30 m alt.";0;122.5;17.116667;<NA>, US;Botany, US;L1762672, US3250503;L.1762672, US 3250503;Co;;;;PHL;SYNONYM;Polyalthia lanceolata;https://ipni.org/n/979807-1;Co, Leonardo Legaspi;Philippines;0
Polyalthia lanceolata S.Vidal;Haplostichanthus;lanceolata;S.Vidal;0;Co, L;Co, L  3453 , 3453;Co;3453;;0;12.0;5.0;1991.0;Xue, B, nan;2012-10-01T00:00:00;1.0;10.0;2012.0;PH;Philippines;0;"Philippines, Luzon, Sierra Madre Mtn. Range (E foothills), Isabela prov., Palanan municip., Barangay San Isidro, Sitio Pulang Lupa17.07 N; 122.30 E; 30 m alt.";0;122.5;17.116667;<NA>, US;Botany, US;L1762676, US3250508;L.1762676, US 3250508;Co;;;;PHL;SYNONYM;Polyalthia lanceolata;https://ipni.org/n/979807-1;Co, Leonardo Legaspi;Philippines;0
Polyalthia lanceolata S.Vidal;Haplostichanthus;lanceolata;S.Vidal;0;Co, L;Co, L  3504 , Co, L  3504 ;Co;3504;;0;19.0;5.0;1991.0;Xue, B, Xue, B;2012-10-01T00:00:00;1.0;10.0;2012.0;PH;Philippines;0;"Philippines, Luzon, Sierra Madre Mtn. Range (E foothills), Isabela Prov., Palanan Municipality, Barangay San Isidro, hills NW of Sitio Diago, c. 1.5 km SSE of Palanan Point17.078N; 122.307 E";0;122.5;17.116667;<NA>, <NA>;Botany, Botany;L1762677, L1762678;L.1762677, L.1762678;Co;;;;PHL;SYNONYM;Polyalthia lanceolata;https://ipni.org/n/979807-1;Co, Leonardo Legaspi;Philippines;0
Xylopia dehiscens (Blanco) Merr.;Xylopia;blancoi;(Blanco) Merr.;0;Co, L;Co, L  3563 , Collector Number: 3563;Co;3563;;0;24.0;5.0;1991.0;nan, nan;;;;;PH;Philippines;0;Luzon: Isabela prov., Divilacan Municipality, Barangay Bicobian, slope of Tan-awan ridge, ca 15 km NW of Palalan Point.;0;122.401389;17.235833;<NA>, BPBM;Botany, BISH;L1775200, BISH627170;L.1775200, 627170;Co;;;;PHL;SYNONYM;Xylopia dehiscens;https://ipni.org/n/76076-1;Co, Leonardo Legaspi;Philippines;0
