scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;specificEpithet;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;huh_name;geo_col;wiki_url
Canangium odoratum (Lam.) King;Cananga;odorata;(Lam.) Hook.f. & Thomson;0;Ponce, SS;20769;;20769;;0;;10.0;1913.0;;;;;;PH;Philippines;0;Butuan Subprovince;0;125.543611;8.949167;VT;;UVMVT102232;UVMVT102232;Ponce;0.0;"Ponce, S.S.; D.P. Miranda, B. Rafael";;PHL;ACCEPTED;Cananga odorata;https://ipni.org/n/72580-1;Ponce, S. S.;Philippines;0
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;rumphii;(Blume ex Hensch.) Chaowasku;0;Ponce, SS;Ponce, SS PNH 33457 ;Ponce;33457;;0;7.0;5.0;1955.0;;;;;;PH;Philippines;0;Mt. Makiling, Laguna Province, Luzon.;0;121.19;14.135833;;Botany;L1767409;L.1767409;Ponce;0.0;Ponce SS;;PHL;SYNONYM;Huberantha rumphii;https://ipni.org/n/77123353-1;Ponce, S. S.;Philippines;0
Polyalthia lanceolata S.Vidal;Haplostichanthus;lanceolata;S.Vidal;0;Price, MG;"Price, MG; Hernaez, BF  857 ";Price;857;;0;11.0;7.0;1975.0;Xue, B;2012-10-01T00:00:00;1.0;10.0;2012.0;PH;Philippines;0;Samar, Philippines, Province of Western Samar, municipality of Gandara;0;124.916667;12.0;;Botany;L1762661;L.1762661;Price;0.0;"Price MG; Hernaez BF";Xue B;PHL;SYNONYM;Polyalthia lanceolata;https://ipni.org/n/979807-1;<NA>;<NA>;<NA>
Canangium odoratum (Lam.) King;Cananga;odorata;(Lam.) Hook.f. & Thomson;0;Rafael, B;20730;;20730;;0;;10.0;1913.0;;;;;;PH;Philippines;0;Butuan Province, Mindanao;0;125.543611;8.949167;VT;;UVMVT102231;UVMVT102231;Rafael;0.0;"Rafael, B.; S.S. Ponce";;PHL;ACCEPTED;Cananga odorata;https://ipni.org/n/72580-1;<NA>;<NA>;<NA>
Miliusa vidalii J.Sinclair;Miliusa;vidalii;J.Sinclair;0;Ramos;22573;;22573;;0;;;;Mols, JB ;;;;;PH;Philippines;0;;0;120.8786;15.2628;NHMUK;BOT;BM000595526;BM000595526;Ramos;0.0;Ramos, et al.;J. B. Mols;PHL;ACCEPTED;Miliusa vidalii;https://ipni.org/n/73962-1;Ramos, J.;Philippines;0
Artabotrys rolfei S.Vidal;Artabotrys;suaveolens;(Blume) Blume;0;Ramos, M;Ramos, M BS 12525 ;Ramos;12525;;0;1.0;11.0;1910.0;;;;;;PH;Philippines;0;Flora of the PhilippinesProvince of Rizal Luzon;0;121.166667;14.583333;;Botany;L1749489;L.1749489;Ramos;0.0;Ramos M;;PHL;ACCEPTED;Artabotrys suaveolens;https://ipni.org/n/72472-1;Ramos, Maximo;Malaysia, Philippines;0
Meiogyne mindorensis (Merr.) Heusden;Meiogyne;mindorensis;(Merr.) Heusden;0;Ramos, M;Ramos, M BS 13616 ;Ramos;13616;;0;1.0;8.0;1911.0;Heusden, ECH van;;;;;PH;Philippines;0;Philippines, Province of Rizal, Luzon.;0;121.166667;14.583333;;Botany;L1757046;L.1757046;Ramos;0.0;Ramos M;Heusden ECH van;PHL;ACCEPTED;Meiogyne mindorensis;https://ipni.org/n/977588-1;Ramos, Maximo;Malaysia, Philippines;0
Meiogyne mindorensis (Merr.) Heusden;Meiogyne;mindorensis;(Merr.) Heusden;0;Ramos, M;Ramos, M BS 13617 ;Ramos;13617;;0;1.0;8.0;1911.0;Heusden, ECH van;;;;;PH;Philippines;0;Province of Rizal, Luzon.;0;121.166667;14.583333;;Botany;L1757048;L.1757048;Ramos;0.0;Ramos M;Heusden ECH van;PHL;ACCEPTED;Meiogyne mindorensis;https://ipni.org/n/977588-1;Ramos, Maximo;Malaysia, Philippines;0
Goniothalamus elmeri Merr.;Goniothalamus;elmeri;Merr.;0;Ramos, M;Ramos, M BS 13666 ;Ramos;13666;;0;1.0;9.0;1911.0;;;;;;PH;Philippines;0;;0;121.194423;14.136252;;Botany;L3966180;L.3966180;Ramos;0.0;Ramos M;;PHL;ACCEPTED;Goniothalamus elmeri;https://ipni.org/n/73186-1;Ramos, Maximo;Malaysia, Philippines;0
Meiogyne virgata (Blume) Miq.;Meiogyne;virgata;(Blume) Miq.;0;Ramos, M;15381;;15381;;0;;8.0;1912.0;;;;;;PH;Philippines;0;Dagami;0;124.9031;11.0611;NHMUK;BOT;BM000546397;BM000546397;Ramos;0.0;Maximo Ramos;;PHL;ACCEPTED;Meiogyne virgata;https://ipni.org/n/73818-1;Ramos, Maximo;Malaysia, Philippines;0
Goniothalamus philippinensis var. ramosii Bân;Goniothalamus;philippinensis;Merr.;0;Ramos, M;Ramos, M BS 1639 ;Ramos;1639;;0;1.0;4.0;1914.0;Setten, AK van;;;;;PH;Philippines;0;Samar.;0;125.0;11.833333;;Botany;L2067143;L.2067143;Ramos;0.0;Ramos M;Setten AK van;PHL;ACCEPTED;Goniothalamus philippinensis;https://ipni.org/n/73235-1;Ramos, Maximo;Malaysia, Philippines;0
