scientificName;genus;specificEpithet;speciesAuthor;collectorID;recordedBy;colNum_full;prefix;colNum;sufix;colDate;colDay;colMonth;colYear;detBy;detDate;detDay;detMonth;detYear;countryID;country;continent;locality;coordinateID;ddlong;ddlat;institute;herbarium_code;barcode;orig_BC;coll_surname;region;ORIG_recBy;globalID;childDataID;accSpeciesID;colNum_fullprefix;status;accepted_name;ipni_no
0;Artabotrys;cumingianus;0;0;Borden, TE;2950;;2950;;01/03/1905 - 31/03/1905;1;3;1905;<NA>;<NA>;;;;0;Philippines;0;Philippines. Lamao River, Mt. Mariveles, Province of Batan, Luzon.;0;120.521;14.517;0;0;P02029202;P02029202;Borden;Bataan;Borden, T.E.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Cyathocalyx;globosus;0;0;Borden, TE;646;;646;;01/04/1904 - 30/04/1904;1;4;1904;<NA>;<NA>;;;;0;Philippines;0;Philippines. Lamao River. Prov. of Bataan, Luzon;0;120.575;14.511;0;0;P00751132;P00751132;Borden;Bataan;Borden, T.E.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Mitrephora;lanotan;0;0;Borden, TE;763;;763;;01/05/1904 - 31/05/1904;1;5;1904;<NA>;<NA>;;;;0;Philippines;0;Philippines. Lamao River, Mt. Mariveles, Province of Bataan, Luzon.;0;120.521;14.517;0;0;P01967844;P01967844;Borden;Bataan;Borden, T.E.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Anaxagorea;luzonensis;0;0;Callery;8;;8;;01/01/1840 - 31/12/1840;1;1;1840;van Benthem, F.DJ.;01/01/1982 - 31/12/1982;1;1;1982;0;Philippines;0;Manille - Calawan.;0;121.3149851;14.1453986;0;0;P01960557;P01960557;Callery;Laguna;Callery;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Artabotrys;cagayanensis;0;0;Castillo, E;22719;;22719;;01/04/1915 - 31/05/1915;1;4;1915;<NA>;<NA>;;;;0;Philippines;0;Philippines. Province of Cagayan. Luzon;0;121.83;18.0;0;0;P00389960;P00389960;Castillo;Cagayan;Castillo, E.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Orophea;unguiculata;0;0;Cenabre, AL;25533;;25533;;01/05/1916 - 31/05/1916;1;5;1916;<NA>;<NA>;;;;0;Philippines;0;Philippines. Camarines Province. Luzon;0;122.793;14.013;0;0;P00268545;P00268545;Cenabre;Bicol Region (Region V);Cenabre, A.L.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Uvaria;sorzogonensis;0;0;Cenabre, AL;29133;;29133;;01/02/1923 - 28/02/1923;1;2;1923;<NA>;<NA>;;;;0;Philippines;0;Philippines. Puerto Princesa. Palawan;0;118.7350414;9.7376025;0;0;P00248444;P00248444;Cenabre;Palawan;Cenabre, A.L.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Polyalthia;suberosa;0;0;Cuming;1031;;1031;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Philippines;0;;;0;0;P01983821;P01983821;Cuming;;Cuming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Mitrephora;sp.;0;0;Cuming;1079;;1079;;<NA>;;;;Kessler, P.;09/09/1985 - 09/09/1985;9;9;1985;0;Philippines;0;Philippines;0;;;0;0;P01967866;P01967866;Cuming;;Cuming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Phaeanthus;ebracteolatus;0;0;Cuming;1084;;1084;;<NA>;;;;Mols, J.B.;01/07/1998 - 31/07/1998;1;7;1998;0;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P01960459;P01960459;Cuming;National Capital Region (NCR);Cuming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Artabotrys;suaveolens;0;0;Cuming;1495;;1495;;01/01/1845 - 31/12/1845;1;1;1845;<NA>;<NA>;;;;0;Philippines;0;Philippines;0;;;0;0;P02008606;P02008606;Cuming;;Cuming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Mitrephora;sp.;0;0;Cuming;773;;773;;<NA>;;;;Kessler;01/11/2003 - 30/11/2003;1;11;2003;0;Philippines;0;Philippines;0;;;0;0;P01967864;P01967864;Cuming;;Cuming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Orophea;cumingiana;0;0;Cuming;854;;854;;<NA>;;;;Kessler, P.;01/03/1986 - 01/03/1986;1;3;1986;0;Philippines;0;Philippines;0;;;0;0;P00389912;P00389912;Cuming;;Cuming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Artabotrys;sp.;0;0;Cuming;970;;970;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Philippines;0;;;0;0;P02029185;P02029185;Cuming;;Cuming;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
