"scientific_name";"genus";"specific_epithet";"species_author";"collector_id";"recorded_by";"colnum_full";"prefix";"colnum";"sufix";"col_date";"col_day";"col_month";"col_year";"det_by";"det_date";"det_day";"det_month";"det_year";"country_id";"country";"continent";"locality";"coordinate_id";"ddlong";"ddlat";"institute";"herbarium_code";"barcode";"orig_bc";"coll_surname";"specificEpithet";"orig_recby";"orig_detby";"country_iso3";"global_id";"childData_id";"accSpecies_id";"colnum_fullprefix";"status";"accepted_name";"ipni_no";".val";".equ";".zer";".cap";".cen";".con";".gbf";".inst";".summary"
"Polyalthia Blume";"Polyalthia";"None";0;0;"Achmad";"Achmad  1476 , Achmad  1476 ";"Achmad";1476;"";0;29;10;1919;"nan, nan";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Eil. Simaloer bij Sumatra, Landschap Tapah";0;101.3;-2.05;"<NA>, <NA>";"Botany, Botany";"L1764069, L1764070";"L.1764069, L.1764070";"Achmad";NA;"nan";"";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Polyalthia Blume";"Polyalthia";"nan";0;0;"Achmad";"Achmad  1562 ";"Achmad";1562;"";0;16;12;1919;"nan";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Eil. Simaloer bij Sumata, Landschap Tapah";0;101.3;-2.05;"<NA>";"Botany";"L1763410";"L.1763410";"Achmad";0;"Achmad";"<NA>";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Cyathocalyx carinatus (Ridl.) J.Sinclair";"Drepananthus";"carinatus";0;0;"Achmad";"Achmad  1574 ";"Achmad";1574;"";0;22;12;1919;"Wang, R";"2004-01-01T00:00:00";1;1;2004;"ID";"Indonesia";0;"Eil. Simaloer bij Sumatra, Tapah (Defajan)";0;96.08;2.58;"<NA>";"Botany";"L1754033";"L.1754033";"Achmad";0;"Achmad";"Wang R";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Mitrella kentii (Blume) Miq.";"Mitrella";"kentii";0;0;"Achmad";"Achmad  1583 ";"Achmad";1583;"";0;30;12;1919;"nan";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Eil. Simaloer bij Sumatra, Landschap Tapah (Defagan)";0;96.08;2.58;"<NA>";"Botany";"L1761770";"L.1761770";"Achmad";0;"Achmad";"<NA>";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Xylopia dicarpa Hook.f. & Thomson";"Xylopia";"malayana";0;0;"Achmad";"Achmad  1629 ";"Achmad";1629;"";0;20;1;1920;"Johnson, DM";"2014-03-01T00:00:00";1;3;2014;"ID";"Indonesia";0;"Eil. Simaloer bij Sumatra Landschap Tapoh (Defajan).";0;96.083333;2.583333;"<NA>";"Botany";"L1775328";"L.1775328";"Achmad";0;"Achmad";"Johnson DM";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Mitrella kentii (Blume) Miq.";"Mitrella";"kentii";0;0;"Achmad";"Achmad  1655 ";"Achmad";1655;"";0;2;2;1920;"nan";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Eil. Simaloer bij Sumatra, Landschap Tapah (Defagan)";0;96.08;2.58;"<NA>";"Botany";"L1761771";"L.1761771";"Achmad";0;"Achmad";"<NA>";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Mezzettia parviflora Becc.";"Mezzettia";"parviflora";0;0;"Achmad";"Achmad  1656 ";"Achmad";1656;"";0;2;2;1920;"Kessler, PJA";"1989-06-01T00:00:00";1;6;1989;"ID";"Indonesia";0;"Simaloer bij sumatra, Tapah (Defajan)";0;96.08;2.58;"<NA>";"Botany";"L1761760";"L.1761760";"Achmad";0;"Achmad";"Kessler PJA";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Polyalthia Blume";"Polyalthia";"nan";0;0;"Achmad";"Achmad  1657 ";"Achmad";1657;"";0;2;2;1920;"nan";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"eil. Simaloer bij Sumatra, Landschap Tapah";0;101.3;-2.05;"<NA>";"Botany";"L1763412";"L.1763412";"Achmad";0;"Achmad";"<NA>";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Maasia hypoleuca (Hook.f. & Thomson) Mols, Kessler & Rogstad";"Maasia";"hypoleuca";0;0;"Achmad";"Achmad  1686 ";"Achmad";1686;"";0;13;2;1920;"nan";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Eil Simaloer bij Sumatra, Landschap Tapah (Defajan)";0;96.08;2.58;"<NA>";"Botany";"L1756510";"L.1756510";"Achmad";0;"Achmad";"<NA>";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Meiogyne cylindrocarpa (Burck) Heusden";"Meiogyne";"cylindrocarpa";0;0;"Achmad";"Achmad  1693 ";"Achmad";1693;"";0;16;2;1920;"Heusden, ECH van";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Archipel. Ind. Eil Simaloer bij Sumatra. Landschap Tapah.";0;96.08;2.58;"<NA>";"Botany";"L1757086";"L.1757086";"Achmad";0;"Achmad";"Heusden ECH van";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
