scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;region;specificEpithet;orig_recby;orig_detby;to_check;to_check_det;country_iso3;status;accepted_name;ipni_no
0;Mitrephora;lanotan;(Blanco) Merr.;0;Borden, TE;2924;;2924;;01/03/1905 - 31/03/1905;1;3;1905;nan;<NA>;;;;PH;Philippines;0;Philippines. Lamao River, Mt. Mariveles, Province of Bataan, Luzon.;0;120.521;14.517;0;0;P01967843;P01967843;Borden;Bataan;0;Borden, T.E.;<NA>;;;PHL;ACCEPTED;Mitrephora lanotan;https://ipni.org/n/74010-1
0;Artabotrys;cumingianus;S.Vidal;0;Borden, TE;2950;;2950;;01/03/1905 - 31/03/1905;1;3;1905;nan;<NA>;;;;PH;Philippines;0;Philippines. Lamao River, Mt. Mariveles, Province of Batan, Luzon.;0;120.521;14.517;0;0;P02029202;P02029202;Borden;Bataan;0;Borden, T.E.;<NA>;;;PHL;ACCEPTED;Artabotrys cumingianus;https://ipni.org/n/72378-1
0;Cyathocalyx;globosus;Merr.;0;Borden, TE;646;;646;;01/04/1904 - 30/04/1904;1;4;1904;nan;<NA>;;;;PH;Philippines;0;Philippines. Lamao River. Prov. of Bataan, Luzon;0;120.575;14.511;0;0;P00751132;P00751132;Borden;Bataan;0;Borden, T.E.;<NA>;;;PHL;ACCEPTED;Cyathocalyx globosus;https://ipni.org/n/72657-1
0;Mitrephora;lanotan;(Blanco) Merr.;0;Borden, TE;763;;763;;01/05/1904 - 31/05/1904;1;5;1904;nan;<NA>;;;;PH;Philippines;0;Philippines. Lamao River, Mt. Mariveles, Province of Bataan, Luzon.;0;120.521;14.517;0;0;P01967844;P01967844;Borden;Bataan;0;Borden, T.E.;<NA>;;;PHL;ACCEPTED;Mitrephora lanotan;https://ipni.org/n/74010-1
0;Anaxagorea;luzonensis;A.Gray;0;Callery;8;;8;;01/01/1840 - 31/12/1840;1;1;1840;nan;01/01/1982 - 31/12/1982;1;1;1982;PH;Philippines;0;Manille - Calawan.;0;121.3149851;14.1453986;0;0;P01960557;P01960557;Callery;Laguna;0;Callery;van Benthem, F.DJ.;;;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1
0;Artabotrys;cagayanensis;Merr.;0;Castillo, E;22719;;22719;;01/04/1915 - 31/05/1915;1;4;1915;nan;<NA>;;;;PH;Philippines;0;Philippines. Province of Cagayan. Luzon;0;121.83;18.0;0;0;P00389960;P00389960;Castillo;Cagayan;0;Castillo, E.;<NA>;;;PHL;ACCEPTED;Artabotrys cagayanensis;https://ipni.org/n/72363-1
0;Orophea;unguiculata;(Elmer) Y.C.F.Su & R.M.K.Saunders;0;Cenabre, AL;25533;;25533;;01/05/1916 - 31/05/1916;1;5;1916;nan;<NA>;;;;PH;Philippines;0;Philippines. Camarines Province. Luzon;0;122.793;14.013;0;0;P00268545;P00268545;Cenabre;Bicol Region (Region V);0;Cenabre, A.L.;<NA>;;;PHL;SYNONYM;Pseuduvaria unguiculata;https://ipni.org/n/74278-1
0;Uvaria;sorzogonensis;(Blume) Blume;0;Cenabre, AL;29133;;29133;;01/02/1923 - 28/02/1923;1;2;1923;nan;<NA>;;;;PH;Philippines;0;Philippines. Puerto Princesa. Palawan;0;118.7350414;9.7376025;0;0;P00248444;P00248444;Cenabre;Palawan;0;Cenabre, A.L.;<NA>;;;PHL;SYNONYM;Uvaria littoralis;https://ipni.org/n/75939-1
0;Polyalthia;suberosa;(Roxb.) Thwaites;0;Cuming;1031;;1031;;<NA>;;;;nan;<NA>;;;;PH;Philippines;0;Philippines;0;;;0;0;P01983821;P01983821;Cuming;;0;Cuming;<NA>;;;PHL;ACCEPTED;Polyalthia suberosa;https://ipni.org/n/74734-1
0;Phaeanthus;ebracteolatus;(Roxb. ex G.Don) J.Sinclair;0;Cuming;1084;;1084;;<NA>;;;;Mols, JB;01/07/1998 - 31/07/1998;1;7;1998;PH;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P01960459;P01960459;Cuming;National Capital Region (NCR);0;Cuming;Mols, J.B.;;;PHL;SYNONYM;Phaeanthus ophthalmicus;https://ipni.org/n/74436-1
0;Artabotrys;suaveolens;(Blume) Blume;0;Cuming;1495;;1495;;01/01/1845 - 31/12/1845;1;1;1845;nan;<NA>;;;;PH;Philippines;0;Philippines;0;;;0;0;P02008606;P02008606;Cuming;;0;Cuming;<NA>;;;PHL;ACCEPTED;Artabotrys suaveolens;https://ipni.org/n/72472-1
0;Orophea;cumingiana;S.Vidal;0;Cuming;854;;854;;<NA>;;;;Kessler, P;01/03/1986 - 01/03/1986;1;3;1986;PH;Philippines;0;Philippines;0;;;0;0;P00389912;P00389912;Cuming;;0;Cuming;Kessler, P.;;;PHL;ACCEPTED;Orophea cumingiana;https://ipni.org/n/74213-1
0;Polyalthia;suberosa;(Roxb.) Thwaites;0;Cumming;1051;;1051;;<NA>;;;;nan;<NA>;;;;PH;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P01983820;P01983820;Cumming;National Capital Region (NCR);0;Cumming;<NA>;;;PHL;ACCEPTED;Polyalthia suberosa;https://ipni.org/n/74734-1
0;Mitrephora;lanotan;(Blanco) Merr.;0;Cumming;1079;;1079;;<NA>;;;;Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;PH;Philippines;0;Manille.;0;120.9809674;14.5907332;0;0;P01967849;P01967849;Cumming;National Capital Region (NCR);0;Cumming;Kessler, P.;;;PHL;ACCEPTED;Mitrephora lanotan;https://ipni.org/n/74010-1
