genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;huh_name;geo_col;wiki_url;specificEpithet;tmp_det_date;expert_det;orig_recby;orig_detby;recby_regex;country_iso3;sp_idx;status;accepted_name;ipni_species_author;ipni_no;geo_issues;.summary;tmp_det_date.1;expert_det.1;recby_regex.1;modified;scientific_name;colnum_fullprefix;region;Unnamed: 0
Polyalthia;sp.;0.0;0.0;Ambri;W 440;W;440;nan;10/10/1990 - 10/10/1990;10;10;1990;nan;nan;;;;not found;Indonésie;0.0;E. Kalimantan, Wanariset research I area, off km 3,2 m. Wanariset-semoi road. Alt. 70 m m.;0.0;116.834;-0.933;0;0;P02132575;P02132575;Ambri;Ambri;Indonesia;0;0.0;;nan;Ambri;;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Alphonsea;sp.;0.0;0.0;Ambri;504;nan;504;nan;07/04/1992 - 07/04/1992;7;4;1992;nan;nan;;;;not found;Indonésie;0.0;Kalimantan Timur, Wanariset research area, Km. 40 Balikpapan-Samarinda. Alt. 50 m.;0.0;117.01195;-0.8671;0;0;P01921651;P01921651;Ambri;Ambri;Indonesia;0;0.0;;nan;Ambri;Ambri & Arifin;;not found;Alphonsea sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Phaeanthus;sp.;0.0;0.0;Ambri;W 997;W;997;nan;18/12/1991 - 18/12/1991;18;12;1991;Kessler;nan;;;;not found;Indonésie;0.0;Kalimantan Timur, Wanariset research area, Rintis Wartono Kadri. Alt. 50 m.;0.0;117.0;-1.0;0;0;P01960492;P01960492;Ambri;Ambri;Indonesia;0;0.0;;nan;Ambri;Kessler;;not found;Phaeanthus sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Phaeanthus;sp.;0.0;0.0;Ambriansyah;1442;nan;1442;nan;28/11/1995 - 28/11/1995;28;11;1995;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, UUCD Wanariset area, Km 38 Bpp.-Smd. Samboja. Alt. 60 m.;0.0;117.0;-1.0;0;0;P01960496;P01960496;Ambriansyah;Ambriansyah;Indonesia;0;0.0;;nan;Ambriansyah;;;not found;Phaeanthus sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Polyalthia;sp.;0.0;0.0;Ambriansyah;1635;nan;1635;nan;01/04/1996 - 01/04/1996;1;4;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, KPC area. Beside river Bengalon to Tepian Lang sat. Alt. 75 m.;0.0;117.45071411132814;0.7716823890799639;0;0;P02132576;P02132576;Ambriansyah;Ambriansyah;Indonesia;0;0.0;;nan;Ambriansyah;;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Popowia;sp.;0.0;0.0;Ambriansyah;1661;nan;1661;nan;06/04/1996 - 06/04/1996;6;4;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, KPC area West Bengalon, Sebongkok utara. Alt. 102 m.;0.0;117.53395;0.8053333333333333;0;0;P01960408;P01960408;Ambriansyah;Ambriansyah;Indonesia;0;0.0;;nan;Ambriansyah;Ambriansyah, Arbainsyah et Kessler;;not found;Popowia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Sageraea;sp.;0.0;0.0;Ambriansyah;1673;nan;1673;nan;06/04/1996 - 06/04/1996;6;4;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, KPC area West Bengalon, Sebongkok utara. Alt. 94 m.;0.0;117.52938333333331;0.8173666666666667;0;0;P01982068;P01982068;Ambriansyah;Ambriansyah;Indonesia;0;0.0;;nan;Ambriansyah;;;not found;Sageraea sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Fissistigma;sp.;0.0;0.0;Ambriansyah;1675;nan;1675;nan;06/04/1996 - 06/04/1996;6;4;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, KPC area West Bengalon, Sebongkok utara. Alt. 94 m.;0.0;117.52938333333331;0.8173666666666667;0;0;P02032262;P02032262;Ambriansyah;Ambriansyah;Indonesia;0;0.0;;nan;Ambriansyah;;;not found;Fissistigma sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Anaxagorea;sp.;0.0;0.0;Ambriansyah;1964;nan;1964;nan;08/09/1996 - 08/09/1996;8;9;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, Kalimantan Tengah ODA Km 92 from Sangai, Kab. Kotawarigin Timur, Blok I jalur 51.;0.0;112.517;-1.483;0;0;P01960622;P01960622;Ambriansyah;Ambriansyah;Indonesia;0;0.0;;nan;Ambriansyah;;;not found;Anaxagorea sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Central Kalimantan;
Polyalthia;sp.;0.0;0.0;Ambriansyah;2055;nan;2055;nan;14/10/1996 - 14/10/1996;14;10;1996;nan;nan;;;;not found;Indonésie;0.0;East Kalimantan. Wanariset Samboja UUCD area. Alt. 70 m.;0.0;117.0;-1.0;0;0;P02132566;P02132566;Ambriansyah;Ambriansyah;Indonesia;0;0.0;;nan;Ambriansyah;;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Mitrephora;sp.;0.0;0.0;Ambriansyah;2564;nan;2564;nan;28/08/2003 - 28/08/2003;28;8;2003;Ambriansyah;nan;;;;not found;Indonésie;0.0;BOS-Samboja Lestari area. East Kalimantan Indonesia. Alt. 98 m.;0.0;117.0055;-1.055;0;0;P01988092;P01988092;Ambriansyah;Ambriansyah;Indonesia;0;0.0;;nan;Ambriansyah;Ambriansyah;;not found;Mitrephora sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
nan;indet.;0.0;0.0;Ambriansyah;272;nan;272;nan;11/11/1991 - 11/11/1991;11;11;1991;nan;nan;;;;not found;Indonésie;0.0;East Kalimantan, Indonesia. Inhutani area, off km 11, Inhutani Semoi road. Alt. 70;0.0;116.834;-0.933;0;0;P01965537;P01965537;Ambriansyah;Ambriansyah;Indonesia;0;0.0;;nan;Ambriansyah;;;not found;<NA> indet.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
nan;indet.;0.0;0.0;Ambriansyah;297;nan;297;nan;27/11/1991 - 27/11/1991;27;11;1991;nan;nan;;;;not found;Indonésie;0.0;East Kalimantan, Indonesia. Inhutani area, off km 13, Inhutani semoi-road. Alt. 70;0.0;117.38;2.007;0;0;P01965526;P01965526;Ambriansyah;Ambriansyah;Indonesia;0;0.0;;nan;Ambriansyah;;;not found;<NA> indet.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Neo-Uvaria;sp.;0.0;0.0;Ambriansyah;606;nan;606;nan;24/09/1992 - 24/09/1992;24;9;1992;Kessler;01/01/1993 - 31/01/1993;1;1;1993;not found;Indonésie;0.0;Meratus 5230 area, PT. ITCI Kegan. Balikpapan, East Kalimantan.;0.0;116.35;-1.05;0;0;P01954528;P01954528;Ambriansyah;Ambriansyah;Indonesia;0;0.0;;nan;Ambriansyah;Kessler;;not found;Neo-Uvaria sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Polyalthia;sp.;0.0;0.0;Ambriansyah, A;1534;nan;1534;nan;03/02/1996 - 03/02/1996;3;2;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, Central Kalimantan. Camp 92 ODA Sangai area;0.0;112.63;-2.15;0;0;P02132572;P02132572;Ambriansyah;Ambriansyah, A;nan;nan;0.0;;nan;Ambriansyah, A.;;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Central Kalimantan;
