genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;huh_name;geo_col;wiki_url;specificEpithet;tmp_det_date;expert_det;orig_recby;orig_detby;recby_regex;country_iso3;sp_idx;status;accepted_name;ipni_species_author;ipni_no;geo_issues;.summary;tmp_det_date.1;expert_det.1;recby_regex.1;modified;scientific_name;colnum_fullprefix;region;Unnamed: 0
Polyalthia;sp.;0.0;0.0;Geesink, R;5746;nan;5746;nan;07/06/1973 - 07/06/1973;7;6;1973;nan;nan;;;;not found;Thaïlande;0.0;"Thailand; Northern; Northern Thailand, Province: Chieng Mai, near Fang. Alt. c. 400 m.";0.0;98.83333333333331;19.33333333333333;0;0;P02006018;P02006018;Geesink;Geesink, Robert;Netherlands;0;0.0;;nan;Geesink, R.;;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Chiang Mai(เชียงใหม่);
Fissistigma;sp.;0.0;0.0;Geesink, R;5777;nan;5777;nan;07/06/1973 - 07/06/1973;7;6;1973;nan;01/01/1987 - 31/12/1987;1;1;1987;not found;Thaïlande;0.0;N. Thailand, Prov.: Chieng mai. Bo luang. Alt. c. 1000 m.;0.0;98.41666666666669;18.75;0;0;P02032269;P02032269;Geesink;Geesink, Robert;Netherlands;0;0.0;;nan;Geesink, R.;van Setten, A.K.;;not found;Fissistigma sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Chiang Mai(เชียงใหม่);
Alphonsea;sp.;0.0;0.0;Geesink, R;5957;nan;5957;nan;nan;;;;Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;not found;Thaïlande;0.0;N. Thailand, Prov. : Maehongson. 15 km NW. from Maehongson. Alt. 500 m;0.0;98.0;18.75;0;0;P01921664;P01921664;Geesink;Geesink, Robert;Netherlands;0;0.0;;nan;Geesink, R.;Kessler, P.;;not found;Alphonsea sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Mae Hong Son(แม่ฮ่องสอน);
Desmos;sp.;0.0;0.0;Geesink, R;6162;nan;6162;nan;07/07/1973 - 07/07/1973;7;7;1973;nan;nan;;;;not found;Thaïlande;0.0;S.W.Thailand, Prov. Kanchanaburi, between Kritee and Meung Chah. Alt. 800-900 m;0.0;98.75;15.033333333333331;0;0;P01753419;P01753419;Geesink;Geesink, Robert;Netherlands;0;0.0;;nan;Geesink, R.;;;not found;Desmos sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Kanchanaburi(กาญจนบุรี);
Xylopia;sp.;0.0;0.0;Geesink, R;6492;nan;6492;nan;03/05/1974 - 03/05/1974;3;5;1974;nan;nan;;;;not found;Thaïlande;0.0;S.E. Thailand, prov. Trat. Taphan Hin. Alt. c. 20 m.;0.0;102.702;12.102;0;0;P02006090;P02006090;Geesink;Geesink, Robert;Netherlands;0;0.0;;nan;Geesink, R.;;;not found;Xylopia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Trat(ตราด);
Polyalthia;sp.;0.0;0.0;Geesink, R;6885;nan;6885;nan;23/05/1974 - 23/05/1974;23;5;1974;nan;nan;;;;not found;Thaïlande;0.0;E. Thailand, prov. Chaiyaphum. Ban Nam Phrom. Alt. 600 m.;0.0;102.0;15.666666666666666;0;0;P02006024;P02006024;Geesink;Geesink, Robert;Netherlands;0;0.0;;nan;Geesink, R.;;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Chaiyaphum(ชัยภูมิ);
Goniothalamus;sp.;0.0;0.0;Geesink, R;6895;nan;6895;nan;24/05/1974 - 24/05/1974;24;5;1974;Kessler, P;26/10/1989 - 26/10/1989;26;10;1989;not found;Thaïlande;0.0;E. Thailand, prov. Chaiyaphum. Ban Nam Phrom. Alt. 600 m.;0.0;102.0;15.666666666666666;0;0;P01954568;P01954568;Geesink;Geesink, Robert;Netherlands;0;0.0;;nan;Geesink, R.;Kessler, P.;;not found;Goniothalamus sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Chaiyaphum(ชัยภูมิ);
Orophea;sp.;0.0;0.0;Geesink, R;7215;nan;7215;nan;14/06/1974 - 14/06/1974;14;6;1974;Leonardia, A;01/07/1999 - 31/07/1999;1;7;1999;not found;Thaïlande;0.0;Pen. Thailand, prov. Trang. Kao Chong area. Alt. 150 m.;0.0;99.75;7.666666666666667;0;0;P01967215;P01967215;Geesink;Geesink, Robert;Netherlands;0;0.0;;nan;Geesink, R.;Leonardia, A.;;not found;Orophea sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Trang(ตรัง);
Goniothalamus;sp.;0.0;0.0;Geesink, R;7386;nan;7386;nan;22/06/1974 - 22/06/1974;22;6;1974;Kessler, P;25/10/1989 - 25/10/1989;25;10;1989;not found;Thaïlande;0.0;Pen. Thailand, prov. Ranong. Khlong Naka. Alt. 50 m.;0.0;98.66666666666669;9.75;0;0;P01954567;P01954567;Geesink;Geesink, Robert;Netherlands;0;0.0;;nan;Geesink, R.;Kessler, P.;;not found;Goniothalamus sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Ranong(ระนอง);
Polyalthia;sp.;0.0;0.0;Geesink, R;7838;nan;7838;nan;15/12/1974 - 15/12/1974;15;12;1974;Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;not found;Thaïlande;0.0;SE Thailand, prov. Rayong. Khao yod lem near Ban yai da. Alt. 50 m.;0.0;101.41666666666669;12.666666666666666;0;0;P02006028;P02006028;Geesink;Geesink, Robert;Netherlands;0;0.0;;nan;Geesink, R.;Kessler, P.;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Rayong(ระยอง);
Melodorum;mesnyi;0.0;0.0;Geesink, R;7881;nan;7881;nan;17/12/1974 - 17/12/1974;17;12;1974;Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;not found;Thaïlande;0.0;SE Thailand, prov. Rayong. Koh Samet, 4 km opposite Ban Phé. Alt. 0 m.;0.0;101.41666666666669;12.666666666666666;0;0;P00557021;P00557021;Geesink;Geesink, Robert;Netherlands;0;0.0;;nan;Geesink, R.;Kessler, P.;;not found;Melodorum mesnyi;nan;nan;nan;nan;nan;;;;;nan;0.0;;Rayong(ระยอง);
nan;nan;0.0;0.0;Georgiadis, P;531;nan;531;nan;14/05/2011 - 14/05/2011;14;5;2011;nan;nan;;;;not found;Thaïlande;0.0;Thailand. Province : Mae Hong Son. District : Pang Mapha. Bor Krai (Black Lahu) Village. Elevation : 895 m;0.0;98.22348333333332;19.554616666666668;0;0;P00990218;P00990218;Georgiadis;Georgiadis, Pavlos;Thailand;0;0.0;;nan;Georgiadis, P.;;;not found;;nan;nan;nan;nan;nan;;;;;nan;0.0;;Mae Hong Son(แม่ฮ่องสอน);
nan;nan;0.0;0.0;Georgiadis, P;557;nan;557;nan;16/05/2011 - 16/05/2011;16;5;2011;nan;nan;;;;not found;Thaïlande;0.0;Thailand. Province : Mae Hong Son. District : Pang Mapha. Bor Krai (Black Lahu) Village. Elevation : 751 m;0.0;98.20463333333332;19.551766666666666;0;0;P00990233;P00990233;Georgiadis;Georgiadis, Pavlos;Thailand;0;0.0;;nan;Georgiadis, P.;;;not found;;nan;nan;nan;nan;nan;;;;;nan;0.0;;Mae Hong Son(แม่ฮ่องสอน);
Desmos;sp.;0.0;0.0;Godefroy;318, 318, 318;nan;318;nan;01/01/1875 - 31/12/1875;1;1;1875;Kessler, P, Kessler, P, ;01/11/2003 - 30/11/2003;1;11;2003;not found;Cambodge;0.0;Mont de Pursat. Cambodge;0.0;103.88848056030274;12.468906510038083;0, 0, 0;0, 0, 0;P01753414, P01753415, P00751143;P01753414, P01753415, P00751143;Godefroy;Godefroy, F. F.;0;0;;;nan;nan;;;not found;Desmos sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;;
nan;indet.;0.0;0.0;Godefroy;331;nan;331;nan;14/06/1875 - 14/06/1875;14;6;1875;nan;nan;;;;not found;Cambodge;0.0;Cambodge. Pl. de Pursat;0.0;103.9178235;12.5377547;0;0;P02082349;P02082349;Godefroy;Godefroy, F. F.;0;0;0.0;;nan;Godefroy;;;not found;<NA> indet.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Pursat;
Goniothalamus;sp.;0.0;0.0;Godefroy;359;nan;359;nan;nan;;;;Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;not found;Cambodge;0.0;Mt de Pursat. Cambodge;0.0;103.859;12.4;0;0;P01954559;P01954559;Godefroy;Godefroy, F. F.;0;0;0.0;;nan;Godefroy;Kessler, P.;;not found;Goniothalamus sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Pursat;
nan;indet.;0.0;0.0;Godefroy;515;nan;515;nan;20/06/1875 - 20/06/1875;20;6;1875;nan;nan;;;;not found;Cambodge;0.0;Cambodge. Mont de Pursat;0.0;103.859;12.4;0;0;P02082336;P02082336;Godefroy;Godefroy, F. F.;0;0;0.0;;nan;Godefroy;;;not found;<NA> indet.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Pursat;
nan;indet.;0.0;0.0;Godefroy;574;nan;574;nan;20/06/1875 - 20/06/1875;20;6;1875;nan;nan;;;;not found;Cambodge;0.0;Mont de Pursat. Cambodge;0.0;103.859;12.4;0;0;P02082335;P02082335;Godefroy;Godefroy, F. F.;0;0;0.0;;nan;Godefroy;;;not found;<NA> indet.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Pursat;
Sphaerocoryne;sp.;0.0;0.0;Godefroy;612;nan;612;nan;01/01/1875 - 31/12/1875;1;1;1875;Chaowasku, T;14/10/2005 - 14/10/2005;14;10;2005;not found;Cambodge;0.0;Cambodge, Siem Réap, Angkor;0.0;103.86658782127202;13.4125148;0;0;P00252671;P00252671;Godefroy;Godefroy, F. F.;0;0;0.0;;nan;Godefroy;Chaowasku, T.;;not found;Sphaerocoryne sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Siem Reap;
Uvaria;pursatensis;0.0;0.0;Godefroy;613;nan;613;nan;01/07/1875 - 01/07/1875;1;7;1875;nan;nan;;;;not found;Cambodge;0.0;Ang Kor;0.0;103.8666;13.4125;0;0;P00142687;P00142687;Godefroy;Godefroy, F. F.;0;0;0.0;;nan;Godefroy;;;not found;Uvaria pursatensis;nan;nan;nan;nan;nan;;;;;nan;0.0;;Siem Reap;
Xylopia;sp.;0.0;0.0;Griffith;385;nan;385;nan;nan;;;;nan;nan;;;;not found;Malaisie;0.0;Birma and Malay Penins. Malacca;0.0;102.2486651;2.1942647;0;0;P01987389;P01987389;Griffith;Griffith;nan;nan;0.0;;nan;Griffith;;;not found;Xylopia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Melaka;
Polyalthia;sp.;0.0;0.0;Griffith;nan;nan;nan;nan;nan;;;;nan;nan;;;;not found;Malaisie;0.0;Malacca;0.0;102.2486651;2.1942647;0;0;P02034666;P02034666;Griffith;Griffith;nan;nan;0.0;;nan;Griffith;;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Melaka;
Polyalthia;sp.;0.0;0.0;Guigonis, G;11;nan;11;nan;25/05/1975 - 25/05/1975;25;5;1975;nan;nan;;;;not found;Indonésie;0.0;Indonésie : Kalimantan (Bornéo) Sesayap-Tarakan. Semoga Timber c. Bengalun riv. (Malinau Dist.). Banitan;0.0;116.66;3.493;0;0;P02132582;P02132582;Guigonis;Guigonis, G;nan;nan;0.0;;nan;Guigonis, G.;;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Mitrephora;guilloveana;0.0;0.0;Guillou, L;nan;nan;nan;nan;01/01/1838 - 31/12/1840;1;1;1838;nan;nan;;;;not found;Salomon, Îles;0.0;Ile St Georges Archipel des iles Salomon;0.0;159.57641601562503;-8.462367858205893;0;0;P01988086;P01988086;Guillou;L.Guillou;0;0;0.0;;nan;Le Guillou;;;not found;Mitrephora guilloveana;nan;nan;nan;nan;nan;;;;;nan;0.0;;Isabel;
nan;indet.;0.0;0.0;Hahn;139;nan;139;nan;13/02/1896 - 13/02/1896;13;2;1896;nan;nan;;;;not found;Cambodge;0.0;Cambodge. Kamchay;0.0;105.662;11.576;0;0;P01765060;P01765060;Hahn;Hahn;nan;nan;0.0;;nan;Hahn;;;not found;<NA> indet.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Prey Veng;
Melodorum;mesnyi;0.0;0.0;Hahn;95;nan;95;nan;08/02/1896 - 08/02/1896;8;2;1896;Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;not found;Cambodge;0.0;Cambodge, Kampot, Kamchay;0.0;104.118;10.697;0;0;P00556983;P00556983;Hahn;Hahn;nan;nan;0.0;;nan;Hahn;Kessler, P.;;not found;Melodorum mesnyi;nan;nan;nan;nan;nan;;;;;nan;0.0;;Kampot;
nan;nan;0.0;0.0;Hai, DV;HN-NY 714;HN;714;nan;27/04/2014 - 27/04/2014;27;4;2014;nan;nan;;;;VN;Viet Nam;0.0;Vietman. Thua Thien - Hue Province. Phu Loc District. Loc Hoa, Bach Ma N.P. 78 m.;0.0;107.78566666666669;16.24302777777778;0;0;P00909325;P00909325;Hai;Hai, DV;nan;nan;0.0;;nan;Hai, D.V.;;;VNM;;nan;nan;nan;nan;nan;;;;;nan;0.0;;Thừa Thiên - Huế;
nan;nan;0.0;0.0;Hai, DV;HN-NY 756;HN;756;nan;28/04/2014 - 28/04/2014;28;4;2014;nan;nan;;;;VN;Viet Nam;0.0;Vietnam. Thua Thien-Hue Province. Phu Loc District. Loc Tri, Bach Ma N.P. 53 m.;0.0;107.86916666666666;16.250083333333333;0;0;P00909323;P00909323;Hai;Hai, DV;nan;nan;0.0;;nan;Hai, D.V.;;;VNM;;nan;nan;nan;nan;nan;;;;;nan;0.0;;Thừa Thiên - Huế;
nan;nan;0.0;0.0;Hai, DV;HN-NY 774;HN;774;nan;29/04/2014 - 29/04/2014;29;4;2014;nan;nan;;;;VN;Viet Nam;0.0;Vietnam. Thua Thien - Hue Province. Phu Loc District. Loc Tri, Bach Ma N.P. 1138 m. Roadside to the Doquyen waterfall.;0.0;107.84905555555557;16.186305555555556;0;0;P00909326;P00909326;Hai;Hai, DV;nan;nan;0.0;;nan;Hai, D.V.;;;VNM;;nan;nan;nan;nan;nan;;;;;nan;0.0;;Thừa Thiên - Huế;
nan;nan;0.0;0.0;Hai, DV;HN-NY 910;HN;910;nan;30/04/2014 - 30/04/2014;30;4;2014;nan;nan;;;;VN;Viet Nam;0.0;Vietnam. Thua Thien - Hue Province. Nam Dong District. Huong Phu, Bach Ma N.P. 199 m.;0.0;107.74822222222222;16.183722222222222;0;0;P00990234;P00990234;Hai;Hai, DV;nan;nan;0.0;;nan;Hai, D.V.;;;VNM;;nan;nan;nan;nan;nan;;;;;nan;0.0;;Thừa Thiên - Huế;
Artabotrys;hongkongensis;0.0;0.0;Hance;269;nan;269;nan;nan;;;;Rainer, H;21/12/2007 - 21/12/2007;21;12;2007;not found;Chine;0.0;Hong-Kong;0.0;114.163;22.279;0;0;P00751135;P00751135;Hance;Hance, Henry Fletcher;China, Hong Kong, Philippines;0;0.0;;nan;Hance;Rainer, H.;;not found;Artabotrys hongkongensis;nan;nan;nan;nan;nan;;;;;nan;0.0;;Hong Kong(香港);
Xylopia;sp.;0.0;0.0;Hance, HF;926, 926, 926;nan;926;nan;01/06/1863 - 30/06/1863;1;6;1863;, , ;nan;;;;not found;Chine;0.0;Macao;0.0;113.551;22.176;0, 0, 0;0, 0, 0;P02131983, P02131985, P01753374;P02131983, P02131985, P01753374;Hance;Hance, Henry Fletcher;China, Hong Kong, Philippines;0;;;nan;nan;;;not found;Xylopia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;;
Orophea;sp.;0.0;0.0;Hansen, B;12904;nan;12904;nan;14/03/1968 - 14/03/1968;14;3;1968;Kessler, P;07/01/1986 - 07/01/1986;7;1;1986;not found;Thaïlande;0.0;Thailand. Doi Pae Poe, about 90 km. NV of Tak. Alt. 1380 m;0.0;98.41666666666669;17.283333333333335;0;0;P01967200;P01967200;Hansen;Hansen, B;nan;nan;0.0;;nan;Hansen, B.;Kessler, P;;not found;Orophea sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Tak(ตาก);
Marsypopetalum;sp.;0.0;0.0;Harmand;151;nan;151;nan;01/01/1876 - 31/01/1876;1;1;1876;Kessler, P;01/05/2004 - 31/05/2004;1;5;2004;LA;Laos, République démocratique populaire;0.0;Khong. (Laos méridional);0.0;105.824;14.15;0;0;P00404544;P00404544;Harmand;Harmand;nan;nan;0.0;;nan;Harmand;Kessler, P.;;LAO;Marsypopetalum sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Champasak;
Marsypopetalum;sp.;0.0;0.0;Harmand;151;nan;151;nan;01/12/1875 - 31/12/1875;1;12;1875;Kessler, P;01/05/2004 - 31/05/2004;1;5;2004;LA;Laos, République démocratique populaire;0.0;Mékong : terrains broussailleux du bord du fleuve près de l'île de Khong.;0.0;105.824;14.15;0;0;P00404558;P00404558;Harmand;Harmand;nan;nan;0.0;;nan;Harmand;Kessler, P.;;LAO;Marsypopetalum sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Champasak;
Marsypopetalum;sp.;0.0;0.0;Harmand;151 A, 151 A;nan;151;A;01/01/1876 - 31/01/1876;1;1;1876;Kessler, P, Pierre, L;01/05/2004 - 31/05/2004;1;5;2004;LA;Laos, République démocratique populaire;0.0;Indo-Chine. rapides de Khong, sur la rive;0.0;105.824;14.15;0, 0;0, 0;P00404546, P00404545;P00404546, P00404545;Harmand;Harmand;nan;nan;;;nan;nan;;;LAO;Marsypopetalum sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;;
Artabotrys;sp.;0.0;0.0;Harmand;3003;nan;3003;nan;01/02/1877 - 28/02/1877;1;2;1877;Pierre, L;nan;;;;LA;Laos, République démocratique populaire;0.0;Bassac in montibus;0.0;105.8765;14.8873;0;0;P01982721;P01982721;Harmand;Harmand;nan;nan;0.0;;nan;Harmand;Pierre, L.;;LAO;Artabotrys sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Champasak;
Uvaria;sp.;0.0;0.0;Harmand;3006;nan;3006;nan;01/09/1877 - 30/09/1877;1;9;1877;nan;nan;;;;VN;Viet Nam;0.0;Hué;0.0;107.5821911;16.4638013;0;0;P01989456;P01989456;Harmand;Harmand;nan;nan;0.0;;nan;Harmand;;;VNM;Uvaria sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Thừa Thiên - Huế;
Xylopia;sp.;0.0;0.0;Harmand;332, 332;nan;332;nan;01/03/1876 - 31/03/1876;1;3;1876;Pierre, L, Pierre, L;nan;;;;not found;Cambodge;0.0;Mulu Prey in Cambodia;0.0;105.276;13.8095;0, 0;0, 0;P01989224, P01989225;P01989224, P01989225;Harmand;Harmand;nan;nan;;;nan;nan;;;not found;Xylopia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;;
Goniothalamus;sp.;0.0;0.0;Harmand;359;nan;359;nan;nan;;;;Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;not found;Cambodge;0.0;Mont de Pursat. Cambodge;0.0;103.9181;12.5386;0;0;P01954560;P01954560;Harmand;Harmand;nan;nan;0.0;;nan;Harmand;Kessler, P.;;not found;Goniothalamus sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Pursat;
Popowia;sp.;0.0;0.0;Haron, O;S 21391;S;21391;nan;20/05/1964 - 20/05/1964;20;5;1964;Kessler, P;05/09/1985 - 05/09/1985;5;9;1985;not found;Malaisie;0.0;Sarawak. Base of Bt. Lambir, Miri. c. 50 m. alt.;0.0;113.998;4.2;0;0;P01960341;P01960341;Haron;Haron, O;nan;nan;0.0;;nan;Othman Haron;Kessler, P.;;not found;Popowia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Sarawak;
Polyalthia;sp.;0.0;0.0;Haviland, GD;1779;nan;1779;nan;01/03/1893 - 01/03/1893;1;3;1893;nan;nan;;;;not found;Malaisie;0.0;Borneo. SK. n/r Kuching;0.0;110.3439862;1.5574127;0;0;P02030928;P02030928;Haviland;Haviland, George Darby;Malaysia;0;0.0;;nan;Haviland, G.D.;;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Sarawak;
Xylopia;sp.;0.0;0.0;Haviland, GD;1902;nan;1902;nan;01/10/1892 - 31/10/1892;1;10;1892;nan;nan;;;;not found;Malaisie;0.0;Borneo. Sk n/r Kuching;0.0;110.3439862;1.5574127;0;0;P01987392;P01987392;Haviland;Haviland, George Darby;Malaysia;0;0.0;;nan;Haviland, G.D.;;;not found;Xylopia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Sarawak;
Artabotrys;sp.;0.0;0.0;Haviland, GD;3;nan;3;nan;12/10/1894 - 12/10/1894;12;10;1894;Kessler, P;09/09/1985 - 09/09/1985;9;9;1985;not found;Malaisie;0.0;Borneo. Sarawak. n/r Kuching;0.0;110.34398;1.5574;0;0;P02029193;P02029193;Haviland;Haviland, George Darby;Malaysia;0;0.0;;nan;Haviland, G.D.;Kessler, P.;;not found;Artabotrys sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Sarawak;
Artabotrys;sp.;0.0;0.0;Haviland, GD;419;nan;419;nan;18/09/1894 - 18/09/1894;18;9;1894;Kessler, P;09/09/1985 - 09/09/1985;9;9;1985;not found;Malaisie;0.0;Borneo. Sarawak. n. Kuching;0.0;110.3439862;1.5574127;0;0;P02029194;P02029194;Haviland;Haviland, George Darby;Malaysia;0;0.0;;nan;Haviland, G.D.;Kessler, P.;;not found;Artabotrys sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Sarawak;
Orophea;sp.;0.0;0.0;Hayata, B;nan;nan;nan;nan;25/05/1921 - 25/05/1921;25;5;1921;Kessler, P;07/02/1986 - 07/02/1986;7;2;1986;VN;Viet Nam;0.0;Vietnam. Bum M'o;0.0;108.8167;12.6667;0;0;P01967202;P01967202;Hayata;Hayata, Bunzo;China, Japan;0;0.0;;nan;Hayata, B.;Kessler, P.;;VNM;Orophea sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Đắk Lắk;
Mitrephora;sp.;0.0;0.0;Hiep;154;nan;154;nan;13/12/1918 - 13/12/1918;13;12;1918;Kessler, P;06/09/1985 - 06/09/1985;6;9;1985;VN;Viet Nam;0.0;Jardin botanique de Saïgon. J. 19;0.0;106.6956;10.7769;0;0;P00133835;P00133835;Hiep;Hiep;nan;nan;0.0;;nan;Hiep;Kessler, P.;;VNM;Mitrephora sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Hồ Chí Minh;
Polyalthia;sp.;0.0;0.0;Hiep;155;nan;155;nan;13/12/1918 - 13/12/1918;13;12;1918;Kessler, P;06/09/1985 - 06/09/1985;6;9;1985;VN;Viet Nam;0.0;Jardin Botanique de Saïgon. J. 19;0.0;106.706;10.788;0;0;P02006008;P02006008;Hiep;Hiep;nan;nan;0.0;;nan;Hiep;Kessler, P.;;VNM;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Hồ Chí Minh;
Uvaria;sp.;0.0;0.0;Hiep;866, 866;nan;866;nan;02/06/1920 - 02/06/1920;2;6;1920;Kessler, P, Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;VN;Viet Nam;0.0;Jardin botanique de Saïgon. Cochinchine;0.0;106.6956;10.7769;0, 0;0, 0;P02001685, P02001688;P02001685, P02001688;Hiep;Hiep;nan;nan;;;nan;nan;;;VNM;Uvaria sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;;
Polyalthia;sp.;0.0;0.0;Hiep;950, 950, 950, 950;nan;950;nan;12/09/1920 - 12/09/1920;12;9;1920;Kessler, P, Kessler, P, Kessler, P, Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;VN;Viet Nam;0.0;Jardin Botanique de Saigon. Cochinchine;0.0;106.69835004730226;10.779616798775344;0, 0, 0, 0;0, 0, 0, 0;P02006009, P02006010, P02006011, P02006012;P02006009, P02006010, P02006011, P02006012;Hiep;Hiep;nan;nan;;;nan;nan;;;VNM;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;;
nan;nan;0.0;0.0;Hiep, NT;LA-VN 1010;LA;1010;nan;04/04/2015 - 04/04/2015;4;4;2015;nan;nan;;;;LA;Laos, République démocratique populaire;0.0;Laos. Xiangkhouan Prov., Kham Distr., Huad village, Phou tat Vinh mt., 700-750 m a.s.l.;0.0;103.66563888888888;19.55061111111112;0;0;P00909297;P00909297;Hiep;Nguyên, Tiên Hiêp;Vietnam;0;0.0;;nan;Hiep, N.T.;;;LAO;;nan;nan;nan;nan;nan;;;;;nan;0.0;;Xiangkhouang;
nan;nan;0.0;0.0;Hiep, NT;LA-VN 1329;LA;1329;nan;11/04/2015 - 11/04/2015;11;4;2015;nan;nan;;;;LA;Laos, République démocratique populaire;0.0;Laos. Houphan Prov., Hem Distr., Na Puok village, Pu Tham Nhon mountain . elev. 1050-1150 m a.s.l.;0.0;103.41027777777778;20.166666666666668;0;0;P00909302;P00909302;Hiep;Nguyên, Tiên Hiêp;Vietnam;0;0.0;;nan;Hiep, N.T.;;;LAO;;nan;nan;nan;nan;nan;;;;;nan;0.0;;Houaphan;
nan;nan;0.0;0.0;Hiep, NT;1477, LA-VN 1477;nan;1477;nan;15/04/2015 - 15/04/2015;15;4;2015;, ;nan;;;;LA;Laos, République démocratique populaire;0.0;Laos. Houphan Prov., Hem Distr., Khon Ngua village. elev. 700-950 m a.s.l.;0.0;103.27338888888887;19.931444444444445;0, 0;0, 0;P00990209, P00990210;P00990209, P00990210;Hiep;Nguyên, Tiên Hiêp;Vietnam;0;;;nan;nan;;;LAO;;nan;nan;nan;nan;nan;;;;;nan;0.0;;;
Mitrephora;guilloveana;0.0;0.0;Hombron;nan;nan;nan;nan;01/01/1838 - 31/12/1840;1;1;1838;nan;nan;;;;not found;Salomon, Îles;0.0;Ile St. Georges. Archipel des iles Salomon.;0.0;159.576;-8.462;0;0;P01988087;P01988087;Hombron;Hombron, Jacques Bernard;French Polynesia, Malaysia, Philippines, Reunion;0;0.0;;nan;Hombron;;;not found;Mitrephora guilloveana;nan;nan;nan;nan;nan;;;;;nan;0.0;;Isabel;
nan;indet.;0.0;0.0;Hose, C;155;nan;155;nan;10/11/1894 - 10/11/1894;10;11;1894;nan;nan;;;;not found;Malaisie;0.0;Baram district, Sarawak. Entoyut river.;0.0;114.282;4.106;0;0;P01956175;P01956175;Hose;Hose, Charles;Indonesia, Malaysia;0;0.0;;nan;Hose, C.;;;not found;<NA> indet.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Sarawak;
Artabotrys;sp.;0.0;0.0;Hose, C;160;nan;160;nan;10/11/1894 - 10/11/1894;10;11;1894;Kessler, P;09/09/1985 - 09/09/1985;9;9;1985;not found;Malaisie;0.0;Baram district, Sarawak. Entoyut river.;0.0;114.282;4.106;0;0;P01984439;P01984439;Hose;Hose, Charles;Indonesia, Malaysia;0;0.0;;nan;Hose, C.;Kessler, P.;;not found;Artabotrys sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Sarawak;
