scientific_name;genus;specific_epithet;species_author;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;colnum_fullprefix;region;geo_issues;.summary;tmp_det_date.1;expert_det;recby_regex;modified;scientific_name.1;colnum_fullprefix.1;region.1;collector_id;huh_name;geo_col;wiki_url;ipni_species_author;specificEpithet;tmp_det_date;sp_idx;summary
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Ahern, George Patrick;3316;<NA>;3316;<NA>;<NA>;<NA>;9;1905;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Rizal Province, Luzon;<NA>;121.165227;14.592146;VT;<NA>;UVMVT102133;UVMVT102133;Ahern;Ahern;;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Ahern;serafin_2023-05-10_09-01-44;;;;<NA>;Ahern, George Patrick;Philippines;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Barbon, E. B.;"Barbon, EB; et al. PPI 2341 ";Barbon;2341;<NA>;<NA>;6;9;1991;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Luzon, Quezon, Rial, Lalawi, Tipuan, NBG;<NA>;121.6;14.666667;<NA>;Botany;L1744582;L.1744582;Barbon;"Barbon EB; et al.";;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Barbon, EB;serafin_2023-05-10_09-01-44;;;;<NA>;Barbon, E. B.;Philippines;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Barbon, E. B.;"Barbon, EB; et al. PPI 22425 ";Barbon;22425;<NA>;<NA>;17;5;1996;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Luzon, Bulacan, Angat Watershed Area, Norzagaray.;<NA>;121.166667;14.85;<NA>;Botany;L1744581;L.1744581;Barbon;"Barbon EB; et al.";;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Barbon, EB;serafin_2023-05-10_09-01-44;;;;<NA>;Barbon, E. B.;Philippines;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Castro, M;"Castro, M; Barbon, EB; Garcia, HG PPI 22074 ";Castro;22074;<NA>;<NA>;6;3;1996;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Luzon, Batangas, Mt. Maculot, Cuenca.;<NA>;121.05;13.916667;<NA>;Botany;L1744519;L.1744519;Castro;"Castro M; Barbon EB; Garcia HG";;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Castro, M;serafin_2023-05-10_09-01-44;;;;<NA>;Castro, M;<NA>;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Elmer, Adolph Daniel Edward;17739;<NA>;17739;<NA>;<NA>;1;6;1917;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Luzon Island, Laguna Prov., Los Baños, Mt. Maquiling (= Makiling);<NA>;121.193333;14.133333;Z;<NA>;Z-000152835;Z-000152835;Elmer;Adolf Daniel Edward Elmer;;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Elmer, ADE;serafin_2023-05-10_09-01-44;;;;<NA>;Elmer, Adolph Daniel Edward;Indonesia, Philippines, United States of America;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Elmer, Adolph Daniel Edward;Elmer, ADE  17739 ;Elmer;17739;<NA>;<NA>;1;6;1917;Benthem, FDJ van;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, Los Baños ( Mt. Maquiling), Province of Laguna, Luzon.;<NA>;121.2256;14.1789;<NA>;Botany;U1062142;U.1062142;Elmer;Elmer ADE;Benthem FDJ van;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Elmer, ADE;serafin_2023-05-10_09-01-44;;;;<NA>;Elmer, Adolph Daniel Edward;Indonesia, Philippines, United States of America;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Elmer, Adolph Daniel Edward;Elmer, ADE  16544 ;Elmer;16544;<NA>;<NA>;1;7;1916;Benthem, FDJ van;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, Irosin (Mt. Bulusan), Province of Sorsogon, Island of Luzon.;<NA>;124.038611;12.701388;<NA>;Botany;U1071440;U.1071440;Elmer;Elmer ADE;Benthem FDJ van;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Elmer, ADE;serafin_2023-05-10_09-01-44;;;;<NA>;Elmer, Adolph Daniel Edward;Indonesia, Philippines, United States of America;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Elmer, Adolph Daniel Edward;Elmer, ADE  16544 ;Elmer;16544;<NA>;<NA>;1;7;1916;Benthem, FDJ van;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, Irosin (Mt. Bulusan), Province of Sorsogon, Island of Luzon.;<NA>;124.038611;12.701388;<NA>;Botany;L1744523;L.1744523;Elmer;Elmer ADE;Benthem FDJ van;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Elmer, ADE;serafin_2023-05-10_09-01-44;;;;<NA>;Elmer, Adolph Daniel Edward;Indonesia, Philippines, United States of America;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Elmer, Adolph Daniel Edward;Elmer, ADE  17739 ;Elmer;17739;<NA>;<NA>;1;6;1917;Benthem, FDJ van;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, Los Baños ( Mt. Maquiling), Province of Laguna, Luzon.;<NA>;121.2256;14.1789;<NA>;Botany;L1744588;L.1744588;Elmer;Elmer ADE;Benthem FDJ van;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Elmer, ADE;serafin_2023-05-10_09-01-44;;;;<NA>;Elmer, Adolph Daniel Edward;Indonesia, Philippines, United States of America;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Gabot, V;Gabot, V PNH 33454 ;Gabot;33454;<NA>;<NA>;24;1;1955;Benthem, FDJ van;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, Laguna, Mt. Makiling;<NA>;121.194423;14.136252;<NA>;Botany;L1744521;L.1744521;Gabot;Gabot V;Benthem FDJ van;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Gabot, V;serafin_2023-05-10_09-01-44;;;;<NA>;Gabot, V;<NA>;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Gaerlan, FJM;"Gaerlan, FJM; et al. PPI 10402 ";Gaerlan;10402;<NA>;<NA>;1;11;1992;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Luzon, Laguna, UPLB, college, Mt. Makiling;<NA>;121.19;14.135833;<NA>;Botany;L1744583;L.1744583;Gaerlan;"Gaerlan FJM; et al.";;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Gaerlan, FJM;serafin_2023-05-10_09-01-44;;;;<NA>;Gaerlan, FJM;<NA>;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Hallier, JG;Hallier, JG  4025 ;Hallier;4025;<NA>;<NA>;15;12;1903;Benthem, FDJ van;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Los Baños, Prov. of Laguna, Luzon;<NA>;121.2256;14.1789;<NA>;Botany;L1744526;L.1744526;Hallier;Hallier JG;Benthem FDJ van;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Hallier, JG;serafin_2023-05-10_09-01-44;;;;<NA>;Hallier, JG;<NA>;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Loreja, Miss Milagros;Loreja, M  62 ;Loreja;62;<NA>;<NA>;8;10;1959;Benthem, FDJ van;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, Los Baños;<NA>;121.2256;14.1789;<NA>;Botany;L1744520;L.1744520;Loreja;Loreja M;Benthem FDJ van;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Loreja, M;serafin_2023-05-10_09-01-44;;;;<NA>;Loreja, Miss Milagros;Philippines;<NA>;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Merrill, Elmer Drew;Merrill, ED  426 ;Merrill;426;<NA>;<NA>;1;9;1910;Benthem, FDJ van;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, Luzon, Province of Laguna, Mount Maquiling.;<NA>;121.19;14.135833;<NA>;Botany;U1071441;U.1071441;Merrill;Merrill ED;Benthem FDJ van;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Merrill, ED;serafin_2023-05-10_09-01-44;;;;<NA>;Merrill, Elmer Drew;China, Indonesia, Malaysia, New Caledonia, Papua New Guinea, Philippines, United States of America;http://en.wikipedia.org/wiki/Elmer_Drew_Merrill;A.Gray;;;Anaxagorea luzonensis;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;<NA>;Reynoso, Ernesto J.;"Reynoso, EJ; Alvarez, RJ; Ferdo, LS PPI 4060 ";Reynoso;4060;<NA>;<NA>;27;1;1992;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, Island: Luzon, Province: Bataan, Mariveles Watershed.;<NA>;120.4667;14.5331;<NA>;Botany;L1744518;L.1744518;Reynoso;"Reynoso EJ; Alvarez RJ; Ferdo LS";;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;;;<NA>;;;<NA>;Reynoso, EJ;serafin_2023-05-10_09-01-44;;;;<NA>;Reynoso, Ernesto J.;Philippines;<NA>;A.Gray;;;Anaxagorea luzonensis;True
