scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby
Melodorum Lour.;Melodorum;PH;Todaya (Mount Apo), District of Davao.;5.9594;121.1739;Elmer, ADE;10693;;5;1909;nan;<NA>;NSW;NSW;NSW562438;0;0;0;;;0;;;;0;0;0;NSW562438;10693;;Elmer, A.D.E.;<NA>
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;PH;Antipolo, Province of Rizal.;16.42;120.62;Merrill, ED;s.n.;;1;1914;nan;<NA>;NSW;NSW;NSW460005;0;0;0;s;;0;;;;0;0;0;NSW460005;nan;odorata;Merrill, E.D.;<NA>
Melodorum Lour.;Melodorum;PH;Todaya (Mount Apo), District of Davao.;5.9594;121.1739;Elmer, ADE;11318;;8;1909;nan;<NA>;NSW;NSW;NSW562436;0;0;0;;;0;;;;0;0;0;NSW562436;11318;;Elmer, A.D.E.;<NA>
Dasymaschalon (Hook.f. & Thomson) Dalla Torre & Harms;Dasymaschalon;PH;Todaya (Mount Apo), District of Davao.;5.9594;121.1739;Elmer, ADE;11721;;9;1909;Sauquet, H;2018-11-19T00:00:00;NSW;NSW;NSW505128;0;0;0;;;0;19;11;2018;0;0;0;NSW505128;11721;;Elmer, A.D.E.;Sauquet, H.
Monoon Miq.;Monoon;PH;Todaya (Mount Apo), District of Davao.;5.9594;121.1739;Elmer, ADE;11642;;9;1909;Sauquet, H;2018-11-20T00:00:00;NSW;NSW;NSW474408;0;0;0;;;0;20;11;2018;0;0;0;NSW474408;11642;;Elmer, A.D.E.;Sauquet, H.
Polyalthia Blume;Polyalthia;PH;Molawin trail;14.133333;121.35;Canicosa, F;s.n.;;8;1927;nan;<NA>;CNS;CNS;QRS 7617.1;0;0;0;s;;0;;;;0;0;0;QRS1;nan;;Canicosa, F.;<NA>
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;Concornd, Samar;11.75;125.233333;Gutierrez, HG ;s. n.;10;5;1969;nan;<NA>;TAIF;PLANT;327689;0;0;0;s;;0;;;;0;0;0;TAIF327689;nan;ophthalmicus;H. G. Gutierrez;<NA>
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;Concornd, Samar;11.75;125.233333;Gutierrez, HG ;s. n.;10;5;1969;nan;<NA>;TAIF;PLANT;280974;0;0;0;s;;0;;;;0;0;0;TAIF280974;nan;ophthalmicus;H. G. Gutierrez;<NA>
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;Concornd, Samar;11.75;125.233333;Gutierrez, HG ;s. n.;10;5;1969;nan;<NA>;TAIF;PLANT;280973;0;0;0;s;;0;;;;0;0;0;TAIF280973;nan;ophthalmicus;H. G. Gutierrez;<NA>
Polyalthia Blume;Polyalthia;PH;San Teodoro;13.366667;121.0;Ridsdale, CE ;1234;25;4;1986;nan;1986-04-01T00:00:00;TAIF;PLANT;282830;0;0;0;;;0;1;4;1986;0;0;0;TAIF282830;1234;;C. E. Ridsdale;<NA>
Polyalthia lanceolata S.Vidal;Haplostichanthus;PH;Luzon: Sierra Madre Mtn. Range (E foothills), Isabela Prov., Palanan Municipality, Barangay San Isidoro, Sitio Pulang Lupa.;17.13;122.5;Co, L ;3453;12;5;1991;nan;<NA>;US;US;US 3250508;0;0;0;;;0;;;;0;0;0;US3250508;3453;lanceolata;L. Co;<NA>
Monoon grandifolium (Elmer) B.Xue & R.M.K.Saunders;Enicosanthum;PH;Luzon: Isabela Prov., Divilacan Municipality, Barangay Bicobian, lower slopes of Tan-awan ridge, ca. 15 km NW of Palanan Point.;17.2483;122.408;Co, L ;3546;23;5;1991;nan;<NA>;US;US;US 3251318;0;0;0;;;0;;;;0;0;0;US3251318;3546;grandifolium;L. Co;<NA>
Dasymaschalon clusiflorum (Merr.) Merr.;Dasymaschalon;PH;Luzon: Sierra Madre Mtn. Range (E foothills), Isabela Prov., Palanan Municipality, Barangay San Isidro, Sitio Dimatog, NW slopes of Hill 124, ca. 2 km SW of Palanan Point.;17.1283;122.498;Co, L ;3488;17;5;1991;nan;<NA>;US;US;US 3251342;0;0;0;;;0;;;;0;0;0;US3251342;3488;clusiflorum;L. Co;<NA>
Polyalthia Blume;Polyalthia;PH;Luzon: Sierra Madre Mtn. Range (E foothills), Isabella Prov., Palanan Municipality, Barangay San Isidro, hills NW of Sitio Diago, ca. 1.5 km SSE of Palanan Point.;17.13;122.512;Co, L ;3522;21;5;1991;nan;<NA>;US;US;US 3251347;0;0;0;;;0;;;;0;0;0;US3251347;3522;;L. Co;<NA>
Fissistigma latifolium (Dunal) Merr.;Fissistigma;PH;Luzon: Sierra Madre Mtn. Range (E foothills), Isabela Prov., Palanan Municipality, Barangay San Isidro, Sitio Diago.;17.1283;122.515;Co, L ;3592;27;5;1991;nan;<NA>;US;US;US 3251355;0;0;0;;;0;;;;0;0;0;US3251355;3592;latifolium;L. Co;<NA>
Polyalthia lanceolata S.Vidal;Haplostichanthus;PH;Luzon: Sierra Madre Mtn. Range (E foothills), Isabela Prov., Palanan Municipality, Barangay San Isidoro, hills N of Sitio Diago.;17.1283;122.515;Co, L ;3430;9;5;1991;nan;<NA>;US;US;US 3250503;0;0;0;;;0;;;;0;0;0;US3250503;3430;lanceolata;L. Co;<NA>
Goniothalamus elmeri Merr.;Goniothalamus;PH;Province Luzon, Tayabas, Gumihan;14.036389;121.653333;Oro, M ;30896;1;4;1919;nan;<NA>;Z;<NA>;Z-000152841;0;0;0;;;0;;;;0;0;0;Z-000152841;30896;elmeri;M. Oro;<NA>
Anaxagorea luzonensis A.Gray;Anaxagorea;PH;Luzon Island, Laguna Prov., Los Baños, Mt. Maquiling (= Makiling);14.133333;121.193333;Elmer, ADE;17739;1;6;1917;nan;<NA>;Z;<NA>;Z-000152835;0;0;0;;;0;;;;0;0;0;Z-000152835;17739;luzonensis;Adolf Daniel Edward Elmer;<NA>
Anaxagorea luzonensis A.Gray;Anaxagorea;PH;Rizal Province, Luzon;14.592146;121.165227;Ahern;3316;;9;1905;nan;<NA>;VT;<NA>;UVMVT102133;0;0;0;;;0;;;;0;0;0;UVMVT102133;3316;luzonensis;Ahern;<NA>
Uvaria rufa (Dunal) Blume;Uvaria;PH;Dumaguete (Cuernos Mts.), Island of Negros;9.307;123.3074;Elmer, ADE;10313;;6;1908;nan;<NA>;VT;<NA>;UVMVT102289;0;0;0;;;0;;;;0;0;0;UVMVT102289;10313;rufa;Elmer, A.D.E.;<NA>
