recordedBy;colNum_full;detBy;detDate;colDate;region;locality;barcode;country;genus;specificEpithet;scientificName;speciesAuthor;collectorID;prefix;sufix;colDay;colMonth;colYear;detDay;detMonth;detYear;countryID;continent;coordinateID;ddlong;ddlat;institute;herbarium_code;colNum;orig_BC;ORIG_recBy;coll_surname
Barthe;;<NA>;<NA>;01/01/1857 - 31/12/1857;National Capital Region (NCR);Manille;P01765041;Philippines;Uvaria;sp.;0;0;0;<NA>;<NA>;1;1;1857;;;;0;0;0;120.9809674;14.5907332;0;0;nan;P01765041;Barthe;Barthe
Ramos, M;;<NA>;<NA>;01/07/1917 - 31/07/1917;Rizal;Philippines. Mt. Lumutan. Province of Rizal. Luzon;P02006241;Philippines;Dasymaschalon;clusiflorum;0;0;0;<NA>;<NA>;1;7;1917;;;;0;0;0;121.26;14.57;0;0;nan;P02006241;Ramos, M.;Ramos
Robinson, CB;;Kessler, P.;01/05/2004 - 31/05/2004;27/12/1912 - 31/12/1912;Iloilo;Philippines. Province of Iloilo. Panay;P02006261;Philippines;Dasymaschalon;sp.;0;0;0;<NA>;<NA>;27;12;1912;1;5;2004;0;0;0;122.544;10.965;0;0;nan;P02006261;Robinson, C.B.;Robinson
Ramos, M;;<NA>;<NA>;01/01/1915 - 31/01/1915;Rizal;Philippines. Province of Rizal. Luzon;P01983771;Philippines;Polyalthia;oblongifolia;0;0;0;<NA>;<NA>;1;1;1915;;;;0;0;0;121.25;14.65;0;0;nan;P01983771;Ramos, M.;Ramos
Ramos, M;;<NA>;<NA>;01/02/1916 - 31/03/1916;Samar;Philippines. Catubig River, Samar;P01983772;Philippines;Polyalthia;oblongifolia;0;0;0;<NA>;<NA>;1;2;1916;;;;0;0;0;125.047;12.363;0;0;nan;P01983772;Ramos, M.;Ramos
Paraiso, E;;<NA>;<NA>;01/03/1918 - 31/05/1918;Abra;Philippines. Bucay, Abra Province. Luzon;P01983773;Philippines;Polyalthia;oblongifolia;0;0;0;<NA>;<NA>;1;3;1918;;;;0;0;0;120.7187526;17.5384336;0;0;nan;P01983773;Paraiso, E.;Paraiso
Ramos, M;;<NA>;<NA>;01/12/1913 - 31/12/1913;Bicol Region (Region V);Philippines. Prov. of Camarines. Luzon;P01983775;Philippines;Polyalthia;oblongifolia;0;0;0;<NA>;<NA>;1;12;1913;;;;0;0;0;122.793;14.013;0;0;nan;P01983775;Ramos, M.;Ramos
Mabesa, C;;Kessler, P.;01/05/2004 - 31/05/2004;01/06/1915 - 31/12/1915;Laguna;Philippines. Province de Laguna, Luzon;P01983783;Philippines;Polyalthia;rumphii;0;0;0;<NA>;<NA>;1;6;1915;1;5;2004;0;0;0;;;0;0;nan;P01983783;Mabesa, C.;Mabesa
Ramos, M;;Merrill, E.D.;<NA>;01/09/1926 - 31/10/1926;Quezon;Philippines. Alabat island;P01983795;Philippines;Polyalthia;rumphii;0;0;0;<NA>;<NA>;1;9;1926;;;;0;0;0;122.05;14.116667;0;0;nan;P01983795;Ramos, M.;Ramos
Barthe;;<NA>;<NA>;01/01/1857 - 31/12/1857;National Capital Region (NCR);Manille;P01983823;Philippines;Polyalthia;suberosa;0;0;0;<NA>;<NA>;1;1;1857;;;;0;0;0;120.9809674;14.5907332;0;0;nan;P01983823;Barthe;Barthe
Ramos, M;;<NA>;<NA>;01/08/1918 - 31/08/1918;Ilocos Norte;Philippines. Mt. Nagapatan. Ilocos Norte Province. Luzon;P01982985;Philippines;Polyalthia;sp.;0;0;0;<NA>;<NA>;1;8;1918;;;;0;0;0;120.765;18.255;0;0;nan;P01982985;Ramos, M.;Ramos
Mabesa, C;;<NA>;<NA>;01/03/1916 - 30/04/1916;Laguna;Philippines. Province of Laguna. Luzon;P01983878;Philippines;Polyalthia;cumingiana;0;0;0;<NA>;<NA>;1;3;1916;;;;0;0;0;121.33;14.17;0;0;nan;P01983878;Mabesa, C.;Mabesa
Martelino, A;;<NA>;<NA>;01/05/1919 - 30/06/1919;Capiz;Philippines. Libacao. Capiz province. Panay;P01983883;Philippines;Polyalthia;dolichophylla;0;0;0;<NA>;<NA>;1;5;1919;;;;0;0;0;122.286;11.41;0;0;nan;P01983883;Martelino, A.;Martelino
Ramos, M;;<NA>;<NA>;01/06/1922 - 30/06/1922;Oriental Mindoro;Philippines. Pinamalayan, Mindoro;P01983931;Philippines;Polyalthia;mindorensis;0;0;0;<NA>;<NA>;1;6;1922;;;;0;0;0;121.4801563;13.0386691;0;0;nan;P01983931;Ramos, M.;Ramos
Ramos, M;;Hou, X.L.;30/03/2011 - 30/03/2011;01/08/1910 - 31/08/1910;Laguna;Philippines. Province of Laguna. Luzon;P00751039;Philippines;Fissistigma;rufum;0;0;0;<NA>;<NA>;1;8;1910;30;3;2011;0;0;0;121.334;14.17;0;0;nan;P00751039;Ramos, M.;Ramos
Borden, TE;;<NA>;<NA>;01/04/1904 - 30/04/1904;Bataan;Philippines. Lamao River. Prov. of Bataan, Luzon.;P00751131;Philippines;Cyathocalyx;globosus;0;0;0;<NA>;<NA>;1;4;1904;;;;0;0;0;120.578;14.502;0;0;nan;P00751131;Borden, T.E.;Borden
Borden, TE;;<NA>;<NA>;01/04/1904 - 30/04/1904;Bataan;Philippines. Lamao River. Prov. of Bataan, Luzon;P00751134;Philippines;Cyathocalyx;globosus;0;0;0;<NA>;<NA>;1;4;1904;;;;0;0;0;120.578;14.502;0;0;nan;P00751134;Borden, T.E.;Borden
