recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;to_check;to_check_det
Escritor, L;;Kessler, P;01/06/2004 - 30/06/2004;01/03/1913 - 30/04/1913;Quezon;Philippines. Guinayangan. Province of Tayabas. Luzon;P00247906;Philippines;Sageraea;lanceolata;0;0;0;0;<NA>;<NA>;1;3;1913;1;6;2004;0;0;0;122.4521906;13.8963821;0;0;nan;P00247906;Escritor, L.;Kessler, P.;Escritor;;
Ramos, M;;nan;<NA>;01/06/1919 - 30/06/1919;Surigao del Norte;Philippines. Siargao Island;P00247910;Philippines;Sageraea;glabra;0;0;0;0;<NA>;<NA>;1;6;1919;;;;0;0;0;126.05;9.905;0;0;nan;P00247910;Ramos, M.;<NA>;Ramos;;
Ramos, M;;Kessler, P;01/01/1989 - 31/12/1989;01/02/1916 - 31/03/1916;Northern Samar;Philippines. Catubig River, Samar;P00267946;Philippines;Neo-uvaria;sp.;0;0;0;0;<NA>;<NA>;1;2;1916;1;1;1989;0;0;0;125.03;12.467;0;0;nan;P00267946;Ramos, M.;Kessler, P.;Ramos;;
Agama, J;;nan;<NA>;01/10/1914 - 30/11/1914;Lanao del Norte;Philippines. Lanao District, Mindanao;P00267950;Philippines;Neo-uvaria;acuminatissima;0;0;0;0;<NA>;<NA>;1;10;1914;;;;0;0;0;124.113;7.912;0;0;nan;P00267950;Agama, J.;<NA>;Agama;;
Whitford, HN;;nan;<NA>;01/09/1912 - 30/09/1912;Laguna;Philippines. Mt. Maquiling, Province of Laguna, Luzon.;P00248499;Philippines;Uvaria;ovalifolia;0;0;0;0;<NA>;<NA>;1;9;1912;;;;0;0;0;121.19840812578333;14.132530088770137;0;0;nan;P00248499;Whitford, H.N.;<NA>;Whitford;;
Ramos, M;;Weerasooriya, AD;01/03/2001 - 31/03/2001;01/07/1918 - 31/07/1918;Ilocos Norte;Philippines. Burgos. Ilocos Norte Province. Luzon;P00133830;Philippines;Mitrephora;lanotan;0;0;0;0;<NA>;<NA>;1;7;1918;1;3;2001;0;0;0;120.6436311;18.5110086;0;0;nan;P00133830;Ramos, M.;Weerasooriya, A.D.;Ramos;;
Curran, HM;;nan;<NA>;01/04/1906 - 30/04/1906;Palawan;Philippines. Palawan;P01988127;Philippines;Goniothalamus;obtusifolius;0;0;0;0;<NA>;<NA>;1;4;1906;;;;0;0;0;118.75;10.0;0;0;nan;P01988127;Curran, H.M.;<NA>;Curran;;
Ramos, M;;nan;<NA>;01/09/1915 - 30/09/1915;Sorsogon;Bulusan Volcano, Province de Sorsogon, Luzon;P01988136;Philippines;Goniothalamus;oblongipetalus;0;0;0;0;<NA>;<NA>;1;9;1915;;;;0;0;0;124.05727386474611;12.768989918370245;0;0;nan;P01988136;Ramos, M.;<NA>;Ramos;;
Ramos, M;;nan;<NA>;01/04/1927 - 31/05/1927;Davao Oriental;Philippines. Mt. Mayo. Davao province. Mindanao.;P01988137;Philippines;Goniothalamus;mindanaensis;0;0;0;0;<NA>;<NA>;1;4;1927;;;;0;0;0;126.312;7.109;0;0;nan;P01988137;Ramos, M.;<NA>;Ramos;;
Ramos, M;;nan;<NA>;01/04/1914 - 30/04/1914;Samar;Philippine plants. Samar;P01988138;Philippines;Goniothalamus;mindanaensis;0;0;0;0;<NA>;<NA>;1;4;1914;;;;0;0;0;125.0;11.8333;0;0;nan;P01988138;Ramos, M.;<NA>;Ramos;;
