scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;to_check
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;ID;Gn Palung Nature Reserve, c. 100 km S. of Pontianak, W. Kalimantan.;-1.216667;110.1333;Balgooy MMJ van;"Balgooy, MMJ van; Setten, AK van  5461 ";15;6;1986;<NA>;<NA>;<NA>;Botany;L  0299196;0;0;0;Balgooy;;0;;;;0;0;0;L0299196;5461;rumphii;"Balgooy MMJ van; Setten AK van";<NA>;<NA>
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;ID;Indonesia, Buitenzorg, Botanic Gardens;-6.5897;106.7913;Okada H;Okada, H  3251 ;7;10;1980;<NA>;<NA>;<NA>;Botany;L  0298737;0;0;0;Okada;;0;;;;0;0;0;L0298737;3251;odorata;Okada H;<NA>;<NA>
Enicosanthum macranthum (King) J.Sinclair;Enicosanthum;ID;Gunung Palung Nature Reserve, c. 100 km S of Pontianak, W Kalimantan.;-1.216667;110.133333;Balgooy MMJ van;"Balgooy, MMJ van; Setten, AK van  5614 ";25;6;1986;<NA>;<NA>;<NA>;Botany;L  0299168;0;0;0;Balgooy;;0;;;;0;0;0;L0299168;5614;macranthum;"Balgooy MMJ van; Setten AK van";<NA>;<NA>
Polyalthia clavigera King;Polyalthia;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs M;Jacobs, M  8360 ;12;5;1968;<NA>;<NA>;<NA>;Botany;L  0299146;0;0;0;Jacobs;;0;;;;0;0;0;L0299146;8360;anomala;Jacobs M;<NA>;<NA>
Popowia pisocarpa (Blume) Endl.;Popowia;ID;Gunung Palung nature reserve, c. 100 km S of Pontianak.;-1.216667;111.0;Balgooy MMJ van;"Balgooy, MMJ van; Setten, AK van  5328 ";8;6;1986;<NA>;<NA>;<NA>;Botany;L  0299153;0;0;0;Balgooy;;0;;;;0;0;0;L0299153;5328;pisocarpa;"Balgooy MMJ van; Setten AK van";<NA>;<NA>
Polyalthia sumatrana King;Polyalthia;ID;ca. 100 km S of Pontianak, W. Kalimantan;-1.216667;111.0;Balgooy MMJ van;"Balgooy, MMJ van; Setten, AK van  5326 ";8;6;1986;<NA>;<NA>;<NA>;Botany;L  0299195;0;0;0;Balgooy;;0;;;;0;0;0;L0299195;5326;sumatrana;"Balgooy MMJ van; Setten AK van";<NA>;<NA>
Polyalthia lateriflora (Blume) Kurz;Polyalthia;ID;"Kebun Raya Bogor; West Java.";-6.583333;106.783333;Balgooy MMJ van;Balgooy, MMJ van  5143 ;14;9;1985;<NA>;<NA>;<NA>;Botany;L  0299392;0;0;0;Balgooy;;0;;;;0;0;0;L0299392;5143;lateriflora;Balgooy MMJ van;<NA>;<NA>
Fissistigma Griff.;Fissistigma;ID;Gn Palung Nature Reserve, c 100 km S of Pontianak, W. Kalimanten.;-1.216667;110.1333;Balgooy MMJ van;"Balgooy, MMJ van; Setten, AK van  5553 ";21;6;1986;<NA>;<NA>;<NA>;Botany;L  0299215;0;0;0;Balgooy;;0;;;;0;0;0;L0299215;5553;;"Balgooy MMJ van; Setten AK van";<NA>;<NA>
Friesodielsia cuneiformis (Blume) Steenis;Friesodielsia;ID;Kebun Raya Bogor, W. Java.;-6.583333;106.783333;Balgooy MMJ van;"Balgooy, MMJ van; Setten, AK van  5284 ";31;5;1980;<NA>;<NA>;<NA>;Botany;L  0299227;0;0;0;Balgooy;;0;;;;0;0;0;L0299227;5284;cuneiformis;"Balgooy MMJ van; Setten AK van";<NA>;<NA>
Stelechocarpus cauliflorus (Scheff.) R.E.Fr.;Stelechocarpus;ID;<NA>;-6.5897;106.7913;Balgooy MMJ van;"Balgooy, MMJ van; Setten, AK van  5689 ";8;7;1986;<NA>;<NA>;<NA>;Botany;L  0299455;0;0;0;Balgooy;;0;;;;0;0;0;L0299455;5689;cauliflorus;"Balgooy MMJ van; Setten AK van";<NA>;<NA>
