recordedBy;colNum_full;detBy;detDate;colDate;region;locality;barcode;country;genus;specificEpithet;scientificName;speciesAuthor;collectorID;prefix;sufix;colDay;colMonth;colYear;detDay;detMonth;detYear;countryID;continent;coordinateID;ddlong;ddlat;institute;herbarium_code;colNum;orig_BC;ORIG_recBy;to_check
Fénix, E.;28413;<NA>;<NA>;01/05/1917 - 31/05/1917;Apayao;Philippines. Mt. Sulu. Apayao Subprovince. Luzon;P01986540;Philippines;Haplostichanthus;lanceolata;0;0;0;;;1;5;1917;;;;0;0;0;121.2165;18.1166;0;0;28413;P01986540;Fénix, E.;Fénix, E.
McGregor, R.C.;;<NA>;<NA>;01/06/1915 - 31/08/1915;Laguna;Philippines. Province of Laguna. Luzon;P01986109;Philippines;Friesodielsia;bakeri;0;0;0;<NA>;<NA>;1;6;1915;;;;0;0;0;121.3336;14.1696;0;0;nan;P01986109;McGregor, R.C.;McGregor, R.C.
Revel-MacDonald, N.;235;<NA>;<NA>;<NA>;Palawan;Philippines : Ile Palawan;P01984612;Philippines;Annona;muricata;0;0;0;;;;;;;;;0;0;0;118.75;10.0;0;0;235;P01984612;Revel-MacDonald, N.;Revel-MacDonald, N.
McGregor, R.C.;;Maas, P.J.M. et Westra, L.Y.T.;01/01/1984 - 31/12/1984;01/11/1910 - 31/12/1910;Laguna;Philippines. Calauan. Prov. of Laguna. Luzon;P01960550;Philippines;Anaxagorea;luzonensis;0;0;0;<NA>;<NA>;1;11;1910;1;1;1984;0;0;0;121.3149851;14.1453986;0;0;nan;P01960550;McGregor, R.C.;McGregor, R.C.
Serviñas, V.;16876;Maas, P.J.M. & Westra, L.Y.T.;01/01/1984 - 31/12/1984;01/11/1912 - 30/11/1912;Laguna;Philippines. Mt. Maquiling, Province of Laguna, Luzon.;P01960552;Philippines;Anaxagorea;luzonensis;0;0;0;;;1;11;1912;1;1;1984;0;0;0;121.199;14.134;0;0;16876;P01960552;Serviñas, V.;Serviñas, V.
Calléry;8;Maas, P.J.M. & Westra, L.Y.T.;01/01/1982 - 31/12/1982;01/01/1840 - 31/12/1840;Laguna;Manille. Calawan.;P01960556;Philippines;Anaxagorea;luzonensis;0;0;0;;;1;1;1840;1;1;1982;0;0;0;121.3149851;14.1453986;0;0;8;P01960556;Calléry;Calléry
Edaño, G.;41670;van Heusden, E.C.H.;01/01/1994 - 31/12/1994;01/02/1923 - 28/02/1923;Leyte;Philippines. Mt. Abucayan. Leyte.;P02007479;Philippines;Meiogyne;virgata;0;0;0;;;1;2;1923;1;1;1994;0;0;0;124.85;10.95;0;0;41670;P02007479;Edaño, G.;Edaño, G.
Strong Clemens, M.;;Rainer, H.;05/02/2008 - 05/02/2008;01/06/1907 - 30/06/1907;Lanao del Sur;Philippines. Camp Keith Lake, Lanao. Mindanao;P00601041;Philippines;Oxymirta;longiflora;0;0;0;<NA>;<NA>;1;6;1907;5;2;2008;0;0;0;124.283;8.008;0;0;nan;P00601041;Strong Clemens, M.;, M.
Edaño, G.;;<NA>;<NA>;01/12/1926 - 31/12/1926;Rizal;Philippines. San Andales. Rizal Province. Luzon;P01967848;Philippines;Mitrephora;lanotan;0;0;0;<NA>;<NA>;1;12;1926;;;;0;0;0;121.35249999999999;14.635833333333332;0;0;nan;P01967848;Edaño, G.;Edaño, G.
Langlassé, E.;127;<NA>;<NA>;10/12/1894 - 10/12/1894;Laguna;Monte de Pieda. Plantes de la Malaisie et des Philippines;P02005266;Philippines;Annona;sp.;0;0;0;;;10;12;1894;;;;0;0;0;121.1944;14.1364;0;0;127;P02005266;Langlassé, E.;Langlassé, E.
Fénix, E.;;Kessler, P.;09/09/1985 - 09/09/1985;01/05/1917 - 31/05/1917;Apayao;Philippines. Apayao Subprovince. Luzon.;P01967865;Philippines;Mitrephora;sp.;0;0;0;<NA>;<NA>;1;5;1917;9;9;1985;0;0;0;121.17;18.1;0;0;nan;P01967865;Fénix, E.;Fénix, E.
Revel-MacDonald, N.;514;<NA>;<NA>;<NA>;Palawan;Philippines : Ile Palawan;P01963760;Philippines;<NA>;indet.;0;0;0;;;;;;;;;0;0;0;118.75;10.0;0;0;514;P01963760;Revel-MacDonald, N.;Revel-MacDonald, N.
Revel-MacDonald, N.;291;<NA>;<NA>;01/01/1971 - 31/12/1971;Palawan;Mäbatu (Vallée de la Mäkägwaq). Prov.: Palawan. Philippines. Alt.: 50 m.;P01963761;Philippines;<NA>;indet.;0;0;0;;;1;1;1971;;;;0;0;0;117.62;8.705;0;0;291;P01963761;Revel-MacDonald, N.;Revel-MacDonald, N.
Fénix, E.;15666;Kessler, P.;01/11/2003 - 30/11/2003;01/08/1912 - 31/08/1912;Bukidnon;Philippines. Bukidnon subprovince. Mindanao;P01981681;Philippines;Cyathocalyx;apoensis;0;0;0;;;1;8;1912;1;11;2003;0;0;0;125.0;8.02;0;0;15666;P01981681;Fénix, E.;Fénix, E.
Edaño, G.;41683;Kessler, P.;01/11/2003 - 30/11/2003;01/02/1923 - 28/02/1923;Leyte;Philippines. Mt. Abucayan. Leyte.;P01981683;Philippines;Cyathocalyx;apoensis;0;0;0;;;1;2;1923;1;11;2003;0;0;0;124.85;10.95;0;0;41683;P01981683;Edaño, G.;Edaño, G.
McGregor, R.C.;18878;<NA>;<NA>;01/06/1914 - 30/06/1914;Biliran;Philippines. Biliran;P01964270;Philippines;Uvaria;sp.;0;0;0;;;1;6;1914;;;;0;0;0;124.49;11.6;0;0;18878;P01964270;McGregor, R.C.;McGregor, R.C.
Fénix, E.;;<NA>;<NA>;01/08/1912 - 31/08/1912;Davao del Sur;Philippines. District of Davao. Mindanao;P01964272;Philippines;Uvaria;sp.;0;0;0;<NA>;<NA>;1;8;1912;;;;0;0;0;125.6090916;7.0644123;0;0;nan;P01964272;Fénix, E.;Fénix, E.
Calléry;;<NA>;<NA>;01/01/1840 - 31/12/1840;Laguna;Manille. Calawan.;P01964278;Philippines;Uvaria;sp.;0;0;0;<NA>;<NA>;1;1;1840;;;;0;0;0;121.315;14.1454;0;0;nan;P01964278;Calléry;Calléry
McGregor, R.C.;;<NA>;<NA>;01/06/1914 - 30/06/1914;Biliran;Philippines. Biliran;P01964280;Philippines;Uvaria;sp.;0;0;0;<NA>;<NA>;1;6;1914;;;;0;0;0;124.47;11.58;0;0;nan;P01964280;McGregor, R.C.;McGregor, R.C.
Langlassé, E.;127;<NA>;<NA>;10/12/1894 - 10/12/1894;Laguna;Monte de Pieda;P01983475;Philippines;Annona;reticulata;0;0;0;;;10;12;1894;;;;0;0;0;121.1944;14.1364;0;0;127;P01983475;Langlassé, E.;Langlassé, E.
Langlassé, E.;127;<NA>;<NA>;10/12/1894 - 10/12/1894;Laguna;Monte de Pieda;P01983476;Philippines;Annona;reticulata;0;0;0;;;10;12;1894;;;;0;0;0;121.1944;14.1364;0;0;127;P01983476;Langlassé, E.;Langlassé, E.
Acuña, R.A.;23129;<NA>;<NA>;01/10/1914 - 30/11/1914;;Philippines. District de Lanao. Mindanao;P02006246;Philippines;Dasymaschalon;clusiflorum;0;0;0;;;1;10;1914;;;;0;0;0;124.113;7.912;0;0;23129;P02006246;Acuña, R.A.;Acuña, R.A.
McGregor, R.C.;14156;<NA>;<NA>;01/03/1912 - 30/04/1912;Nueva Vizcaya;Philippines. Vicinity of Dupax, Province of Nueva Vizcaya, Luzon.;P02006250;Philippines;Dasymaschalon;clusiflorum;0;0;0;;;1;3;1912;;;;0;0;0;121.1;16.295;0;0;14156;P02006250;McGregor, R.C.;McGregor, R.C.
Calléry;;Kessler, P.;26/10/1989 - 26/10/1989;01/01/1840 - 31/12/1840;Laguna;Manille. Calawan.;P01982954;Philippines;Polyalthia;sp.;0;0;0;<NA>;<NA>;1;1;1840;26;10;1989;0;0;0;121.3149851;14.1453986;0;0;nan;P01982954;Calléry;Calléry
Calléry;23 bis;Kessler, P.;26/10/1989 - 26/10/1989;01/01/1840 - 31/12/1840;Laguna;Manille. Calawan.;P01982955;Philippines;Polyalthia;sp.;0;0;0;;bis;1;1;1840;26;10;1989;0;0;0;121.3149851;14.1453986;0;0;23;P01982955;Calléry;Calléry
Edaño, G.;46011;<NA>;<NA>;01/10/1925 - 30/11/1925;Capiz;Philippines. Capiz Province. Panay;P01983882;Philippines;Polyalthia;dolichophylla;0;0;0;;;1;10;1925;;;;0;0;0;122.64;11.385;0;0;46011;P01983882;Edaño, G.;Edaño, G.
Edaño, G.;41668;<NA>;<NA>;01/02/1923 - 28/02/1923;Leyte;Philippines. Mt. Abucayan. Leyte;P01983928;Philippines;Polyalthia;lucida;0;0;0;;;1;2;1923;;;;0;0;0;124.85;10.95;0;0;41668;P01983928;Edaño, G.;Edaño, G.
