;recorded_by;orig_recby;colnum_full;det_by;orig_detby;to_check;to_check_det
5932;King;King;10092;Maas, P.J.M. & Westra, L.Y.T.;Maas, P.J.M. & Westra, L.Y.T.;detby_problem;estra, L.Y.T.
5967;Kostermans;Kostermans;25649;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
5968;Kostermans;Kostermans;25462;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
5969;Kostermans, AJ;Kostermans, A.J.;24761;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
5971;Bon;Bon;5367;van Heusden, E.C.H.;van Heusden, E.C.H.;detby_problem;van Heusden, E.C.H.
5974;Elmer, ADE;Elmer, A.D.E.;21859;van Heusden, E.C.H.;van Heusden, E.C.H.;detby_problem;van Heusden, E.C.H.
5975;Hose, C;Hose, C.;474;van Heusden, E.C.H.;van Heusden, E.C.H.;detby_problem;van Heusden, E.C.H.
5976;Ramos, M;Ramos, M.;1640;van Heusden, E.C.H.;van Heusden, E.C.H.;detby_problem;van Heusden, E.C.H.
5977;Sablaya, M;Sablaya, M.;23;van Heusden, E.C.H.;van Heusden, E.C.H.;detby_problem;van Heusden, E.C.H.
6221;Arifin, Z;Arifin, Z.;1771;Arifin, Z. & Arbainsyah;Arifin, Z. & Arbainsyah;detby_problem;Arbainsyah
6227;Pierre, L;Pierre, L.;96;van Heusden, E.C.H.;van Heusden, E.C.H.;detby_problem;van Heusden, E.C.H.
6252;Poilane;Poilane;10600;Van Heusden, E.C.H.;Van Heusden, E.C.H.;detby_problem;, E.C.H.
6254;Poilane;Poilane;10600;van Heusden, E.C.H.;van Heusden, E.C.H.;detby_problem;van Heusden, E.C.H.
6291;Gibson;Gibson;;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
6292;Ridsdale, CE;Ridsdale, C.E.;389;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
6293;Stocks;Stocks;;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
6404;Sevenet;Sevenet;255;van Heusden, E.C.H. & van Setten, A.K.;van Heusden, E.C.H. & van Setten, A.K.;detby_problem;van Heusden, E.C.H. & van Setten, A.K.
6411;David, B;David, B.;25;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
6444;Jacquemont, V;Jacquemont, V.;423;Cambessèdes;Cambessèdes;detby_problem;Cambessèdes
6620;Poilane, E;Poilane, E.;6649;Jovet-Ast, S.;Jovet-Ast, S.;detby_problem;Jovet-Ast, S.
6684;Chevalier, A;Chevalier, A.;38625;Van Heusden, E.C.H.;Van Heusden, E.C.H.;detby_problem;, E.C.H.
6878;Schaller, H;Schaller, H.;3905;Schaller, H. & Teo, L.E.;Schaller, H. & Teo, L.E.;detby_problem;E.
6879;Schaller, H;Schaller, H.;3905;Schaller, H. & Teo, L.E.;Schaller, H. & Teo, L.E.;detby_problem;E.
6890;Deverre;Deverre;115;van Heusden, E.C.H. & van Setten, A.K.;van Heusden, E.C.H. & van Setten, A.K.;detby_problem;van Heusden, E.C.H. & van Setten, A.K.
6978;Larsen, K;Larsen, K.;2381;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
7027;Curtis, C;Curtis, C.;50;van Setten, A.K.;van Setten, A.K.;detby_problem;van Setten, A.K.
7028;Schaller, H;Schaller, H.;3796;Schaller, H. & Teo, L.E.;Schaller, H. & Teo, L.E.;detby_problem;E.
