scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;to_check;to_check_det;genus_old;specificEpithet_old
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Estrada do Tanguá, pelo do Rio Bonito;-22.7105341;-42.60948555;Kuhlmann, M ;;26;2;1951;Johnson, DM ;1994-01-01T00:00:00;NY;NY;NY00395784;0;0;0;;;0;1;1;1994;0;0;0;NY00395784;nan;bryotrophe;M. Kuhlmann;D. M. Johnson;Kuhlmann;;;Hornschuchia;0
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Estrada do Tanguá, pelo do Rio Bonito;-22.7105341;-42.60948555;Kuhlmann, M ;;26;2;1951;Johnson, DM ;1994-01-01T00:00:00;NY;NY;395784;0;0;0;;;0;1;1;1994;0;0;0;NY395784;nan;bryotrophe;M. Kuhlmann;D. M. Johnson;Kuhlmann;;;Hornschuchia;0
