scientificName;genus;specificEpithet;speciesAuthor;collectorID;recordedBy;colNum_full;prefix;colNum;sufix;colDate;colDay;colMonth;colYear;detBy;detDate;detDay;detMonth;detYear;countryID;country;continent;locality;coordinateID;ddlong;ddlat;institute;herbarium_code;barcode;orig_BC;coll_surname;region;ORIG_recBy
0;Uvaria;cordata;0;0;Gaudichaud;;<NA>;nan;<NA>;01/11/1836 - 30/11/1836;1;11;1836;<NA>;01/08/2002 - 31/08/2002;1;8;2002;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00260060;P00260060;Gaudichaud;National Capital Region (NCR);Gaudichaud
0;Popowia;pisocarpa;0;0;Guerrero, F;;<NA>;nan;<NA>;01/05/1926 - 31/07/1926;1;5;1926;<NA>;<NA>;;;;0;Philippines;0;Philippines. Lanao Province. Mindanao;0;124.113;7.912;0;0;P01983259;P01983259;Guerrero;;Guerrero, F.
0;Annona;reticulata;0;0;Hombron;;<NA>;nan;<NA>;01/01/1838 - 31/12/1840;1;1;1838;<NA>;<NA>;;;;0;Philippines;0;Sanboangon. Pointe S.O. de la presqu'ile S.O. de Mindanao.;0;122.0763695;6.9046004;0;0;P01984604;P01984604;Hombron;Zamboanga del Sur;Hombron
0;Goniothalamus;elmeri;0;0;Jimenez, R;;<NA>;nan;<NA>;01/12/1917 - 31/12/1917;1;12;1917;<NA>;<NA>;;;;0;Philippines;0;Philippines. Lanao District, Mindanao.;0;124.113;7.912;0;0;P01988163;P01988163;Jimenez;Lanao del Norte;Jimenez, R.
0;Uvaria;sp.;0;0;Loher;;<NA>;nan;<NA>;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Herb Philippinense;0;;;0;0;P01964277;P01964277;Loher;;Loher
0;Polyalthia;rumphii;0;0;Mabesa, C;;<NA>;nan;<NA>;01/06/1915 - 31/12/1915;1;6;1915;Kessler, P.;01/05/2004 - 31/05/2004;1;5;2004;0;Philippines;0;Philippines. Province de Laguna, Luzon;0;;;0;0;P01983783;P01983783;Mabesa;Laguna;Mabesa, C.
0;Polyalthia;cumingiana;0;0;Mabesa, C;;<NA>;nan;<NA>;01/03/1916 - 30/04/1916;1;3;1916;<NA>;<NA>;;;;0;Philippines;0;Philippines. Province of Laguna. Luzon;0;121.33;14.17;0;0;P01983878;P01983878;Mabesa;Laguna;Mabesa, C.
0;Phaeanthus;ebracteolatus;0;0;Martelino, A;;<NA>;nan;<NA>;01/05/1919 - 30/06/1919;1;5;1919;Mols, J.B.;01/07/1998 - 31/07/1998;1;7;1998;0;Philippines;0;Philippines. Libacao. Capiz Province. Panay;0;122.398;11.4357;0;0;P01960466;P01960466;Martelino;Capiz;Martelino, A.
0;Polyalthia;dolichophylla;0;0;Martelino, A;;<NA>;nan;<NA>;01/05/1919 - 30/06/1919;1;5;1919;<NA>;<NA>;;;;0;Philippines;0;Philippines. Libacao. Capiz province. Panay;0;122.286;11.41;0;0;P01983883;P01983883;Martelino;Capiz;Martelino, A.
0;Mitrephora;williamsii;0;0;Mesa, A de;;<NA>;nan;<NA>;01/03/1919 - 30/06/1919;1;3;1919;<NA>;<NA>;;;;0;Philippines;0;Philippines. Davao Province. Mindanao;0;125.5;7.17;0;0;P01967881;P01967881;Mesa;Davao Region (Region XI);Mesa, A. de
