scientific_name;genus;specific_epithet;species_author;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;colnum_fullprefix;region;geo_issues;.summary;tmp_det_date.1;expert_det;recby_regex;modified;scientific_name.1;colnum_fullprefix.1;region.1;collector_id;huh_name;geo_col;wiki_url;ipni_species_author;specificEpithet;tmp_det_date;sp_idx;genus_old;specific_epithet_old
nan;nan;nan;nan;Hughes, M;MH1712;MH;1712.0;nan;nan;3;5;2012;nan;nan;;;;PH;Philippines;nan;Mt. St. Paul;nan;118.91;10.16;E;E;E00625168, BM0-00885795;E00625168;Hughes;Hughes, Mark;;PHL;nan;nan;nan;;;nan;1.0;;nan;Hughes, M;s_2023-04-28_09-10-17;;;;nan;Hughes, M;nan;nan;nan;;;<NA> ;nan;nan
nan;nan;nan;nan;Hughes, M;MH1712;MH;1712.0;nan;nan;3;5;2012;nan;nan;;;;PH;Philippines;nan;Mt. St. Paul;nan;118.91;10.16;E;E;E00625168, BM0-00885795;E00625168;Hughes;Hughes, Mark;;PHL;nan;nan;nan;;;nan;1.0;;nan;Hughes, M;s_2023-04-28_09-07-55;;;;nan;Hughes, M;nan;nan;nan;;;<NA> ;nan;nan
nan;nan;nan;nan;Hughes, M;MH1730;MH;1730.0;nan;nan;3;5;2012;nan;nan;;;;PH;Philippines;nan;Mt. St. Paul;nan;118.91;10.16;E;E;E00625165, BM0-00885795;E00625165;Hughes;Hughes, Mark;;PHL;nan;nan;nan;;;nan;1.0;;nan;Hughes, M;s_2023-04-28_09-10-17;;;;nan;Hughes, M;nan;nan;nan;;;<NA> ;nan;nan
nan;nan;nan;nan;Hughes, M;MH1730;MH;1730.0;nan;nan;3;5;2012;nan;nan;;;;PH;Philippines;nan;Mt. St. Paul;nan;118.91;10.16;E;E;E00625165, BM0-00885795;E00625165;Hughes;Hughes, Mark;;PHL;nan;nan;nan;;;nan;1.0;;nan;Hughes, M;s_2023-04-28_09-07-55;;;;nan;Hughes, M;nan;nan;nan;;;<NA> ;nan;nan
nan;nan;nan;nan;Puglisi, Carmen;CP317;CP;317.0;nan;nan;29;5;2012;nan;nan;;;;PH;Philippines;nan;Sabang, jungle trail between CPS and underground river;nan;118.918056;10.198056;E;E;E00625174, BM0-00885795;E00625174;Puglisi;Puglisi, Carmen;;PHL;nan;nan;nan;;;nan;1.0;;nan;Puglisi, C;s_2023-04-28_09-10-17;;;;nan;Puglisi, Carmen;nan;nan;nan;;;<NA> ;nan;nan
nan;nan;nan;nan;Puglisi, Carmen;CP317;CP;317.0;nan;nan;29;5;2012;nan;nan;;;;PH;Philippines;nan;Sabang, jungle trail between CPS and underground river;nan;118.918056;10.198056;E;E;E00625174, BM0-00885795;E00625174;Puglisi;Puglisi, Carmen;;PHL;nan;nan;nan;;;nan;1.0;;nan;Puglisi, C;s_2023-04-28_09-07-55;;;;nan;Puglisi, Carmen;nan;nan;nan;;;<NA> ;nan;nan
nan;nan;nan;nan;Puglisi, Carmen;CP323;CP;323.0;nan;nan;30;5;2012;nan;nan;;;;PH;Philippines;nan;Underground river inflow;nan;118.918056;10.198056;E;E;E00625154, BM0-00885795;E00625154;Puglisi;Puglisi, Carmen;;PHL;nan;nan;nan;;;nan;1.0;;nan;Puglisi, C;s_2023-04-28_09-10-17;;;;nan;Puglisi, Carmen;nan;nan;nan;;;<NA> ;nan;nan
nan;nan;nan;nan;Puglisi, Carmen;CP323;CP;323.0;nan;nan;30;5;2012;nan;nan;;;;PH;Philippines;nan;Underground river inflow;nan;118.918056;10.198056;E;E;E00625154, BM0-00885795;E00625154;Puglisi;Puglisi, Carmen;;PHL;nan;nan;nan;;;nan;1.0;;nan;Puglisi, C;s_2023-04-28_09-07-55;;;;nan;Puglisi, Carmen;nan;nan;nan;;;<NA> ;nan;nan
nan;Meiogyne;mindorensis;nan;Ramos, Maximo;35026;nan;35026.0;nan;nan;;6;1918;nan;nan;;;;PH;Philippines;nan;Nearest Named Place: Siargao Island;nan;126.04586;9.84829;NHMUK;BOT;BM0-00632901, BM0-00885795;BM0-00632901;Ramos;M. Ramos & J. Pascasio;;PHL;ACCEPTED;Meiogyne mindorensis;https://ipni.org/n/977588-1;;;nan;1.0;;nan;Ramos, M ;s_2023-04-28_09-10-17;;;;nan;Ramos, Maximo;Malaysia, Philippines;nan;(Merr.) Heusden;;;Meiogyne mindorensis;Meiogyne;mindorensis
nan;Meiogyne;mindorensis;nan;Ramos, Maximo;35026;nan;35026.0;nan;nan;;6;1918;nan;nan;;;;PH;Philippines;nan;Nearest Named Place: Siargao Island;nan;126.04586;9.84829;NHMUK;BOT;BM0-00632901, BM0-00885795;BM0-00632901;Ramos;M. Ramos & J. Pascasio;;PHL;ACCEPTED;Meiogyne mindorensis;https://ipni.org/n/977588-1;;;nan;1.0;;nan;Ramos, M ;s_2023-04-28_09-07-55;;;;nan;Ramos, Maximo;Malaysia, Philippines;nan;(Merr.) Heusden;;;Meiogyne mindorensis;Meiogyne;mindorensis
nan;Meiogyne;mindorensis;nan;Williams, Robert Stratham;512;nan;512.0;nan;nan;24;1;1904;nan;nan;;;;PH;Philippines;nan;Lamao R., Mt. Mariveles, prov. Bataan Central Luzon;nan;120.48;14.53;K;Herbarium;K000691918, BM0-00885795;K000691918;Williams;Williams, R.S.;;PHL;ACCEPTED;Meiogyne mindorensis;https://ipni.org/n/977588-1;;;nan;1.0;;nan;Williams, RS;s_2023-04-28_09-10-17;;;;nan;Williams, Robert Stratham;Bolivia, Canada, Panama, Peru, Philippines, United States of America;nan;(Merr.) Heusden;;;Meiogyne mindorensis;Meiogyne;mindorensis
nan;Meiogyne;mindorensis;nan;Williams, Robert Stratham;512;nan;512.0;nan;nan;24;1;1904;nan;nan;;;;PH;Philippines;nan;Lamao R., Mt. Mariveles, prov. Bataan Central Luzon;nan;120.48;14.53;K;Herbarium;K000691918, BM0-00885795;K000691918;Williams;Williams, R.S.;;PHL;ACCEPTED;Meiogyne mindorensis;https://ipni.org/n/977588-1;;;nan;1.0;;nan;Williams, RS;s_2023-04-28_09-07-55;;;;nan;Williams, Robert Stratham;Bolivia, Canada, Panama, Peru, Philippines, United States of America;nan;(Merr.) Heusden;;;Meiogyne mindorensis;Meiogyne;mindorensis
