scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;Native in Sumatra. Cultivated in the Botanic Gardens Buitenzorg-Java. Garden number: IV.G.55.;-6.35;106.47;Okada, H;Okada, H  3262 ;21;10;1980;Johnson DM;2014-03-01T00:00:00;nan;Botany;L  0299283;malayana;0;0;Okada;;0;0;0;0;0;0;0;L0299283;3262;Okada H
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;ID;Indonesia, Buitenzorg, Botanic Gardens;-6.5897;106.7913;Okada, H;Okada, H  3251 ;7;10;1980;nan;nan;nan;Botany;L  0298737;odorata;0;0;Okada;;0;0;0;0;0;0;0;L0298737;3251;Okada H
Polyalthia suberosa (Roxb.) Thwaites;Polyalthia;ID;Kebun Raya Bogor, W. Java.;-6.583333;106.783333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5650 ";4;7;1986;Setten AK van;nan;nan;Botany;L  0299171;suberosa;0;0;Balgooy;;0;0;0;0;0;0;0;L0299171;5650;"Balgooy MMJ van; Setten AK van"
Enicosanthum macranthum (King) J.Sinclair;Enicosanthum;ID;Gunung Palung Nature Reserve, c. 100 km S of Pontianak, W Kalimantan.;-1.216667;110.133333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5614 ";25;6;1986;nan;nan;nan;Botany;L  0299168;macranthum;0;0;Balgooy;;0;0;0;0;0;0;0;L0299168;5614;"Balgooy MMJ van; Setten AK van"
Polyalthia clavigera King;Polyalthia;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8360 ;12;5;1968;nan;nan;nan;Botany;L  0299146;anomala;0;0;Jacobs;;0;0;0;0;0;0;0;L0299146;8360;Jacobs M
Mitrephora longipetala Miq.;Mitrephora;ID;Indonesia. Gn Palung Nature Reserve, c.100 Km S of Pontianak, W. Kalimantan.;3.748056;97.158056;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5535 A";20;6;1986;Weerasooriya AD;2001-03-01T00:00:00;nan;Botany;L  0770063;longipetala;0;0;Balgooy;A;0;0;0;0;0;0;0;L0770063;5535;"Balgooy MMJ van; Setten AK van"
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;Gn Palung Nature Reserve, c 100 km S of Pontianak, W. Kalimantan.;-1.216667;110.1333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5467 ";16;8;1986;Johnson DM;2014-03-01T00:00:00;nan;Botany;L  0299285;malayana;0;0;Balgooy;;0;0;0;0;0;0;0;L0299285;5467;"Balgooy MMJ van; Setten AK van"
Cyathocalyx pruniferus (Maingay ex Hook.f. & Thomson) J.Sinclair;Drepananthus;ID;Gunung Leuser Nature Reserves, Atjeh, North Sumatra, Sikundur Forest Reserve, c.75km WNW of Medan;3.748056;97.158056;Wilde, WJJO de;"Wilde, WJJO de; Wilde-Duyfjes, BEE de  19281 ";3;8;1979;Wang R;2001-08-01T00:00:00;nan;Botany;L  0298897;pruniferus;0;0;Wilde;;0;0;0;0;0;0;0;L0298897;19281;"Wilde WJJO de; Wilde-Duyfjes BEE de"
Popowia pisocarpa (Blume) Endl.;Popowia;ID;Gunung Palung nature reserve, c. 100 km S of Pontianak.;-1.216667;111.0;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5328 ";8;6;1986;nan;nan;nan;Botany;L  0299153;pisocarpa;0;0;Balgooy;;0;0;0;0;0;0;0;L0299153;5328;"Balgooy MMJ van; Setten AK van"
Polyalthia sumatrana King;Polyalthia;ID;ca. 100 km S of Pontianak, W. Kalimantan;-1.216667;111.0;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5326 ";8;6;1986;nan;nan;nan;Botany;L  0299195;sumatrana;0;0;Balgooy;;0;0;0;0;0;0;0;L0299195;5326;"Balgooy MMJ van; Setten AK van"
