recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url
Harmand;;nan;<NA>;01/01/1875 - 31/12/1877;;Indo-Chine. Delta du Mé-Không.;P02006281;Viet Nam;Dasymaschalon;macrocalyx;0;0;0;0;<NA>;<NA>;1;1;1875;;;;0;0;0;;;0;0;nan;P02006281;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>
Harmand;;nan;<NA>;01/01/1875 - 31/12/1877;;Indo-Chine. Delta du Mê-Không.;P02006282;Viet Nam;Dasymaschalon;macrocalyx;0;0;0;0;<NA>;<NA>;1;1;1875;;;;0;0;0;106.524;10.277;0;0;nan;P02006282;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>
Harmand;;nan;<NA>;01/01/1875 - 31/12/1877;;Delta du Mè-Không.;P02006285;Viet Nam;Dasymaschalon;macrocalyx;0;0;0;0;<NA>;<NA>;1;1;1875;;;;0;0;0;;;0;0;nan;P02006285;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>
Harmand;;nan;<NA>;01/04/1877 - 30/04/1877;;Voyage du Mékong;P01952365;<NA>;Dasymaschalon;lomentaceum;0;0;0;0;<NA>;<NA>;1;4;1877;;;;0;0;0;;;0;0;nan;P01952365;Harmand;<NA>;Harmand;Harmand;<NA>;<NA>
Harmand, J;;Kessler, P;08/03/1984 - 08/03/1984;01/01/1875 - 31/12/1877;Thừa Thiên - Huế;Iter Mekhong - Hué. Empire d'Annam. Hué;P01987676;Viet Nam;Orophea;polycarpa;0;0;0;0;<NA>;<NA>;1;1;1875;8;3;1984;0;0;0;;;0;0;nan;P01987676;Harmand, J.;Kessler, P.;Harmand;Harmand, Julien Herbert Auguste Jules;0;0
Harvey;;nan;<NA>;<NA>;Melaka;Malacca;P01753377;Malaisie;Desmos;chinensis;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;102.2487;2.1943;0;0;nan;P01753377;Harvey;<NA>;Harvey;Harvey;<NA>;<NA>
Harvey;;nan;<NA>;<NA>;Melaka;Malacca.;P01753394;Malaisie;Desmos;chinensis;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;102.2486651;2.1942647;0;0;nan;P01753394;Harvey;<NA>;Harvey;Harvey;<NA>;<NA>
Hayata, B;;Kessler, P;07/02/1986 - 07/02/1986;25/05/1921 - 25/05/1921;Đắk Lắk;Vietnam. Bum M'o;P01967202;Viet Nam;Orophea;sp.;0;0;0;0;<NA>;<NA>;25;5;1921;7;2;1986;0;0;0;108.8167;12.6667;0;0;nan;P01967202;Hayata, B.;Kessler, P.;Hayata;Hayata, Bunzo;China, Japan;0
Hayata, B;;nan;<NA>;17/05/1921 - 17/05/1921;Khánh Hòa;Indo-Chine. Entre Nhatrang et Ninhoa;P01985902;Viet Nam;Artabotrys;intermedius;0;0;0;0;<NA>;<NA>;17;5;1921;;;;0;0;0;109.148;12.42;0;0;nan;P01985902;Hayata, B.;<NA>;Hayata;Hayata, Bunzo;China, Japan;0
Helfer, JW;;nan;<NA>;01/01/1836 - 31/12/1838;West Bengal;In Bengalia circa Calcuttam;P00247956;Inde;Uvaria;cordata;0;0;0;0;<NA>;<NA>;1;1;1836;;;;0;0;0;88.3638815;22.5726723;0;0;nan;P00247956;Helfer, J.W.;<NA>;Helfer;Helfer, Johann Wilhelm;India, Myanmar;0
Helfer, JW;;Biswas, K;28/08/1936 - 28/08/1936;01/01/1836 - 31/12/1838;West Bengal;in Bengalia circa Calcuttam;P01986321;Inde;Cananga;odorata;0;0;0;0;<NA>;<NA>;1;1;1836;28;8;1936;0;0;0;88.3638815;22.5726723;0;0;nan;P01986321;Helfer, J.W.;Biswas, K.;Helfer;Helfer, Johann Wilhelm;India, Myanmar;0
Henry, A;;nan;<NA>;01/11/1889 - 30/11/1889;Hainan(海南);Haïnan;P01983427;Chine;Polyalthia;suberosa;0;0;0;0;<NA>;<NA>;1;11;1889;;;;0;0;0;109.6;19.2;0;0;nan;P01983427;Henry, A.;<NA>;Henry;Henry, A;<NA>;<NA>
Hombron;;nan;<NA>;01/01/1838 - 31/12/1840;Isabel;Ile St. Georges. Archipel des iles Salomon.;P01988087;Salomon, Îles;Mitrephora;guilloveana;0;0;0;0;<NA>;<NA>;1;1;1838;;;;0;0;0;159.576;-8.462;0;0;nan;P01988087;Hombron;<NA>;Hombron;Hombron, Jacques Bernard;French Polynesia, Malaysia, Philippines, Reunion;0
Hombron;;nan;<NA>;01/01/1838 - 31/12/1840;Zamboanga del Sur;Sanboangon. Pointe S.O. de la presqu'ile S.O. de Mindanao.;P01984604;Philippines;Annona;reticulata;0;0;0;0;<NA>;<NA>;1;1;1838;;;;0;0;0;122.0763695;6.9046004;0;0;nan;P01984604;Hombron;<NA>;Hombron;Hombron, Jacques Bernard;French Polynesia, Malaysia, Philippines, Reunion;0
Hooker;;Kessler, P;01/11/2003 - 30/11/2003;<NA>;;India orient.;P01753454;<NA>;Desmos;sp.;0;0;0;0;<NA>;<NA>;;;;1;11;2003;0;0;0;;;0;0;nan;P01753454;Hooker;Kessler, P.;Hooker;Hooker;<NA>;<NA>
Hooker, JD;;Hooker, JD;<NA>;<NA>;Sikkim;Ind. Or. Sikkim. Regio Trop. Alt. 4000 ped.;P00248178;Inde;Uvaria;hamiltonii;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P00248178;Hooker, J.D.;Hooker, J.D.;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Meghalaya;Ind. Or. Khasia. Regio subtrop. Alt. 2000 ped;P00248207;Inde;Uvaria;lurida;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;91.633;25.583;0;0;nan;P00248207;Hooker, J.D.;Hooker, J.D. & Thomson, T.;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;Chaowasku, T;01/01/2009 - 31/12/2009;<NA>;Sylhet;Ind. Or. Silhet. Regio tropica;P00160879;Bangladesh;Miliusa;diocea;0;0;0;0;<NA>;<NA>;;;;1;1;2009;0;0;0;91.8685271;24.89922;0;0;nan;P00160879;Hooker, J.D.;Chaowasku, T.;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Meghalaya;Ind. Or. Khasia. Regio subtrop. Alt. 0-4000 ped;P00160884;Inde;Miliusa;roxburghiana;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;91.633;25.583;0;0;nan;P00160884;Hooker, J.D.;<NA>;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;Kessler, P;03/09/1985 - 03/09/1985;<NA>;Sikkim;Ind. Or. Sikkim. alt. 5-6000 ped.;P00160891;Inde;Miliusa;macrocarpa;0;0;0;0;<NA>;<NA>;;;;3;9;1985;0;0;0;88.45;27.6;0;0;nan;P00160891;Hooker, J.D.;Kessler, P.;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Chittagong;Chittagong. Regio. tropica. alt. 0.;P00247919;Bangladesh;Stelechocarpus;burahol;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;91.83;22.333;0;0;nan;P00247919;Hooker, J.D.;<NA>;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;01/01/1994 - 31/12/1994;<NA>;Sylhet;Ind. Or. Silhet. Regio. tropica;P00268393;Bangladesh;Trivalvaria;argentea;0;0;0;0;<NA>;<NA>;;;;1;1;1994;0;0;0;91.8685271;24.89922;0;0;nan;P00268393;Hooker, J.D.;van Heusden, E.C.H.;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Meghalaya;Ind. Or. Khasia. Regio subtrop. Alt. 0-4000 ped;P01986146;Inde;Goniothalamus;sesquipedalis;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;91.633;25.583;0;0;nan;P01986146;Hooker, J.D.;Hooker, J.D. & Thomson, T.;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Tamil Nadu;Inde. Cult. Madras.;P01988666;Inde;Polyalthia;longifolia;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;80.270186;13.0836939;0;0;nan;P01988666;Hooker, J.D.;<NA>;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;;Ind. Or. Bengal. Regio tropica;P01988696;<NA>;Polyalthia;suberosa;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P01988696;Hooker, J.D.;<NA>;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Chittagong;Ind. Or. Chittagong. Regio trop.;P01956366;Bangladesh;Alphonsea;ventricosa;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;91.83;22.333;0;0;nan;P01956366;Hooker, J.D.;Hooker, J.D. & Thomson, T.;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;;Ind. Or.. Khasia & Silhet. Regio. subtrop. alt 0-3,000 ped;P01989325;<NA>;Polyalthia;longifolia;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P01989325;Hooker, J.D.;<NA>;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Meghalaya;Ind. Or. Khasia. Regio sub trop. Alt. 0 - 4000 ped;P02005325;Inde;Miliusa;wallichiana;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;91.633;25.583;0;0;nan;P02005325;Hooker, J.D.;Hooker, J.D. & Thomson, T.;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Sikkim;Ind. Or. Sikkim. Regio trop. alt. 4000 ped.;P01753388;Inde;Desmos;chinensis;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;88.45;27.5;0;0;nan;P01753388;Hooker, J.D.;<NA>;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Assam;Ind. Or. Cachar. Regio tropica.;P01964072;Inde;Fissistigma;bicolor;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;92.802;24.81;0;0;nan;P01964072;Hooker, J.D.;<NA>;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Sikkim;Ind. Or. Sikkim Regio tropica. alt. 0-1000 ped.;P01964074;Inde;Fissistigma;bicolor;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;88.45;27.6;0;0;nan;P01964074;Hooker, J.D.;<NA>;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Sylhet;Silhet. Regio tropica.;P00411179;Bangladesh;Melodorum;rufinerve;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;91.8685271;24.89922;0;0;nan;P00411179;Hooker, J.D.;Hooker & Thomson;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Sylhet;Ind. Or. Silhet. Regio. trop.;P00732308;Bangladesh;Guatteria;jenkinsii;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;91.8685271;24.89922;0;0;nan;P00732308;Hooker, J.D.;Hooker, J.D. et Thomson, T.;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Assam;Ind. Or. Cult. in hortis Cachar. Regio Tropica. Alt. 0.;P01985949;Inde;Artabotrys;hexapetalus;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;92.8;24.825;0;0;nan;P01985949;Hooker, J.D.;<NA>;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Chittagong;Chittagong. Regio tropica;P01986024;Bangladesh;Artabotrys;suaveolens;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;91.832;22.342;0;0;nan;P01986024;Hooker, J.D.;<NA>;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;;Inde;P01952337;Inde;Dasymaschalon;longiflorum;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P01952337;Hooker, J.D.;<NA>;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Chittagong;Inde. Chittagong. Regio tropica;P01952338;Bangladesh;Dasymaschalon;longiflorum;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;91.83;22.333;0;0;nan;P01952338;Hooker, J.D.;<NA>;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;;Inde;P01952342;Inde;Dasymaschalon;longiflorum;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P01952342;Hooker, J.D.;<NA>;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Sikkim;Ind. Or. Sikkim. Regio. trop;P01967110;Inde;Miliusa;roxburghiana;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;88.45;27.6;0;0;nan;P01967110;Hooker, J.D.;<NA>;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Meghalaya;Ind. Or. Khasia. Regio sub trop. Alt. 0 - 4000 ped;P01967113;Inde;Miliusa;roxburghiana;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;91.633;25.583;0;0;nan;P01967113;Hooker, J.D.;<NA>;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;Chittagong;Inde. Chittagong. Regio tropica;P01967127;Bangladesh;Miliusa;roxburghiana;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;91.83;22.333;0;0;nan;P01967127;Hooker, J.D.;Hooker, J.D. & Thomson, T.;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, JD;;nan;<NA>;<NA>;;Khasia & Silhet. Regio subtrop. Alt. 0 - 3,000 ped;P01952347;<NA>;Dasymaschalon;longiflorum;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P01952347;Hooker, J.D.;<NA>;Hooker;Hooker, Joseph Dalton;Australia (Country), India, Morocco, New Zealand, Syria, United States of America, Yemen;0
Hooker, W;;nan;<NA>;<NA>;West Bengal;H. B. Calcutt;P01988647;Inde;Polyalthia;longifolia;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;88.289;22.5585;0;0;nan;P01988647;Hooker, W.;<NA>;Hooker;Hooker, William Jackson;Iceland;http://en.wikipedia.org/wiki/William_Hooker_%28botanical_artist%29
Hooker, W;;nan;<NA>;<NA>;;Inde (Bengale);P01988695;<NA>;Polyalthia;suberosa;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P01988695;Hooker, W.;<NA>;Hooker;Hooker, William Jackson;Iceland;http://en.wikipedia.org/wiki/William_Hooker_%28botanical_artist%29
Huk, A;;nan;<NA>;<NA>;;Upper Burma;P01988878;Myanmar;Polyalthia;cerasoides;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P01988878;Huk, A.;<NA>;Huk;Huk, Abdul;Myanmar;0
Huk, A;;nan;<NA>;01/07/1891 - 31/07/1891;;Upper Burma. Tobadowa;P01988888;Myanmar;Polyalthia;cerasoides;0;0;0;0;<NA>;<NA>;1;7;1891;;;;0;0;0;;;0;0;nan;P01988888;Huk, A.;<NA>;Huk;Huk, Abdul;Myanmar;0
Iwan;;nan;<NA>;<NA>;;Chine;P02007368;Chine;Desmos;chinensis;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P02007368;Iwan;<NA>;Iwan;Iwan;0;0
Jacquemont, V;;nan;<NA>;<NA>;;Indes orient.;P01988660;Inde;Polyalthia;longifolia;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P01988660;Jacquemont, V.;<NA>;Jacquemont;Jacquemont, V;<NA>;<NA>
Jenkins;;Chaowasku, T;01/01/2008 - 31/12/2008;<NA>;Assam;Assam.;P00160877;Inde;Miliusa;diocea;0;0;0;0;<NA>;<NA>;;;;1;1;2008;0;0;0;;;0;0;nan;P00160877;Jenkins;Chaowasku, T.;Jenkins;Jenkins;<NA>;<NA>
Jenkins;;nan;<NA>;<NA>;Assam;Assam.;P01988688;Inde;Polyalthia;suberosa;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;93.25;26.41;0;0;nan;P01988688;Jenkins;<NA>;Jenkins;Jenkins;<NA>;<NA>
Jenkins;;nan;<NA>;<NA>;Assam;Assam.;P01988694;Inde;Polyalthia;suberosa;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;93.25;26.41;0;0;nan;P01988694;Jenkins;<NA>;Jenkins;Jenkins;<NA>;<NA>
Jenkins;;nan;<NA>;<NA>;Assam;Assam;P01954430;Inde;Fissistigma;polyanthum;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P01954430;Jenkins;<NA>;Jenkins;Jenkins;<NA>;<NA>
Jenkins;;nan;<NA>;<NA>;Assam;Assam.;P00411111;Inde;Guatteria;jenkinsii;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;93.25;26.4;0;0;nan;P00411111;Jenkins;<NA>;Jenkins;Jenkins;<NA>;<NA>
Jenkins;;nan;<NA>;<NA>;Assam;Assam;P01753391;Inde;Desmos;chinensis;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;93.25;26.41;0;0;nan;P01753391;Jenkins;<NA>;Jenkins;Jenkins;<NA>;<NA>
Jenkins;;nan;<NA>;<NA>;Assam;Assam.;P01753393;Inde;Desmos;chinensis;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;93.25;26.4;0;0;nan;P01753393;Jenkins;<NA>;Jenkins;Jenkins;<NA>;<NA>
Jenkins;;nan;<NA>;<NA>;Assam;Assam;P01753399;Inde;Desmos;chinensis;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;93.255;26.407;0;0;nan;P01753399;Jenkins;<NA>;Jenkins;Jenkins;<NA>;<NA>
Jenkins;;nan;<NA>;<NA>;Assam;Assam.;P01964076;Inde;Fissistigma;bicolor;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;93.25;26.4;0;0;nan;P01964076;Jenkins;<NA>;Jenkins;Jenkins;<NA>;<NA>
Jenkins;;Pierre, L;<NA>;<NA>;Assam;Assam;P00411148;Inde;Mitrephora;tomentosa;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P00411148;Jenkins;Pierre, L.;Jenkins;Jenkins;<NA>;<NA>
Jenkins;;Kessler, P;03/09/1985 - 03/09/1985;<NA>;Assam;[Inde, Assam];P00411149;Inde;Mitrephora;tomentosa;0;0;0;0;<NA>;<NA>;;;;3;9;1985;0;0;0;;;0;0;nan;P00411149;Jenkins;Kessler, P.;Jenkins;Jenkins;<NA>;<NA>
Jenkins;;nan;<NA>;<NA>;Assam;Assam.;P00732427;Inde;Mitrephora;tomentosa;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;93.25;26.41;0;0;nan;P00732427;Jenkins;<NA>;Jenkins;Jenkins;<NA>;<NA>
Jenkins;;Pierre, L;<NA>;<NA>;Assam;Assam;P01757017;Inde;Unona;longifolia;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;93.25;26.4;0;0;nan;P01757017;Jenkins;Pierre, L.;Jenkins;Jenkins;<NA>;<NA>
Jenkins;;Hou, XL;30/03/2011 - 30/03/2011;<NA>;Assam;Assam;P00750995;Inde;Melodorum;polyanthum;0;0;0;0;<NA>;<NA>;;;;30;3;2011;0;0;0;;;0;0;nan;P00750995;Jenkins;Hou, X.L.;Jenkins;Jenkins;<NA>;<NA>
Jenkins;;nan;<NA>;<NA>;;In sylvis Assam ! Sylhet ! Cachar in montibus Khasia.;P01967119;<NA>;Miliusa;roxburghiana;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P01967119;Jenkins;<NA>;Jenkins;Jenkins;<NA>;<NA>
Jenkins;;nan;<NA>;<NA>;Assam;Assam.;P01967126;Inde;Miliusa;roxburghiana;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;93.25;26.41;0;0;nan;P01967126;Jenkins;<NA>;Jenkins;Jenkins;<NA>;<NA>
Jenkins;;nan;<NA>;<NA>;Assam;Assam;P02007278;Inde;Desmos;dumosus;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;93.25;26.4;0;0;nan;P02007278;Jenkins;<NA>;Jenkins;Jenkins;<NA>;<NA>
Jimenez, R;;nan;<NA>;01/12/1917 - 31/12/1917;Lanao del Norte;Philippines. Lanao District, Mindanao.;P01988163;Philippines;Goniothalamus;elmeri;0;0;0;0;<NA>;<NA>;1;12;1917;;;;0;0;0;124.113;7.912;0;0;nan;P01988163;Jimenez, R.;<NA>;Jimenez;Jimenez, R;<NA>;<NA>
Jullien;;nan;<NA>;01/01/1874 - 31/12/1874;Kratie;rapides de Tio-Kompih, au-dessus de Samboc, sur le Mékong, Cambodge.;P00411029;Cambodge;Artabotrys;harmandii;0;0;0;0;<NA>;<NA>;1;1;1874;;;;0;0;0;106.023;12.948;0;0;nan;P00411029;Jullien;<NA>;Jullien;Jullien;Cambodia;0
Jullien;;nan;<NA>;01/01/1874 - 31/12/1874;Kratie;rapides de Tio-Kompih, au-dessus de Samboc, sur le Mékong.;P00411030;Cambodge;Artabotrys;harmandii;0;0;0;0;<NA>;<NA>;1;1;1874;;;;0;0;0;106.023;12.948;0;0;nan;P00411030;Jullien;<NA>;Jullien;Jullien;Cambodia;0
Jullien;;nan;<NA>;01/01/1874 - 31/12/1874;Kratie;rapides de Tio-Kompih, sur le Mékong, au-dessus de Samboc.;P00411031;Cambodge;Artabotrys;harmandii;0;0;0;0;<NA>;<NA>;1;1;1874;;;;0;0;0;106.023;12.948;0;0;nan;P00411031;Jullien;<NA>;Jullien;Jullien;Cambodia;0
Kadir;;Kessler, P;01/05/2004 - 31/05/2004;19/03/1949 - 19/03/1949;Sabah;British North Borneo. Compartment 6. Sepilok;P02133169;Malaisie;Pseuduvaria;sp.;0;0;0;0;<NA>;<NA>;19;3;1949;1;5;2004;0;0;0;117.9496;5.876;0;0;nan;P02133169;Kadir;Kessler, P.;Kadir;Kadir;Malaysia;0
Kerr;;Meade, C;01/07/2000 - 31/07/2000;04/03/1924 - 05/03/1924;Udon Thani(อุดรธานี);Siam. Pü - Udaun;P00142631;Thaïlande;Uvaria;tonkinensis;0;0;0;0;<NA>;<NA>;4;3;1924;1;7;2000;0;0;0;102.4788;17.6888;0;0;nan;P00142631;Kerr;Meade, C.;Kerr;Kerr;<NA>;<NA>
Kerr, A;;nan;<NA>;17/02/1921 - 17/02/1921;Phrae(แพร่);Siam. Hue Mê Kami, Prê.;P01753537;Thaïlande;Mitrephora;tomentosa;0;0;0;0;<NA>;<NA>;17;2;1921;;;;0;0;0;100.13;18.15;0;0;nan;P01753537;Kerr, A.;<NA>;Kerr;Kerr, Arthur Francis G.;France, Laos, Malaysia, Myanmar, Thailand;0
Kerr, AFG;;Kessler, P;01/07/2004 - 31/07/2004;31/05/1914 - 31/05/1914;Chiang Mai(เชียงใหม่);Siam. Doi Sutep. c. 300 m.;P00732279;Thaïlande;Polyalthia;debilis;0;0;0;0;<NA>;<NA>;31;5;1914;1;7;2004;0;0;0;98.888;18.831;0;0;nan;P00732279;Kerr, A.F.G.;Kessler, P.;Kerr;Kerr, Arthur Francis George;France, Laos, Malaysia, Myanmar, Thailand;0
Kiah;;Henderson, MR;<NA>;23/10/1936 - 23/10/1936;Johor;Malay Peninsula. Sungai Kayu, E. Johore. Altitude low;P01988140;Malaisie;Goniothalamus;malayanus;0;0;0;0;<NA>;<NA>;23;10;1936;;;;0;0;0;104.059;1.539;0;0;nan;P01988140;Kiah;Henderson, M.R.;Kiah;Sidek bin Kiah;Malaysia;0
Kiah;;Corner, EJH;<NA>;24/07/1940 - 24/07/1940;North-West;Malay Peninsula. Mandai road, Singapore. Altitude low;P01988992;Singapour;Polyalthia;glauca;0;0;0;0;<NA>;<NA>;24;7;1940;;;;0;0;0;103.7818137;1.4108617;0;0;nan;P01988992;Kiah;Corner, E.J.H.;Kiah;Sidek bin Kiah;Malaysia;0
Kiah;;Henderson, MR;<NA>;03/08/1939 - 03/08/1939;Johor;Malay Peninsula. Bukit Tinjau Laut, Johore. Altitude low;P01989157;Malaisie;Polyalthia;cauliflora;0;0;0;0;<NA>;<NA>;3;8;1939;;;;0;0;0;;;0;0;nan;P01989157;Kiah;Henderson, M.R.;Kiah;Sidek bin Kiah;Malaysia;0
Kiah;;Henderson, MR;<NA>;01/04/1938 - 01/04/1938;Kedah;Malay Peninsula. Koh Mai Forest Reserve, Kedah;P01989306;Malaisie;Popowia;ramosissima;0;0;0;0;<NA>;<NA>;1;4;1938;;;;0;0;0;100.617;6.433;0;0;nan;P01989306;Kiah;Henderson, M.R.;Kiah;Sidek bin Kiah;Malaysia;0
Kiah;;Sinclair, J;<NA>;21/10/1936 - 21/10/1936;Johor;Malay Peninsula. Sungai Kayu, E. Johore. Altitude low;P00411000;Malaisie;Alphonsea;johorensis;0;0;0;0;<NA>;<NA>;21;10;1936;;;;0;0;0;103.9217;1.9146;0;0;nan;P00411000;Kiah;Sinclair, J.;Kiah;Sidek bin Kiah;Malaysia;0
King;;Kessler, P;03/09/1985 - 03/09/1985;17/06/1893 - 17/06/1893;Andaman and Nicobar Islands;Manglutan. Hill jungle. S. Andaman.;P00268480;Inde;Mitrephora;prainii;0;0;0;0;<NA>;<NA>;17;6;1893;3;9;1985;0;0;0;92.65;11.58335;0;0;nan;P00268480;King;Kessler, P.;King;King;<NA>;<NA>
