scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;region;specificEpithet;orig_recby;orig_detby;to_check;to_check_det
0;Polyalthia;sp.;0;0;Cuming;;<NA>;nan;<NA>;<NA>;;;;nan;<NA>;;;;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P01983392;P01983392;Cuming;National Capital Region (NCR);0;Cuming;<NA>;;
0;Goniothalamus;obtusifolius;0;0;Curran, HM;;<NA>;nan;<NA>;01/04/1906 - 30/04/1906;1;4;1906;nan;<NA>;;;;0;Philippines;0;Philippines. Palawan;0;118.75;10.0;0;0;P01988127;P01988127;Curran;Palawan;0;Curran, H.M.;<NA>;;
0;Goniothalamus;sp.;0;0;Darling, FW;;<NA>;nan;<NA>;01/11/1909 - 30/11/1909;1;11;1909;nan;<NA>;;;;0;Philippines;0;Philippines, Prov. Tayabas, Luzon;0;121.5918364;14.0263471;0;0;P02034803;P02034803;Darling;Quezon;0;Darling, F.W.;<NA>;;
0;Sageraea;lanceolata;0;0;Escritor, L;;<NA>;nan;<NA>;01/03/1913 - 30/04/1913;1;3;1913;Kessler, P;01/06/2004 - 30/06/2004;1;6;2004;0;Philippines;0;Philippines. Guinayangan. Province of Tayabas. Luzon;0;122.4521906;13.8963821;0;0;P00247906;P00247906;Escritor;Quezon;0;Escritor, L.;Kessler, P.;;
0;Uvaria;cordata;0;0;Gaudichaud;;<NA>;nan;<NA>;01/11/1836 - 30/11/1836;1;11;1836;nan;01/08/2002 - 31/08/2002;1;8;2002;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P00260060;P00260060;Gaudichaud;National Capital Region (NCR);0;Gaudichaud;<NA>;;
0;Popowia;pisocarpa;0;0;Guerrero, F;;<NA>;nan;<NA>;01/05/1926 - 31/07/1926;1;5;1926;nan;<NA>;;;;0;Philippines;0;Philippines. Lanao Province. Mindanao;0;124.113;7.912;0;0;P01983259;P01983259;Guerrero;;0;Guerrero, F.;<NA>;;
0;Annona;reticulata;0;0;Hombron;;<NA>;nan;<NA>;01/01/1838 - 31/12/1840;1;1;1838;nan;<NA>;;;;0;Philippines;0;Sanboangon. Pointe S.O. de la presqu'ile S.O. de Mindanao.;0;122.0763695;6.9046004;0;0;P01984604;P01984604;Hombron;Zamboanga del Sur;0;Hombron;<NA>;;
0;Goniothalamus;elmeri;0;0;Jimenez, R;;<NA>;nan;<NA>;01/12/1917 - 31/12/1917;1;12;1917;nan;<NA>;;;;0;Philippines;0;Philippines. Lanao District, Mindanao.;0;124.113;7.912;0;0;P01988163;P01988163;Jimenez;Lanao del Norte;0;Jimenez, R.;<NA>;;
0;Uvaria;sp.;0;0;Loher;;<NA>;nan;<NA>;<NA>;;;;nan;<NA>;;;;0;Philippines;0;Herb Philippinense;0;;;0;0;P01964277;P01964277;Loher;;0;Loher;<NA>;;
0;Polyalthia;rumphii;0;0;Mabesa, C;;<NA>;nan;<NA>;01/06/1915 - 31/12/1915;1;6;1915;Kessler, P;01/05/2004 - 31/05/2004;1;5;2004;0;Philippines;0;Philippines. Province de Laguna, Luzon;0;;;0;0;P01983783;P01983783;Mabesa;Laguna;0;Mabesa, C.;Kessler, P.;;
0;Polyalthia;cumingiana;0;0;Mabesa, C;;<NA>;nan;<NA>;01/03/1916 - 30/04/1916;1;3;1916;nan;<NA>;;;;0;Philippines;0;Philippines. Province of Laguna. Luzon;0;121.33;14.17;0;0;P01983878;P01983878;Mabesa;Laguna;0;Mabesa, C.;<NA>;;
0;Phaeanthus;ebracteolatus;0;0;Martelino, A;;<NA>;nan;<NA>;01/05/1919 - 30/06/1919;1;5;1919;Mols, JB;01/07/1998 - 31/07/1998;1;7;1998;0;Philippines;0;Philippines. Libacao. Capiz Province. Panay;0;122.398;11.4357;0;0;P01960466;P01960466;Martelino;Capiz;0;Martelino, A.;Mols, J.B.;;
0;Polyalthia;dolichophylla;0;0;Martelino, A;;<NA>;nan;<NA>;01/05/1919 - 30/06/1919;1;5;1919;nan;<NA>;;;;0;Philippines;0;Philippines. Libacao. Capiz province. Panay;0;122.286;11.41;0;0;P01983883;P01983883;Martelino;Capiz;0;Martelino, A.;<NA>;;
