recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url;genus_old;specificEpithet_old
Deschamps;;nan;<NA>;01/10/1890 - 31/10/1890;Puducherry;Inde Française. Mahé;P02132592;Inde;Polyalthia;sp.;0;0;0;0;<NA>;<NA>;1;10;1890;;;;0;0;0;75.5364701;11.7021978;0;0;nan;P02132592;Deschamps;<NA>;Deschamps;Deschamps;<NA>;<NA>;Polyalthia;0
Dien, P van;;nan;<NA>;29/09/1932 - 29/09/1932;Đồng Nai;Cochinchine (arboretum de Trg bom;P01982726;Viet Nam;Artabotrys;sp.;0;0;0;0;<NA>;<NA>;29;9;1932;;;;0;0;0;107.0059;10.9536;0;0;nan;P01982726;Phung van Dien;<NA>;Dien;Dien, P van;<NA>;<NA>;Artabotrys;0
Dien, P van;;Kessler, P;<NA>;29/09/1932 - 29/09/1932;Đồng Nai;Cochinchine (arboretum de Trg bom;P01982727;Viet Nam;Artabotrys;sp.;0;0;0;0;<NA>;<NA>;29;9;1932;;;;0;0;0;107.0059;10.9536;0;0;nan;P01982727;Phung van Dien;Kessler, P.;Dien;Dien, P van;<NA>;<NA>;Artabotrys;0
Godefroy;;nan;<NA>;01/01/1875 - 31/12/1875;;Cambodge;P02082337;Cambodge;<NA>;indet.;0;0;0;0;<NA>;<NA>;1;1;1875;;;;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P02082337;Godefroy;<NA>;Godefroy;Godefroy, F. F.;0;0;<NA>;0
Godefroy;;nan;<NA>;01/01/1875 - 31/12/1875;;Cambodge;P04458080;Cambodge;<NA>;indet.;0;0;0;0;<NA>;<NA>;1;1;1875;;;;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P04458080;Godefroy;<NA>;Godefroy;Godefroy, F. F.;0;0;<NA>;0
Godefroy;;Kessler, P;01/11/2003 - 30/11/2003;01/01/1875 - 31/12/1875;;Cochinchine;P02005989;Viet Nam;Cyathostemma;sp.;0;0;0;0;<NA>;<NA>;1;1;1875;1;11;2003;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P02005989;Godefroy;Kessler, P.;Godefroy;Godefroy, F. F.;0;0;Cyathostemma;0
Godefroy;;Kessler, P;01/11/2003 - 30/11/2003;01/01/1875 - 31/12/1875;;Cochinchine;P02005990;Viet Nam;Cyathostemma;sp.;0;0;0;0;<NA>;<NA>;1;1;1875;1;11;2003;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P02005990;Godefroy;Kessler, P.;Godefroy;Godefroy, F. F.;0;0;Cyathostemma;0
Godefroy;;Meade, C;01/01/2000 - 31/12/2000;01/01/1875 - 31/12/1875;;Cochinchine;P00248232;Viet Nam;Uvaria;micrantha;0;0;0;0;<NA>;<NA>;1;1;1875;1;1;2000;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P00248232;Godefroy;Meade, C.;Godefroy;Godefroy, F. F.;0;0;Uvaria;0
Godefroy;;Meade, C;01/01/2000 - 31/12/2000;01/01/1875 - 31/12/1875;;Cochinchine.;P00248233;Viet Nam;Uvaria;micrantha;0;0;0;0;<NA>;<NA>;1;1;1875;1;1;2000;0;0;0;106.40700000000001;10.253499999999999;0;0;nan;P00248233;Godefroy;Meade, C.;Godefroy;Godefroy, F. F.;0;0;Uvaria;0
Hahn;;nan;<NA>;01/02/1896 - 29/02/1896;Kampot;Kam-chay, prov. Kampot. Cambodge;P01984672;Cambodge;Xylopia;pierrei;0;0;0;0;<NA>;<NA>;1;2;1896;;;;0;0;0;104.118;10.696999999999997;0;0;nan;P01984672;Hahn;<NA>;Hahn;Hahn;<NA>;<NA>;Xylopia;0
