recorded_by;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41
;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;P.H. Labiak;Labiak, PH ;;;;;;;
;Popovkin, A.V.;Popovkin, A.V.;Popovkin, A.V.;Popovkin, A.V.;Popovkin, A.V.;Popovkin, A.V.;Popovkin, A.V.;Popovkin, A.V.;Popovkin, A.V.;Popovkin, A.V.;Popovkin, A.V.;Popovkin, AV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M.;Groppo, M;;;;;;;;;;;;;;;;;;
;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P.;Fiaschi, P;;;;;;;;;;;;;;;;;;
;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim, AM;;;;;;;;;;;;;;;;;;;;;;;
;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas, PJM;;;;;;;;;;;;;;;;;;;;;;;;;
;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas, PJM;;;;;;;;;;;;;;;;;;;;;;;;;
;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas, PJM;;;;;;;;;;;;;;;;;;;;;;;;;
;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim, AM;;;;;;;;;;;;;;;;;;;;;;;
;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim AM;Amorim, AM;;;;;;;;;;;;;;;;;;;;;;;
