scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detByDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy;coll_surname;genus_old;specificEpithet_old
Uvaria nudistellata Elmer;Uvaria;PH;Puerto Princesa (Mount Pulgar);10.2204165;119.200154;Elmer, A D E;13015;;4;1911;Ian Mark Turner;;NHMUK;BOT;BM000885795;concava;0;0;;;0;0;0;0;0;0;0;0;BM000885795;13015;Adolph Daniel Edward Elmer;Elmer;Uvaria;concava
Uvaria nudistellata Elmer;Uvaria;PH;Puerto Princesa (Mount Pulgar);10.2204165;119.200154;Elmer, A D E;13015;;4;1911;Ian Mark Turner;;NHMUK;BOT;BM000885795;concava;0;0;;;0;0;0;0;0;0;0;0;BM000885795;13015;Adolph Daniel Edward Elmer;Elmer;Uvaria;concava
