scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url;genus_old;specific_epithet_old
Desmos chinensis Lour.;Desmos;ID;E. Java, res. Besuki, SW. of Mt. Baluran, c. 4 km W. of Mailang.;-7.833333;114.333333;Jacobs, M;Jacobs, M  4872 ;22;5;1957;nan;<NA>;<NA>;Botany;L.1760401;0;0;0;Jacobs;;0;;;;0;0;0;L1760401;4872;chinensis;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Desmos;chinensis
Desmos chinensis Lour.;Desmos;ID;E. Java, res. Besuki, SW. of Mt. Baluran, c. 4 km W. of Mailang.;-7.833333;114.333333;Jacobs, M;Jacobs, M  4872 ;22;5;1957;nan;<NA>;<NA>;Botany;L.1760400;0;0;0;Jacobs;;0;;;;0;0;0;L1760400;4872;chinensis;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Desmos;chinensis
Orophea corymbosa (Blume) Miq.;Orophea;ID;Sumatra, prov. Lampung, Mt. Tanggamus.;-5.433333;104.683333;Jacobs, M;Jacobs, M  8045 ;25;4;1968;Kessler, PJA;1985-08-01T00:00:00;<NA>;Botany;L.1766418;0;0;0;Jacobs;;0;1;8;1985;0;0;0;L1766418;8045;corymbosa;Jacobs M;Kessler PJA;Jacobs;<NA>;<NA>;<NA>;Orophea;corymbosa
Orophea corymbosa (Blume) Miq.;Orophea;ID;Sumatra, prov. Lampung, Mt. Tanggamus.;-5.433333;104.683333;Jacobs, M;Jacobs, M  8045 ;25;4;1968;Kessler, PJA;1985-08-01T00:00:00;<NA>;Botany;L.1766429;0;0;0;Jacobs;;0;1;8;1985;0;0;0;L1766429;8045;corymbosa;Jacobs M;Kessler PJA;Jacobs;<NA>;<NA>;<NA>;Orophea;corymbosa
Orophea corymbosa (Blume) Miq.;Orophea;ID;Sumatra, prov. Lampung, Mt. Tanggamus.;-5.433333;104.683333;Jacobs, M;Jacobs, M  8045 ;25;4;1968;Kessler, PJA;1985-08-01T00:00:00;<NA>;Botany;L  0183563;0;0;0;Jacobs;;0;1;8;1985;0;0;0;L0183563;8045;corymbosa;Jacobs M;Kessler PJA;Jacobs;<NA>;<NA>;<NA>;Orophea;corymbosa
Orophea Blume;Orophea;ID;Mt. Tanggamus;-5.43333;104.683;Jacobs, M;Collector Number: 8045;25;4;1968;nan;<NA>;BPBM;BISH;40873;0;0;0;Collector;;0;;;;0;0;0;BISH40873;8045;corymbosa;Jacobs, M.;<NA>;Jacobs;<NA>;<NA>;<NA>;Orophea;
Fissistigma Griff.;Fissistigma;ID;Sumatra, prov. Lampung, Mt. Tanggamus.;-5.433333;104.683333;Jacobs, M;Jacobs, M  8109 ;28;4;1968;Kessler, PJA;1994-04-01T00:00:00;<NA>;Botany;L.1754612;0;0;0;Jacobs;;0;1;4;1994;0;0;0;L1754612;8109;;Jacobs M;Kessler PJA;Jacobs;<NA>;<NA>;<NA>;Fissistigma;
Fissistigma Griff.;Fissistigma;ID;Sumatra, prov. Lampung, Mt. Tanggamus.;-5.433333;104.683333;Jacobs, M;Jacobs, M  8109 ;28;4;1968;Kessler, PJA;1994-04-01T00:00:00;<NA>;Botany;L  0192126;0;0;0;Jacobs;;0;1;4;1994;0;0;0;L0192126;8109;;Jacobs M;Kessler PJA;Jacobs;<NA>;<NA>;<NA>;Fissistigma;
Uvaria L.;Fissistigma;ID;Sumatra, Prov. Lampung, Mt. Tanggamus;-5.43333;104.683;Jacobs, M;Collector Number: 8109;28;4;1968;nan;<NA>;BPBM;BISH;40918;0;0;0;Collector;;0;;;;0;0;0;BISH40918;8109;;Jacobs, M.;<NA>;Jacobs;<NA>;<NA>;<NA>;Uvaria;
Meiogyne virgata (Blume) Miq.;Meiogyne;ID;Sumatra, Prov. Lampung, Mt. Tanggamus.;-5.433333;104.683333;Jacobs, M;Jacobs, M  8128 ;29;4;1968;Heusden, ECH van;<NA>;<NA>;Botany;L.1756976;0;0;0;Jacobs;;0;;;;0;0;0;L1756976;8128;virgata;Jacobs M;Heusden ECH van;Jacobs;<NA>;<NA>;<NA>;Meiogyne;virgata
Meiogyne virgata (Blume) Miq.;Meiogyne;ID;Sumatra, Prov. Lampung, Mt. Tanggamus.;-5.433333;104.683333;Jacobs, M;Jacobs, M  8128 ;29;4;1968;Heusden, ECH van;<NA>;<NA>;Botany;L.1756977;0;0;0;Jacobs;;0;;;;0;0;0;L1756977;8128;virgata;Jacobs M;Heusden ECH van;Jacobs;<NA>;<NA>;<NA>;Meiogyne;virgata
Meiogyne virgata (Blume) Miq.;Meiogyne;ID;Sumatra, Prov. Lampung, Mt. Tanggamus.;-5.433333;104.683333;Jacobs, M;Jacobs, M  8128 ;29;4;1968;Heusden, ECH van;<NA>;<NA>;Botany;L  0182949;0;0;0;Jacobs;;0;;;;0;0;0;L0182949;8128;virgata;Jacobs M;Heusden ECH van;Jacobs;<NA>;<NA>;<NA>;Meiogyne;virgata
Orophea corymbosa (Blume) Miq.;Orophea;ID;Sumatra, prov. Lampung, Mt. Tanggamus.;-5.433333;104.683333;Jacobs, M;Jacobs, M  8184 ;1;5;1968;Kessler, PJA;1984-03-01T00:00:00;<NA>;Botany;L.1766428;0;0;0;Jacobs;;0;1;3;1984;0;0;0;L1766428;8184;corymbosa;Jacobs M;Kessler PJA;Jacobs;<NA>;<NA>;<NA>;Orophea;corymbosa
Orophea corymbosa (Blume) Miq.;Orophea;ID;Sumatra, prov. Lampung, Mt. Tanggamus.;-5.433333;104.683333;Jacobs, M;Jacobs, M  8184 ;1;5;1968;Kessler, PJA;1984-03-01T00:00:00;<NA>;Botany;L.1766427;0;0;0;Jacobs;;0;1;3;1984;0;0;0;L1766427;8184;corymbosa;Jacobs M;Kessler PJA;Jacobs;<NA>;<NA>;<NA>;Orophea;corymbosa
Orophea corymbosa (Blume) Miq.;Orophea;ID;Sumatra, prov. Lampung, Mt. Tanggamus.;-5.433333;104.683333;Jacobs, M;Jacobs, M  8184 ;1;5;1968;Kessler, PJA;1984-03-01T00:00:00;<NA>;Botany;L  0183562;0;0;0;Jacobs;;0;1;3;1984;0;0;0;L0183562;8184;corymbosa;Jacobs M;Kessler PJA;Jacobs;<NA>;<NA>;<NA>;Orophea;corymbosa
Orophea Blume;Orophea;ID;Mt. Tanggamus;-5.43333;104.683;Jacobs, M;Collector Number: 8184;1;5;1968;nan;<NA>;BPBM;BISH;40959;0;0;0;Collector;;0;;;;0;0;0;BISH40959;8184;corymbosa;Jacobs, M.;<NA>;Jacobs;<NA>;<NA>;<NA>;Orophea;
Artabotrys R.Br.;Artabotrys;ID;Sumatra, prov. Lampung, Mt. Tanggamus.;-5.433333;104.683333;Jacobs, M;Jacobs, M  8196 ;1;5;1968;nan;<NA>;<NA>;Botany;L.1760139;0;0;0;Jacobs;;0;;;;0;0;0;L1760139;8196;;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Artabotrys;
Artabotrys R.Br.;Artabotrys;ID;Sumatra, prov. Lampung, Mt. Tanggamus.;-5.433333;104.683333;Jacobs, M;Jacobs, M  8196 ;1;5;1968;nan;<NA>;<NA>;Botany;L.1760140;0;0;0;Jacobs;;0;;;;0;0;0;L1760140;8196;;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Artabotrys;
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;ID;sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8284 ;9;5;1968;nan;<NA>;<NA>;Botany;L.1767640;0;0;0;Jacobs;;0;;;;0;0;0;L1767640;8284;rumphii;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Hubera;rumphii
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;ID;sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8284 ;9;5;1968;nan;<NA>;<NA>;Botany;L  0189311;0;0;0;Jacobs;;0;;;;0;0;0;L0189311;8284;rumphii;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Hubera;rumphii
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;ID;NW of Kota Agung;-5.38333;104.417;Jacobs, M;Collector Number: 8284;9;5;1968;nan;<NA>;BPBM;BISH;41562;0;0;0;Collector;;0;;;;0;0;0;BISH41562;8284;rumphii;Jacobs, M.;<NA>;Jacobs;<NA>;<NA>;<NA>;Hubera;rumphii
Orophea corymbosa (Blume) Miq.;Orophea;ID;Sumatra, prov. Lampung, NW of Kota Agung.;-5.383333;104.416667;Jacobs, M;Jacobs, M  8289 ;9;5;1968;Kessler, PJA;1985-08-01T00:00:00;<NA>;Botany;L.1766431;0;0;0;Jacobs;;0;1;8;1985;0;0;0;L1766431;8289;corymbosa;Jacobs M;Kessler PJA;Jacobs;<NA>;<NA>;<NA>;Orophea;corymbosa
Orophea corymbosa (Blume) Miq.;Orophea;ID;Sumatra, prov. Lampung, NW of Kota Agung.;-5.383333;104.416667;Jacobs, M;Jacobs, M  8289 ;9;5;1968;Kessler, PJA;1985-08-01T00:00:00;<NA>;Botany;L.1766430;0;0;0;Jacobs;;0;1;8;1985;0;0;0;L1766430;8289;corymbosa;Jacobs M;Kessler PJA;Jacobs;<NA>;<NA>;<NA>;Orophea;corymbosa
Orophea corymbosa (Blume) Miq.;Orophea;ID;Sumatra, prov. Lampung, NW of Kota Agung.;-5.383333;104.416667;Jacobs, M;Jacobs, M  8289 ;9;5;1968;Kessler, PJA;1985-08-01T00:00:00;<NA>;Botany;L  0183564;0;0;0;Jacobs;;0;1;8;1985;0;0;0;L0183564;8289;corymbosa;Jacobs M;Kessler PJA;Jacobs;<NA>;<NA>;<NA>;Orophea;corymbosa
Orophea Blume;Orophea;ID;NW of Kota Agung;-5.38333;104.417;Jacobs, M;Collector Number: 8289;9;5;1968;nan;<NA>;BPBM;BISH;41610;0;0;0;Collector;;0;;;;0;0;0;BISH41610;8289;corymbosa;Jacobs, M.;<NA>;Jacobs;<NA>;<NA>;<NA>;Orophea;
Fissistigma Griff.;Fissistigma;ID;Sumatra, prov. Lampung, NW of Kota Agung.;-5.383333;104.416667;Jacobs, M;Jacobs, M  8290 ;9;5;1968;nan;<NA>;<NA>;Botany;L.1754590;0;0;0;Jacobs;;0;;;;0;0;0;L1754590;8290;;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Fissistigma;
Fissistigma Griff.;Fissistigma;ID;Sumatra, prov. Lampung, NW of Kota Agung.;-5.383333;104.416667;Jacobs, M;Jacobs, M  8290 ;9;5;1968;nan;<NA>;<NA>;Botany;L.1754589;0;0;0;Jacobs;;0;;;;0;0;0;L1754589;8290;;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Fissistigma;
Fissistigma Griff.;Fissistigma;ID;Sumatra, Prov. Lampung, NW of Koita Agugn;-5.38333;104.417;Jacobs, M;Collector Number: 8290;9;5;1968;nan;<NA>;BPBM;BISH;41578;0;0;0;Collector;;0;;;;0;0;0;BISH41578;8290;;Jacobs, M.;<NA>;Jacobs;<NA>;<NA>;<NA>;Fissistigma;
Mezzettia parviflora Becc.;Mezzettia;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8308 ;10;5;1968;Kessler, PJA;1989-06-01T00:00:00;<NA>;Botany;L.1761753;0;0;0;Jacobs;;0;1;6;1989;0;0;0;L1761753;8308;parviflora;Jacobs M;Kessler PJA;Jacobs;<NA>;<NA>;<NA>;Mezzettia;parviflora
Mezzettia parviflora Becc.;Mezzettia;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8308 ;10;5;1968;Kessler, PJA;1989-06-01T00:00:00;<NA>;Botany;L  0187839;0;0;0;Jacobs;;0;1;6;1989;0;0;0;L0187839;8308;parviflora;Jacobs M;Kessler PJA;Jacobs;<NA>;<NA>;<NA>;Mezzettia;parviflora
Fissistigma Griff.;Fissistigma;ID;Sumatra, prov. Lampung, NW of Kota Agung.;-5.383333;104.416667;Jacobs, M;Jacobs, M  8310 ;10;5;1968;Meade, CV;1999-05-01T00:00:00;<NA>;Botany;L.1754585;0;0;0;Jacobs;;0;1;5;1999;0;0;0;L1754585;8310;;Jacobs M;Meade CV;Jacobs;<NA>;<NA>;<NA>;Fissistigma;
Fissistigma Griff.;Fissistigma;ID;Sumatra, prov. Lampung, NW of Kota Agung.;-5.383333;104.416667;Jacobs, M;Jacobs, M  8310 ;10;5;1968;Meade, CV;1999-05-01T00:00:00;<NA>;Botany;L.1754586;0;0;0;Jacobs;;0;1;5;1999;0;0;0;L1754586;8310;;Jacobs M;Meade CV;Jacobs;<NA>;<NA>;<NA>;Fissistigma;
Fissistigma Griff.;Fissistigma;ID;Sumatra, prov. Lampung, NW of Kota Agung.;-5.383333;104.416667;Jacobs, M;Jacobs, M  8310 ;10;5;1968;Meade, CV;1999-05-01T00:00:00;<NA>;Botany;L  0197269;0;0;0;Jacobs;;0;1;5;1999;0;0;0;L0197269;8310;;Jacobs M;Meade CV;Jacobs;<NA>;<NA>;<NA>;Fissistigma;
Uvaria L.;Fissistigma;ID;Sumatra, Prov. Lampung, NW of Koita Agugn;-5.38333;104.417;Jacobs, M;Collector Number: 8310;10;5;1968;nan;<NA>;BPBM;BISH;40937;0;0;0;Collector;;0;;;;0;0;0;BISH40937;8310;;Jacobs, M.;<NA>;Jacobs;<NA>;<NA>;<NA>;Uvaria;
Monoon membranifolium (J.Sinclair) B.Xue & R.M.K.Saunders;Enicosanthum;ID;Sumatra, prov. Lampung, NW of Kota Agung.;-5.383333;104.416667;Jacobs, M;Jacobs, M  8313 ;10;5;1968;Nurmawati, S;2017-08-01T00:00:00;<NA>;Botany;L.1763419;0;0;0;Jacobs;;0;1;8;2017;0;0;0;L1763419;8313;membranifolium;Jacobs M;Nurmawati S;Jacobs;<NA>;<NA>;<NA>;Enicosanthum;membranifolium
Monoon membranifolium (J.Sinclair) B.Xue & R.M.K.Saunders;Enicosanthum;ID;Sumatra, prov. Lampung, NW of Kota Agung.;-5.383333;104.416667;Jacobs, M;Jacobs, M  8313 ;10;5;1968;Nurmawati, S;2017-08-01T00:00:00;<NA>;Botany;L  0190510;0;0;0;Jacobs;;0;1;8;2017;0;0;0;L0190510;8313;membranifolium;Jacobs M;Nurmawati S;Jacobs;<NA>;<NA>;<NA>;Enicosanthum;membranifolium
Polyalthia Blume;Enicosanthum;ID;Sumatra, Prov. Lampung, NW of Koita Agugn;-5.38333;104.417;Jacobs, M;Collector Number: 8313;10;5;1968;nan;<NA>;BPBM;BISH;40938;0;0;0;Collector;;0;;;;0;0;0;BISH40938;8313;membranifolium;Jacobs, M.;<NA>;Jacobs;<NA>;<NA>;<NA>;Polyalthia;
Pseuduvaria Miq.;Pseuduvaria;ID;"Indonesia, Sumatra, Lampung Province, NW of Kota Agung5.23 S; 104.25 E; 350 - 450 m alt.";-5.383333;104.416667;Jacobs, M;Jacobs, M  8318 ;11;5;1968;Kessler, PJA;1988-05-01T00:00:00;<NA>;Botany;L.1764648;0;0;0;Jacobs;;0;1;5;1988;0;0;0;L1764648;8318;;Jacobs M;Kessler PJA;Jacobs;<NA>;<NA>;<NA>;Pseuduvaria;
Polyalthia Blume;Pseuduvaria;ID;Sumatra, Prov. Lampung, NW of Koita Agugn;-5.38333;104.417;Jacobs, M;Collector Number: 8318;11;5;1968;nan;<NA>;BPBM;BISH;41430;0;0;0;Collector;;0;;;;0;0;0;BISH41430;8318;;Jacobs, M.;<NA>;Jacobs;<NA>;<NA>;<NA>;Polyalthia;
Meiogyne virgata (Blume) Miq.;Meiogyne;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8322 ;11;5;1968;Heusden, ECH van;<NA>;<NA>;Botany;L.1756981;0;0;0;Jacobs;;0;;;;0;0;0;L1756981;8322;virgata;Jacobs M;Heusden ECH van;Jacobs;<NA>;<NA>;<NA>;Meiogyne;virgata
Meiogyne virgata (Blume) Miq.;Meiogyne;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8322 ;11;5;1968;Heusden, ECH van;<NA>;<NA>;Botany;L  0187838;0;0;0;Jacobs;;0;;;;0;0;0;L0187838;8322;virgata;Jacobs M;Heusden ECH van;Jacobs;<NA>;<NA>;<NA>;Meiogyne;virgata
Polyalthia Blume;Polyalthia;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8323 ;11;5;1968;nan;<NA>;<NA>;Botany;L.1763409;0;0;0;Jacobs;;0;;;;0;0;0;L1763409;8323;;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Polyalthia;
Polyalthia Blume;Polyalthia;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8323 ;11;5;1968;nan;<NA>;<NA>;Botany;L  0195473;0;0;0;Jacobs;;0;;;;0;0;0;L0195473;8323;;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Polyalthia;
Cyathocalyx hexagynus (Miq.) R.J.Wang & R.M.K.Saunders;Drepananthus;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8328 ;11;5;1968;Wang, R;2004-01-01T00:00:00;<NA>;Botany;L.1755975;0;0;0;Jacobs;;0;1;1;2004;0;0;0;L1755975;8328;hexagynus;Jacobs M;Wang R;Jacobs;<NA>;<NA>;<NA>;Drepananthus;hexagynus
Cyathocalyx hexagynus (Miq.) R.J.Wang & R.M.K.Saunders;Drepananthus;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8328 ;11;5;1968;Wang, R;2004-01-01T00:00:00;<NA>;Botany;L.1755974;0;0;0;Jacobs;;0;1;1;2004;0;0;0;L1755974;8328;hexagynus;Jacobs M;Wang R;Jacobs;<NA>;<NA>;<NA>;Drepananthus;hexagynus
Cyathocalyx Champ. ex Hook.f. & Thomson;Drepananthus;ID;NW of Kota Agung;-5.38333;104.417;Jacobs, M;Collector Number: 8328;11;5;1968;nan;<NA>;BPBM;BISH;41602;0;0;0;Collector;;0;;;;0;0;0;BISH41602;8328;hexagynus;Jacobs, M.;<NA>;Jacobs;<NA>;<NA>;<NA>;Cyathocalyx;
Polyalthia clavigera King;Polyalthia;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8360 ;12;5;1968;nan;<NA>;<NA>;Botany;L  0299146;0;0;0;Jacobs;;0;;;;0;0;0;L0299146;8360;anomala;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Polyalthia;anomala
Polyalthia clavigera King;Polyalthia;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8360 ;12;5;1968;nan;<NA>;<NA>;Botany;L.1762798;0;0;0;Jacobs;;0;;;;0;0;0;L1762798;8360;anomala;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Polyalthia;anomala
Polyalthia clavigera King;Polyalthia;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8360 ;12;5;1968;nan;<NA>;<NA>;Botany;L.1762799;0;0;0;Jacobs;;0;;;;0;0;0;L1762799;8360;anomala;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Polyalthia;anomala
Polyalthia clavigera King;Polyalthia;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8360 ;12;5;1968;nan;<NA>;<NA>;Botany;L  0188836;0;0;0;Jacobs;;0;;;;0;0;0;L0188836;8360;anomala;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Polyalthia;anomala
Polyalthia clavigera King;Polyalthia;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8360 ;12;5;1968;nan;<NA>;<NA>;Botany;L  0197135;0;0;0;Jacobs;;0;;;;0;0;0;L0197135;8360;anomala;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Polyalthia;anomala
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8465 ;17;5;1968;nan;<NA>;<NA>;Botany;L.1753305;0;0;0;Jacobs;;0;;;;0;0;0;L1753305;8465;odorata;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Cananga;odorata
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8465 ;17;5;1968;nan;<NA>;<NA>;Botany;L.1052089;0;0;0;Jacobs;;0;;;;0;0;0;L1052089;8465;odorata;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Cananga;odorata
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8465 ;17;5;1968;nan;<NA>;<NA>;Botany;L.1052090;0;0;0;Jacobs;;0;;;;0;0;0;L1052090;8465;odorata;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Cananga;odorata
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;ID;Sumatra, prov. Lampung, NW of Kota Agung;-5.383333;104.416667;Jacobs, M;Jacobs, M  8465 ;17;5;1968;nan;<NA>;<NA>;Botany;L  0197095;0;0;0;Jacobs;;0;;;;0;0;0;L0197095;8465;odorata;Jacobs M;<NA>;Jacobs;<NA>;<NA>;<NA>;Cananga;odorata
Cananga (DC.) Hook.f. & Thomson;Cananga;ID;Sumatra, Prov. Lampung, NW of Koita Agugn;-5.38333;104.417;Jacobs, M;Collector Number: 8465;17;5;1968;nan;<NA>;BPBM;BISH;41566;0;0;0;Collector;;0;;;;0;0;0;BISH41566;8465;odorata;Jacobs, M.;<NA>;Jacobs;<NA>;<NA>;<NA>;Cananga;
Orophea Blume;Orophea;ID;<NA>;-5.383333;104.416667;Jacobs, M;Jacobs, M  8486 ;18;5;1968;nan;1999-07-01T00:00:00;<NA>;Botany;L.1758941;0;0;0;Jacobs;;0;1;7;1999;0;0;0;L1758941;8486;;Jacobs M;Leonardía AAP;Jacobs;<NA>;<NA>;<NA>;Orophea;
Orophea Blume;Orophea;ID;<NA>;-5.383333;104.416667;Jacobs, M;Jacobs, M  8486 ;18;5;1968;nan;1999-07-01T00:00:00;<NA>;Botany;L.1758942;0;0;0;Jacobs;;0;1;7;1999;0;0;0;L1758942;8486;;Jacobs M;Leonardía AAP;Jacobs;<NA>;<NA>;<NA>;Orophea;
Mitrephora (Blume) Hook.f. & Thomson;Orophea;ID;NW of Kota Agung;-5.38333;104.417;Jacobs, M;Collector Number: 8486;18;5;1968;nan;<NA>;BPBM;BISH;11593;0;0;0;Collector;;0;;;;0;0;0;BISH11593;8486;;Jacobs, M.;<NA>;Jacobs;<NA>;<NA>;<NA>;Mitrephora;
Monoon sympetalum (Merr.) B.Xue & R.M.K.Saunders;Woodiellantha;ID;Sumatra, prov. Lampung, NW of Kota Agung.;-5.383333;104.416667;Jacobs, M;Jacobs, M  8510 ;19;5;1968;Nurmawati, S;2017-08-01T00:00:00;<NA>;Botany;L.1763561;0;0;0;Jacobs;;0;1;8;2017;0;0;0;L1763561;8510;sympetala;Jacobs M;Nurmawati S;Jacobs;<NA>;<NA>;<NA>;Woodiellantha;sympetala
Monoon sympetalum (Merr.) B.Xue & R.M.K.Saunders;Woodiellantha;ID;Sumatra, prov. Lampung, NW of Kota Agung.;-5.383333;104.416667;Jacobs, M;Jacobs, M  8510 ;19;5;1968;Nurmawati, S;2017-08-01T00:00:00;<NA>;Botany;L  0190511;0;0;0;Jacobs;;0;1;8;2017;0;0;0;L0190511;8510;sympetala;Jacobs M;Nurmawati S;Jacobs;<NA>;<NA>;<NA>;Woodiellantha;sympetala
Alphonsea Hook.f. & Thomson;Alphonsea;ID;C. Sulawesi, SE of Bampres, NE of Tongoa;-1.166667;120.166667;Johansson, JT;"Johansson, JT; Nybom, H; Riebe, S JNR 400 ";16;3;1981;Kessler, PJA;1995-06-01T00:00:00;<NA>;Botany;L  0298541;0;0;0;Johansson;;0;1;6;1995;0;0;0;L0298541;400;;"Johansson JT; Nybom H; Riebe S";Kessler PJA;Johansson;Johansson, Jan Thomas;0;0;Alphonsea;
Alphonsea Hook.f. & Thomson;Alphonsea;ID;C. Sulawesi, SE of Bampres, NE of Tongoa;-1.166667;120.166667;Johansson, JT;"Johansson, JT; Nybom, H; Riebe, S JNR 400 ";16;3;1981;Kessler, PJA;1995-06-01T00:00:00;<NA>;Botany;L.1744778;0;0;0;Johansson;;0;1;6;1995;0;0;0;L1744778;400;;"Johansson JT; Nybom H; Riebe S";Kessler PJA;Johansson;Johansson, Jan Thomas;0;0;Alphonsea;
Alphonsea Hook.f. & Thomson;Alphonsea;ID;C. Sulawesi, SE of Bampres, NE of Tongoa;-1.166667;120.166667;Johansson, JT;"Johansson, JT; Nybom, H; Riebe, S JNR 400 ";16;3;1981;Kessler, PJA;1995-06-01T00:00:00;<NA>;Botany;L  0772031;0;0;0;Johansson;;0;1;6;1995;0;0;0;L0772031;400;;"Johansson JT; Nybom H; Riebe S";Kessler PJA;Johansson;Johansson, Jan Thomas;0;0;Alphonsea;
Alphonsea Hook.f. & Thomson;Alphonsea;ID;C. Sulawesi, SE of Bampres, NE of Tongoa;-1.166667;120.166667;Johansson, JT;"Johansson, JT; Nybom, H; Riebe, S JNR 400 ";16;3;1981;Kessler, PJA;1995-06-01T00:00:00;<NA>;Botany;L  0186282;0;0;0;Johansson;;0;1;6;1995;0;0;0;L0186282;400;;"Johansson JT; Nybom H; Riebe S";Kessler PJA;Johansson;Johansson, Jan Thomas;0;0;Alphonsea;
Annonaceae;<NA>;ID;Flora of Mount Jaya, Papua, Indonesia (New Guinea). Mimika Regency, PT-Freeport Indonesia Concession Area: Golf Course-undisturbed rain forest surrounding the course.;-4.4;136.866667;Johns, RJ;"Johns, RJ; et al.  9837 ";12;3;1999;nan;<NA>;<NA>;Botany;L.3728217;0;0;0;Johns;;0;;;;0;0;0;L3728217;9837;;"Johns RJ; et al.";<NA>;Johns;Johns, Robert James;Indonesia, Papua New Guinea;0;<NA>;
Annonaceae;<NA>;ID;Mt. Jaya, PT-Freeport Indonesia Concession Area, Golf Course;-4.4;136.867;Johns, RJ;Collector Number: 9837;12;3;1999;nan;<NA>;BPBM;BISH;721681;0;0;0;Collector;;0;;;;0;0;0;BISH721681;9837;;Johns, R.J. et al.;<NA>;Johns;Johns, Robert James;Indonesia, Papua New Guinea;0;<NA>;
Pseuduvaria Miq.;Pseuduvaria;ID;Flora of Mount Jaya, Papua, Indonesia (New Guinea). Mimika Regency, PT-Freeport Indonesia Concession Area: Golf Course- undisturbed rain forest surrounding the course.;-4.4;136.866667;Johns, RJ;"Johns, RJ; et al.  9852 ";12;3;1999;nan;<NA>;<NA>;Botany;L.3728212;0;0;0;Johns;;0;;;;0;0;0;L3728212;9852;;"Johns RJ; et al.";<NA>;Johns;Johns, Robert James;Indonesia, Papua New Guinea;0;Pseuduvaria;
