recorded_by;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51
;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, ADE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, ED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, E.D.;Merrill, ED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M;;;;;;;;;;;;;;;;;;;;;;;;
;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M;;;;;;;;;;;;;;;;;;;;;;;;
;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;;;;;;;;;;;;;;;;;;;;;;;;;;
;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;Teijsmann;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yates, H.S.;Yates, H.S.;Yates, H.S.;Yates, H.S.;Yates, H.S.;Yates, H.S.;Yates, H.S.;Yates, H.S.;Yates, H.S.;Yates, H.S.;Yates, H.S.;Yates, H.S.;Yates, H.S.;Yates, H.S.;Yates, H.S.;Yates, HS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Forman, L.L.;Forman, L.L.;Forman, L.L.;Forman, L.L.;Forman, L.L.;Forman, L.L.;Forman, L.L.;Forman, L.L.;Forman, L.L.;Forman, L.L.;Forman, L.L.;Forman, L.L.;Forman, L.L.;Forman, L.L.;Forman, L.L.;Forman, LL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, ADE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M;;;;;;;;;;;;;;;;;;;;;;;;
;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, ADE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, ADE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M.;Ramos, M;;;;;;;;;;;;;;;;;;;;;;;;
;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;Zollinger;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;Kostermans;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N.;Wirawan, N;;;;;;;;;;;;;;;;;;;;;;;;
;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, A.D.E.;Elmer, ADE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
