recorded_by;scientific_name;genus;country_id;locality;ddlat;ddlong;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;tmp_det_date;barcode;colnum;specific_epithet;expert_det;orig_recby;orig_detby;coll_surname;recby_regex;huh_name;geo_col;wiki_url;genus_old;specific_epithet_old
Elmer, Adolph Daniel Edward;Uvaria nudistellata Elmer;Uvaria;PH;Puerto Princesa (Mount Pulgar);10.2204165;119.200154;13015;;4;1911;Turner, IM;<NA>;NHMUK;BOT;BM0-00885795;0;0;0;;;0;0;0;0;0;0;0;;BM0-00885795;13015;concava;;Adolph Daniel Edward Elmer;Ian Mark Turner;Elmer;Elmer, ADE;Elmer, Adolph Daniel Edward;Indonesia, Philippines, United States of America;0;Uvaria;concava
Elmer, Adolph Daniel Edward;Uvaria nudistellata Elmer;Uvaria;PH;Puerto Princesa (Mount Pulgar);10.2204165;119.200154;13015;;4;1911;Turner, IM;<NA>;NHMUK;BOT;BM0-00885795;0;0;0;;;0;0;0;0;0;0;0;;BM0-00885795;13015;concava;;Adolph Daniel Edward Elmer;Ian Mark Turner;Elmer;Elmer, ADE;Elmer, Adolph Daniel Edward;Indonesia, Philippines, United States of America;0;Uvaria;concava
