scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detByDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy;to_check
Anaxagorea radiata C.B.Rob.;Anaxagorea;PH;Philippines, Mindanao, Cotabato, Bugasan, Parang.;7.44083;124.25917;Edaño GE;Edaño, GE PNH 1508 ;10;12;1946;nan;;nan;Botany;L.1092828;javanica;0;0;Eda;;0;0;0;0;0;0;0;0;L1092828;1508;Edaño GE;Edaño GE
Anaxagorea radiata C.B.Rob.;Anaxagorea;PH;Philippines, Mindanao, Cotabato, Bugasan, Parang.;7.44083;124.25917;Edaño GE;Edaño, GE PNH 1508 ;10;12;1946;nan;;nan;Botany;L.1092830;javanica;0;0;Eda;;0;0;0;0;0;0;0;0;L1092830;1508;Edaño GE;Edaño GE
Anaxagorea radiata C.B.Rob.;Anaxagorea;PH;Philippines, Mindanao, Cotabato, Bugasan, Parang.;7.44083;124.25917;Edaño GE;Edaño, GE PNH 1508 ;10;12;1946;nan;;nan;Botany;L.1051975;javanica;0;0;Eda;;0;0;0;0;0;0;0;0;L1051975;1508;Edaño GE;Edaño GE
Anaxagorea radiata C.B.Rob.;Anaxagorea;PH;Philippines, Mindanao, Cotabato, Bugasan, Parang.;7.44083;124.25917;Edaño GE;Edaño, GE PNH 1508 ;10;12;1946;nan;;nan;Botany;L.1051976;javanica;0;0;Eda;;0;0;0;0;0;0;0;0;L1051976;1508;Edaño GE;Edaño GE
Uvaria elliptifolia Merr.;Uvaria;PH;Biliran;;;McGregor RC;McGregor, RC BS 18878 ;1;6;1914;nan;;nan;Botany;L  0195687;elliptifolia;0;0;McGregor;;0;0;0;0;0;0;0;0;L0195687;18878;McGregor RC;McGregor RC
Meiogyne cylindrocarpa (Burck) Heusden;Meiogyne;PH;Philippines, Palawan, Lipuun, Quezon;9.0;118.0;Gutiérrez HG;"Gutiérrez, HG; Espiritu, RA PNH 80816 ";28;5;1963;Heusden ECH van;;nan;Botany;L  0187655;cylindrocarpa;0;0;Guti;;0;0;0;0;0;0;0;0;L0187655;80816;"Gutiérrez HG; Espiritu RA";Gutiérrez HG
Cyathocalyx crassipetalus R.J.Wang & R.M.K.Saunders;Drepananthus;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez HG;"Gutiérrez, HG; et al. PNH 117083 ";1;5;1969;Wang RJ;2004-03-01T00:00:00;nan;Botany;L  0181755;crassipetalus;0;0;Guti;;0;0;0;0;0;0;0;0;L0181755;117083;"Gutiérrez HG; et al.";Gutiérrez HG
Cyathocalyx crassipetalus R.J.Wang & R.M.K.Saunders;Drepananthus;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez HG;"Gutiérrez, HG; et al. PNH 117083 ";1;5;1969;Wang RJ;2004-03-01T00:00:00;nan;Botany;L  0181756;crassipetalus;0;0;Guti;;0;0;0;0;0;0;0;0;L0181756;117083;"Gutiérrez HG; et al.";Gutiérrez HG
Cyathocalyx crassipetalus R.J.Wang & R.M.K.Saunders;Drepananthus;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez HG;"Gutiérrez, HG; et al. PNH 117088 ";1;5;1969;Wang RJ;2004-03-01T00:00:00;nan;Botany;L  0181763;crassipetalus;0;0;Guti;;0;0;0;0;0;0;0;0;L0181763;117088;"Gutiérrez HG; et al.";Gutiérrez HG
Cyathocalyx crassipetalus R.J.Wang & R.M.K.Saunders;Drepananthus;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez HG;"Gutiérrez, HG; et al. PNH 117088 ";1;5;1969;Wang RJ;2004-03-01T00:00:00;nan;Botany;L  0181762;crassipetalus;0;0;Guti;;0;0;0;0;0;0;0;0;L0181762;117088;"Gutiérrez HG; et al.";Gutiérrez HG
Cyathocalyx samarensis R.J.Wang & R.M.K.Saunders;Drepananthus;PH;Mt. Sohoton, Pamamayaon.;11.45;125.2;Gutiérrez HG;"Gutiérrez, HG; et al. PNH 117562 ";1;4;1970;Wang R;2004-03-01T00:00:00;nan;Botany;L  0181758;samarensis;0;0;Guti;;0;0;0;0;0;0;0;0;L0181758;117562;"Gutiérrez HG; et al.";Gutiérrez HG
Cyathocalyx samarensis R.J.Wang & R.M.K.Saunders;Drepananthus;PH;Mt. Sohoton, Pamamayaon.;11.45;125.2;Gutiérrez HG;"Gutiérrez, HG; et al. PNH 117562 ";1;4;1970;Wang R;2004-03-01T00:00:00;nan;Botany;L  0181757;samarensis;0;0;Guti;;0;0;0;0;0;0;0;0;L0181757;117562;"Gutiérrez HG; et al.";Gutiérrez HG
Cyathocalyx samarensis R.J.Wang & R.M.K.Saunders;Drepananthus;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez HG;"Gutiérrez, HG; et al. PNH 117059 ";1;5;1969;Wang R;2004-03-01T00:00:00;nan;Botany;L  0181761;samarensis;0;0;Guti;;0;0;0;0;0;0;0;0;L0181761;117059;"Gutiérrez HG; et al.";Gutiérrez HG
Orophea merrillii Kessler;Orophea;PH;Philippines, Mindoro, Mt. Halcon.;13.266111;121.004722;Edaño GE;Edaño, GE PNH 3399 ;27;1;1948;Kessler PJA;1985-11-01T00:00:00;nan;Botany;L  0038093;merrillii;0;0;Eda;;0;0;0;0;0;0;0;0;L0038093;3399;Edaño GE;Edaño GE
