scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detByDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy;to_check
Goniothalamus amuyon (Blanco) Merr.;Goniothalamus;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Tang, C. C. 20100907 (HKU);amuyon;0;0;nan;nan;0;0;0;0;0;0;0;0;T20100907;nan;;<NA>
Goniothalamus elmeri Merr.;Goniothalamus;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Rosario et al. 11-014 (University of Santo Tomas Herbarium);elmeri;0;0;nan;nan;0;0;0;0;0;0;0;0;R11;nan;;<NA>
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Tang, C. C. TCC10 (HKU);nan;0;0;nan;nan;0;0;0;0;0;0;0;0;T10;nan;;<NA>
Drepananthus longiflorus C.B.Rob.;Drepananthus;PH;Mindoro;;;<NA>;nan;;;;nan;;nan;nan;C.E.Ridsdale 1258 (NY);acuminatus;0;0;nan;nan;0;0;0;0;0;0;0;0;C1258;nan;;<NA>
Pseuduvaria philippinensis Merr.;Pseuduvaria;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Ramos, M. BSN 24449 (SING);philippinensis;0;0;nan;nan;0;0;0;0;0;0;0;0;R24449;nan;;<NA>
Pseuduvaria mindorensis Y.C.F.Su & R.M.K.Saunders;Pseuduvaria;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Ridsdale, C.E. 883 (L);mindorensis;0;0;nan;nan;0;0;0;0;0;0;0;0;R883;nan;;<NA>
Pseuduvaria luzonensis (Merr.) Y.C.F.Su & R.M.K.Saunders;Pseuduvaria;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;de la Fuentes, R. 38732 (L);luzonensis;0;0;nan;nan;0;0;0;0;0;0;0;0;F38732;nan;;<NA>
Pseuduvaria unguiculata (Elmer) Y.C.F.Su & R.M.K.Saunders;Pseuduvaria;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Escritor, L. BS 20834 (L);unguiculata;0;0;nan;nan;0;0;0;0;0;0;0;0;E20834;nan;;<NA>
Drepananthus apoensis Elmer;Drepananthus;PH;Todaya (Mt. Apo), Island of Mindanao;;;A. D. E. Elmer;10843;;6;1909;H. G. Bedell;1988-01-01T00:00:00;BRIT;nan;BRIT476655;apoensis;0;0;;;0;0;0;0;0;0;0;0;BRIT476655;10843;A. D. E. Elmer;A. D. E. Elmer
Orophea submaculata Elmer;Orophea;PH;Puerto Princesa (Mt. Pulgar), Island of Palawan;;;A. D. E. Elmer;13018;;4;1911;H.G. Bedell;1988-01-01T00:00:00;BRIT;nan;BRIT476605;cumingiana;0;0;;;0;0;0;0;0;0;0;0;BRIT476605;13018;A. D. E. Elmer;A. D. E. Elmer
Orophea submaculata Elmer;Orophea;PH;Puerto Princesa (Mt. Pulgar), Island of Palawan;;;A. D. E. Elmer;13099;;4;1911;H. G. Bedell;1988-01-01T00:00:00;BRIT;nan;BRIT476603;cumingiana;0;0;;;0;0;0;0;0;0;0;0;BRIT476603;13099;A. D. E. Elmer;A. D. E. Elmer
Orophea unguiculata Elmer;Pseuduvaria;PH;Cabadbaran (Mt. Urdaneta), Island of Mindanao;;;A. D. E. Elmer;13286;;7;1912;H. G Bedell;1988-01-01T00:00:00;BRIT;nan;BRIT476602;unguiculata;0;0;;;0;0;0;0;0;0;0;0;BRIT476602;13286;A. D. E. Elmer;A. D. E. Elmer
Orophea palawanensis Elmer;Orophea;PH;Brooks Point (Addison Peak), Island of Palawan;;;A. D. E. Elmer;12645;;2;1911;H.G. Bedell;1988-01-01T00:00:00;BRIT;nan;BRIT476607;creaghii;0;0;;;0;0;0;0;0;0;0;0;BRIT476607;12645;A. D. E. Elmer;A. D. E. Elmer
Goniothalamus gitingensis Elmer;Goniothalamus;PH;Magallanes, (Mt. Giting-Giting), Province of Capiz, Island of Sibuyan;;;A. D. E. Elmer;12507;1;5;1910;T. Zanoni;1993-01-01T00:00:00;BRIT;nan;BRIT23670;amuyon;0;0;;;0;0;0;0;0;0;0;0;BRIT23670;12507;A. D. E. Elmer;A. D. E. Elmer
Goniothalamus epiphyticus Elmer;Goniothalamus;PH;Cabadbaran (Mt. Urdaneta), Island of Mindanao;;;A. D. E. Elmer;13830;;9;1912;H. G Bedell;1988-01-01T00:00:00;BRIT;nan;BRIT476601;epiphyticus;0;0;;;0;0;0;0;0;0;0;0;BRIT476601;13830;A. D. E. Elmer;A. D. E. Elmer
Mitrephora viridifolia Elmer;Neo-Uvaria;PH;Mt. Urdaneta.;;;A. D. E. Elmer;14184;1;7;1912;nan;;BRIT;nan;BRIT23818;acuminatissima;0;0;;;0;0;0;0;0;0;0;0;BRIT23818;14184;A. D. E. Elmer;A. D. E. Elmer
Orophea palawanensis Elmer;Orophea;PH;Puerto Princesa (Mt. Pulgar), Island of Palawan;;;A. D. E. Elmer;12858;;3;1911;H.G. Bedell;1988-01-01T00:00:00;BRIT;nan;BRIT476606;creaghii;0;0;;;0;0;0;0;0;0;0;0;BRIT476606;12858;A. D. E. Elmer;A. D. E. Elmer
Drepananthus apoensis Elmer;Drepananthus;PH;Todaya (Mt. Apo), Island of Mindanao;;;A. D. E. Elmer;nan;;8;1909;H.G. Bedell;1988-01-01T00:00:00;BRIT;nan;BRIT476652;apoensis;0;0;nan;nan;0;0;0;0;0;0;0;0;BRIT476652;nan;A. D. E. Elmer;A. D. E. Elmer
Mitrephora ellipanthoides Elmer;Pseuduvaria;PH;Cabadbaran, (Mt. Urdaneta) Province of Agusan, Island of Mindanao;;;A. D. E. Elmer;13987;1;7;1912;T. Zanoni;1993-01-01T00:00:00;BRIT;nan;BRIT23817;unguiculata;0;0;;;0;0;0;0;0;0;0;0;BRIT23817;13987;A. D. E. Elmer;A. D. E. Elmer
Friesodielsia paucinervia (Merr.) Steenis;Meiogyne;PH;Mt. Urdaneta.;;;A. D. E. Elmer;13946;1;9;1912;A. K. Neill;2013-09-13T00:00:00;BRIT;nan;BRIT23848;virgata;0;0;;;0;0;0;0;0;0;0;0;BRIT23848;13946;A. D. E. Elmer;A. D. E. Elmer
Mitrephora aversa Elmer;Orophea;PH;Cabadbaran, (Mt. Urdaneta) Province of Agusan, Island of Mindanao;;;A. D. E. Elmer;13985;1;7;1912;T. Zanoni;1993-01-01T00:00:00;BRIT;nan;BRIT23816;cumingiana;0;0;;;0;0;0;0;0;0;0;0;BRIT23816;13985;A. D. E. Elmer;A. D. E. Elmer
Meiogyne lucida Elmer;Meiogyne;PH;Cabadbaran (Mt. Urdaneta). Island of Mindanao.;;;A. D. E. Elmer;13984;;7;1912;A. D. E. Elmer;;POM;VascularPlants;RSA0448689;virgata;0;0;;;0;0;0;0;0;0;0;0;RSA0448689;13984;A. D. E. Elmer;A. D. E. Elmer
Dasymaschalon clusiflorum (Merr.) Merr.;Dasymaschalon;PH;Todaya (Mt. Apo). District of Davao.;;;Adolph D.E. Elmer;Elmer 11721;;9;1909;D.M. Johnson (OWU);2020-01-01T00:00:00;MO;MO;101396327;clusiflorum;0;0;Elmer;;0;0;0;0;0;0;0;0;MO101396327;11721;Adolph D.E. Elmer;Adolph D.E. Elmer
Uvaria concava Teijsm. & Binn.;Uvaria;PH;Cabadbaran (Mt. Urdaneta). Province of Agusan. Island of Mindanao.;;;Adolph D.E. Elmer;Elmer 13880;;9;1912;D.M. Johnson (OWU);2020-01-01T00:00:00;MO;MO;101396318;concava;0;0;Elmer;;0;0;0;0;0;0;0;0;MO101396318;13880;Adolph D.E. Elmer;Adolph D.E. Elmer
Huberantha jenkinsii (Hook.f. & Thomson) Chaowasku;Hubera;PH;Cabadbaran (Mt. Urdaneta). Province of Agusan.;;;Adolph D.E. Elmer;Elmer 13654;;8;1912;D.M. Johnson (OWU);2020-01-01T00:00:00;MO;MO;101390478;jenkinsii;0;0;Elmer;;0;0;0;0;0;0;0;0;MO101390478;13654;Adolph D.E. Elmer;Adolph D.E. Elmer
Papualthia Diels;Papualthia;PH;Luzon Island. Region IV: Laguna Province, Bagong Silang Barangay, Mt. Makiling, from end of road at Agila Gate to Malaboo camp site. WGS84. N-facing 10-30% slope.;;;E. S. Fernando, P. W. Fritsch;2433;6;5;2011;nan;;US;US;US 3747556;nan;0;0;;;0;0;0;0;0;0;0;0;US3747556;2433;E. S. Fernando, P. W. Fritsch & D. S. Penneys;, P. W. Fritsch
Polyalthia lanceolata S.Vidal;Haplostichanthus;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;J. Sinclair & al. 9581 (L);lanceolata;0;0;nan;nan;0;0;0;0;0;0;0;0;J9581;nan;;<NA>
Cyathocalyx globosus Merr.;Cyathocalyx;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;48315 (NY);globosus;0;0;nan;nan;0;0;0;0;0;0;0;0;NY48315;nan;;<NA>
Pseuduvaria macgregorii Merr.;Pseuduvaria;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Soejarto, D.D. et al. 7985 (L);macgregorii;0;0;nan;nan;0;0;0;0;0;0;0;0;S7985;nan;;<NA>
Goniothalamus palawanensis C.C.Tang & R.M.K.Saunders;Goniothalamus;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Tang, C. C. TCC12 (HKU);palawanensis;0;0;nan;nan;0;0;0;0;0;0;0;0;T12;nan;;<NA>
Uvaria rufa (Dunal) Blume;Uvaria;PH;nan;;;<NA>;"7982; 11958; 17418";1;1;1917;nan;;KAG;KAG;KAG002873;rufa;0;0;;;0;0;0;0;0;0;0;0;KAG002873;7982;;<NA>
Uvaria rufa (Dunal) Blume;Uvaria;PH;nan;;;<NA>;"5796; 10328; 26227";8;6;1915;nan;;KAG;KAG;KAG002874;rufa;0;0;;;0;0;0;0;0;0;0;0;KAG002874;5796;;<NA>
Uvaria L.;Uvaria;PH;nan;;;<NA>;"7978; 11954; 17933";1;6;1917;nan;;KAG;KAG;KAG002875;nan;0;0;;;0;0;0;0;0;0;0;0;KAG002875;7978;;<NA>
Annonaceae;nan;PH;nan;;;<NA>;29272;18;11;1964;nan;;KAG;KAG;KAG002882;nan;0;0;;;0;0;0;0;0;0;0;0;KAG002882;29272;;<NA>
Goniothalamus elmeri Merr.;Goniothalamus;PH;nan;;;<NA>;"7956; 11932; 18263";1;6;1917;nan;;KAG;KAG;KAG002887;elmeri;0;0;;;0;0;0;0;0;0;0;0;KAG002887;7956;;<NA>
Uvaria peninsula Elmer;Uvaria;PH;nan;;;<NA>;"7981; 11957; 16852";1;8;1916;nan;;KAG;KAG;KAG002869;peninsula;0;0;;;0;0;0;0;0;0;0;0;KAG002869;7981;;<NA>
Polyalthia grandifolia Elmer;Enicosanthum;PH;nan;;;<NA>;"7975; 11951; 15467";1;11;1915;nan;;KAG;KAG;KAG002861;grandifolium;0;0;;;0;0;0;0;0;0;0;0;KAG002861;7975;;<NA>
Sageraea glabra Merr.;Sageraea;PH;nan;;;<NA>;"5794; 10326; 25501";1;4;1916;nan;;KAG;KAG;KAG002864;lanceolata;0;0;;;0;0;0;0;0;0;0;0;KAG002864;5794;;<NA>
Uvaria alba Merr.;Uvaria;PH;nan;;;<NA>;"5795; 10327; 24780";1;11;1915;nan;;KAG;KAG;KAG002866;alba;0;0;;;0;0;0;0;0;0;0;0;KAG002866;5795;;<NA>
Uvaria L.;Uvaria;PH;nan;;;<NA>;29275;18;11;1964;nan;;KAG;KAG;KAG002865;nan;0;0;;;0;0;0;0;0;0;0;0;KAG002865;29275;;<NA>
Uvaria cardinalis Elmer;Uvaria;PH;nan;;;<NA>;"7979; 11955; 15550";1;11;1915;nan;;KAG;KAG;KAG002867;grandiflora;0;0;;;0;0;0;0;0;0;0;0;KAG002867;7979;;<NA>
Uvaria rufa (Dunal) Blume;Uvaria;PH;nan;;;<NA>;nan;26;8;1967;nan;;KAG;KAG;KAG002872;rufa;0;0;nan;nan;0;0;0;0;0;0;0;0;KAG002872;nan;;<NA>
Uvaria scandens C.B.Rob.;Uvaria;PH;nan;;;<NA>;"7983; 11959; 17640";7;6;1917;nan;;KAG;KAG;KAG002870;monticola;0;0;;;0;0;0;0;0;0;0;0;KAG002870;7983;;<NA>
Phaeanthus Hook.f. & Thomson;Phaeanthus;PH;nan;;;<NA>;29508;18;11;1964;nan;;KAG;KAG;KAG002858;nan;0;0;;;0;0;0;0;0;0;0;0;KAG002858;29508;;<NA>
Papualthia Diels;Papualthia;PH;nan;;;<NA>;"; ; 17649";1;6;1917;nan;;KAG;KAG;KAG002851;nan;0;0;;;0;0;0;0;0;0;0;0;KAG002851;17649;;<NA>
Papualthia bakeri Elmer;Haplostichanthus;PH;nan;;;<NA>;"; ; 18327";1;6;1917;nan;;KAG;KAG;KAG002850;lanceolata;0;0;;;0;0;0;0;0;0;0;0;KAG002850;18327;;<NA>
Papualthia lanceolata (S.Vidal) Merr.;Haplostichanthus;PH;nan;;;<NA>;"; ; 16045";1;5;1916;nan;;KAG;KAG;KAG002852;lanceolata;0;0;;;0;0;0;0;0;0;0;0;KAG002852;16045;;<NA>
Papualthia lanceolata (S.Vidal) Merr.;Haplostichanthus;PH;nan;;;<NA>;"; ; 15166";1;11;1915;nan;;KAG;KAG;KAG002853;lanceolata;0;0;;;0;0;0;0;0;0;0;0;KAG002853;15166;;<NA>
Papualthia Diels;Papualthia;PH;nan;;;<NA>;"7976; 11952; 15399";1;11;1915;nan;;KAG;KAG;KAG002854;nan;0;0;;;0;0;0;0;0;0;0;0;KAG002854;7976;;<NA>
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;nan;;;<NA>;"5792; 10324; 26858";1;6;1917;nan;;KAG;KAG;KAG002855;ophthalmicus;0;0;;;0;0;0;0;0;0;0;0;KAG002855;5792;;<NA>
Phaeanthus cumingii Miq.;Phaeanthus;PH;nan;;;<NA>;"7973; 11949; 17183";1;9;1916;nan;;KAG;KAG;KAG002856;ophthalmicus;0;0;;;0;0;0;0;0;0;0;0;KAG002856;7973;;<NA>
Orophea vulcanica Elmer;Orophea;PH;nan;;;<NA>;"7970; 11946; 16312";1;6;1916;nan;;KAG;KAG;KAG002847;cumingiana;0;0;;;0;0;0;0;0;0;0;0;KAG002847;7970;;<NA>
Polyalthia flava Merr.;Polyalthia;PH;nan;;;<NA>;"5793; 10325; 23704";1;3;1915;nan;;KAG;KAG;KAG002860;flava;0;0;;;0;0;0;0;0;0;0;0;KAG002860;5793;;<NA>
Phaeanthus Hook.f. & Thomson;Phaeanthus;PH;nan;;;<NA>;"7974; 11950; 15168";1;11;1915;nan;;KAG;KAG;KAG002857;nan;0;0;;;0;0;0;0;0;0;0;0;KAG002857;7974;;<NA>
Orophea aversa (Elmer) Merr.;Orophea;PH;nan;;;<NA>;"7963; 11939; 16208";1;5;1916;nan;;KAG;KAG;KAG002840;cumingiana;0;0;;;0;0;0;0;0;0;0;0;KAG002840;7963;;<NA>
Orophea williamsii Merr.;Orophea;PH;nan;;;<NA>;"5791; 10323; 25341";1;2;1916;nan;;KAG;KAG;KAG002848;cumingiana;0;0;;;0;0;0;0;0;0;0;0;KAG002848;5791;;<NA>
Papualthia bakeri Elmer;Haplostichanthus;PH;nan;;;<NA>;"; ; 17775";1;6;1917;nan;;KAG;KAG;KAG002849;lanceolata;0;0;;;0;0;0;0;0;0;0;0;KAG002849;17775;;<NA>
Orophea aversa (Elmer) Merr.;Orophea;PH;nan;;;<NA>;"7964; 11940; 15197";1;11;1915;nan;;KAG;KAG;KAG002841;cumingiana;0;0;;;0;0;0;0;0;0;0;0;KAG002841;7964;;<NA>
Orophea cumingiana S.Vidal;Orophea;PH;nan;;;<NA>;"7966; 11942; 17601";1;6;1917;nan;;KAG;KAG;KAG002842;cumingiana;0;0;;;0;0;0;0;0;0;0;0;KAG002842;7966;;<NA>
Orophea glabra Merr.;Orophea;PH;nan;;;<NA>;"7967; 11943; 16690";1;7;1916;nan;;KAG;KAG;KAG002844;glabra;0;0;;;0;0;0;0;0;0;0;0;KAG002844;7967;;<NA>
Orophea cumingiana S.Vidal;Orophea;PH;nan;;;<NA>;"7965; 11941; 17834";1;6;1917;nan;;KAG;KAG;KAG002843;cumingiana;0;0;;;0;0;0;0;0;0;0;0;KAG002843;7965;;<NA>
Orophea polyantha Merr.;Orophea;PH;nan;;;<NA>;"7968; 11944; 16688";1;7;1916;nan;;KAG;KAG;KAG002845;cumingiana;0;0;;;0;0;0;0;0;0;0;0;KAG002845;7968;;<NA>
Mitrephora multifolia Elmer ex Weeras. & R.M.K.Saunders;Mitrephora;PH;nan;;;<NA>;"7961; 11937; 16152";1;5;1916;nan;;KAG;KAG;KAG002836;multifolia;0;0;;;0;0;0;0;0;0;0;0;KAG002836;7961;;<NA>
Orophea vulcanica Elmer;Orophea;PH;nan;;;<NA>;"7969; 11945; 14624";1;10;1915;nan;;KAG;KAG;KAG002846;cumingiana;0;0;;;0;0;0;0;0;0;0;0;KAG002846;7969;;<NA>
Mitrephora sorsogonensis Elmer ex Weeras. & R.M.K.Saunders;Mitrephora;PH;nan;;;<NA>;"7962; 11938; 17178";1;9;1916;nan;;KAG;KAG;KAG002837;sorsogonensis;0;0;;;0;0;0;0;0;0;0;0;KAG002837;7962;;<NA>
Neo-Uvaria acuminatissima (Miq.) Airy Shaw;Neo-Uvaria;PH;nan;;;<NA>;"5788; 10320; 26807";1;4;1917;nan;;KAG;KAG;KAG002838;acuminatissima;0;0;;;0;0;0;0;0;0;0;0;KAG002838;5788;;<NA>
Meiogyne lucida Elmer;Meiogyne;PH;nan;;;<NA>;"7959; 11935; 15555";1;11;1915;nan;;KAG;KAG;KAG002830;virgata;0;0;;;0;0;0;0;0;0;0;0;KAG002830;7959;;<NA>
Mitrephora (Blume) Hook.f. & Thomson;Mitrephora;PH;nan;;;<NA>;"5790; 10322; 22339";8;7;1914;nan;;KAG;KAG;KAG002835;nan;0;0;;;0;0;0;0;0;0;0;0;KAG002835;5790;;<NA>
Miliusa Lesch. ex A.DC.;Miliusa;PH;nan;;;<NA>;"7077; 11953; 17357";1;9;1916;nan;;KAG;KAG;KAG002834;nan;0;0;;;0;0;0;0;0;0;0;0;KAG002834;7077;;<NA>
Friesodielsia Steenis;Friesodielsia;PH;nan;;;<NA>;"7902; 11948; 15298";1;11;1915;nan;;KAG;KAG;KAG002825;nan;0;0;;;0;0;0;0;0;0;0;0;KAG002825;7902;;<NA>
Friesodielsia Steenis;Friesodielsia;PH;nan;;;<NA>;"7971; 11947; 15902";1;4;1916;nan;;KAG;KAG;KAG002826;nan;0;0;;;0;0;0;0;0;0;0;0;KAG002826;7971;;<NA>
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;PH;nan;;;<NA>;15403;1;11;1915;nan;;KAG;KAG;KAG002827;nan;0;0;;;0;0;0;0;0;0;0;0;KAG002827;15403;;<NA>
Dasymaschalon clusiflorum (Merr.) Merr.;Dasymaschalon;PH;nan;;;<NA>;28653;9;11;1964;nan;;KAG;KAG;KAG002806;clusiflorum;0;0;;;0;0;0;0;0;0;0;0;KAG002806;28653;;<NA>
Fissistigma latifolium (Dunal) Merr.;Fissistigma;PH;nan;;;<NA>;"7960; 11936; 16709";1;6;1916;nan;;KAG;KAG;KAG002811;latifolium;0;0;;;0;0;0;0;0;0;0;0;KAG002811;7960;;<NA>
Dasymaschalon clusiflorum (Merr.) Merr.;Dasymaschalon;PH;nan;;;<NA>;29224;18;11;1964;nan;;KAG;KAG;KAG002807;clusiflorum;0;0;;;0;0;0;0;0;0;0;0;KAG002807;29224;;<NA>
Cyathostemma micranthum (A.DC.) J.Sinclair;Uvaria;PH;nan;;;<NA>;"7980; 11956; 17397";1;9;1916;nan;;KAG;KAG;KAG002804;micrantha;0;0;;;0;0;0;0;0;0;0;0;KAG002804;7980;;<NA>
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;PH;nan;;;<NA>;"7955; 11931; 17669";1;6;1917;nan;;KAG;KAG;KAG002802;odorata;0;0;;;0;0;0;0;0;0;0;0;KAG002802;7955;;<NA>
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;PH;nan;;;<NA>;"7954; 11930; 17103";1;8;1916;nan;;KAG;KAG;KAG002801;odorata;0;0;;;0;0;0;0;0;0;0;0;KAG002801;7954;;<NA>
Dasymaschalon clusiflorum (Merr.) Merr.;Dasymaschalon;PH;nan;;;<NA>;"5787; 10319; 29842";1;11;1917;nan;;KAG;KAG;KAG002805;clusiflorum;0;0;;;0;0;0;0;0;0;0;0;KAG002805;5787;;<NA>
Artabotrys suaveolens (Blume) Blume;Artabotrys;PH;nan;;;<NA>;"7952; 11928; 17363";1;9;1916;nan;;KAG;KAG;KAG002782;suaveolens;0;0;;;0;0;0;0;0;0;0;0;KAG002782;7952;;<NA>
Artabotrys suaveolens (Blume) Blume;Artabotrys;PH;nan;;;<NA>;29233;18;11;1964;nan;;KAG;KAG;KAG002786;suaveolens;0;0;;;0;0;0;0;0;0;0;0;KAG002786;29233;;<NA>
Artabotrys stolonifera Elmer;Artabotrys;PH;nan;;;<NA>;"7953; 11929; 14610";1;10;1915;nan;;KAG;KAG;KAG002788;stolonifera;0;0;;;0;0;0;0;0;0;0;0;KAG002788;7953;;<NA>
Annona L.;Annona;PH;nan;;;<NA>;"21399; 13622";;;;nan;;KAG;KAG;KAG002764;nan;0;0;;;0;0;0;0;0;0;0;0;KAG002764;21399;;<NA>
Annona glabra L.;Annona;PH;nan;;;<NA>;29469;18;11;1964;nan;;KAG;KAG;KAG002753;glabra;0;0;;;0;0;0;0;0;0;0;0;KAG002753;29469;;<NA>
Marsypopetalum lucidum (Merr.) B.Xue & R.M.K.Saunders;Marsypopetalum;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Kanehira 2606 (NY);lucidum;0;0;nan;nan;0;0;0;0;0;0;0;0;K2606;nan;;<NA>
Drepananthus apoensis Elmer;Drepananthus;PH;Mindanao;;;<NA>;nan;;;;nan;;nan;nan;M.Ramos 1662 (NY);apoensis;0;0;nan;nan;0;0;0;0;0;0;0;0;M1662;nan;;<NA>
Uvaria glabra Span.;Uvaria;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Ridsdale SMHI1619 (L);glabra;0;0;nan;nan;0;0;0;0;0;0;0;0;R1619;nan;;<NA>
Monoon klemmei (Elmer) B.Xue & R.M.K.Saunders;Enicosanthum;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;A.D.E. Elmer 12644 (L);klemmei;0;0;nan;nan;0;0;0;0;0;0;0;0;A12644;nan;;<NA>
Drepananthus apoensis Elmer;Drepananthus;PH;Mindanao;;;<NA>;nan;;;;nan;;nan;nan;M.Ramos 1661 (NY);apoensis;0;0;nan;nan;0;0;0;0;0;0;0;0;M1661;nan;;<NA>
Pseuduvaria pamattonis (Miq.) Y.C.F.Su & R.M.K.Saunders;Pseuduvaria;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Podzorski, A.C. SMHI 520 (L);pamattonis;0;0;nan;nan;0;0;0;0;0;0;0;0;P520;nan;;<NA>
Monoon grandifolium (Elmer) B.Xue & R.M.K.Saunders;Enicosanthum;PH;Philippines: Island of Palawan, Province of Palawan, Puerto Princesa (Mt. Pulgar). 1911-03, Leg.: Elmer,A.D.E. 12854.;;;Elmer,A.D.E.;nan;;3;1911;Anon.;;B;Herbarium Berolinense;B 10 1094415;grandifolium;0;0;nan;nan;0;0;0;0;0;0;0;0;B10;nan;Elmer,A.D.E.;Elmer,A.D.E.
Mitrephora pictiflora Elmer;Mitrephora;PH;Philippines: Mindanao, Cabadbaran (Mt. Urdaneta), Province of Agusan. 1912-09, Leg.: Elmer,A.D.E. 13731.;;;Elmer,A.D.E.;nan;;9;1912;A. D. Weerasooriya;;B;Herbarium Berolinense;B 10 1094150;pictiflora;0;0;nan;nan;0;0;0;0;0;0;0;0;B10;nan;Elmer,A.D.E.;Elmer,A.D.E.
Uvaria leytensis (Elmer) Merr.;Uvaria;PH;Philippines: Mindanao, Agusan, Cabadbaran. 1912-09, Leg.: Elmer,A.D.E. 13880.;;;Elmer,A.D.E.;nan;;9;1912;A. K. van Setten;;B;Herbarium Berolinense;B 10 1095196;concava;0;0;nan;nan;0;0;0;0;0;0;0;0;B10;nan;Elmer,A.D.E.;Elmer,A.D.E.
Polyalthia lanceolata S.Vidal;Haplostichanthus;PH;Philippines: Ramblon. 1910-03, Leg.: Elmer,A.D.E. 12170.;;;Elmer,A.D.E.;nan;;3;1910;Anon.;;B;Herbarium Berolinense;B 10 1094430;lanceolata;0;0;nan;nan;0;0;0;0;0;0;0;0;B10;nan;Elmer,A.D.E.;Elmer,A.D.E.
Meiogyne mindorensis (Merr.) Heusden;Meiogyne;PH;Philippines: Luzon, Mt. Maquiling. 1917-06, Leg.: Elmer,A.D.E. 17649.;;;Elmer,A.D.E.;nan;;6;1917;Anon.;;B;Herbarium Berolinense;B 10 1094272;mindorensis;0;0;nan;nan;0;0;0;0;0;0;0;0;B10;nan;Elmer,A.D.E.;Elmer,A.D.E.
Mitrephora sorsogonensis Elmer ex Weeras. & R.M.K.Saunders;Mitrephora;PH;"Philippines: Sorsogon; Irosin (Mount Bulusan), Island of Luzon. 1916-09, Leg.: Elmer,A.D.E. 17178.";;;Elmer,A.D.E.;nan;;9;1916;A. D. Weerasooriya;;B;Herbarium Berolinense;B 10 1094155;sorsogonensis;0;0;nan;nan;0;0;0;0;0;0;0;0;B10;nan;Elmer,A.D.E.;Elmer,A.D.E.
Monoon grandifolium (Elmer) B.Xue & R.M.K.Saunders;Enicosanthum;PH;Philippines: Mindanao, Prov. of Agusan, Cabadbaran (Mt. Urdaneta). 1912-08, Leg.: Elmer,A.D.E. 13611.;;;Elmer,A.D.E.;nan;;8;1912;Anon.;;B;Herbarium Berolinense;B 10 1094428;grandifolium;0;0;nan;nan;0;0;0;0;0;0;0;0;B10;nan;Elmer,A.D.E.;Elmer,A.D.E.
Meiogyne mindorensis (Merr.) Heusden;Meiogyne;PH;Philippines: Irosin (Mt. Bulusan), Province of Sorsogon, Island of Luzon. 1915-11, Leg.: Elmer,A.D.E. 15399.;;;Elmer,A.D.E.;nan;;11;1915;E. C. H. van Heusden;;B;Herbarium Berolinense;B 10 1094067;mindorensis;0;0;nan;nan;0;0;0;0;0;0;0;0;B10;nan;Elmer,A.D.E.;Elmer,A.D.E.
Polyalthia mindorensis Merr.;Polyalthia;PH;Philippines: Baco-River, Mindoro. 1905-03, Leg.: Merrill,E.D. 4050.;;;Merrill,E.D.;nan;;3;1905;Anon.;;B;Herbarium Berolinense;B 10 1094292;mindorensis;0;0;nan;nan;0;0;0;0;0;0;0;0;B10;nan;Merrill,E.D.;Merrill,E.D.
Polyalthia pacifica Elmer;Miliusa;PH;Philippines: Luzon, Prov. Sorsogon, Irosin. 1916-09, Leg.: Elmer,A.D.E. 17357.;;;Elmer,A.D.E.;nan;;9;1916;Anon.;;B;Herbarium Berolinense;B 10 1094425;vidalii;0;0;nan;nan;0;0;0;0;0;0;0;0;B10;nan;Elmer,A.D.E.;Elmer,A.D.E.
Meiogyne mindorensis (Merr.) Heusden;Meiogyne;PH;Philippines: Puerto Princesa (Mt. Pulgar), Province of Palawan. Island of Palawan. 1911-04, Leg.: Elmer,A.D.E. 13125.;;;Elmer,A.D.E.;nan;;4;1911;E. C. H. van Heusden (in dupl. U) 1992;;B;Herbarium Berolinense;B 10 1094789;mindorensis;0;0;nan;nan;0;0;0;0;0;0;0;0;B10;nan;Elmer,A.D.E.;Elmer,A.D.E.
