scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;to_check;to_check_det
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;<NA>;-0.316;100.73;Molino, JF;;15;12;1987;Molino;<NA>;UM;MPU;MPU903342;0;0;0;;;0;;;;0;0;0;MPU903342;nan;burahol;Molino, J.-F.;Molino;Molino;;
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;ID;<NA>;-0.316;100.73;Molino, JF;;15;12;1987;Molino;<NA>;UM;MPU;MPU903341;0;0;0;;;0;;;;0;0;0;MPU903341;nan;rumphii;Molino, J.-F.;Molino;Molino;;
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;ID;<NA>;-0.316;100.73;Molino, JF;;15;12;1987;nan;<NA>;UM;MPU;MPU1334891;0;0;0;;;0;;;;0;0;0;MPU1334891;nan;rumphii;Molino, J.-F.;<NA>;Molino;;
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;<NA>;-0.316;100.73;Molino, JF;;15;12;1987;nan;<NA>;UM;MPU;MPU1334896;0;0;0;;;0;;;;0;0;0;MPU1334896;nan;burahol;Molino, J.-F.;<NA>;Molino;;
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;ID;<NA>;-3.5;128.7;Molino, JF;;9;12;1988;nan;<NA>;UM;MPU;MPU1291222;0;0;0;;;0;;;;0;0;0;MPU1291222;nan;odorata;Molino, J.-F.;<NA>;Molino;;
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;ID;<NA>;-3.5;128.7;Molino, JF;;9;12;1988;nan;<NA>;UM;MPU;MPU1291241;0;0;0;;;0;;;;0;0;0;MPU1291241;nan;odorata;Molino, J.-F.;<NA>;Molino;;
Uvaria dulcis Dunal;Uvaria;ID;Java - Java;-7.50278;111.26306;Lahaie, F de;;;;;nan;<NA>;G;Geneva Herbarium – General Collection (G);G-G-288807/1;0;0;0;;;0;;;;0;0;0;G-G-288807/1;nan;dulcis;Lahaie, F. de;Meade, C. (2000);Lahaie;;
Uvaria dulcis Dunal;Uvaria;ID;Java - Java;-7.50278;111.26306;Lahaie, F de;;;;;nan;<NA>;G;Geneva Herbarium – General Collection (G);G-G-288807/3;0;0;0;;;0;;;;0;0;0;G-G-288807/3;nan;dulcis;Lahaie, F. de;Meade, C. (2000);Lahaie;;
Friesodielsia Steenis;Friesodielsia;ID;Bornéo;1.0;114.0;Clemens, J;;13;6;1932;nan;<NA>;G;Geneva Herbarium – General Collection (G);G-G-236042/1;0;0;0;;;0;;;;0;0;0;G-G-236042/1;nan;;Clemens, J. & M. S. Clemens (Coll. G);<NA>;Clemens;;
Melodorum latifolium (Dunal) Hook.f. & Thomson;Fissistigma;ID;CERAM: ca 40 km E of Masohi in Wae Ruatan/Wae Ruwata (Ruwa) catchment areas;-3.18333;129.25;Tukirin, S ;;6;12;1990;Burley, JS;1991-01-01T00:00:00;BPBM;BISH;613043;0;0;0;;;0;1;1;1991;0;0;0;BISH613043;nan;latifolium;"Burley, J.S. Tukirin; et al.";Burley, J.S.;Tukirin;;
Phaeanthus splendens Miq.;Phaeanthus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1924;0;0;0;nan;nan;0;;;;0;0;0;KR1924;nan;splendens;;Katja Rembold;;;recby_problem
Polyalthia obliqua Hook.f. & Thomson;Polyalthia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1761;0;0;0;nan;nan;0;;;;0;0;0;KR1761;nan;obliqua;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1430;0;0;0;nan;nan;0;;;;0;0;0;KR1430;nan;;;Katja Rembold;;;recby_problem
Fissistigma manubriatum (Hook.f. & Thomson) Merr.;Fissistigma;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2090;0;0;0;nan;nan;0;;;;0;0;0;KR2090;nan;manubriatum;;Katja Rembold;;;recby_problem
Friesodielsia biglandulosa (Blume) Steenis;Friesodielsia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2350;0;0;0;nan;nan;0;;;;0;0;0;KR2350;nan;biglandulosa;;Katja Rembold;;;recby_problem
Fissistigma manubriatum (Hook.f. & Thomson) Merr.;Fissistigma;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2091;0;0;0;nan;nan;0;;;;0;0;0;KR2091;nan;manubriatum;;Katja Rembold;;;recby_problem
Huberantha rumphii (Blume ex Hensch.) Chaowasku;Hubera;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2993;0;0;0;nan;nan;0;;;;0;0;0;KR2993;nan;rumphii;;Katja Rembold;;;recby_problem
Popowia pisocarpa K.Schum.;Popowia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2398;0;0;0;nan;nan;0;;;;0;0;0;KR2398;nan;pisocarpa;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1925;0;0;0;nan;nan;0;;;;0;0;0;KR1925;nan;;;Katja Rembold;;;recby_problem
Uvaria excelsa (Hook.f. & Thomson) King;Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1506;0;0;0;nan;nan;0;;;;0;0;0;KR1506;nan;excelsa;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2035;0;0;0;nan;nan;0;;;;0;0;0;KR2035;nan;;;Katja Rembold;;;recby_problem
Annonaceae;nan;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR1465;0;0;0;nan;nan;0;;;;0;0;0;KR1465;nan;;;Katja Rembold;;;recby_problem
Orophea corymbosa (Blume) Miq.;Orophea;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;nan;;;;;Rembold, K;nan;nan;nan;KR2855;0;0;0;nan;nan;0;;;;0;0;0;KR2855;nan;corymbosa;;Katja Rembold;;;recby_problem
