scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;specificEpithet;orig_recby;orig_detby;to_check;to_check_det
Unona discolor Vahl;Desmos;chinensis;0;0;Lahaie, F de ;;nan;nan;nan;0;;;;nan;nan;;;;ID;0;0;Java - Java;0;111.26306;-7.50278;G;Geneva Herbarium – De Candolle's Prodromus (G-DC);G-DC-164112/1;G-DC-164112/1;;0;Lahaie, F. de (Coll. HERBIER DE CANDOLLE);CAT.HERB.PRODR. (2008); (Coll. HERBIER DE CANDOLLE);recby_problem
Fissistigma longipes Merr.;Fissistigma;longipes;0;0;Rahmat;;nan;nan;nan;0;;;;nan;nan;;;;ID;0;0;Sumatra - Vicinity of Haboko, Asahan;0;102.0;0.0;G;Geneva Herbarium – General Collection (G);G-G-197131/1;G-G-197131/1;;0;Si Boeea, R. (Coll. Delessert);;, R. (Coll. Delessert);recby_problem
Friesodielsia glauca (Hook.f. & Thomson) Steenis;Friesodielsia;glauca;0;0;nan;;nan;nan;nan;0;;;;Rembold, K;nan;;;;ID;0;0;Jambi, Bukit Duabelas National Park;0;102.650002;-1.85;nan;nan;KR2057;KR2057;;0;;Katja Rembold;;recby_problem
Goniothalamus costulatus Miq.;Goniothalamus;costulatus;0;0;nan;;nan;nan;nan;0;;;;Rembold, K;nan;;;;ID;0;0;Jambi, Bukit Duabelas National Park;0;102.650002;-1.85;nan;nan;KR1680;KR1680;;0;;Katja Rembold;;recby_problem
Huberantha rumphii (Blume ex Hensch.) Chaowasku;Hubera;rumphii;0;0;nan;;nan;nan;nan;0;;;;Rembold, K;nan;;;;ID;0;0;Jambi, Bukit Duabelas National Park;0;102.650002;-1.85;nan;nan;KR2993;KR2993;;0;;Katja Rembold;;recby_problem
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;glauca;0;0;nan;;nan;nan;nan;0;;;;Rembold, K;nan;;;;ID;0;0;Jambi, Bukit Duabelas National Park;0;102.650002;-1.85;nan;nan;KR0834;KR0834;;0;;Katja Rembold;;recby_problem
Miliusa butonensis Chaowasku & Kessler;Miliusa;butonensis;0;0;nan;;nan;nan;nan;0;;;;nan;2015-01-01T00:00:00;1;1;2015;ID;0;0;Southeast of Wulawesi: north Buton Is. Jismil camp inland from Labuan Tobelo;0;122.983333;-4.433333;A;A;A00589957;barcode-00589957;;0;;;;recby_problem
Miliusa longipes King;Miliusa;longipes;0;0;nan;;nan;nan;nan;0;;;;Rembold, K;nan;;;;ID;0;0;Jambi, Bukit Duabelas National Park;0;102.650002;-1.85;nan;nan;KR2980;KR2980;;0;;Katja Rembold;;recby_problem
Mitrephora (Blume) Hook.f. & Thomson;Mitrephora;;0;0;nan;;nan;nan;nan;0;;;;Rembold, K;nan;;;;ID;0;0;Jambi, Bukit Duabelas National Park;0;102.650002;-1.85;nan;nan;KR2829;KR2829;;0;;Katja Rembold;;recby_problem
Polyalthia Blume;Polyalthia;;0;0;nan;;nan;nan;nan;0;;;;Rembold, K;nan;;;;ID;0;0;Jambi, Bukit Duabelas National Park;0;102.650002;-1.85;nan;nan;KR2815;KR2815;;0;;Katja Rembold;;recby_problem
Guatteria rufa Dunal;Uvaria;rufa;0;0;Anon. (Coll. HERBIER DE CANDOLLE);;nan;nan;nan;0;;;;nan;nan;;;;ID;0;0;Java - Java;0;111.26306;-7.50278;G;Geneva Herbarium – De Candolle's Prodromus (G-DC);G-DC-141373/1;G-DC-141373/1;;0;Anon. (Coll. HERBIER DE CANDOLLE);CAT.HERB.PRODR. (2007);Anon. (Coll. HERBIER DE CANDOLLE);recby_problem
