scientific_name;genus;species-tobesplit;country_id;locality;ddlat;ddlong;recorded_by;colnum;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;barcode;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;prel_bc;prel_herbCode;prel_code;prel_code_X;tmp_hc;st_barcode
Orophea Blume;Orophea;;PH;Pinamalaya, Mindoro.;13.033333;121.483333;Ramos, M.;s.n.;;6;1922;;;MEL;MEL;MEL 2382210A;0;0;0;0;0;0;;;;0;0;0;;MEL;MEL ;;MEL;
Annonaceae;;;PH;Tawitawi [=Tawi Tawi], Sulu Province.;5.25;120.166667;"Ramos, M.;Edaño, G.E.";44063;;7;1924;National Herbarium of Victoria (MEL);2014-07-30T00:00:00;MEL;MEL;MEL 2124006A;0;0;0;0;0;0;30;07;2014;0;0;0;;MEL;MEL ;;MEL;
Phaeanthus Hook.f. & Thomson;Phaeanthus;;PH;Alabat Island.;14.116667;122.05;"Ramos, M.;Edaño, G.E.";48059;;9;1926;Grimes, J.W.;2000-06-17T00:00:00;MEL;MEL;MEL 2074402A;0;0;0;0;0;0;17;06;2000;0;0;0;;MEL;MEL ;;MEL;
Uvaria L.;Uvaria;;PH;Capiz Province, Panay.;11.55;122.8;Edaño, G.E.;s.n.;;10;1925;National Herbarium of Victoria (MEL);2014-09-02T00:00:00;MEL;MEL;MEL 2383057A;0;0;0;0;0;0;02;09;2014;0;0;0;;MEL;MEL ;;MEL;
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;;PH;Alabat Island.;14.116667;122.05;"Ramos, M.;Edaño, G.E.";48163;;9;1926;;;MEL;MEL;MEL 2123987A;0;0;0;0;0;0;;;;0;0;0;;MEL;MEL ;;MEL;
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;;PH;Mt. San Cristobal, Laguna Province, Luzon.;14.05;121.416667;Sulit, M.D.;30426;;4;1927;;;MEL;MEL;MEL 2123988A;0;0;0;0;0;0;;;;0;0;0;;MEL;MEL ;;MEL;
Annonaceae;;;PH;San Antonio, Prov. Laguna, Luzon.;14.2;121.283333;Ramos, M.;s.n.;;6;1912;;;MEL;MEL;MEL 2121553A;0;0;0;0;0;0;;;;0;0;0;;MEL;MEL ;;MEL;
Uvaria L.;Uvaria;;PH;Casiguran, Tayabas Province.;16.283333;122.116667;"Ramos, M.;Edaño, G.E.";s.n.;;5;1925;National Herbarium of Victoria (MEL);2014-09-02T00:00:00;MEL;MEL;MEL 2383056A;0;0;0;0;0;0;02;09;2014;0;0;0;;MEL;MEL ;;MEL;
Miliusa Lesch. ex A.DC.;Miliusa;;PH;Philippine Isl[ands].;11.231944;122.391944;Cuming, H.;1198;;;;Mols, J.B.;2004-03-01T00:00:00;MEL;MEL;MEL 2066167A;0;0;0;0;0;0;01;03;2004;0;0;0;;MEL;MEL ;;MEL;
Phaeanthus Hook.f. & Thomson;Phaeanthus;;PH;Puerto Galera. Mindoro.;13.5;120.95;Ramos, M.;46371;;11;1925;Grimes, J.W.;2000-06-17T00:00:00;MEL;MEL;MEL 2074403A;0;0;0;0;0;0;17;06;2000;0;0;0;;MEL;MEL ;;MEL;
Cyathostemma micranthum (A.DC.) J.Sinclair;Uvaria;Cyathostemma micranthum;PH;Tawitawi [=Tawi Tawi], Sulu Province.;5.2;120.033333;"Ramos, M.;Edaño, G.E.";44124;;7;1924;Jessup, L.W.;1986-04-10T00:00:00;MEL;MEL;MEL 2122666A;0;0;0;0;0;0;10;04;1986;0;0;0;;MEL;MEL ;;MEL;
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;;PH;Casiguran, Tayabas Province, Luzon.;16.283333;122.116667;"Ramos, M.;Edaño, G.E.";45246;;5;1925;;;MEL;MEL;MEL 2123990A;0;0;0;0;0;0;;;;0;0;0;;MEL;MEL ;;MEL;
Dasymaschalon (Hook.f. & Thomson) Dalla Torre & Harms;Dasymaschalon;;PH;Peñablanca, Cagayan Province, Luzon.;17.616667;121.783333;"Ramos, M.;Edaño, G.E.";46641;;4;1926;;;MEL;MEL;MEL 2122566A;0;0;0;0;0;0;;;;0;0;0;;MEL;MEL ;;MEL;
