recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url;genus_old;specific_epithet_old
Balansa, B;4189;nan;<NA>;01/01/1888 - 31/12/1888;Hà Nội;Tonkin. Bosquets près du poste de Bat-Bac;P00268405;Viet Nam;Trivalvaria;dubia;0;0;0;0;;;1;1;1888;;;;0;0;0;105.34999999999998;21.215;0;0;4189;P00268405;Balansa, B.;<NA>;Balansa;Balansa, Benedict;Algeria, Indonesia, Morocco, New Caledonia, Paraguay, Singapore, Vietnam;0;Polyalthia;nemoralis
Balansa, B;4190;nan;01/01/1994 - 31/12/1994;01/12/1888 - 31/12/1888;Hà Nội;Tonkin. Tu-phap, pied ouest du mont Bavi;P00268407;Viet Nam;Polyalthia;nemoralis;0;0;0;0;;;1;12;1888;1;1;1994;0;0;0;105.33144999999999;21.06805;0;0;4190;P00268407;Balansa, B.;van Heusden, E.C.H.;Balansa;Balansa, Benedict;Algeria, Indonesia, Morocco, New Caledonia, Paraguay, Singapore, Vietnam;0;Polyalthia;nemoralis
Balansa, B;4190;nan;<NA>;01/12/1888 - 31/12/1888;Hà Nội;Tonkin. Bois près de Tu-Phap.;P00268406;Viet Nam;Polyalthia;nemoralis;0;0;0;0;;;1;12;1888;;;;0;0;0;105.33144999999999;21.06805;0;0;4190;P00268406;Balansa, B.;<NA>;Balansa;Balansa, Benedict;Algeria, Indonesia, Morocco, New Caledonia, Paraguay, Singapore, Vietnam;0;Polyalthia;nemoralis
Balansa, B;4191;nan;<NA>;01/12/1888 - 31/12/1888;Hà Nội;Tonkin. Environs de Tu-Phap.;P01952327;Viet Nam;Dasymaschalon;glaucum;0;0;0;0;;;1;12;1888;;;;0;0;0;105.33;21.068;0;0;4191;P01952327;Balansa, B.;<NA>;Balansa;Balansa, Benedict;Algeria, Indonesia, Morocco, New Caledonia, Paraguay, Singapore, Vietnam;0;Dasymaschalon;glaucum
Balansa, B;4191;nan;<NA>;01/12/1888 - 31/12/1888;Hà Nội;Tonkin. Environs de Tu-Phap.;P01952328;Viet Nam;Dasymaschalon;glaucum;0;0;0;0;;;1;12;1888;;;;0;0;0;105.33;21.068;0;0;4191;P01952328;Balansa, B.;<NA>;Balansa;Balansa, Benedict;Algeria, Indonesia, Morocco, New Caledonia, Paraguay, Singapore, Vietnam;0;Dasymaschalon;glaucum
Balansa;4192;Meade, C;01/05/1999 - 31/05/1999;01/11/1888 - 30/11/1888;Hà Nội;environs de Tu-Phap, mont Bavi. Tonkin.;P00411120;Viet Nam;Fissistigma;pallens;0;0;0;0;;;1;11;1888;1;5;1999;0;0;0;105.33193333333332;21.068066666666667;0;0;4192;P00411120;Balansa;Meade, C.;Balansa;Balansa;<NA>;<NA>;Fissistigma;pallens
Balansa, B;4192;Meade, C;01/05/1999 - 31/05/1999;01/11/1888 - 30/11/1888;Hà Nội;Tonkin. Environs de Tu-Phap.;P00411122;Viet Nam;Fissistigma;pallens;0;0;0;0;;;1;11;1888;1;5;1999;0;0;0;105.33193333333332;21.068066666666667;0;0;4192;P00411122;Balansa, B.;Meade, C.;Balansa;Balansa, Benedict;Algeria, Indonesia, Morocco, New Caledonia, Paraguay, Singapore, Vietnam;0;Fissistigma;pallens
Balansa, B;4192;nan;<NA>;01/11/1888 - 30/11/1888;Hà Nội;Tonkin. Tu-Phap, mont Bavi.;P00411121;Viet Nam;Fissistigma;pallens;0;0;0;0;;;1;11;1888;;;;0;0;0;105.33193333333332;21.068066666666667;0;0;4192;P00411121;Balansa, B.;<NA>;Balansa;Balansa, Benedict;Algeria, Indonesia, Morocco, New Caledonia, Paraguay, Singapore, Vietnam;0;Melodorum;pallens
Beauvais, J;67 bis;Wun, NK;01/08/2010 - 31/08/2010;21/07/1895 - 21/07/1895;Guangxi(广西);Longtchéou;P00234174;Chine;Desmos;chinensis;0;0;0;0;;bis;21;7;1895;1;8;2010;0;0;0;106.8507;22.3463;0;0;67;P00234174;Beauvais, J.;Ng Kwok Wun;Beauvais;Beauvais, J;<NA>;<NA>;Desmos;chinensis
Beauvais, J;67 bis;Kessler, P;25/10/1989 - 25/10/1989;21/07/1895 - 21/07/1895;Guangxi(广西);Longtchéou;P00234123;Chine;Desmos;chinensis;0;0;0;0;;bis;21;7;1895;25;10;1989;0;0;0;106.8507;22.3463;0;0;67;P00234123;Beauvais, J.;Kessler, P.;Beauvais;Beauvais, J;<NA>;<NA>;Desmos;sp.
Beauvais, J;837;Wun, NK;01/08/2010 - 31/08/2010;01/03/1900 - 31/03/1900;Yunnan(云南);Chine (Yunnan). Hokeou (LaoKay);P00234124;Chine;Desmos;grandifolius;0;0;0;0;;;1;3;1900;1;8;2010;0;0;0;103.958;22.51;0;0;837;P00234124;Beauvais, J.;Ng Kwok Wun;Beauvais;Beauvais, J;<NA>;<NA>;Desmos;grandifolius
Beauvais, J;837;nan;<NA>;01/03/1900 - 31/03/1900;Yunnan(云南);Chine (Yunnan). Hokeou (LaoKay);P00411172;Chine;Desmos;grandifolius;0;0;0;0;;;1;3;1900;;;;0;0;0;103.958;22.51;0;0;837;P00411172;Beauvais, J.;<NA>;Beauvais;Beauvais, J;<NA>;<NA>;Unona;desmos
Bodinier, E;1125;nan;<NA>;22/04/1895 - 22/04/1895;Hong Kong(香港);Hong-Kong;P01985967;Chine;Artabotrys;hexapetalus;0;0;0;0;;;22;4;1895;;;;0;0;0;114.163;22.279;0;0;1125;P01985967;Bodinier, E.;<NA>;Bodinier;Bodinier, Emile Marie (Rev.);China, France, Hong Kong;0;Artabotrys;hexapetalus
Bodinier, E;1125;nan;<NA>;22/04/1895 - 22/04/1895;Hong Kong(香港);Hon-Kong. Bois de la Pagode;P01985968;Chine;Artabotrys;hexapetalus;0;0;0;0;;;22;4;1895;;;;0;0;0;114.163;22.279;0;0;1125;P01985968;Bodinier, E.;<NA>;Bodinier;Bodinier, Emile Marie (Rev.);China, France, Hong Kong;0;Artabotrys;hexapetalus
Bodinier, E;589;Meade, C;01/07/2000 - 31/07/2000;23/05/1894 - 23/05/1894;Hong Kong(香港);Hong-Kong. Au petit Hong-Kong.;P00142658;Chine;Uvaria;calamistrata;0;0;0;0;;;23;5;1894;1;7;2000;0;0;0;114.16096933333334;22.2451794;0;0;589;P00142658;Bodinier, E.;Meade, C.;Bodinier;Bodinier, Emile Marie (Rev.);China, France, Hong Kong;0;Uvaria;calamistrata
Bodinier;589;nan;<NA>;23/05/1894 - 23/05/1894;Hong Kong(香港);Au petit Hong-Kong. Phare;P00142655;Chine;Uvaria;calamistrata;0;0;0;0;;;23;5;1894;;;;0;0;0;114.16096933333334;22.2451794;0;0;589;P00142655;Bodinier;<NA>;Bodinier;Bodinier, Emile Marie (Rev.);China, France, Hong Kong;0;Uvaria;calamistrata
Bodinier, E;589;nan;<NA>;23/05/1894 - 23/05/1894;Hong Kong(香港);Hong-Kong. Au Petit Hong-Kong;P00247950;Chine;Uvaria;calamistrata;0;0;0;0;;;23;5;1894;;;;0;0;0;114.16096933333334;22.2451794;0;0;589;P00247950;Bodinier, E.;<NA>;Bodinier;Bodinier, Emile Marie (Rev.);China, France, Hong Kong;0;Uvaria;calamistrata
Bodinier, E;590;nan;<NA>;23/05/1894 - 23/05/1894;Hong Kong(香港);Hong-Kong. Dans l'île;P00248153;Chine;Uvaria;cordata;0;0;0;0;;;23;5;1894;;;;0;0;0;114.163;22.279;0;0;590;P00248153;Bodinier, E.;<NA>;Bodinier;Bodinier, Emile Marie (Rev.);China, France, Hong Kong;0;Uvaria;cordata
Bodinier, E;590;nan;<NA>;23/05/1894 - 23/05/1894;Hong Kong(香港);Hong-Kong. C.C. dans l'île.;P00248282;Chine;Uvaria;cordata;0;0;0;0;;;23;5;1894;;;;0;0;0;114.163;22.279;0;0;590;P00248282;Bodinier, E.;<NA>;Bodinier;Bodinier, Emile Marie (Rev.);China, France, Hong Kong;0;Uvaria;microcarpa
Bodinier, E;655;Wun, NK;01/08/2010 - 31/08/2010;17/06/1895 - 17/06/1895;Hong Kong(香港);Hong-Kong;P00234175;Chine;Desmos;chinensis;0;0;0;0;;;17;6;1895;1;8;2010;0;0;0;114.17150000000001;22.2745;0;0;655;P00234175;Bodinier, E.;Ng Kwok Wun;Bodinier;Bodinier, Emile Marie (Rev.);China, France, Hong Kong;0;Desmos;chinensis
Bodinier, E;655;nan;<NA>;01/01/1895 - 31/12/1895;Hong Kong(香港);Hong-Kong;P02007379;Chine;Desmos;chinensis;0;0;0;0;;;1;1;1895;;;;0;0;0;114.17150000000001;22.2745;0;0;655;P02007379;Bodinier, E.;<NA>;Bodinier;Bodinier, Emile Marie (Rev.);China, France, Hong Kong;0;Desmos;chinensis
Bon, H;1590;nan;<NA>;25/05/1882 - 25/05/1882;Ninh Bình;(NB) Phuc Nhac (cult.);P01983512;Viet Nam;Annona;squamosa;0;0;0;0;;;25;5;1882;;;;0;0;0;106.0667;20.1667;0;0;1590;P01983512;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Annona;squamosa
Bon, H;1590;Bon;<NA>;25/05/1882 - 25/05/1882;Ninh Bình;Tonkin. (NB) Phúc Nhạc, s.-e. de Ninh-Binh;P01983515;Viet Nam;Annona;squamosa;0;0;0;0;;;25;5;1882;;;;0;0;0;106.0667;20.1667;0;0;1590;P01983515;Bon, H.;Bon;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Annona;squamosa
Bon, H;1615;nan;<NA>;07/06/1882 - 07/06/1882;Ninh Bình;(N.B.) Phuc Nhac (Collège) (cult.);P01967825;Viet Nam;<NA>;indet.;0;0;0;0;;;7;6;1882;;;;0;0;0;106.0667;20.1667;0;0;1615;P01967825;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;<NA>;indet.
Bon, H;1615;nan;<NA>;07/06/1882 - 07/06/1882;Ninh Bình;Tonkin. (NB) Phúc Nhạc, s.-e. de Ninh-Binh;P01983483;Viet Nam;<NA>;indet.;0;0;0;0;;;7;6;1882;;;;0;0;0;106.0667;20.1667;0;0;1615;P01983483;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Annona;reticulata
Bon;1679;Wun, NK;01/08/2010 - 31/08/2010;09/08/1882 - 09/08/1882;Ninh Bình;Tonkin (N.B.) bois à Phuong-Mai;P00234129;Viet Nam;Desmos;chinensis;0;0;0;0;;;9;8;1882;1;8;2010;0;0;0;105.8167;20.38315;0;0;1679;P00234129;Bon;Ng Kwok Wun;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Desmos;chinensis
Bon, H;1679;nan;<NA>;09/08/1882 - 09/08/1882;Ninh Bình;Tonkin. bois de Phnong-Mai. prov. Ninh-Binh;P01753340;Viet Nam;Desmos;chinensis;0;0;0;0;;;9;8;1882;;;;0;0;0;105.8167;20.38315;0;0;1679;P01753340;Bon, H.;<NA>;Bon;Bon, Henri Francois;Hong Kong, Vietnam;0;Desmos;chinensis
