scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;huh_name;geo_col;wiki_url;specificEpithet;orig_recby;orig_detby;country_iso3;global_id;childData_id;accSpecies_id;colnum_fullprefix;status;accepted_name;ipni_no;.val;.equ;.zer;.cap;.cen;.con;.gbf;.inst;.summary;sp_idx;ipni_species_author;region;tmp_det_date;expert_det;recby_regex;Unnamed: 0
Oncodostigma mindorense (Merr.) B√¢n;Meiogyne;mindorensis;0;0;Mabesa, Calixto;25388;nan;25388;nan;0;;;;nan;nan;0;0;0;PH;Philippines;0;Province of Laguna, Luzon;0;121.33;14.17;K;Herbarium;K000691920;K000691920;Mabesa;Mabesa, Calixto;Philippines;0;0.0;Mabesa, C.;;PHL;;;;;ACCEPTED;Meiogyne mindorensis;https://ipni.org/n/977588-1;;;;;;;;;;Meiogyne mindorensis;(Merr.) Heusden;;;;Mabesa, C;
0;nan;indet.;0;0;Marche, A;159;nan;159;nan;01/06/1884 - 30/06/1884;1;6;1884;nan;nan;;;;PH;Philippines;0;Busuanga. Ile Busuanga. Philippines;0;119.9361357;12.1332076;0;0;P02001250;P02001250;Marche;Marche, Alfred;Philippines;0;0.0;Marche, A.;;PHL;;;;;nan;nan;nan;;;;;;;;;;<NA> indet.;;Palawan;;;;
0;nan;indet.;0;0;Newman, MF;LAO 679;LAO;679;nan;31/10/2005 - 31/10/2005;31;10;2005;nan;nan;;;;LA;Laos, République démocratique populaire;0;Lao P.D.R. Khammouan : Tracks south of Ban Mak Pheuang. Altitude: 556 m;0;105.38111111111112;17.85;0;0;P01963649;P01963649;Newman;Newman, Mark Fleming;Angola, Argentina, Brazil, Indonesia, Laos, Malaysia, Mexico, Philippines, Thailand, United States of America, Venezuela, Vietnam;0;0.0;Newman, M.F.;;LAO;;;;;nan;nan;nan;;;;;;;;;;<NA> indet.;;Khammouan;;;;
0;nan;indet.;0;0;Newman, MF;LAO 770;LAO;770;nan;01/11/2005 - 01/11/2005;1;11;2005;nan;nan;;;;LA;Laos, République démocratique populaire;0;Lao P.D.R. Khammouan : Hills north west of Ban Mak Pheuang on north side of Nam Theun. Altitude : 950 m;0;105.33388888888888;17.863055555555558;0;0;P01965563;P01965563;Newman;Newman, Mark Fleming;Angola, Argentina, Brazil, Indonesia, Laos, Malaysia, Mexico, Philippines, Thailand, United States of America, Venezuela, Vietnam;0;0.0;Newman, M.F.;;LAO;;;;;nan;nan;nan;;;;;;;;;;<NA> indet.;;Khammouan;;;;
0;Polyalthia;sp.;0;0;Otanes, F;2083;nan;2083;nan;01/05/1914 - 31/05/1914;1;5;1914;nan;nan;;;;PH;Philippines;0;Philippine Plants. Prov. of Pangasinan. Luzon;0;120.333333;15.916667;0;0;P01983382;P01983382;Otanes;Otanes, F;nan;nan;0.0;Otanes, F.;;PHL;;;;;nan;nan;nan;;;;;;;;;;Polyalthia sp.;;Pangasinan;;;;
0;Alphonsea;sp.;0;0;Perromat, G;4380;nan;4380;nan;08/06/1994 - 08/06/1994;8;6;1994;nan;nan;;;;not found;Malaisie;0;Malaysia. Gerik (Perak);0;101.1296386;5.4306632;0;0;P01921634;P01921634;Perromat;Perromat, G;nan;nan;0.0;Perromat, G.;;not found;;;;;nan;nan;nan;;;;;;;;;;Alphonsea sp.;;Perak;;;;
0;Orophea;sp.;0;0;Poilane;26353, 26353;nan;26353;nan;31/05/1936 - 31/05/1936;31;5;1936;Kessler, P, Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;LA;Laos, République démocratique populaire;0;Laos : entre Nam Mai et Vien Poukha pro: du Haut Mekhong. 1000 a 1200 m alt.;0;101.064;20.784;0, 0;0, 0;P01967217, P01967221;P01967217, P01967221;Poilane;Poilane, Eugène;Cambodia, Laos, Vietnam;0;;nan;;LAO;;;;;nan;nan;nan;;;;;;;;;;Orophea sp.;;;;;;
0;Goniothalamus;sp.;0;0;Poilane;8839, 8839;nan;8839;nan;28/11/1923 - 28/11/1923;28;11;1923;Kessler, P, nan;26/10/1989 - 26/10/1989;26;10;1989;VN;Viet Nam;0;Annam : Ca-na pro: Phanrang. 650 m alt.;0;108.84385;11.377;0, 0;0, 0;P01982090, P01982091;P01982090, P01982091;Poilane;Poilane, Eugène;Cambodia, Laos, Vietnam;0;;nan;;VNM;;;;;nan;nan;nan;;;;;;;;;;Goniothalamus sp.;;;;;;
0;Polyalthia;ramosii;0;0;Ramos, M;1660;nan;1660;nan;01/04/1914 - 30/04/1914;1;4;1914;Merrill, ED;nan;;;;PH;Philippines;0;Philippine plants. Samar;0;125.11;11.96;0;0;P00732348;P00732348;Ramos;Ramos, Maximo;Malaysia, Philippines;0;0.0;Ramos, M.;Merrill, E.D.;PHL;;;;;nan;nan;nan;;;;;;;;;;Polyalthia ramosii;;Eastern Visayas (Region VIII);;;;
0;Ellipeia;dulcis;0;0;Schmid, M;nan;nan;nan;nan;26/07/1961 - 26/07/1961;26;7;1961;Meade, C, Meade, C;01/07/2000 - 01/07/2000;1;7;2000;VN;Viet Nam;0;Suoi Dan. Sud Vietnam.;0;109.0669710492339;11.953192763846271;0, 0;0, 0;P00142636, P00142637;P00142636, P00142637;Schmid;Schmid, Maurice;nan;nan;;nan;;VNM;;;;;nan;nan;nan;;;;;;;;;;Ellipeia dulcis;;;;;;
0;nan;indet.;0;0;Winkler, H;2103;nan;2103;nan;18/05/1908 - 18/05/1908;18;5;1908;nan;nan;;;;not found;Indonésie;0;S.-O. Borneo. Hayoep.;0;115.5238;-1.9778;0;0;P04447767;P04447767;Winkler;Winkler, H;nan;nan;0.0;Winkler, H.;;not found;;;;;nan;nan;nan;;;;;;;;;;<NA> indet.;;South Kalimantan;;;;
