;recorded_by;orig_recby;colnum_full;det_by;orig_detby;to_check;to_check_det
15;Argent, G.C.G., Cronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.;Argent, G.C.G., Cronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.;25407;;<NA>;ronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.;recby_problem
16;Argent, G.C.G., Cronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.;Argent, G.C.G., Cronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.;25380;;<NA>;ronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.;recby_problem
17;Argent, G.C.G., Wilkie, P., Mendum, M., Fuentes, R.;Argent, G.C.G., Wilkie, P., Mendum, M., Fuentes, R.;99307;;<NA>;ilkie, P., Mendum, M., Fuentes, R.;recby_problem
