coll_surname;colnum;sufix;col_year;ddlong;ddlat;long bigger than 0.1;lat bigger than 0.1
Bon;2295;;1883;0.00023333333333333523;0.1300040833333329;False;True
Bon;5367;;1892;1.8000000000000043;0.0;True;False
Bon;5415;;1892;0.033496333333334495;0.31114862999999904;False;True
Godefroy;48;;1875;0.24940385581225086;0.17096608253220213;True;True
Godefroy;649;;1875;0.0009602495761250882;0.44769008388604514;False;True
Harmand;178;;1876;3.325620499999965;1.2324500000000005;True;True
Harmand;439;;1876;0.09017420421603879;0.29040701268306307;False;True
Harmand;49;;1875;0.00681633333333306;0.6256333333333343;False;True
Hou;8102607;;2008;0.109511999999995;0.0037845000000001324;True;False
Maxwell;11;;2011;15.408342483024727;0.3460888892746892;True;True
Maxwell;8;;2008;0.18120200000000233;18.24080000000001;True;True
Maxwell;85;;1985;0.17446324499999896;0.1635920000000003;True;True
Maxwell;87;;1987;1.18127465079365;1.351301275793651;True;True
Maxwell;91;;1991;0.22280911111110988;0.27523746277777783;True;True
Maxwell;92;;1992;0.035220696428570654;0.1398665312500005;False;True
Pierre;120;;1867;0.0025813333333335985;0.10640833333333365;False;True
Pierre;1777;;1877;0.33333333333333215;0.17924296333333326;True;True
Pierre;1793;;1877;0.2999999999999986;0.161318667;True;True
Pierre;289;a;1867;0.03831823302336341;0.21423994784786993;False;True
Pierre;289;b;1867;2.4988269230874365;0.0004371806220799828;True;False
Pierre;3612;;1863;4.069345333333341;0.01306800000000017;True;False
Pierre;385;;1870;1.2636030000000036;0.44160033333333315;True;True
Pierre;596;;1870;0.11770974799999587;0.01353321199999992;True;False
Pierre;655;;1867;0.002581333333334328;0.1064083333333339;False;True
Pierre;655;;1870;0.17196946666666926;0.23159018399999992;True;True
Pierre;730;;1870;0.06814710249999985;0.14523720999999998;False;True
Pierre;738;;1870;0.4212010000000005;0.14720011111111098;True;True
Pierre;738;b;1870;0.19406449999999847;0.0007220000000000097;True;False
Pierre;742;;1870;0.10088836333333281;0.06301705333333349;True;False
Pierre;748;;1870;0.01035957599999931;0.4201572816666667;False;True
Poilane;13048;;1926;0.25464133333333516;0.025208333333332993;True;False
Poilane;13278;;1927;0.20457395041044962;0.008111520239044665;True;False
Poilane;14859;;1928;0.016020500000000368;0.6452479999999992;False;True
Poilane;16377;;1929;0.7977363333333285;0.2942200833333349;True;True
Poilane;18920;;1931;0.16300682999999877;0.13398533333333384;True;True
Poilane;18965;;1931;0.011408333333333614;0.14170133333333357;False;True
Poilane;19791;;1931;0.11860794963334037;0.023378746299999975;True;False
Poilane;33013;;1947;8.64133333334284e-05;0.10295275000000015;False;True
Thorel;1102;;1866;1.3762774533333195;0.1252593266666671;True;True
Thorel;1200;;1862;0.20250247999999213;0.5859031249999995;True;True
Thorel;1262;;1862;0.1350016533333311;0.3906020833333332;True;True
Thorel;2034;;1866;0.19301831999999686;0.5808484999999997;True;True
Thorel;2063;;1866;0.2891686533333289;0.8347687499999995;True;True
Thorel;2118;;1866;2.7145625264087676;3.52669760918206;True;True
Thorel;2119;;1866;5.629025755601982;9.843387329939805;True;True
Thorel;2366;;1866;0.0009219097760399078;0.1812009370497294;False;True
Thorel;2435;;1866;5.598146667467993;5.646449009079482;True;True
Thorel;2674;;1866;0.5720011160320643;3.032473966116123;True;True
Thorel;3151;;1866;5.770402387488006;0.38061294365137815;True;True
Thorel;3167;;1866;6.834792628992012;6.09610114270092;True;True
Thorel;3233;;1866;0.3597258310776912;0.018517780580986274;True;False
Thorel;389;A;1866;0.03885131999999842;0.23492008333333317;False;True
Thorel;631;;1862;0.2990893888055063;0.2842516010616426;True;True
Thorel;897;;1862;0.09527635889833225;5.069356605387787;False;True
Vidal;2785;;1954;0.05120000000000009;0.37298884499999974;False;True
