scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;to_check;to_check_det
Hornschuchia bryotrophe Nees;Hornschuchia;<NA>;<NA>;;;nan;;;;;nan;<NA>;MNHN;P;P01954539;0;0;0;;;0;;;;0;0;0;P01954539;nan;bryotrophe;<NA>;<NA>;;<NA>;recby_problem
Hornschuchia bryotrophe Nees;Hornschuchia;<NA>;<NA>;;;nan;;;;;nan;<NA>;MNHN;P;P01954537;0;0;0;;;0;;;;0;0;0;P01954537;nan;bryotrophe;<NA>;<NA>;;<NA>;recby_problem
Hornschuchia Nees;Hornschuchia;<NA>;<NA>;;;nan;;;;;nan;<NA>;MNHN;P;P01954540;0;0;0;;;0;;;;0;0;0;P01954540;nan;;<NA>;<NA>;;<NA>;recby_problem
Hornschuchia polyantha Maas;Hornschuchia;<NA>;<NA>;;;nan;;;;;Johnson, DM;<NA>;MNHN;P;P01954535;0;0;0;;;0;;;;0;0;0;P01954535;nan;polyantha;<NA>;<NA>;;<NA>;recby_problem
Hornschuchia bryotrophe Nees;Hornschuchia;<NA>;<NA>;;;Amorim, AM;;;;;nan;<NA>;MNHN;P;P01954538;0;0;0;;;0;;;;0;0;0;P01954538;nan;bryotrophe;<NA>;<NA>;;<NA>;recby_problem
Hornschuchia lianarum D.M.Johnson & N.A.Murray;Hornschuchia;<NA>;<NA>;;;Amorim, AM;;;;;nan;<NA>;MNHN;P;P01963658;0;0;0;;;0;;;;0;0;0;P01963658;nan;lianarum;<NA>;<NA>;;<NA>;recby_problem
Hornschuchia Nees;Hornschuchia;<NA>;<NA>;;;Sant'Ana, SC;;;;;Johnson, DM;<NA>;<NA>;<NA>;http://id.luomus.fi/C.14781;0;0;0;;;0;;;;0;0;0;C14781;nan;;<NA>;<NA>;;<NA>;recby_problem
Hornschuchia Nees;Hornschuchia;<NA>;<NA>;;;Santos, TS ;;;;;Mello-Silva, R de;<NA>;<NA>;<NA>;http://id.luomus.fi/C.14777;0;0;0;;;0;;;;0;0;0;C14777;nan;;<NA>;<NA>;;<NA>;recby_problem
Hornschuchia Nees;Hornschuchia;<NA>;<NA>;;;Santos, TS dos;;;;;Mello-Silva, R de;<NA>;<NA>;<NA>;http://id.luomus.fi/C.14778;0;0;0;;;0;;;;0;0;0;C14778;nan;;<NA>;<NA>;;<NA>;recby_problem
Hornschuchia Nees;Hornschuchia;<NA>;<NA>;;;Sellow, F;;;;;nan;<NA>;<NA>;<NA>;http://id.luomus.fi/C.14780;0;0;0;;;0;;;;0;0;0;C14780;nan;;<NA>;<NA>;;<NA>;recby_problem
