scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;to_check;to_check_det
Goniothalamus philippinensis Merr.;Goniothalamus;PH;Badok, Naujan, Mindoro.;13.108;121.32;Celestinó, M;"Celestinó, M; Castro, A PNH 1940 ";4;10;1947;;<NA>;<NA>;Botany;L.2067142;0;0;0;Celestin;;0;;;;0;0;0;L2067142;1940;philippinensis;"Celestinó, M; Castro A";Merrill ED;Celestinó, M;recby_problem
Phaeanthus Hook.f. & Thomson;Phaeanthus;PH;Sagpangan, Aborlan, Palawan.;9.533333;118.566667;Celestinó, M;"Celestinó, M; Ramos, J PNH 23064 ";18;5;1955;;2008-03-01T00:00:00;<NA>;Botany;L.2105956;0;0;0;Celestin;;0;1;3;2008;0;0;0;L2105956;23064;;"Celestinó, M; Ramos J";Chaowasku T;Celestinó, M;recby_problem
Polyalthia obliqua Hook.f. & Thomson;Polyalthia;PH;Sagpangan, Aborlan, Palawan;9.533333;118.566667;Celestinó, M;"Celestinó, M; Ramos, J PNH 23037 ";12;5;1955;;2000-09-01T00:00:00;<NA>;Botany;L.1767284;0;0;0;Celestin;;0;1;9;2000;0;0;0;L1767284;23037;obliqua;"Celestinó, M; Ramos J";Kessler PJA;Celestinó, M;recby_problem
Orophea creaghii (Ridl.) Leonardía & Kessler;Orophea;PH;Along creek.;9.433333;118.55;Celestinó, M;"Celestinó, M; Ramos, J PNH 23041 ";13;5;1955;;1999-07-01T00:00:00;<NA>;Botany;L.1766271;0;0;0;Celestin;;0;1;7;1999;0;0;0;L1766271;23041;creaghii;"Celestinó, M; Ramos J";Leonardía, AAP;Celestinó, M;recby_problem
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;"Philippines, Palawan, Procince Palawan, Sagpangan, Aborlan, along Sagpaang River, c. 9.26 N; 118.33 E.";9.433333;118.55;Celestinó, M;"Celestinó, M; Ramos, J PNH 23064 ";18;5;1955;;<NA>;<NA>;Botany;L.1758777;0;0;0;Celestin;;0;;;;0;0;0;L1758777;23064;ophthalmicus;"Celestinó, M; Ramos J";Mols JB;Celestinó, M;recby_problem
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;"Philippines, Palawan, Province Aborlan, Sagpañgan, c. 9.32 N; 118.34 E.";9.533333;118.566667;Celestinó, M;"Celestinó, M; Ramos, J PNH 23054 ";17;5;1955;;<NA>;<NA>;Botany;L.1758778;0;0;0;Celestin;;0;;;;0;0;0;L1758778;23054;ophthalmicus;"Celestinó, M; Ramos J";Mols JB;Celestinó, M;recby_problem
Goniothalamus philippinensis Merr.;Goniothalamus;PH;Mindanao - Camp Keithley, Lake Lanao, Mindanao;8.0;125.0;Clemens, MS;;;;;;<NA>;G;Geneva Herbarium – General Collection (G);G-G-191210/2;0;0;0;;;0;;;;0;0;0;G-G-191210/2;nan;philippinensis;Clemens, M. S. (Coll. De Candolle);<NA>;oll. De Candolle);recby_problem
Goniothalamus philippinensis Merr.;Goniothalamus;PH;Mindanao - Camp Keithley, Lake Lanao, Mindanao;8.0;125.0;Clemens, MS;;;;;;<NA>;G;Geneva Herbarium – General Collection (G);G-G-191210/1;0;0;0;;;0;;;;0;0;0;G-G-191210/1;nan;philippinensis;Clemens, M. S. (Coll. Delessert 1909);<NA>;oll. Delessert 1909);recby_problem
Miliusa Lesch. ex A.DC.;Miliusa;PH;Antipolo, Province of Rizal.;16.42;120.62;Ahern;s.n.;;4;1904;;2004-03-01T00:00:00;NSW;NSW;NSW433822;0;0;0;s;;0;1;3;2004;0;0;0;NSW433822;nan;;Collector, Ahern's;Mols, J.B.;'s;recby_problem
Orophea corymbosa (Blume) Miq.;Orophea;PH;Luzon;16.0;121.0;Cuming, H;;;;;Kessler, PJA;<NA>;G;Geneva Herbarium – General Collection (G);G-G-196237/1;0;0;0;;;0;;;;0;0;0;G-G-196237/1;nan;corymbosa;Cuming, H.;Kessler, P. J. A. (1986);detby_problem;1986)
Orophea corymbosa (Blume) Miq.;Orophea;PH;Luzon;16.0;121.0;Cuming, H;;;;;;<NA>;G;Geneva Herbarium – General Collection (G);G-G-196237/2;0;0;0;;;0;;;;0;0;0;G-G-196237/2;nan;corymbosa;Cuming, H. (Coll. Boissier et Barbey- Boissier);Kessler, P. J. A. (1986);(Coll. Boissier et Barbey- Boissier);recby_problem
