recorded_by;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51
;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler, PJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Garden, BB;;;;;;;;;;;;;;;;;;
;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa, K;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;
;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer W;Meijer, W;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen, P van;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen, P van;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans, AJGH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler, PJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink W;Vink, W;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans, AJGH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans, AJGH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde, WJJO de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen, P van;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld P van;Harreveld, P van;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Bogor Botanical Garden;Garden, BB;;;;;;;;;;;;;;;;;;
;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;
;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan A;Saridan, A;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols, JB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy, MMJ van;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA;McDonald JA
;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;
;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst, H;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy, MMJ van;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy, MMJ van;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode, MJE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;
;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada, H;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode MJE;Coode, MJE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann, JE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst H;Diepenhorst, H;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA;Lörzing JA
Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC
;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Hort Bot Bogoriensis;Bogoriensis, HB;;;;;;;;;;;;;;;;;;
;Rutten LMR;Rutten LMR;Rutten LMR;Rutten LMR;Rutten LMR;Rutten LMR;Rutten LMR;Rutten LMR;Rutten LMR;Rutten LMR;Rutten LMR;Rutten LMR;Rutten LMR;Rutten LMR;Rutten LMR;Rutten LMR;Rutten LMR;Rutten LMR;Rutten LMR;Rutten, LMR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada, H;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy MMJ van;Balgooy, MMJ van;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sterck EHM;Sterck EHM;Sterck EHM;Sterck EHM;Sterck EHM;Sterck EHM;Sterck EHM;Sterck EHM;Sterck EHM;Sterck EHM;Sterck EHM;Sterck EHM;Sterck EHM;Sterck EHM;Sterck EHM;Sterck EHM;Sterck EHM;Sterck EHM;Sterck EHM;Sterck, EHM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;;;;;;;;;;;;;;;;;;;;;;;;;;
;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley, JS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;;;;;;;;;;;;;;;;;;;;;;;;;;
 WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Leeuwen, D van WM; WM; WM; WM; WM; WM; WM; WM; WM; WM; WM; WM; WM; WM; WM; WM
;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg AJM;Leeuwenberg, AJM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann JE;Teijsmann, JE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans, AJGH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen, P van;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada H;Okada, H;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;;;;;;;;;;;;;;;;;;;;;;;;;;
;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;
 WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen WM;Leeuwen, D van WM; WM; WM; WM; WM; WM; WM; WM; WM; WM; WM; WM; WM; WM; WM; WM
;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde WJJO de;Wilde, WJJO de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;Achmad;;;;;;;;;;;;;;;;;;;;;;;;;;
;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs M;Jacobs, M;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo S;Reksodihardjo, S;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen P van;Royen, P van;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler, PJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans AJGH;Kostermans, AJGH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley JS;Burley, JS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
