recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;huh_name;geo_col;wiki_url;colnum;orig_bc;orig_recby;orig_detby
Ramos, M;46784;nan;<NA>;01/02/1926 - 31/03/1926;Isabela;Philippines. San Mariano. Isabela Province. Luzon;P00260020;Philippines;Uvaria;leytensis;0;0;0;0;;;1;2;1926;;;;0;0;0;122.0127684;16.9835964;0;0;0;0;0;46784;P00260020;Ramos, M.;<NA>
Elmer, ADE;13880;Elmer, ADE;<NA>;01/09/1912 - 30/09/1912;Agusan del Norte;Philippine Islands. Cabadbaran (Mt. Urdaneta). Province of Agusan. Island of Mindanao.;P00260021;Philippines;Uvaria;leytensis;0;0;0;0;;;1;9;1912;;;;0;0;0;125.532318;9.1231657;0;0;0;0;0;13880;P00260021;Elmer, A.D.E.;Elmer, A.D.E.
Elmer, ADE;20732;nan;<NA>;01/10/1922 - 31/03/1923;Sabah;Tawao, Elphinstone Province, British North Borneo;P00260025;Malaisie;Uvaria;larep;0;0;0;0;;;1;10;1922;;;;0;0;0;117.885331;4.2435206;0;0;0;0;0;20732;P00260025;Elmer, A.D.E.;<NA>
Ramos, M;;nan;<NA>;01/11/1924 - 31/12/1924;Zambales;Philippines. Mt. Tapolao. Zambales Province. Luzon;P00260026;Philippines;Uvaria;lancifolia;0;0;0;0;<NA>;<NA>;1;11;1924;;;;0;0;0;120.121;15.481;0;0;0;0;0;nan;P00260026;Ramos, M.;<NA>
Zollinger;666;Meade, C;17/05/1999 - 17/05/1999;05/03/1845 - 05/03/1845;East Java;Planta Javanica. Inter Puger et Djember Prov. Besuki;P00260028;Indonésie;Uvaria;javana;0;0;0;0;;;5;3;1845;17;5;1999;0;0;0;113.693;-8.219;0;0;0;0;0;666;P00260028;Zollinger;Meade, C.
Kostermans;229;Meade, C;17/05/1999 - 17/05/1999;24/11/1960 - 24/11/1960;Banten;S.W. Java. Udjung Kulon, Tandjong Lajar. 50 m. alt.;P00260029;Indonésie;Uvaria;javana;0;0;0;0;;;24;11;1960;17;5;1999;0;0;0;105.212;-6.7458;0;0;0;0;0;229;P00260029;Kostermans;Meade, C.
Kostermans;229;Meade, C;17/05/1999 - 17/05/1999;24/11/1960 - 24/11/1960;Banten;S.W. Java, Udjung Kulon, Tandjong Lajar, +- 50 m alt.;P00260030;Indonésie;Uvaria;javana;0;0;0;0;;;24;11;1960;17;5;1999;0;0;0;105.212;-6.7458;0;0;0;0;0;229;P00260030;Kostermans;Meade, C.
Wirawan, N;423;Nedi;25/05/1964 - 25/05/1964;28/01/1964 - 28/01/1964;Banten;S.W. Java. Udjung Kulon Nature Reserve, Peut jang Isl.;P00260031;Indonésie;Uvaria;javana;0;0;0;0;;;28;1;1964;25;5;1964;0;0;0;105.258;-6.739;0;0;0;0;0;423;P00260031;Wirawan, N.;Nedi
Elmer, ADE;20857;nan;<NA>;01/10/1922 - 31/03/1923;Sabah;Tawao, Elphinstone Province, British North Borneo;P00260032;Malaisie;Uvaria;javana;0;0;0;0;;;1;10;1922;;;;0;0;0;117.885331;4.2435206;0;0;0;0;0;20857;P00260032;Elmer, A.D.E.;<NA>
Elmer, ADE;20857;nan;<NA>;01/10/1922 - 31/03/1923;Sabah;Tawao, Elphinstone Province, British North Borneo.;P00260033;Malaisie;Uvaria;javana;0;0;0;0;;;1;10;1922;;;;0;0;0;117.885331;4.2435206;0;0;0;0;0;20857;P00260033;Elmer, A.D.E.;<NA>
