scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;huh_name;geo_col;wiki_url;specificEpithet;orig_recby;orig_detby;country_iso3;global_id;childData_id;accSpecies_id;colnum_fullprefix;status;accepted_name;ipni_no;.val;.equ;.zer;.cap;.cen;.con;.gbf;.inst;.summary;sp_idx;ipni_species_author;region
Polyalthia subcordata (Blume) Blume;Polyalthia;subcordata;0;0;Abdulhadi, R;Abdulhadi, R  682 , Abdulhadi, R  682 ;Abdulhadi;682.0;nan;0;1;2;1980;nan, nan;nan;;;;ID;Indonesia;0;Sumatera, Ketambe, Aceh Tenggara;0;97.6486;3.6831;nan, nan;Botany, Botany;L1768063, L1768063;L.1768063, L.1768063;Abdulhadi;Abdulhadi, R;nan;nan;;;;;;;;;;;;;;;;;;;;;;;
Orophea corymbosa (Blume) Miq.;Orophea;corymbosa;0;0;Abdulhadi, R;Abdulhadi, R  711 , Abdulhadi, R  711 ;Abdulhadi;711.0;nan;0;1;2;1980;Kessler, PJA, Kessler, PJA;1985-08-01T00:00:00;1;8;1985;ID;Indonesia;0;Sumatera, Ketambe, Aceh Tenggara.;0;97.6486;3.6831;nan, nan;Botany, Botany;L1766426, L1766426;L.1766426, L.1766426;Abdulhadi;Abdulhadi, R;nan;nan;;;;;;;;;;;;;;;;;;;;;;;
Pseuduvaria reticulata (Blume) Miq.;Pseuduvaria;reticulata;0;0;Achmad;Achmad  1035 , Achmad  1035 ;Achmad;1035.0;nan;0;8;4;1919;Su, YCF, Su, YCF;2001-05-01T00:00:00;1;5;2001;ID;Indonesia;0;Indonesia. Eil Simaloer, Sumatra.;0;96.08;2.58;nan, nan;Botany, Botany;L1764277, L1764277;L.1764277, L.1764277;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;burahol;0;0;Achmad;Achmad  1036 , Achmad  1036 , Achmad  1036 , Achmad  1036 ;Achmad;1036.0;nan;0;9;4;1919;Heusden, ECH van, Heusden, ECH van, Heusden, ECH van, Heusden, ECH van;nan;;;;ID;Indonesia;0;Indonesia. Eil. Simaloer, Sumatra.;0;96.08;2.58;<NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany;L1770285, L1770286, L1770285, L1770286;L.1770285, L.1770286, L.1770285, L.1770286;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Pseuduvaria reticulata (Blume) Miq.;Pseuduvaria;reticulata;0;0;Achmad;Achmad  1088 , Achmad  1088 ;Achmad;1088.0;nan;0;5;5;1919;Su, YCF, Su, YCF;2001-12-01T00:00:00;1;12;2001;ID;Indonesia;0;Indonesia, Sumatra, Aceh, Eiland Simaloer;0;96.08;2.58;nan, nan;Botany, Botany;L1764219, L1764219;L.1764219, L.1764219;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;carinatus;0;0;Achmad;Achmad  1109 , Achmad  1109 ;Achmad;1109.0;nan;0;13;5;1919;Wang, R, Wang, R;2004-01-01T00:00:00;1;1;2004;ID;Indonesia;0;Eil. Simaloer, Sumatra;0;96.08;2.58;nan, nan;Botany, Botany;L1754044, L1754044;L.1754044, L.1754044;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;burahol;0;0;Achmad;Achmad  1289 , Achmad  1289 ;Achmad;1289.0;nan;0;4;8;1919;Heusden, ECH van, Heusden, ECH van;nan;;;;ID;Indonesia;0;Indonesia. Eil. Simaloer, Sumatra.;0;96.08;2.58;nan, nan;Botany, Botany;L1770289, L1770289;L.1770289, L.1770289;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;simeuluensis;0;0;Achmad;Achmad  1298 , Achmad  1298 , Achmad  1298 , Achmad  1298 , Achmad  1298 , Achmad  1298 , Achmad  1298 , Achmad  1298 , Achmad  1298 , Achmad  1298 , Achmad  1298 , Achmad  1298 ;Achmad;1298.0;nan;0;9;8;1919;Weerasooriya, AD, Weerasooriya, AD, Weerasooriya, AD, nan, nan, nan, Weerasooriya, AD, Weerasooriya, AD, Weerasooriya, AD, nan, nan, nan;2001-03-01T00:00:00;1;3;2001;ID;Indonesia;0;Indonesia. Eil Simaloer, Sumatra.;0;96.08;2.58;<NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany, Botany, Botany, Botany, Botany, Botany, Botany, Botany, Botany;L1762097, L1762096, L1762100, U1073735, U1073736, U1073737, L1762097, L1762096, L1762100, U1073735, U1073736, U1073737;L.1762097, L.1762096, L.1762100, U.1073735, U.1073736, U.1073737, L.1762097, L.1762096, L.1762100, U.1073735, U.1073736, U.1073737;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Mezzettia parviflora Becc.;Mezzettia;parviflora;0;0;Achmad;Achmad  1324 , Achmad  1324 ;Achmad;1324.0;nan;0;21;8;1919;Kessler, PJA, Kessler, PJA;1989-06-01T00:00:00;1;6;1989;ID;Indonesia;0;Archipel. Ind. Eil. Simaloer, Sumatra.;0;96.08;2.58;nan, nan;Botany, Botany;L1766056, L1766056;L.1766056, L.1766056;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Polyalthia Blume;Polyalthia;nan;0;0;Achmad;Achmad  1436 ;Achmad;1436.0;nan;0;9;10;1919;nan;nan;;;;ID;Indonesia;0;Eil. Simaloer bij Sumatra, Landschap Tapah;0;101.3;-2.05;nan;Botany;L1764068;L.1764068;Achmad;Achmad;Indonesia;0;0.0;Achmad;;IDN;nan;nan;nan;;nan;nan;nan;;;;;;;;;True;;;
Polyalthia Blume;Polyalthia;None;0;0;Achmad;Achmad  1476 , Achmad  1476 ;Achmad;1476.0;nan;0;29;10;1919;nan, nan;nan;;;;ID;Indonesia;0;Eil. Simaloer bij Sumatra, Landschap Tapah;0;101.3;-2.05;<NA>, <NA>;Botany, Botany;L1764069, L1764070;L.1764069, L.1764070;Achmad;Achmad;Indonesia;0;;nan;;IDN;nan;nan;nan;;nan;nan;nan;;;;;;;;;True;;;
Polyalthia Blume;Polyalthia;nan;0;0;Achmad;Achmad  1562 ;Achmad;1562.0;nan;0;16;12;1919;nan;nan;;;;ID;Indonesia;0;Eil. Simaloer bij Sumata, Landschap Tapah;0;101.3;-2.05;nan;Botany;L1763410;L.1763410;Achmad;Achmad;Indonesia;0;0.0;Achmad;;IDN;nan;nan;nan;;nan;nan;nan;;;;;;;;;True;;;
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;carinatus;0;0;Achmad;Achmad  1574 , Achmad  1574 ;Achmad;1574.0;nan;0;22;12;1919;Wang, R, Wang, R;2004-01-01T00:00:00;1;1;2004;ID;Indonesia;0;Eil. Simaloer bij Sumatra, Tapah (Defajan);0;96.08;2.58;nan, nan;Botany, Botany;L1754033, L1754033;L.1754033, L.1754033;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Mitrella kentii (Blume) Miq.;Mitrella;kentii;0;0;Achmad;Achmad  1583 , Achmad  1583 ;Achmad;1583.0;nan;0;30;12;1919;nan, nan;nan;;;;ID;Indonesia;0;Eil. Simaloer bij Sumatra, Landschap Tapah (Defagan);0;96.08;2.58;nan, nan;Botany, Botany;L1761770, L1761770;L.1761770, L.1761770;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
0;Xylopia;malayana;0;0;Achmad;1629;nan;1629;nan;20/01/1920 - 20/01/1920;20;1;1920;nan;01/01/1921 - 31/12/1921;1;1;1921;not found;Indonésie;0;Archipel. Ind. Eil Simaloer bÿ Sumatra. Landschap Tapah (Dèfajan);0;96.07;2.61;0;0;P01987403;P01987403;Achmad;Achmad;Indonesia;0;0.0;Achmad;Bakhuizen van den Brink;not found;nan;nan;nan;;ACCEPTED;Xylopia malayana;https://ipni.org/n/76187-1;;;;;;;;;;Xylopia malayana;Hook.f. & Thomson;Aceh
Xylopia dicarpa Hook.f. & Thomson;Xylopia;malayana;0;0;Achmad;Achmad  1629 , Achmad  1629 ;Achmad;1629.0;nan;0;20;1;1920;Johnson, DM, Johnson, DM;2014-03-01T00:00:00;1;3;2014;ID;Indonesia;0;Eil. Simaloer bij Sumatra Landschap Tapoh (Defajan).;0;96.083333;2.583333;nan, nan;Botany, Botany;L1775328, L1775328;L.1775328, L.1775328;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Mitrella kentii (Blume) Miq.;Mitrella;kentii;0;0;Achmad;Achmad  1655 , Achmad  1655 ;Achmad;1655.0;nan;0;2;2;1920;nan, nan;nan;;;;ID;Indonesia;0;Eil. Simaloer bij Sumatra, Landschap Tapah (Defagan);0;96.08;2.58;nan, nan;Botany, Botany;L1761771, L1761771;L.1761771, L.1761771;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Mezzettia parviflora Becc.;Mezzettia;parviflora;0;0;Achmad;Achmad  1656 , Achmad  1656 ;Achmad;1656.0;nan;0;2;2;1920;Kessler, PJA, Kessler, PJA;1989-06-01T00:00:00;1;6;1989;ID;Indonesia;0;Simaloer bij sumatra, Tapah (Defajan);0;96.08;2.58;nan, nan;Botany, Botany;L1761760, L1761760;L.1761760, L.1761760;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Polyalthia Blume;Polyalthia;nan;0;0;Achmad;Achmad  1657 ;Achmad;1657.0;nan;0;2;2;1920;nan;nan;;;;ID;Indonesia;0;eil. Simaloer bij Sumatra, Landschap Tapah;0;101.3;-2.05;nan;Botany;L1763412;L.1763412;Achmad;Achmad;Indonesia;0;0.0;Achmad;;IDN;nan;nan;nan;;nan;nan;nan;;;;;;;;;True;;;
Maasia hypoleuca (Hook.f. & Thomson) Mols, Kessler & Rogstad;Maasia;hypoleuca;0;0;Achmad;Achmad  1686 , Achmad  1686 ;Achmad;1686.0;nan;0;13;2;1920;nan, nan;nan;;;;ID;Indonesia;0;Eil Simaloer bij Sumatra, Landschap Tapah (Defajan);0;96.08;2.58;nan, nan;Botany, Botany;L1756510, L1756510;L.1756510, L.1756510;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Meiogyne cylindrocarpa (Burck) Heusden;Meiogyne;cylindrocarpa;0;0;Achmad;Achmad  1693 , Achmad  1693 ;Achmad;1693.0;nan;0;16;2;1920;Heusden, ECH van, Heusden, ECH van;nan;;;;ID;Indonesia;0;Archipel. Ind. Eil Simaloer bij Sumatra. Landschap Tapah.;0;96.08;2.58;nan, nan;Botany, Botany;L1757086, L1757086;L.1757086, L.1757086;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Meiogyne cylindrocarpa (Burck) Heusden;Meiogyne;cylindrocarpa;0;0;Achmad;Achmad  1801 , Achmad  1801 ;Achmad;1801.0;nan;0;16;4;1920;Heusden, ECH van, Heusden, ECH van;nan;;;;ID;Indonesia;0;Archipel. Ind. Eil Simaloer bij Sumatra. Landschap Tapah.;0;96.08;2.58;nan, nan;Botany, Botany;L1757087, L1757087;L.1757087, L.1757087;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;carinatus;0;0;Achmad;Achmad  22 , Achmad  22 , Achmad  22 , Achmad  22 ;Achmad;22.0;nan;0;10;10;1917;Wang, R, Wang, R, Wang, R, Wang, R;2004-01-01T00:00:00;1;1;2004;ID;Indonesia;0;Simaloer bij Sumatra;0;96.08;2.58;<NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany;L1754034, L1754035, L1754034, L1754035;L.1754034, L.1754035, L.1754034, L.1754035;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;carinatus;0;0;Achmad;Achmad  230 , Achmad  230 , Achmad  230 , Achmad  230 , Achmad  230 , Achmad  230 ;Achmad;230.0;nan;0;9;2;1918;Wang, R, Wang, R, Wang, R, Wang, R, Wang, R, Wang, R;2004-01-01T00:00:00;1;1;2004;ID;Indonesia;0;Simaloer bij Sumatra;0;96.08;2.58;<NA>, <NA>, <NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany, Botany, Botany;L1754036, L1754038, L1754037, L1754036, L1754038, L1754037;L.1754036, L.1754038, L.1754037, L.1754036, L.1754038, L.1754037;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;odorata;0;0;Achmad;Achmad  27 , Achmad  27 ;Achmad;27.0;nan;0;13;10;1917;Smith, JJ, Smith, JJ;nan;;;;ID;Indonesia;0;Archipel. Ind. Eil: Simaloer bij Sumatra.;0;96.08;2.58;nan, nan;Botany, Botany;L1753337, L1753337;L.1753337, L.1753337;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Pseuduvaria reticulata (Blume) Miq.;Pseuduvaria;reticulata;0;0;Achmad;Achmad  275 , Achmad  275 , Achmad  275 , Achmad  275 , Achmad  275 , Achmad  275 , Achmad  275 , Achmad  275 ;Achmad;275.0;nan;0;1;1;1918;Su, YCF, Su, YCF, Su, YCF, Su, YCF, Su, YCF, Su, YCF, Su, YCF, Su, YCF;2001-12-01T00:00:00;1;12;2001;ID;Indonesia;0;Indonesia, Sumatra, eiland Simaloer;0;96.08;2.58;<NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany, Botany, Botany, Botany, Botany;L1764288, L1764232, L1764229, L1764231, L1764288, L1764232, L1764229, L1764231;L.1764288, L.1764232, L.1764229, L.1764231, L.1764288, L.1764232, L.1764229, L.1764231;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;glauca;0;0;Achmad;Achmad bb 34340 , Achmad bb 34340 ;Achmad;34340.0;nan;0;4;10;1950;nan, nan;nan;;;;ID;Indonesia;0;"S.E. Borneo; subdistr. Balikpapan; Sungei Wain.";0;116.811111;-1.205555;nan, nan;Botany, Botany;L1761285, L1761285;L.1761285, L.1761285;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Polyalthia lateriflora (Blume) Kurz;Polyalthia;lateriflora;0;0;Achmad;Achmad bb 34374 , Achmad bb 34374 ;Achmad;34374.0;nan;0;11;10;1950;nan, nan;nan;;;;ID;Indonesia;0;"S.E. Borneo; subdistr. Balikpapan Sungei Wain.";0;116.811111;-1.205555;nan, nan;Botany, Botany;L1766924, L1766924;L.1766924, L.1766924;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;carinatus;0;0;Achmad;Achmad  347 , Achmad  347 , Achmad  347 , Achmad  347 ;Achmad;347.0;nan;0;4;4;1918;Wang, R, Wang, R, Wang, R, Wang, R;2004-01-01T00:00:00;1;1;2004;ID;Indonesia;0;Sumaloer bij Sumatra;0;96.08;2.58;<NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany;L1754052, L1754051, L1754052, L1754051;L.1754052, L.1754051, L.1754052, L.1754051;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;odorata;0;0;Achmad;Achmad  376 , Achmad  376 ;Achmad;376.0;nan;0;17;4;1918;Smith, JJ, Smith, JJ;nan;;;;ID;Indonesia;0;Eil: Simaloer bij Sumatra;0;96.08;2.58;nan, nan;Botany, Botany;L1753307, L1753307;L.1753307, L.1753307;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;carinatus;0;0;Achmad;Achmad  433 , Achmad  433 , Achmad  433 , Achmad  433 ;Achmad;433.0;nan;0;7;5;1918;Wang, R, Wang, R, Wang, R, Wang, R;2004-01-01T00:00:00;1;1;2004;ID;Indonesia;0;Sumaloer bij Sumatra;0;96.08;2.58;<NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany;L1754047, L1754046, L1754047, L1754046;L.1754047, L.1754046, L.1754047, L.1754046;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Polyalthia Blume;Polyalthia;None;0;0;Achmad;Achmad  440 , Achmad  440 ;Achmad;440.0;nan;0;8;5;1918;nan, nan;nan;;;;ID;Indonesia;0;Archipel. Ind. Eil: Simaloer bij Sumatra.;0;96.0816665;2.5816665;<NA>, <NA>;Botany, Botany;L1764047, L1763665;L.1764047, L.1763665;Achmad;Achmad;Indonesia;0;;nan;;IDN;nan;nan;nan;;nan;nan;nan;;;;;;;;;True;;;
Polyalthia lateriflora (Blume) Kurz;Polyalthia;lateriflora;0;0;Achmad;Achmad  479 , Achmad  479 , Achmad  479 , Achmad  479 ;Achmad;479.0;nan;0;8;6;1918;Smith, JJ, Smith, JJ, Smith, JJ, Smith, JJ;nan;;;;ID;Indonesia;0;Sumatra, Eil. Simaloer;0;96.083333;2.583333;<NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany;L1762640, L0197493, L1762640, L0197493;L.1762640, L  0197493, L.1762640, L  0197493;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Polyalthia lateriflora (Blume) Kurz;Polyalthia;lateriflora;0;0;Achmad;Achmad  492 , Achmad  492 ;Achmad;492.0;nan;0;14;3;1918;nan, nan;nan;;;;ID;Indonesia;0;Sumatra eil. Simaloer;0;96.083333;2.583333;nan, nan;Botany, Botany;L1762645, L1762645;L.1762645, L.1762645;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;carinatus;0;0;Achmad;Achmad  525 , Achmad  525 , Achmad  525 , Achmad  525 ;Achmad;525.0;nan;0;7;7;1918;Wang, R, Wang, R, Wang, R, Wang, R;2004-01-01T00:00:00;1;1;2004;ID;Indonesia;0;Archipel. Ind. Sumatra eil. Simaloer.;0;96.08;2.58;<NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany;L1754040, L0192320, L1754040, L0192320;L.1754040, L  0192320, L.1754040, L  0192320;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;burahol;0;0;Achmad;Achmad  548 , Achmad  548 , Achmad  548 , Achmad  548 ;Achmad;548.0;nan;0;19;7;1918;Heusden, ECH van, Heusden, ECH van, Heusden, ECH van, Heusden, ECH van;nan;;;;ID;Indonesia;0;nan;0;96.08;2.58;<NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany;U1081080, L1770278, U1081080, L1770278;U.1081080, L.1770278, U.1081080, L.1770278;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;simeuluensis;0;0;Achmad;Achmad  568 , Achmad  568 , Achmad  568 , Achmad  568 ;Achmad;568.0;nan;0;14;8;1918;Weerasooriya, AD, Weerasooriya, AD, Weerasooriya, AD, Weerasooriya, AD;2001-03-01T00:00:00;1;3;2001;ID;Indonesia;0;"Sumatra; eil. Simaloer";0;96.08;2.58;<NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany;U0017057, L0064575, U0017057, L0064575;U  0017057, L  0064575, U  0017057, L  0064575;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Mezzettia parviflora Becc.;Mezzettia;parviflora;0;0;Achmad;Achmad  582 , Achmad  582 , Achmad  582 , Achmad  582 ;Achmad;582.0;nan;0;22;8;1918;Kessler, PJA, Kessler, PJA, Kessler, PJA, Kessler, PJA;1989-06-01T00:00:00;1;6;1989;ID;Indonesia;0;Sumatra eil. Simaloer;0;96.08;2.58;<NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany;L1761762, L0197164, L1761762, L0197164;L.1761762, L  0197164, L.1761762, L  0197164;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Maasia hypoleuca (Hook.f. & Thomson) Mols, Kessler & Rogstad;Maasia;hypoleuca;0;0;Achmad;Achmad  584 , Achmad  584 ;Achmad;584.0;nan;0;23;8;1918;nan, nan;nan;;;;ID;Indonesia;0;Sumatra eil. Simaloer;0;96.08;2.58;nan, nan;Botany, Botany;L1756493, L1756493;L.1756493, L.1756493;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Xylopia sumatrana (Miq.) D.M.Johnson & N.A.Murray;Unona;sumatrana;0;0;Achmad;Achmad  619 , Achmad  619 ;Achmad;619.0;nan;0;13;9;1918;nan, nan;nan;;;;ID;Indonesia;0;Sumatra eil: Simaloer;0;96.083333;2.583333;nan, nan;Botany, Botany;L4370448, L4370448;L.4370448, L.4370448;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Xylopia dicarpa Hook.f. & Thomson;Xylopia;malayana;0;0;Achmad;Achmad  756 , Achmad  756 ;Achmad;756.0;nan;0;23;11;1918;Johnson, DM, Johnson, DM;2014-03-01T00:00:00;1;3;2014;ID;Indonesia;0;Sumatra, afd. Simaloer.;0;96.08;2.58;nan, nan;Botany, Botany;L1775342, L1775342;L.1775342, L.1775342;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Xylopia dicarpa Hook.f. & Thomson;Xylopia;malayana;0;0;Achmad;Achmad  772 , Achmad  772 , Achmad  772 , Achmad  772 , Achmad  772 , Achmad  772 , Achmad  772 , Achmad  772 , Achmad  772 , Achmad  772 , Achmad  772 , Achmad  772 ;Achmad;772.0;nan;0;2;12;1918;Johnson, DM, nan, nan, nan, nan, nan, Johnson, DM, nan, nan, nan, nan, nan;2014-03-01T00:00:00;1;3;2014;ID;Indonesia;0;Eil: Simaloer bij Sumatra.;0;96.0805555;2.5805555;<NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany, Botany, Botany, Botany, Botany, Botany, Botany, Botany, Botany;L1775327, U1074768, L4301762, L4301759, L4301760, L4301761, L1775327, U1074768, L4301762, L4301759, L4301760, L4301761;L.1775327, U.1074768, L.4301762, L.4301759, L.4301760, L.4301761, L.1775327, U.1074768, L.4301762, L.4301759, L.4301760, L.4301761;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
0;Xylopia;malayana;0;0;Achmad;871;nan;871;nan;23/01/1919 - 23/01/1919;23;1;1919;nan;01/01/1920 - 31/12/1920;1;1;1920;not found;Indonésie;0;Archipel. Ind. Eil Simaloer bÿ Sumatra.;0;96.07;2.61;0;0;P01987404;P01987404;Achmad;Achmad;Indonesia;0;0.0;Achmad;Bakhuizen van den Brink;not found;nan;nan;nan;;ACCEPTED;Xylopia malayana;https://ipni.org/n/76187-1;;;;;;;;;;Xylopia malayana;Hook.f. & Thomson;Aceh
Xylopia malayana Hook.f. & Thomson;Xylopia;malayana;0;0;Achmad;Achmad  871 , Achmad  871 , Achmad  871 , Achmad  871 ;Achmad;871.0;nan;0;23;1;1919;nan, nan, nan, nan;nan;;;;ID;Indonesia;0;nan;0;96.08;2.58;<NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany;U1074770, L1775343, U1074770, L1775343;U.1074770, L.1775343, U.1074770, L.1775343;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Xylopia dicarpa Hook.f. & Thomson;Xylopia;malayana;0;0;Achmad;Achmad  884 , Achmad  884 , Achmad  884 , Achmad  884 , Achmad  884 , Achmad  884 , Achmad  884 , Achmad  884 , Achmad  884 , Achmad  884 , Achmad  884 , Achmad  884 ;Achmad;884.0;nan;0;27;1;1919;Johnson, DM, nan, nan, nan, nan, nan, Johnson, DM, nan, nan, nan, nan, nan;2014-03-01T00:00:00;1;3;2014;ID;Indonesia;0;Eil. Simaloer bij Sumatra.;0;96.08;2.58;<NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany, Botany, Botany, Botany, Botany, Botany, Botany, Botany, Botany;L1776011, L4301763, U1074774, L4301766, L4301765, L4301764, L1776011, L4301763, U1074774, L4301766, L4301765, L4301764;L.1776011, L.4301763, U.1074774, L.4301766, L.4301765, L.4301764, L.1776011, L.4301763, U.1074774, L.4301766, L.4301765, L.4301764;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;simeuluensis;0;0;Achmad;Achmad  976 , Achmad  976 ;Achmad;976.0;nan;0;11;3;1919;Weerasooriya, AD, Weerasooriya, AD;2001-03-01T00:00:00;1;3;2001;ID;Indonesia;0;Indonesia. Eil Simaloer, Sumatra.;0;96.08;2.58;nan, nan;Botany, Botany;L1762101, L1762101;L.1762101, L.1762101;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;glauca;0;0;Achmad;Achmad  983 , Achmad  983 , Achmad  983 , Achmad  983 ;Achmad;983.0;nan;0;14;3;1919;nan, nan, nan, nan;nan;;;;ID;Indonesia;0;Eil. simaloer, Sumatra;0;96.08;2.58;<NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany;L1761310, L1761311, L1761310, L1761311;L.1761310, L.1761311, L.1761310, L.1761311;Achmad;Achmad;Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;glauca;0;0;Achmat;Achmat bb 34287 , Achmat bb 34287 ;Achmat;34287.0;nan;0;2;9;1950;nan, nan;nan;;;;ID;Indonesia;0;"S.E.Borneo, subdistr. Balikpapan; Sungei Wain.";0;116.811111;-1.205555;nan, nan;Botany, Botany;L1761270, L1761270;L.1761270, L.1761270;Achmat;Achmat;nan;nan;;;;;;;;;;;;;;;;;;;;;;;
Xylopia elliptica Maingay ex Hook.f. & Thomson;Xylopia;elliptica;0;0;Achmat;Achmat bb 34421 , Achmat bb 34421 ;Achmat;34421.0;nan;0;17;10;1950;Johnson, DM, Johnson, DM;2014-03-01T00:00:00;1;3;2014;ID;Indonesia;0;"SE Borneo; subdistr. Balikpapan; Sungei Wain.";0;116.811111;-1.205555;nan, nan;Botany, Botany;L1775188, L1775188;L.1775188, L.1775188;Achmat;Achmat;nan;nan;;;;;;;;;;;;;;;;;;;;;;;
