scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;genus_old;specific_epithet_old
Polyalthia lanceolata S.Vidal;Haplostichanthus;PH;"Philippines, Luzon, Sierra Madre Mtn. Range (E foothills), Isabela prov., Palanan municip., Barangay San Isidro, hills N of Sitio Diago17.07 N; 122.30 E; 30 m alt.";17.116667;122.5;Co, L;Co, L  3430 ;9;5;1991;Xue, B;2012-10-01T00:00:00;<NA>;Botany;L.1762672;0;0;0;Co;;0;1;10;2012;0;0;0;L1762672;3430;lanceolata;Co L;Xue B;Co;Haplostichanthus;lanceolata
Polyalthia lanceolata S.Vidal;Haplostichanthus;PH;Luzon: Sierra Madre Mtn. Range (E foothills), Isabela Prov., Palanan Municipality, Barangay San Isidoro, hills N of Sitio Diago.;17.1283;122.515;Co, L ;3430;9;5;1991;nan;<NA>;US;US;US 3250503;0;0;0;;;0;;;;0;0;0;US3250503;3430;lanceolata;L. Co;<NA>;Co;Haplostichanthus;lanceolata
Polyalthia lanceolata S.Vidal;Haplostichanthus;PH;"Philippines, Luzon, Sierra Madre Mtn. Range (E foothills), Isabela prov., Palanan municip., Barangay San Isidro, Sitio Pulang Lupa17.07 N; 122.30 E; 30 m alt.";17.116667;122.5;Co, L;Co, L  3453 ;12;5;1991;Xue, B;2012-10-01T00:00:00;<NA>;Botany;L.1762676;0;0;0;Co;;0;1;10;2012;0;0;0;L1762676;3453;lanceolata;Co L;Xue B;Co;Haplostichanthus;lanceolata
Polyalthia lanceolata S.Vidal;Haplostichanthus;PH;Luzon: Sierra Madre Mtn. Range (E foothills), Isabela Prov., Palanan Municipality, Barangay San Isidoro, Sitio Pulang Lupa.;17.13;122.5;Co, L ;3453;12;5;1991;nan;<NA>;US;US;US 3250508;0;0;0;;;0;;;;0;0;0;US3250508;3453;lanceolata;L. Co;<NA>;Co;Haplostichanthus;lanceolata
Dasymaschalon clusiflorum (Merr.) Merr.;Dasymaschalon;PH;Luzon: Sierra Madre Mtn. Range (E foothills), Isabela Prov., Palanan Municipality, Barangay San Isidro, Sitio Dimatog, NW slopes of Hill 124, ca. 2 km SW of Palanan Point.;17.1283;122.498;Co, L ;3488;17;5;1991;nan;<NA>;US;US;US 3251342;0;0;0;;;0;;;;0;0;0;US3251342;3488;clusiflorum;L. Co;<NA>;Co;Dasymaschalon;clusiflorum
Dasymaschalon clusiflorum (Merr.) Merr.;Dasymaschalon;PH;Luzon: Sierra Madre Mtn. Range (E foothills), Isabela Prov., Palanan Municipality, Barangay San Isidro, Sitio Dimatog, NW slopes of Hill 124, ca 2 km SW of Palanan Point;17.1283;122.498;Co, L;Collector Number: 3488;17;5;1991;nan;<NA>;BPBM;BISH;627224;0;0;0;Collector;;0;;;;0;0;0;BISH627224;3488;clusiflorum;Co, L.;<NA>;Co;Dasymaschalon;clusiflorum
Polyalthia lanceolata S.Vidal;Haplostichanthus;PH;"Philippines, Luzon, Sierra Madre Mtn. Range (E foothills), Isabela Prov., Palanan Municipality, Barangay San Isidro, hills NW of Sitio Diago, c. 1.5 km SSE of Palanan Point17.078N; 122.307 E";17.116667;122.5;Co, L;Co, L  3504 ;19;5;1991;Xue, B;2012-10-01T00:00:00;<NA>;Botany;L.1762677;0;0;0;Co;;0;1;10;2012;0;0;0;L1762677;3504;lanceolata;Co L;Xue B;Co;Haplostichanthus;lanceolata
Polyalthia lanceolata S.Vidal;Haplostichanthus;PH;"Philippines, Luzon, Sierra Madre Mtn. Range (E foothills), Isabela Prov., Palanan Municipality, Barangay San Isidro, hills NW of Sitio Diago, c. 1.5 km SSE of Palanan Point17.078N; 122.307 E";17.116667;122.5;Co, L;Co, L  3504 ;19;5;1991;Xue, B;2012-10-01T00:00:00;<NA>;Botany;L.1762678;0;0;0;Co;;0;1;10;2012;0;0;0;L1762678;3504;lanceolata;Co L;Xue B;Co;Haplostichanthus;lanceolata
Polyalthia Blume;Polyalthia;PH;Luzon: Sierra Madre Mtn. Range (E foothills), Isabella Prov., Palanan Municipality, Barangay San Isidro, hills NW of Sitio Diago, ca. 1.5 km SSE of Palanan Point.;17.13;122.512;Co, L ;3522;21;5;1991;nan;<NA>;US;US;US 3251347;0;0;0;;;0;;;;0;0;0;US3251347;3522;;L. Co;<NA>;Co;Polyalthia;
Polyalthia Blume;Polyalthia;PH;"Philippines, Luzon: Sierra Madre Mtn. Range (E foothills), Isabela Prov., Palanan Municipality, Barangay San Isidro, hills NW of Sitio Diago, c. 1.5 km SSE of Palanan Point.17.07 N; 122.30 E; 10 m alt.";17.116667;122.5;Co, L;Co, L  3522 ;21;5;1991;nan;<NA>;<NA>;Botany;L.1759941;0;0;0;Co;;0;;;;0;0;0;L1759941;3522;;Co L;<NA>;Co;Polyalthia;
