scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;orig_recby;orig_detby;to_check;to_check_det;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet
Cyathocalyx hexagynus (Miq.) R.J.Wang & R.M.K.Saunders;Drepananthus;ID;<NA>;-0.6033;101.9111;Forbes, HO;Henry Ogg Forbes;Rui-Jiang Wang;detby_problem;Rui-Jiang Wang;1648;;;;Wang, Rui-Jiang;<NA>;NHMUK;BOT;BM000608824;0;0;0;;;0;;;;0;0;0;BM000608824;1648;hexagynus
Cyathocalyx hexagynus (Miq.) R.J.Wang & R.M.K.Saunders;Drepananthus;ID;<NA>;-0.6033;101.9111;Forbes, HO;Henry Ogg Forbes;Rui-Jiang Wang;detby_problem;Rui-Jiang Wang;1714a;;;;Wang, Rui-Jiang;<NA>;NHMUK;BOT;BM000608826;0;0;0;;a;0;;;;0;0;0;BM000608826;1714;hexagynus
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;ID;Adi Isl., Div. Fak-Fak;-2.88835;132.30543;Guého ELJ;"Guého ELJ; Lorence D";<NA>;Guého ELJ;recby_problem;"Guého, ELJ; Lorence, D BW(Ind.) 10173 ";28;3;1961;;<NA>;<NA>;Botany;L.1761167;0;0;0;Gu;;0;;;;0;0;0;L1761167;10173;glauca
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;ID;Adi Isl., Div. Fak-Fak;-2.88835;132.30543;Guého ELJ;"Guého ELJ; Lorence D";Versteegh C;Guého ELJ;recby_problem;"Guého, ELJ; Lorence, D BW(Ind.) 10122 ";15;3;1961;;<NA>;<NA>;Botany;L.1753516;0;0;0;Gu;;0;;;;0;0;0;L1753516;10122;odorata
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;ID;Adi Isl., Div. Fak-Fak;-2.88835;132.30543;Guého ELJ;"Guého ELJ; Lorence D";<NA>;Guého ELJ;recby_problem;"Guého, ELJ; Lorence, D BW(Ind.) 10173 ";28;3;1961;;<NA>;<NA>;Botany;L  0721655;0;0;0;Gu;;0;;;;0;0;0;L0721655;10173;glauca
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;ID;Adi Isl., Div. Fak-Fak;-2.88835;132.30543;Guého ELJ;"Guého ELJ; Lorence D";Versteegh C;Guého ELJ;recby_problem;"Guého, ELJ; Lorence, D BW(Ind.) 10122 ";15;3;1961;;<NA>;<NA>;Botany;L  0721697;0;0;0;Gu;;0;;;;0;0;0;L0721697;10122;odorata
Uvaria L.;Uvaria;ID;Central Halmahera. Weda Bay. Tarsan Camp.;0.527445;127.935417;Gushilman, I;"Iska Gushilman;Idris Haris;Bahar Fabanyo;Samsul Lasut";I Rachman (BO);detby_problem; (BO);Gushilman 751;2;6;2013;Rachman, IA;2013-01-01T00:00:00;MO;MO;100601537;0;0;0;Gushilman;;0;1;1;2013;0;0;0;MO100601537;751;
Uvaria L.;Uvaria;ID;Central Halmahera. Weda Bay. Tarsan Camp.;0.526722;127.933278;Gushilman, I;"Iska Gushilman;Idris Haris;Samsul Lasut;Bahar Fabanyo";I Rachman (BO);detby_problem; (BO);Gushilman 679;31;5;2013;Rachman, IA;2013-01-01T00:00:00;MO;MO;100601442;0;0;0;Gushilman;;0;1;1;2013;0;0;0;MO100601442;679;
Uvaria L.;Uvaria;ID;Central Halmahera. Weda Bay. Tarsan Camp.;0.526778;127.934222;Gushilman, I;"Iska Gushilman;Idris Haris;Samsul Lasut;Bahar Fabanyo";I Rachman (BO);detby_problem; (BO);Gushilman 712;2;6;2013;Rachman, IA;2013-01-01T00:00:00;MO;MO;100601475;0;0;0;Gushilman;;0;1;1;2013;0;0;0;MO100601475;712;
Popowia Endl.;Popowia;ID;Central Halmahera. Weda bay. Bukit Limber.;0.5525;127.987639;Gushilman, I;"Iska Gushilman;Idris Haris;Samsul Lasut;Bahar Fabanyo";I Rachman (BO);detby_problem; (BO);Gushilman 672;23;5;2013;Rachman, IA;2013-01-01T00:00:00;MO;MO;100598682;0;0;0;Gushilman;;0;1;1;2013;0;0;0;MO100598682;672;
