huh_name;scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;region;specificEpithet;orig_recby;orig_detby;geo_col;wiki_url
Balansa;0;Orophea;sp.;0;0;Balansa;;<NA>;nan;<NA>;<NA>;;;;Kessler, P;09/09/1985 - 09/09/1985;9;9;1985;0;Viet Nam;0;Tonkin;0;;;0;0;P01967204;P01967204;Balansa;;0;Balansa;Kessler, P.;<NA>;<NA>
Balansa, Benedict;0;Xylopia;vielana;0;0;Balansa, B;;<NA>;nan;<NA>;15/06/1886 - 15/06/1886;15;6;1886;nan;<NA>;;;;0;Viet Nam;0;Tonkin. Tankeuïn, près de Quang-yen, dans les jardins.;0;106.8025;20.942;0;0;P02006218;P02006218;Balansa;Quảng Ninh;0;Balansa, B.;<NA>;Algeria, Indonesia, Morocco, New Caledonia, Paraguay, Singapore, Vietnam;0
Barthe;0;Artabotrys;hamatus;0;0;Barthe;;<NA>;nan;<NA>;01/01/1857 - 31/12/1857;1;1;1857;nan;<NA>;;;;0;Philippines;0;Manille;0;120.981;14.591;0;0;P02029215;P02029215;Barthe;National Capital Region (NCR);0;Barthe;<NA>;<NA>;<NA>
Barthe;0;Desmos;chinensis;0;0;Barthe;;<NA>;nan;<NA>;01/01/1857 - 31/12/1857;1;1;1857;Wun, NK;01/08/2010 - 31/08/2010;1;8;2010;0;Chine;0;Chine. Hong-Kong;0;114.163;22.279;0;0;P00234173;P00234173;Barthe;Hong Kong(香港);0;Barthe;Ng Kwok Wun;<NA>;<NA>
Barthe;0;Goniothalamus;sp.;0;0;Barthe;;<NA>;nan;<NA>;01/01/1857 - 31/12/1857;1;1;1857;Kessler, P, Kessler, P;26/10/1989 - 26/10/1989;26;10;1989;0;Philippines;0;Manille;0;120.9809674;14.5907332;0, 0;0, 0;P02034807, P02034809;P02034807, P02034809;Barthe;;;;;;
Barthe;0;Polyalthia;sp.;0;0;Barthe;;<NA>;nan;<NA>;01/01/1857 - 31/12/1857;1;1;1857;Kessler, P;01/04/1998 - 30/04/1998;1;4;1998;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P01983378;P01983378;Barthe;National Capital Region (NCR);0;Barthe;Kessler, P.;<NA>;<NA>
Barthe;0;Polyalthia;suberosa;0;0;Barthe;;<NA>;nan;<NA>;01/01/1857 - 31/12/1857;1;1;1857;nan;<NA>;;;;0;Philippines;0;Manille;0;120.9809674;14.5907332;0;0;P01983823;P01983823;Barthe;National Capital Region (NCR);0;Barthe;<NA>;<NA>;<NA>
Barthe;0;Uvaria;sp.;0;0;Barthe;;<NA>;nan;<NA>;01/01/1857 - 31/12/1857;1;1;1857;nan, nan;<NA>;;;;0;Philippines;0;Manille;0;120.9809674;14.5907332;0, 0;0, 0;P01964274, P01765041;P01964274, P01765041;Barthe;;;;;;
Beccari, Odoardo;0;Artabotrys;sp.;0;0;Beccari, O;;<NA>;nan;<NA>;<NA>;;;;Kessler, P;09/09/1985 - 09/09/1985;9;9;1985;0;<NA>;0;Bornéo.;0;;;0;0;P02029198;P02029198;Beccari;;0;Beccari, O.;Kessler, P.;Ethiopia, Greece, Indonesia, Italy, Malaysia, New Zealand;http://en.wikipedia.org/wiki/Odoardo_Beccari
Beccari, Odoardo;0;Polyalthia;cauliflora;0;0;Beccari, O;;<NA>;nan;<NA>;<NA>;;;;Kessler, P;01/05/2004 - 31/05/2004;1;5;2004;0;<NA>;0;Bornéo;0;;;0;0;P01982946;P01982946;Beccari;;0;Beccari, O.;Kessler, P.;Ethiopia, Greece, Indonesia, Italy, Malaysia, New Zealand;http://en.wikipedia.org/wiki/Odoardo_Beccari
