scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;to_check;to_check_det
Polyalthia microtus Miq.;Polyalthia;ID;Indonesia, East Kalimantan, Wanariset, Road from Samboja to Semoi, km 1.5;-1.0;117.0;Hamdi, AFO;Hamdi, AFO AA 2111 ;20;2;1997;Arifin, Z;<NA>;<NA>;Botany;L.4369840;0;0;0;Hamdi;;0;;;;0;0;0;L4369840;2111;microtus;Hamdi AFO;Arifin Z;Hamdi;;
Mezzettia Becc.;Mezzettia;ID;ZO Borneo, Wesst Koetei;0.0;116.5;nan; bb 16856 ;;;;Steenis, CGGJ van;nan;nan;Botany;L  0970933;0;0;0;nan;nan;0;;;;0;0;0;L0970933;16856;;;Steenis CGGJ van;;;recby_problem
Polyalthia Blume;Polyalthia;ID;Archipel. Ind. Selebes. Malili, Kawata.;-2.6351;121.0948;nan; Cel/V 191 ;12;10;1932;nan;nan;nan;Botany;L.1759925;0;0;0;nan;nan;0;;;;0;0;0;L1759925;191;;;;;;recby_problem
Xylopia L.;Xylopia;ID;Sumatra, Tapanoeli, Padang Lawas, G Toea djoeloe;2.85;98.27;nan; bb 6440 ;11;3;1924;nan;nan;nan;Botany;L  0196252;0;0;0;nan;nan;0;;;;0;0;0;L0196252;6440;;;;;;recby_problem
Polyalthia Blume;Polyalthia;ID;Central Halmahera. Weda Bay. Doromesmesan.;0.492167;127.908389;Bangun, T;Bangun 479;12;1;2013;Rachman, IA;2013-01-01T00:00:00;MO;MO;100560107;0;0;0;Bangun;nan;0;1;1;2013;0;0;0;MO100560107;479;;"Tjut Bangun;Roji Mahroji;Idris Haris;Bahar Fabanyo";I Rachman (BO);;detby_problem; (BO)
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;ID;Central Halmahera. Weda Bay. Ake Jira, south.;0.613639;127.916444;Mahroji, R;Mahroji 156;22;12;2012;Johnson, DM, Kessler, PJA;2014-01-01T00:00:00;MO;MO;100554062;0;0;0;Mahroji;nan;0;1;1;2014;0;0;0;MO100554062;156;ophthalmicus;"Roji Mahroji;Iska Gushilman;Bahar Fabanyo;Samsul Lasut";"D.M.  Johnson (OWU); P. Kessler (L)";;detby_problem;" (OWU); P. Kessler (L)"
Polyalthia microtus Miq.;Polyalthia;ID;2km E of Djaro Dam, 10km NE of Muara Uja Kalimantan Selatan, Borneo;-1.833333;115.666667;Vogel, EF de;Vogel, EF de  984 ;22;11;1971;Johnson, DM, Murray, NA;nan;nan;Botany;L.1767128;0;0;0;Vogel;nan;0;;;;0;0;0;L1767128;984;microtus;Vogel EF de;Johnson, DM, Murray, NA;;detby_problem;Johnson, DM, Murray, NA
