gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
438689581	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p01954537	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia bryotrophe		SPECIES	Hornschuchia bryotrophe Nees	Hornschuchia bryotrophe Nees	Nees				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													5407556	5407556	PRESERVED_SPECIMEN	MNHN	P	P01954537				CC_BY_4_0					2023-01-26T07:55:27.919Z	StillImage	COLLECTION_MATCH_FUZZY
438547914	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p01954540	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia			GENUS	Hornschuchia Nees	Hornschuchia sp.					PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													3158449		PRESERVED_SPECIMEN	MNHN	P	P01954540				CC_BY_4_0					2023-01-26T07:54:49.060Z	StillImage	COLLECTION_MATCH_FUZZY
438126545	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p01954535	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia polyantha		SPECIES	Hornschuchia polyantha Maas	Hornschuchia polyantha Maas	Maas				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													5407559	5407559	PRESERVED_SPECIMEN	MNHN	P	P01954535				CC_BY_4_0					2023-01-26T07:55:16.491Z	StillImage	COLLECTION_MATCH_FUZZY
438023512	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p01954538	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia bryotrophe		SPECIES	Hornschuchia bryotrophe Nees	Hornschuchia bryotrophe Nees	Nees				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													5407556	5407556	PRESERVED_SPECIMEN	MNHN	P	P01954538				CC_BY_4_0					2023-01-26T07:55:21.198Z	StillImage	COLLECTION_MATCH_FUZZY
437025478	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p01963658	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia lianarum		SPECIES	Hornschuchia lianarum D.M.Johnson & N.A.Murray	Hornschuchia lianarum D.M.Johnson	D.M.Johnson				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													5407564	5407564	PRESERVED_SPECIMEN	MNHN	P	P01963658				CC_BY_4_0					2023-01-26T07:55:24.577Z	StillImage	COLLECTION_MATCH_FUZZY
4002783340	a8e78a51-12b2-4ca1-8945-6d909022ef6a	BRA:UFRB:HURB:29278	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia bryotrophe		SPECIES	Hornschuchia bryotrophe Nees	Hornschuchia bryotrophe	Nees	BR	Comboios.	Espírito Santo	PRESENT		6cc5aff1-f24c-4d67-a827-a666dc680b66									1992-10-28T00:00:00	28	10	1992	5407556	5407556	PRESERVED_SPECIMEN	UFRB	HURB	29278	4019			CC_BY_NC_4_0	HURB - Herbário do Recôncavo da Bahia	O.J.Pereira; J.M.L.Gomes & J.M.Simões			2023-01-25T08:10:56.691Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE
3948554365	1e0f3d99-eb02-4806-b6a4-e903568129ec	BRA:UFPE:UFP:36952	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia bryotrophe		SPECIES	Hornschuchia bryotrophe Nees	Hornschuchia bryotrophe	Nees	BR	Engenho de Conceição Velha	Pernambuco	PRESENT		b7ea834f-8d60-40ea-ab2c-5057000f0afd									1997-12-09T00:00:00	9	12	1997	5407556	5407556	PRESERVED_SPECIMEN	UFPE	UFP	36952	51	Bazante, ML	2022-09-01T00:00:00	CC_BY_NC_4_0	UFP - Herbário UFP - Geraldo Mariz	Tavares, S; Lima, D; Maciel, M; Alves, M			2023-01-27T12:16:49.400Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE
3912983357	021cf0d3-aae6-417d-8682-ae535d17de89	urn:catalog:catalogo-ucs-brasil:RB:RB00042092	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia alba		SPECIES	Hornschuchia alba (A.St.-Hil.) R.E.Fr.	Hornschuchia alba (A.St.-Hil.) R.E.Fr.	Angiospermas				PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a													5407558	5407558	PRESERVED_SPECIMEN		Rio de Janeiro Botanical Garden Herbarium	RB00042092	8818			CC_BY_4_0	Jardim Botânico do Rio de Janeiro	P.J.M. Maas			2023-01-24T14:57:28.435Z		INSTITUTION_MATCH_NONE
3912975041	021cf0d3-aae6-417d-8682-ae535d17de89	urn:catalog:catalogo-ucs-brasil:MBML:MBML037745	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia bryotrophe		SPECIES	Hornschuchia bryotrophe Nees	Hornschuchia bryotrophe Nees	Angiospermas	BR	Reserva Biológica de Duas Bocas. Localidade de Duas Bocas, Trilha do Pescador. Floresta Ombrófila Densa Baixo Montana.	Espírito Santo	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-20.278889	-40.478333							2008-10-20T00:00:00	20	10	2008	5407556	5407556	PRESERVED_SPECIMEN		MBML	MBML037745	5000	Lopes, J.C.		CC_BY_4_0	MBML	P.H. Labiak			2023-01-24T14:57:17.673Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
3912831511	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1465550	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia leptandra		SPECIES	Hornschuchia leptandra D.M.Johnson	Hornschuchia leptandra D.M.Johnson	D.M.Johnson	BR	Algodão. Mata ombrófila densa.	Bahia	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-12.166667	-37.966667							2018-10-27T00:00:00	27	10	2018	5407563	5407563	PRESERVED_SPECIMEN	JBRJ	RB	RB01465550	2069			CC_BY_4_0	Rio de Janeiro Botanical Garden	Popovkin, A.V.; Dias, M.F.			2023-01-24T20:26:36.831Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3867502691	7b203230-ba55-4da6-9274-e1d7b1b95987	BRA:FFCLRP:SPFR:14162	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia bryotrophe		SPECIES	Hornschuchia bryotrophe Nees	Hornschuchia bryotrophe	Ness	BR	ca 25,1km na estrada Itabela-Guaratinga, saindo da BR-101. Entrada em estrada de terra à direita, no sentido Itabela-Guaratinga.	Bahia	PRESENT		e1475b95-d1f7-4f3a-9f3e-e681676abb18	-16.563389	-39.752639							2009-01-24T00:00:00	24	1	2009	5407556	5407556	PRESERVED_SPECIMEN	FFCLRP	SPFR	14162	1808	Lopes, J.C	2013-01-01T00:00:00	CC_BY_NC_4_0	SPFR - Herbário do Departamento de Biologia da FFCLRP-USP	Groppo, M.; Bruniera, C.P.; Bueno, G.M.			2023-01-26T06:55:14.239Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
