specimen - institute;specimen - collection;specimen - code;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - cultivated;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;collect_number - number;collect_number - note_sure;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - precision;geo - not_sure;geo - no_info;owner - owner;owner - no_info;owner - not_sure;flower - flower;flower - info_color;flower - color_flowers;flower - not_sure;fruit - fruit;fruit - info_color;fruit - color_fruits;fruit - not_sure;Date deter - collect_date;Date deter - pas d'information;altitude - altitude;altitude - not_sure;altitude - no_info
MNHN;P;P00260035;Annonaceae;Uvaria;hirsuta;;Indonésie;false;;;;Bangka-Belitung;;;;27/09/1949 - 27/09/1949;;false;Kostermans;Anta;;false;888;;false;Reveillard, C.;;false;Bangka, Lobok-besar G. Pading. +- 50 m alt.;;;-2.617 , 106.549;;;;;;;"""Oui""";"""Oui""";jaune pâle;;"""Non""";;;;01/08/2002 - 31/08/2002;false;50;;false
MNHN;P;P00260036;Annonaceae;Uvaria;hirsuta;;;false;;;true;;;;true;;;true;Beccari, O.;;;false;1005;;false;Attanayake, A.M.A.S.;;false;Bornéo.;;;;;;true;;;;"""Oui""";"""Non""";;;"""Non""";;;;01/03/2010 - 31/03/2010;false;;;true
MNHN;P;P00133858;Annonaceae;Mitrephora;sp.;;Viet Nam;false;;;;Ninh Thuận;;;;12/12/1923 - 12/12/1923;;false;Poilane;;;false;9118;;false;Kessler, P.;;false;Annam : Ca-na pro: Phanrang. 600 m alt.;;;11.377 , 108.844;;;;;;;"""Oui""";"""Non""";;;"""Non""";;;;09/09/1985 - 09/09/1985;false;600;;false
MNHN;P;P00133859;Annonaceae;Mitrephora;sp.;;Viet Nam;false;;;;Ninh Thuận;;;;21/12/1923 - 21/12/1923;;false;Poilane;;;false;9247;;false;Kessler, P.;;false;Annam : Ca-na pro: Phanrang. 5 a 600 m alt;;;11.377 , 108.844;;;;;;;"""Non""";;;;"""Non""";;;;09/09/1985 - 09/09/1985;false;500 - 600;;false
MNHN;P;P00133860;Annonaceae;Mitrephora;sp.;;Viet Nam;false;;;;Ninh Thuận;;;;21/02/1924 - 21/02/1924;;false;Poilane;;;false;9715;;false;Kessler, P.;;false;Annam : Ba Rau, prov. Phanrang;;;11.7167 , 109.05;;;;;;;"""Oui""";"""Non""";;;"""Oui""";"""Non""";;;09/09/1985 - 09/09/1985;false;;;true
MNHN;P;P00133861;Annonaceae;Mitrephora;pallens;;Viet Nam;false;;;;Ninh Thuận;;;false;01/03/1924 - 01/03/1924;;false;Poilane;;;false;9804;;false;Weerasooriya, A.D.;;false;Annam : Ba Rau, prov. Phanrang;;false;11.7167 , 109.05;;;false;;;;"""Oui""";"""Non""";;;"""Non""";;;;01/03/2001 - 31/03/2001;false;;;true
MNHN;P;P00133862;Annonaceae;Mitrephora;calcarea;;Viet Nam;false;;;;Ninh Bình;;;;01/01/1924 - 31/01/1924;;false;Pételot;;;false;2006;;false;Pételot;;false;Flora Tonkinensis. Cho Ganh;;;20.1667 , 105.95;;;;;;;"""Oui""";"""Non""";;;"""Non""";;;;;true;;;true
MNHN;P;P00133863;Annonaceae;Mitrephora;calcarea;;Viet Nam;false;;;;Hòa Bình;;;;01/04/1926 - 30/04/1926;;false;Colani, E.;Pételot;;false;3201;;false;Pételot;;false;Flora Tonkinensis. Hoa Binh.;;;20.8130014 , 105.3452974;;;;;;;"""Oui""";"""Non""";;;"""Non""";;;;;true;;;true
MNHN;P;P00133864;Annonaceae;Mitrephora;petelotii;;Viet Nam;false;;;;Hòa Bình;;;;01/03/1933 - 31/03/1933;;false;Pételot;;;false;4861;;false;Weerasooriya, A.D.;;false;Environs de Muong Thon. Route de Hanoi à Hoa Binh. Province de Hoa Binh. Tonkin;;;20.917 , 105.446;;;;;;;"""Oui""";"""Non""";;;"""Non""";;;;01/03/2001 - 31/03/2001;false;;;true
MNHN;P;P00133865;Annonaceae;Mitrephora;calcarea;;Viet Nam;false;;;;Ninh Bình;;;;01/06/1923 - 30/06/1923;;false;Pételot;;;false;940;;false;Pételot;;false;Flora Tonkinensis. Cho Ganh.;;;20.1667 , 105.95;;;;;;;"""Non""";;;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P00133866;Annonaceae;Mitrephora;maingayi;;Malaisie;false;;;;Johor;;;;26/02/1986 - 26/02/1986;;false;David, B.;;;false;91;;false;David, B.;;false;Malaya. Mersing, Johor;;;2.4298532 , 103.835494;;;;;;;"""Oui""";"""Oui""";jaune moucheté de rouge;;"""Non""";;;;;true;;;true
MNHN;P;P00133867;Annonaceae;Mitrephora;maingayi;;Cambodge;null;;;false;Siem Reap;;;false;;;true;Bèjeaud;;;null;530;;null;Weerasooriya, A.D.;;null;Cambodge. Pradak;;false;13.5848 , 103.5777;;;false;;;;"""Oui""";"""Non""";;;"""Non""";;;;01/03/2001 - 31/03/2001;null;;;true
MNHN;P;P00133868;Annonaceae;Mitrephora;maingayi;;Malaisie;false;;;;;;;true;;;true;;;;true;;;true;Weerasooriya, A.D.;;false;Malaya;;;;;;true;;;;"""Oui""";"""Non""";;;"""Non""";;;;01/03/2001 - 31/03/2001;false;;;true
MNHN;P;P00133869;Annonaceae;Mitrephora;maingayi;;Laos, République démocratique populaire;false;;;;Champasak;;;;27/09/1928 - 27/09/1928;;false;Poilane, E.;;;false;15735;;false;;;true;Laos : Nord de Pakson pro: Bassac, plateau des Bolowen. 1000 m alt;;;15.25 , 106.24;;;;;;;"""Oui""";"""Oui""";blanche un peu verdâtre puis franchement jaune;;"""Non""";;;;;true;1000;;false
MNHN;P;P00133870;Annonaceae;Mitrephora;laotica;;Laos, République démocratique populaire;null;;;false;Sainyabuli;;;false;01/01/1866 - 31/12/1868;;null;Thorel;;;null;3354;;false;Kessler, P.;;null;Pak-lay, Laos. Expédition du Mé-Kong.;;false;18.23 , 101.411;;;false;;;;"""Oui""";"""Non""";;;"""Non""";;;;03/09/1985 - 03/09/1985;null;;;true
MNHN;P;P00133871;Annonaceae;Mitrephora;pallens;;Viet Nam;null;;;false;Khánh Hòa;;;false;11/04/1922 - 11/04/1922;;null;Poilane;;;null;2963;;null;Jovet-Ast;;null;Annam : Ile Tre pr. Nhatrang;;false;12.20821415 , 109.28847655585815;;;false;;;;"""Oui""";"""Oui""";Blanc crème et rouge;;"""Non""";;;;01/01/1940 - 31/12/1940;null;;;true
MNHN;P;P00133872;Annonaceae;Mitrephora;petelotii;;Viet Nam;false;;;;Hòa Bình;;;;07/04/1938 - 07/04/1938;;false;Pételot;;;false;6356;;false;Weerasooriya, A.D.;;false;Entre Hoa Binh et Vu Ban. Province de Hoa Binh. Tonkin;;;20.641 , 105.375;;;;;;;"""Oui""";"""Non""";;;"""Non""";;;;01/03/2001 - 31/03/2001;false;;;true
MNHN;P;P00133873;Annonaceae;Mitrephora;tomentosa;;Viet Nam;false;;;;Tây Ninh;;;;01/04/1868 - 30/04/1868;;false;Pierre, L.;;;false;1745;;false;Weerasooriya, A.D.;;false;monts Déon-ba, prov. Tay-ninh, Cochinchine.;;;11.382 , 106.17;;;;;;;"""Oui""";"""Non""";;;"""Non""";;;;01/03/2001 - 31/03/2001;false;;;true
MNHN;P;P00133874;Annonaceae;Mitrephora;tomentosa;;Cambodge;false;;;;Kampong Speu;;;;01/01/1866 - 31/12/1868;;false;Thorel;;;false;;;true;Weerasooriya, A.D.;;false;Oudong, Cambodge. Expédition du Mé-Kong.;;;11.8210927 , 104.7400419;;;;;;;"""Non""";;;;"""Oui""";"""Non""";;;01/03/2001 - 31/03/2001;false;;;true
