specimen...institute;specimen...collection;specimen...code;specimen...family;specimen...genus;specimen...specific_epithet;unusable...cause;country...country;country...cultivated;country...guessed;country...not_sure;country...no_info;region1...region;region1...guessed;region1...not_sure;region1...no_info;collect_date...collect_date;collect_date...not_sure;collect_date...no_info;collector...collector;collector...other_collectors;collector...not_sure;collector...no_info;collect_number...number;collect_number...note_sure;collect_number...no_info;identifier...identifier;identifier...not_sure;identifier...no_info;locality...locality;locality...not_sure;locality...no_info;geo...position;geo...precision;geo...not_sure;geo...no_info;owner...owner;owner...no_info;owner...not_sure;flower...flower;flower...info_color;flower...color_flowers;flower...not_sure;fruit...fruit;fruit...info_color;fruit...color_fruits;fruit...not_sure;Date.deter...collect_date;Date.deter...pas.d.information;altitude...altitude;altitude...not_sure;altitude...no_info
MNHN;P;P00268516;Annonaceae;Pseuduvaria;grandiflora;;Philippines;false;NA;NA;;Ilocos Norte;NA;NA;;01/02/1917 - 31/03/1917;NA;false;Ramos, M.;;NA;false;;NA;true;Kessler, P.;NA;false;Philippines. Bangui. Prov. of Ilocos Norte. Luzon;NA;;18.5367387 , 120.7657563;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;03/09/1985 - 03/09/1985;false;;NA;true
MNHN;P;P00268517;Annonaceae;Pseuduvaria;luzoniensis;;Philippines;false;NA;NA;;Isabela;NA;NA;;01/02/1926 - 31/03/1926;NA;false;Ramos, M.;Edaño, G.;NA;false;46794;NA;false;;NA;true;Philippines. San Mariano. Isabella Province. Luzon;NA;;16.9835964 , 122.0127684;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00268521;Annonaceae;Pseuduvaria;philippinensis;;Philippines;false;NA;NA;;Quezon;NA;NA;;01/03/1916 - 31/03/1916;NA;false;Bawan, F.;;NA;false;25305;NA;false;Su, Y.C.F.;NA;false;Philippines. Province of Tayabas. Luzon;NA;;14.0263471 , 121.5918364;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;01/09/2001 - 30/09/2001;false;;NA;true
MNHN;P;P00268522;Annonaceae;Pseuduvaria;philippinensis;;Philippines;null;NA;NA;false;Palawan;NA;NA;false;01/04/1913 - 30/04/1913;NA;null;Merrill, E.D.;;NA;null;9213;NA;null;Su, Y.C.F.;NA;null;Philippines. Taytay. Palawan;NA;false;10.8264031 , 119.5159199;NA;NA;false;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;01/09/2001 - 30/09/2001;null;;NA;true
MNHN;P;P00268523;Annonaceae;Pseuduvaria;philippinensis;;Philippines;false;NA;NA;;Palawan;NA;NA;;01/04/1913 - 30/04/1913;NA;false;Merrill, E.D.;;NA;false;9213;NA;false;Su, Y.C.F.;NA;false;Philippines. Taytay. Palawan;NA;;10.8264031 , 119.5159199;NA;NA;;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;01/09/2001 - 30/09/2001;false;;NA;true
MNHN;P;P00268524;Annonaceae;Pseuduvaria;philippinensis;;Philippines;false;NA;NA;;Palawan;NA;NA;;01/04/1913 - 30/04/1913;NA;false;Merrill, E.D.;;NA;false;9213;NA;false;Su, Y.C.F.;NA;false;Taytay, Palawan, Philippines;NA;;10.8264031 , 119.5159199;NA;NA;;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;01/09/2001 - 30/09/2001;false;;NA;true
MNHN;P;P00268525;Annonaceae;Pseuduvaria;philippinensis;;Philippines;false;NA;NA;;Northern Samar;NA;NA;;01/02/1916 - 31/03/1916;NA;false;Ramos, M.;;NA;false;24449;NA;false;;NA;true;Philippines. Catubig River, Samar;NA;;12.467 , 125.03;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00268526;Annonaceae;Pseuduvaria;philippinensis;;Philippines;false;NA;NA;;Oriental Mindoro;NA;NA;;01/11/1925 - 31/12/1925;NA;false;Ramos, M.;;NA;false;46374;NA;false;;NA;true;Philippines. Puerto Galera. Mindoro;NA;;13.5018252 , 120.9541838;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00133827;Annonaceae;Mitrephora;reflexa;;Philippines;false;NA;NA;;Rizal;NA;NA;;07/06/1891 - 07/06/1891;NA;false;Loher, A.;Macalarin;NA;false;38;NA;false;Weerasooriya, A.D.;NA;false;Herbarium Philippinense. Cueva de Montalban. Luzon central.;NA;;14.732 , 121.165;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;01/03/2001 - 31/03/2001;false;;NA;true
MNHN;P;P00133828;Annonaceae;Mitrephora;sp.;;Philippines;false;NA;NA;;Pangasinan;NA;NA;;01/04/1914 - 30/06/1914;NA;false;Otanes, F.;;NA;false;;NA;true;;NA;true;Umingan, Province of Pangasinan, Luzon, Philippines.;NA;;15.9292773 , 120.8334911;NA;NA;;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;;true;;NA;true
MNHN;P;P00133829;Annonaceae;Mitrephora;lanotan;;Philippines;false;NA;NA;;Batangas;NA;NA;;01/07/1914 - 31/08/1914;NA;false;Ramos, M.;;NA;false;;NA;true;Weerasooriya, A.D.;NA;false;Philippines. Province of Batangas. Luzon;NA;;13.8591144 , 120.92550256115466;NA;NA;;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;01/03/2001 - 31/03/2001;false;;NA;true
MNHN;P;P00142681;Annonaceae;Uvaria;rufa;;Philippines;false;NA;NA;;Rizal;NA;NA;;01/05/1905 - 30/06/1905;NA;false;Ahern;;NA;false;3137;NA;false;;NA;true;Philippines. Province of Rizal, Luzon.;NA;;14.65 , 121.25;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00142682;Annonaceae;Uvaria;rufa;;Philippines;false;NA;NA;;Rizal;NA;NA;;;NA;true;;;NA;true;2735;NA;false;;NA;true;Philippines. Malapadnabato. Prov. of Rizal. Luzon.;NA;;14.1 , 120.682;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00142684;Annonaceae;Uvaria;rufa;;Philippines;false;NA;NA;;Pangasinan;NA;NA;;01/05/1914 - 31/05/1914;NA;false;Merrill;;NA;false;199;NA;false;Merrill;NA;false;Umingan, Pangasinan Province, Luzon;NA;;15.9292773 , 120.8334911;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00268545;Annonaceae;Orophea;unguiculata;;Philippines;false;NA;NA;;Bicol Region (Region V);NA;NA;false;01/05/1916 - 31/05/1916;NA;false;Cenabre, A.L.;;NA;false;25533;NA;false;;NA;true;Philippines. Camarines Province. Luzon;NA;;14.013 , 122.793;NA;NA;false;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00268546;Annonaceae;Orophea;unguiculata;;Philippines;false;NA;NA;;Agusan del Norte;NA;NA;;01/07/1912 - 31/07/1912;NA;false;Elmer, A.D.E.;;NA;false;13286;NA;false;Elmer, A.D.E.;NA;false;Philippine Islands. Cabadbaran (Mt. Urdaneta) Province of Agusa,. Island of Mindanao;NA;;9.1231657 , 125.532318;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00268547;Annonaceae;Pseuduvaria;unguiculata;;Philippines;false;NA;NA;;Quezon;NA;NA;;01/03/1913 - 30/04/1913;NA;false;Escritor, L.;;NA;false;20834;NA;false;Su, Y.C.F.;NA;false;Philippines. Guinayangan. Province of Tayabas. Luzon;NA;;13.8963821 , 122.4521906;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;01/09/2001 - 30/09/2001;false;;NA;true
MNHN;P;P00268548;Annonaceae;Pseuduvaria;unguiculata;;Philippines;null;NA;NA;false;Samar;NA;NA;false;01/04/1914 - 30/04/1914;NA;null;Ramos, M.;;NA;null;1661;NA;null;Su, Y.C.F.;NA;null;Philippine plants. Samar;NA;false;11.833 , 125.0;NA;NA;false;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;01/09/2001 - 30/09/2001;null;;NA;true
MNHN;P;P00268549;Annonaceae;Orophea;unguiculata;;Philippines;false;NA;NA;;Maguindanao;NA;NA;;01/10/1919 - 31/10/1919;NA;false;Ramos, M.;Edaño, G.;NA;false;36636;NA;false;;NA;true;Philippines. Mt. Tubuan. Zamboanga District. Mindanao;NA;;7.001 , 124.014;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00372660;Annonaceae;Polyalthia;lanceolata;;Philippines;false;NA;NA;;National Capital Region (NCR);NA;NA;;;NA;true;Cumming;;NA;false;450;NA;false;;NA;true;Manille;NA;;14.5907332 , 120.9809674;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00160916;Annonaceae;Miliusa;horsfieldii;;Philippines;false;NA;NA;;Palawan;NA;NA;;01/02/1911 - 28/02/1911;NA;false;Elmer, A.D.E.;;NA;false;12677;NA;false;Mols, J.B.;NA;false;Philippine Islands. Brooks Point (Addison Peak), Province of Palawan. Island of Palawan.;NA;;8.802 , 117.753;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;01/03/2004 - 31/03/2004;false;;NA;true
MNHN;P;P00160919;Annonaceae;Polyalthia;sp.;;Philippines;false;NA;NA;;Surigao del Norte;NA;NA;;01/06/1919 - 30/06/1919;NA;false;Ramos, M.;Pascasio, J.;NA;false;;NA;true;;NA;true;Philippines. Siargao Island;NA;;9.905 , 126.05;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;01/01/2004 - 31/12/2004;false;;NA;true
MNHN;P;P00372667;Annonaceae;Phaeanthus;ebracteolatus;;Philippines;false;NA;NA;;Sorsogon;NA;NA;;01/07/1915 - 31/08/1915;NA;false;Ramos, M.;;NA;false;;NA;true;Mols, J.B.;NA;false;Philippines. Province of Sorsogon, Luzon.;NA;;12.833333 , 123.916667;NA;NA;;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;01/07/1998 - 31/07/1998;false;;NA;true
MNHN;P;P00372668;Annonaceae;Phaeanthus;ebracteolatus;;Philippines;false;NA;NA;;Bicol Region (Region V);NA;NA;;01/12/1914 - 31/12/1914;NA;false;Merrill;;NA;false;305;NA;false;Merrill;NA;false;Philippines. Camarines Province, Luzon;NA;;13.965 , 122.89;NA;NA;;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;;true;;NA;true
MNHN;P;P00372669;Annonaceae;Phaeanthus;pubescens;;Philippines;false;NA;NA;;Ilocos Norte;NA;NA;;01/02/1917 - 31/03/1917;NA;false;Ramos, M.;;NA;false;27333;NA;false;;NA;true;Philippines. Burgos. Prov. of Ilocos Norte. Luzon;NA;;18.5110086 , 120.6436311;NA;NA;;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;;true;;NA;true
MNHN;P;P00372673;Annonaceae;Phaeanthus;villosus;;Philippines;null;NA;NA;false;Capiz;NA;NA;false;01/04/1918 - 31/05/1918;NA;null;Ramos, M.;Edaño, G.;NA;null;;NA;true;Mols, J.B.;NA;null;Philippines. Mt. Macosolon. Capiz Province. Panay;NA;false;13.953 , 124.332;NA;NA;false;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;01/07/1998 - 31/07/1998;null;;NA;true
MNHN;P;P00372684;Annonaceae;Polyalthia;flava;;Philippines;false;NA;NA;;Rizal;NA;NA;;01/11/1904 - 31/12/1904;NA;false;Ahern;;NA;false;;NA;true;;NA;true;Philippines. Bosoboso. Province of Rizal, Luzon;NA;;14.639 , 121.2395;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00372685;Annonaceae;Polyalthia;glandulosa;;Philippines;null;NA;NA;false;Zamboanga Sibugay;NA;NA;false;04/10/1912 - 04/10/1912;NA;null;Reillo, J.;;NA;null;16460;NA;null;;NA;true;Philippines. Santa Maria. District of Zamboanga. Mindanao;NA;false;6.933 , 122.065;NA;NA;false;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00372692;Annonaceae;Polyalthia;minutiflora;;Philippines;false;NA;NA;;Palawan;NA;NA;;01/04/1911 - 30/04/1911;NA;false;Elmer, A.D.E.;;NA;false;13055;NA;false;Elmer, A.D.E.;NA;false;Philippine Islands. Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan;NA;;9.7376025 , 118.7350414;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00160920;Annonaceae;Miliusa;vidalii;;Philippines;false;NA;NA;;Rizal;NA;NA;;01/04/1904 - 30/04/1904;NA;false;Ahern;;NA;false;;NA;true;Mols, J.B.;NA;false;Philippine Forest. Antipolo, Province of Rizal, Luzon;NA;;14.5870262 , 121.1758611;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;01/03/2004 - 31/03/2004;false;;NA;true
MNHN;P;P00160921;Annonaceae;Miliusa;sp.;;Philippines;false;NA;NA;;Ilocos Norte;NA;NA;;01/04/1915 - 30/04/1915;NA;false;Paraiso, E.;;NA;false;;NA;true;Kessler, P.;NA;false;Philippines. Province of Ilocos Norte. Luzon;NA;;18.166667 , 120.75;NA;NA;;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;25/10/1989 - 25/10/1989;false;;NA;true
MNHN;P;P00160922;Annonaceae;Miliusa;sp.;;Philippines;false;NA;NA;;Cavite;NA;NA;;01/04/1915 - 31/05/1915;NA;false;Ramos, M.;Deroy, D.;NA;false;22573;NA;false;Kessler, P.;NA;false;Philippines. Province of Cavite. Luzon;NA;;14.32 , 120.78;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;25/10/1989 - 25/10/1989;false;;NA;true
MNHN;P;P00160923;Annonaceae;Miliusa;vidalii;;Philippines;false;NA;NA;;National Capital Region (NCR);NA;NA;;;NA;true;Cumming;;NA;false;1198;NA;false;Mols, J.B.;NA;false;Manille;NA;;14.5907332 , 120.9809674;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00160924;Annonaceae;Polyalthia;pacifica;;Philippines;false;NA;NA;;Sorsogon;NA;NA;;01/09/1916 - 30/09/1916;NA;false;Elmer, A.D.E.;;NA;false;17357;NA;false;Elmer, A.D.E.;NA;false;Philippine Islands. Irosin (Mt. Bulusan), province of Sorsogon. Island of Luzon;NA;;12.766 , 124.055;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00379281;Annonaceae;Mitrephora;lanotan;;Philippines;false;NA;NA;;Palawan;NA;NA;;01/02/1923 - 28/02/1923;NA;false;Cenabre, A.L.;;NA;false;;NA;true;Kessler, P.;NA;false;Philippines. Puerto Princesa. Palawan;NA;;9.7376 , 118.735;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;01/05/2004 - 31/05/2004;false;;NA;true
MNHN;P;P00379282;Annonaceae;Mitrephora;pictiflora;;Philippines;false;NA;NA;;Agusan del Norte;NA;NA;;01/09/1912 - 30/09/1912;NA;false;Elmer, A.D.E.;;NA;false;13731;NA;false;Elmer, A.D.E.;NA;false;Philippine Islands. Cabadbaran (Mt. Urdaneta) Province of Agusan. Island of Mindanao.;NA;;9.1232986 , 125.5322203;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00379283;Annonaceae;Mitrephora;sorsogonensis;;Philippines;false;NA;NA;;Sorsogon;NA;NA;;01/09/1916 - 30/09/1916;NA;false;Elmer, A.D.E.;;NA;null;17178;NA;null;Elmer, A.D.E.;NA;null;Philippine Islands. Irosin (Mt. Bulusan), province of Sorsogon. Island of Luzon.;NA;false;12.7038417 , 124.0320966;NA;NA;false;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00379284;Annonaceae;Mitrephora;samarensis;;Philippines;false;NA;NA;;Eastern Visayas (Region VIII);NA;NA;;01/04/1914 - 30/04/1914;NA;false;Ramos, M.;;NA;false;;NA;true;Kessler, P.;NA;false;Philippines. Samar;NA;;11.96 , 125.11;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;03/09/1985 - 03/09/1985;false;;NA;true
MNHN;P;P00379285;Annonaceae;Mitrephora;basilanensis;;Philippines;false;NA;NA;;Basilan;NA;NA;;01/10/1912 - 31/10/1912;NA;false;Miranda, D.P.;;NA;false;20060;NA;false;Kessler, P.;NA;false;Philippines. Basilan;NA;;6.58 , 122.035;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;01/05/2004 - 31/05/2004;false;;NA;true
MNHN;P;P00389819;Annonaceae;Goniothalamus;puncticulifolius;;Philippines;false;NA;NA;;Occidental Mindoro;NA;NA;;01/04/1921 - 30/04/1921;NA;false;Ramos, M.;;NA;false;;NA;true;;NA;true;Philippines. Paluan, Mindoro;NA;;13.4155816 , 120.4623373;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
