gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1930821257	d415c253-4d61-4459-9d25-4015b9084fb0	d808e29b-cacc-49c9-97c4-f7b96ddc4ba5	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia bryotrophe		SPECIES	Hornschuchia bryotrophe Nees	Hornschuchia bryotrophe Nees	Nees	BR	Entrada a direita, no km 10,4, Rod. Una/Ilhéus	Bahia	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-15.2970178	-39.0751883							1993-08-26T00:00:00	26	8	1993	5407556	5407556	PRESERVED_SPECIMEN	NY	NY	395787	262	D. M. Johnson	1994-01-01T00:00:00	CC0_1_0	The New York Botanical Garden	J. G. Jardim			2023-01-25T00:05:02.254Z	StillImage	COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY
1930814477	d415c253-4d61-4459-9d25-4015b9084fb0	d78d4b8f-2d68-4e70-ae58-88267b7b0976	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia polyantha		SPECIES	Hornschuchia polyantha Maas	Hornschuchia polyantha Maas	Maas	BR	Estrada Sao José-Una. Coletas efetuadas no Km 9 a partir da BR, Fazenda Santa Rosa. Mata Higrófila Sul Baiana	Bahia	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-15.1	-39.27777							1992-10-08T00:00:00	8	10	1992	5407559	5407559	PRESERVED_SPECIMEN	NY	NY	395797	827	P. J. M. Maas	1992-01-01T00:00:00	CC0_1_0	The New York Botanical Garden	A. M. Amorim			2023-01-25T00:09:16.606Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
1930769271	d415c253-4d61-4459-9d25-4015b9084fb0	d4642be2-7555-4e78-b8b0-178f23c9cfcb	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia obliqua		SPECIES	Hornschuchia obliqua Maas & van Setten	Hornschuchia obliqua Maas & Setten	Maas & Setten	BR	Distrito de Serra Grande. 7,3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest	Bahia	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-14.4231	-39.0617							1991-07-01T00:00:00	1	7	1991	5407557	5407557	PRESERVED_SPECIMEN	NY	NY	395804	8041	P. J. M. Maas	1992-01-01T00:00:00	CC0_1_0	The New York Botanical Garden	W. W. Thomas			2023-01-25T00:04:17.009Z	StillImage	COLLECTION_MATCH_FUZZY
1930713379	d415c253-4d61-4459-9d25-4015b9084fb0	d05d2232-dd37-4974-bace-6ec80121c719	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia santosii		SPECIES	Hornschuchia santosii D.M.Johnson	Hornschuchia santosii D.M.Johnson	D.M.Johnson	BR	Rodovia de Almadina para Ibitupã, ca. 20 km. Fazenda São Roque, ca. 10 km da entrada do ramal.	Bahia	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-14.6408	-39.7131							2005-03-12T00:00:00	12	3	2005	5407562	5407562	PRESERVED_SPECIMEN	NY	NY	01282018	2784	R. de Mello-Silva	2009-01-01T00:00:00	CC0_1_0	The New York Botanical Garden	P. Fiaschi			2023-01-25T00:04:58.156Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
1930684297	d415c253-4d61-4459-9d25-4015b9084fb0	ce531826-7c11-4403-b002-360bf28ba66b	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia bryotrophe		SPECIES	Hornschuchia bryotrophe Nees	Hornschuchia bryotrophe Nees	Nees	BR	Patch of disturbed forest on Fazenda Santo Antonio, on dirt road turning ± S at 18 km from bridge at W edge of Linhares on road to Bananal.	Espírito Santo	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-19.3949002	-40.072153							1995-04-19T00:00:00	19	4	1995	5407556	5407556	PRESERVED_SPECIMEN	NY	NY	227526	696	D. M. Johnson	1997-01-01T00:00:00	CC0_1_0	The New York Botanical Garden	J. A. Kallunki			2023-01-25T00:04:47.560Z	StillImage	COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY
1930672866	d415c253-4d61-4459-9d25-4015b9084fb0	cd8b3c7e-c6d0-48eb-ac7f-2b732e9fbec2	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia bryotrophe		SPECIES	Hornschuchia bryotrophe Nees	Hornschuchia bryotrophe Nees	Nees	BR	Estrada para Rio Bananal (ES 245), 17.3 km de Linhares (após a ponte sobre o furo da Lagoa Juparana) Fazenda Santo Antonio	Espírito Santo	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-19.3156	-40.1564							1996-06-19T00:00:00	19	6	1996	5407556	5407556	PRESERVED_SPECIMEN	NY	NY	395777	1174	R. de Mello-Silva	1996-06-01T00:00:00	CC0_1_0	The New York Botanical Garden	R. de Mello-Silva			2023-01-25T00:04:06.343Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
1930655627	d415c253-4d61-4459-9d25-4015b9084fb0	cc4d25ac-8ed9-409a-85a4-54c782a15fef	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia myrtillus		SPECIES	Hornschuchia myrtillus Nees	Hornschuchia myrtillus Nees	Nees	BR	Itamarajú estrada a S. Paulinho	Bahia	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-17.0431545	-39.5307176							1971-04-06T00:00:00	6	4	1971	5407555	5407555	PRESERVED_SPECIMEN	NY	NY	395814	1569	J. A. Kallunki	1981-01-01T00:00:00	CC0_1_0	The New York Botanical Garden	T. S. dos Santos			2023-01-25T00:04:45.970Z	StillImage	COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY
1930644870	d415c253-4d61-4459-9d25-4015b9084fb0	cb8e8032-43cf-4bd8-8b53-a90f67073eea	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia santosii		SPECIES	Hornschuchia santosii D.M.Johnson	Hornschuchia santosii D.M.Johnson	D.M.Johnson	BR	Ba. km 6 da rod. Teixeira de Freitas a Alcobaca.	Bahia	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-17.5172	-39.6494							1971-09-09T00:00:00	9	9	1971	5407562	5407562	PRESERVED_SPECIMEN	NY	NY	8357	2091			CC0_1_0	The New York Botanical Garden	T. S. dos Santos	ISOTYPE		2023-01-25T00:08:08.569Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
1930607140	d415c253-4d61-4459-9d25-4015b9084fb0	c8d033c1-ee8a-4b52-8f07-b0937dd3d662	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia obliqua		SPECIES	Hornschuchia obliqua Maas & van Setten	Hornschuchia obliqua Maas & Setten	Maas & Setten	BR	Estrada Cairu-Itubera. 8 km S de Cairu.	Bahia	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-13.48	-39.04							1981-07-26T00:00:00	26	7	1981	5407557	5407557	PRESERVED_SPECIMEN	NY	NY	8356	798			CC0_1_0	The New York Botanical Garden	A. M. V. de Carvalho	ISOTYPE		2023-01-25T00:04:44.888Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
1930547644	d415c253-4d61-4459-9d25-4015b9084fb0	c4a1e31a-ef04-43cd-9912-b5b819ad1c67	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia			GENUS	Hornschuchia Nees	Hornschuchia Nees	Nees	BR	Parque Nacional Monte Pascoal. Along road from park entrance to nature/conference center.	Bahia	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-15.2647	-40.5747							1996-11-14T00:00:00	14	11	1996	3158449		PRESERVED_SPECIMEN	NY	NY	227765	11331			CC0_1_0	The New York Botanical Garden	W. W. Thomas			2023-01-25T00:08:02.988Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
