scientific_name;genus;specific_epithet;species_author;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;colnum_fullprefix;region;geo_issues;.summary;tmp_det_date.1;expert_det;recby_regex;modified;scientific_name.1;colnum_fullprefix.1;region.1;collector_id;huh_name;geo_col;wiki_url;ipni_species_author;specificEpithet;tmp_det_date;sp_idx
0.0;Artabotrys;cagayanensis;Merr.;Adduru, M;136.0;nan;136.0;nan;01/05/1917 - 18/06/1917;1;5;1917;Merrill, ED;nan;;;;PH;Philippines;0.0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province;0.0;121.9;17.617;0;0.0;P00389821;P00389821;Adduru;Adduru, M.;Merrill, E.D.;PHL;ACCEPTED;Artabotrys cagayanensis;https://ipni.org/n/72363-1;;Cagayan;nan;;;nan;;nan;;;;0.0;0.0;0.0;0.0;0.0;;;
0.0;Orophea;cumingiana;S.Vidal;Adduru, M;148.0;nan;148.0;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0.0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province. Luzon;0.0;121.9;17.617;0;0.0;P01987514;P01987514;Adduru;Adduru, M.;;PHL;ACCEPTED;Orophea cumingiana;https://ipni.org/n/74213-1;;Cagayan;nan;;;nan;;nan;;;;0.0;0.0;0.0;0.0;0.0;;;
0.0;Polyalthia;suberosa;(Roxb.) Thwaites;Adduru, M;38.0;nan;38.0;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0.0;Philippines. Alcala, Vicinity of Peñablanca. Cagayan Province. Luzon;0.0;121.656;17.903;0;0.0;P01983819;P01983819;Adduru;Adduru, M.;;PHL;ACCEPTED;Polyalthia suberosa;https://ipni.org/n/74734-1;;Cagayan;nan;;;nan;;nan;;;;0.0;0.0;0.0;0.0;0.0;;;
0.0;Mitrephora;reflexa;Merr.;Adduru, M;63.0;nan;63.0;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0.0;Philippines. Quibal. Vicinity of Peñablanca. Cagayan Province. Luzon;0.0;121.7594281;17.3379754;0;0.0;P01967893;P01967893;Adduru;Adduru, M.;;PHL;ACCEPTED;Mitrephora reflexa;https://ipni.org/n/74037-1;;Cagayan;nan;;;nan;;nan;;;;0.0;0.0;0.0;0.0;0.0;;;
0.0;Mitrephora;reflexa;Merr.;Adduru, M;96.0;nan;96.0;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0.0;Littoc. Vicinity of Peñablanca, Cagayan Province, Luzon.;0.0;121.9;17.6167;0;0.0;P01967891;P01967891;Adduru;Adduru, M.;;PHL;ACCEPTED;Mitrephora reflexa;https://ipni.org/n/74037-1;;Cagayan;nan;;;nan;;nan;;;;0.0;0.0;0.0;0.0;0.0;;;
0.0;Neo-uvaria;acuminatissima;(Miq.) Airy Shaw;Agama, J;nan;nan;nan;nan;01/10/1914 - 30/11/1914;1;10;1914;nan;nan;;;;PH;Philippines;0.0;Philippines. Lanao District, Mindanao;0.0;124.113;7.912;0;0.0;P00267950;P00267950;Agama;Agama, J.;;PHL;ACCEPTED;Neo-uvaria acuminatissima;https://ipni.org/n/74172-1;;Lanao del Norte;nan;;;nan;;nan;;;;0.0;0.0;0.0;0.0;0.0;;;
0.0;Uvaria;rufa;(Hook.f. & Thomson) Merr.;Ahern;3137.0;nan;3137.0;nan;01/05/1905 - 30/06/1905;1;5;1905;nan;nan;;;;PH;Philippines;0.0;Philippines. Province of Rizal, Luzon.;0.0;121.25;14.65;0;0.0;P00142681;P00142681;Ahern;Ahern;;PHL;SYNONYM;Pyramidanthe prismatica;https://ipni.org/n/75912-1;;Rizal;nan;;;nan;;nan;;;;0.0;0.0;0.0;0.0;0.0;;;
nan;Drepathus;acuminatus;nan;Burley, John Stuart;Collector Number: 178;Collector;178.0;nan;nan;28;4;1987;Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;nan;120.917;13.4667;BPBM;BISH;BISH620170;620170;Burley;Burley, J.S.;J.S.Burley;PHL;ACCEPTED;Drepathus acuminatus;https://ipni.org/n/77109466-1;;;nan;1.0;;nan;Burley, JS;s_2023-04-28_09-37-05;;;;nan;Burley, John Stuart;Indonesia, United States of America;nan;(C.B.Rob.) Survesw. & R.M.K.Saunders;;;Drepathus acuminatus
nan;Friesodielsia;auriculata;nan;Ramos, Maximo;43245;nan;43245.0;nan;nan;;;;nan;nan;;;;PH;Philippines;nan;Bohol;nan;124.17;9.83;K;Herbarium;K000691758;K000691758;Ramos;Ramos, M.;;PHL;ACCEPTED;Friesodielsia auriculata;https://ipni.org/n/73092-1;;;nan;1.0;;nan;Ramos, M;s_2023-04-28_09-37-05;;;;nan;Ramos, Maximo;Malaysia, Philippines;nan;(Elmer) Steenis;;;Friesodielsia auriculata
nan;Meiogyne;mindorensis;nan;Mabesa, Calixto;25388;nan;25388.0;nan;nan;;;;nan;nan;;;;PH;Philippines;nan;Province of Laguna, Luzon;nan;121.33;14.17;K;Herbarium;K000691920;K000691920;Mabesa;Mabesa, C.;;PHL;ACCEPTED;Meiogyne mindorensis;https://ipni.org/n/977588-1;;;nan;1.0;;nan;Mabesa, C;s_2023-04-28_09-37-05;;;;nan;Mabesa, Calixto;Philippines;nan;(Merr.) Heusden;;;Meiogyne mindorensis
