name;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51
;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Elmer Reginald Drew;Drew, ER;;;;;;;;;;;;;;;;;;
;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Elmer Stearns;Stearns, E;;;;;;;;;;;;;;
;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Elmer W  Smith;Smith, EW ;;;;;;;;;;;;;;;;;
;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Elmer Walker Brandes;Brandes, EW;;;;;;;;;;;;;;;;;;
;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Elmer Yale Dawson;Dawson, EY;;;;;;;;;;;;;;;;;;
;Elmer, Adolph Daniel Edward;Elmer, Adolph Daniel Edward;Elmer, Adolph Daniel Edward;Elmer, ADE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);G  P  Helmersen (Gelmersen);Helmersen, GP  (Gelmersen); (Gelmersen); (Gelmersen); (Gelmersen); (Gelmersen); (Gelmersen); (Gelmersen); (Gelmersen); (Gelmersen); (Gelmersen); (Gelmersen); (Gelmersen)
;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;Helmersen;;;;;;;;;;;;;;;;;;;;;;;;;;
Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P ;Helmersen (Gelmersen), G  P 
;Hodgson, Elmer Reed;Hodgson, Elmer Reed;Hodgson, Elmer Reed;Hodgson, Elmer Reed;Hodgson, Elmer Reed;Hodgson, ER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hodson, Elmer Reed;Hodson, Elmer Reed;Hodson, Elmer Reed;Hodson, Elmer Reed;Hodson, Elmer Reed;Hodson, ER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Hugo Schlosser; Selmer Hugo Schlosser";"Schlosser, H; Selmer Hugo Schlosser";"; Selmer Hugo Schlosser";"; Selmer Hugo Schlosser";"; Selmer Hugo Schlosser";"; Selmer Hugo Schlosser";"; Selmer Hugo Schlosser";"; Selmer Hugo Schlosser";"; Selmer Hugo Schlosser";"; Selmer Hugo Schlosser";"; Selmer Hugo Schlosser";"; Selmer Hugo Schlosser";"; Selmer Hugo Schlosser";"; Selmer Hugo Schlosser";"; Selmer Hugo Schlosser";"; Selmer Hugo Schlosser"
;Kennedy, Elmer;Kennedy, Elmer;Kennedy, Elmer;Kennedy, Elmer;Kennedy, Elmer;Kennedy, Elmer;Kennedy, Elmer;Kennedy, E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;M  Selmer;Selmer, M ;;;;;;;;;;;;;
;Merrill, Elmer Drew;Merrill, Elmer Drew;Merrill, Elmer Drew;Merrill, Elmer Drew;Merrill, Elmer Drew;Merrill, ED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Noble, Elmer Ray;Noble, Elmer Ray;Noble, Elmer Ray;Noble, Elmer Ray;Noble, Elmer Ray;Noble, ER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oawson, Elmer Yale;Oawson, Elmer Yale;Oawson, Elmer Yale;Oawson, Elmer Yale;Oawson, Elmer Yale;Oawson, EY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Owens, Charles Elmer;Owens, Charles Elmer;Owens, Charles Elmer;Owens, Charles Elmer;Owens, Charles Elmer;Owens, CE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C ;Prichard, Elmer C ;Prichard, Elmer C ;Prichard, Elmer C ;Prichard, Elmer C ;Prichard, Elmer C ;Prichard, Elmer C ;Prichard, E C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C ;C 
;Pritchard, Elmer;Pritchard, Elmer;Pritchard, Elmer;Pritchard, Elmer;Pritchard, Elmer;Pritchard, Elmer;Pritchard, Elmer;Pritchard, E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Purdy, Carlton Elmer;Purdy, Carlton Elmer;Purdy, Carlton Elmer;Purdy, Carlton Elmer;Purdy, Carlton Elmer;Purdy, CE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E ;Ryan, Elmer E ;Ryan, Elmer E ;Ryan, Elmer E ;Ryan, Elmer E ;Ryan, Elmer E ;Ryan, Elmer E ;Ryan, E E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E ;E 
;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Selmer Hugo Schlosser;Schlosser, SH;;;;;;;;;;;;;;;;;;
;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;Selmer, M ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Smeds, Helmer;Smeds, Helmer;Smeds, Helmer;Smeds, Helmer;Smeds, Helmer;Smeds, Helmer;Smeds, Helmer;Smeds, H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Smith, Elmer William;Smith, Elmer William;Smith, Elmer William;Smith, Elmer William;Smith, Elmer William;Smith, EW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Stearns, Elmer;Stearns, Elmer;Stearns, Elmer;Stearns, Elmer;Stearns, Elmer;Stearns, Elmer;Stearns, Elmer;Stearns, E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Stork, Harvey Elmer;Stork, Harvey Elmer;Stork, Harvey Elmer;Stork, Harvey Elmer;Stork, Harvey Elmer;Stork, HE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wilson, Edward Elmer;Wilson, Edward Elmer;Wilson, Edward Elmer;Wilson, Edward Elmer;Wilson, Edward Elmer;Wilson, EE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wooton, Elmer Otis;Wooton, Elmer Otis;Wooton, Elmer Otis;Wooton, Elmer Otis;Wooton, Elmer Otis;Wooton, EO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wooton, Elmer Ottis;Wooton, Elmer Ottis;Wooton, Elmer Ottis;Wooton, Elmer Ottis;Wooton, Elmer Ottis;Wooton, EO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Worthley, Elmer George;Worthley, Elmer George;Worthley, Elmer George;Worthley, Elmer George;Worthley, Elmer George;Worthley, EG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
